"","date","timestamp","description","visible_until_utc","score","datetime_utc","date_tbd","datetime_local","title","url","type","created_at","time_tbd","status","is_open","short_title","datetime_tbd","announce_date","popularity","id","general_admission","visible_listing_count","lowest_price","lowest_price_good_deals","median_price","highest_price","average_price","listing_count","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","address","has_upcoming_events","score_venue","name_v2","extended_address","display_location","slug","url_venue","timezone","postal_code","name","metro_code","country","city","popularity_venue","num_upcoming_events","id_venue","state","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"39","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.871,"2018-10-14T17:00:00",FALSE,"2018-10-14T13:00:00","Pittsburgh Steelers at Cincinnati Bengals","https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","nfl","2018-04-20T00:47:40",FALSE,"normal",FALSE,"Steelers at Bengals",FALSE,"2018-04-20T00:00:00",0.878,4347042,NA,587,108,108,196,1168,209.73112,331,"QRCODE","2018-08-24T21:53:35Z",FALSE,"1 Paul Brown Stadium",TRUE,0.86166537,"Paul Brown Stadium","Cincinnati, OH 45202","Cincinnati, OH","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York","45202","Paul Brown Stadium",515,"US","Cincinnati",0,7,1124,"OH",-84.5177,39.0961,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"40","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.906,"2018-10-14T17:00:00",FALSE,"2018-10-14T13:00:00","Indianapolis Colts at New York Jets","https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","nfl","2018-04-20T00:47:22",FALSE,"normal",FALSE,"Colts at Jets",FALSE,"2018-04-20T00:00:00",0.904,4346961,NA,1083,52,52,142,742,168.30403,671,"QRCODE","2018-08-24T21:52:02Z",FALSE,"1 MetLife Stadium Drive",TRUE,0.94873494,"MetLife Stadium","East Rutherford, NJ 07073","East Rutherford, NJ","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York","07073","MetLife Stadium",501,"US","East Rutherford",0,16,1587,"NJ",-74.0737,40.8142,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"41","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.877,"2018-10-14T17:00:00",FALSE,"2018-10-14T13:00:00","Chicago Bears at Miami Dolphins","https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","nfl","2018-04-20T00:47:47",FALSE,"normal",FALSE,"Bears at Dolphins",FALSE,"2018-04-20T00:00:00",0.883,4347081,NA,818,112,83,219,11581,373.90363,83,"QRCODE","2018-08-24T21:53:35Z",FALSE,"347 Don Shula Dr.",TRUE,0.8378203,"Hard Rock Stadium","Miami Gardens, FL 33056","Miami Gardens, FL","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York","33056","Hard Rock Stadium",528,"US","Miami Gardens",0,36,29,"FL",-80.24,25.96,"NONE","2017-10-03T18:58:44Z",FALSE
"42","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.851,"2018-10-14T17:00:00",FALSE,"2018-10-14T12:00:00","Buffalo Bills at Houston Texans","https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019","nfl","2018-04-20T00:47:36",FALSE,"normal",FALSE,"Bills at Texans",FALSE,"2018-04-20T00:00:00",0.862,4347019,NA,1024,45,45,146,585,167.45088,621,"QRCODE","2018-08-24T21:53:35Z",FALSE,"1 Reliant Park",TRUE,0.8624192,"NRG Stadium","Houston, TX 77054","Houston, TX","nrg-stadium","https://seatgeek.com/venues/nrg-stadium/tickets","America/Chicago","77054","NRG Stadium",618,"US","Houston",0,47,41,"TX",-95.4107,29.6847,"QRCODE_TM","2015-11-04T18:42:27Z",FALSE
"43","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.838,"2018-10-14T17:00:00",FALSE,"2018-10-14T13:00:00","Los Angeles Chargers at Cleveland Browns","https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","nfl","2018-04-20T00:47:31",FALSE,"normal",FALSE,"Chargers at Browns",FALSE,"2018-04-20T00:00:00",0.853,4346998,NA,942,59,53,106,677,129.27438,656,"QRCODE","2018-08-24T21:53:35Z",FALSE,"100 Alfred Lerner Way",TRUE,0.86852187,"FirstEnergy Stadium","Cleveland, OH 44114","Cleveland, OH","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York","44114","FirstEnergy Stadium",510,"US","Cleveland",0,6,1123,"OH",-81.7,41.5065,"NONE","2015-11-11T20:55:31Z",FALSE
"44","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.914,"2018-10-14T17:00:00",FALSE,"2018-10-14T13:00:00","Carolina Panthers at Washington Redskins","https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","nfl","2018-04-20T00:47:18",FALSE,"normal",FALSE,"Panthers at Redskins",FALSE,"2018-04-20T00:00:00",0.915,4346942,NA,1006,98,88,155,826,183.00189,528,"QRCODE","2018-08-24T21:52:02Z",FALSE,"1600 Fedex Way",TRUE,0.9333444,"FedEx Field","Landover, MD 20785","Landover, MD","fedex-field","https://seatgeek.com/venues/fedex-field/tickets","America/New_York","20785","FedEx Field",511,"US","Landover",0,6,35,"MD",-76.8658,38.9071,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"45","2018-09-25","2018-09-25_11.04.40","","2018-10-14T21:00:00",0.864,"2018-10-14T17:00:00",FALSE,"2018-10-14T12:00:00","Arizona Cardinals at Minnesota Vikings","https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","nfl","2018-04-20T01:04:06",FALSE,"normal",FALSE,"Cardinals at Vikings",FALSE,"2018-04-20T00:00:00",0.873,4347145,NA,579,106,104,269,1198,309.97852,419,"QRCODE","2018-08-24T21:53:38Z",FALSE,"900 South 5th Street",TRUE,0.88524246,"U.S. Bank Stadium","Minneapolis, MN 55415","Minneapolis, MN","u-s-bank-stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago","55415","U.S. Bank Stadium",0,"US","Minneapolis",0,15,218451,"MN",-93.26,44.97,"NONE","2018-08-22T15:34:15Z",FALSE
"46","2018-09-25","2018-09-25_11.04.40","","2018-10-14T23:25:00",0.833,"2018-10-14T19:25:00",FALSE,"2018-10-14T15:25:00","Baltimore Ravens at Tennessee Titans","https://seatgeek.com/ravens-at-titans-tickets/10-14-2018-nashville-tennessee-nissan-stadium/nfl/4346991","nfl","2018-04-20T00:47:30",FALSE,"normal",FALSE,"Ravens at Titans",FALSE,"2018-04-20T00:00:00",0.849,4346991,NA,672,66,63,187,513,197.68518,378,"QRCODE","2018-08-24T21:53:35Z",FALSE,"1 Titans Way",TRUE,0.8546275,"Nissan Stadium","Nashville, TN 37213","Nashville, TN","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York","37213","Nissan Stadium",659,"US","Nashville",0,16,1126,"TN",-86.7713,36.1665,"NONE","2015-10-19T15:09:39Z",FALSE
"47","2018-09-25","2018-09-25_11.04.40","","2018-10-15T00:05:00",0.855,"2018-10-14T20:05:00",FALSE,"2018-10-14T14:05:00","Los Angeles Rams at Denver Broncos","https://seatgeek.com/rams-at-broncos-tickets/10-14-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347138","nfl","2018-04-20T01:04:04",FALSE,"normal",FALSE,"Rams at Broncos",FALSE,"2018-04-20T00:00:00",0.867,4347138,NA,619,167,159,298,1194,382.60318,63,"QRCODE","2018-08-24T21:53:38Z",FALSE,"1701 Bryant St.",TRUE,0.9028296,"Sports Authority Field at Mile High","Denver, CO 80204","Denver, CO","sports-authority-field-at-mile-high","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","America/Denver","80204","Sports Authority Field at Mile High",751,"US","Denver",0,7,1131,"CO",-105.02,39.74,"QRCODE_TM","2015-08-07T18:39:02Z",FALSE
"48","2018-09-25","2018-09-25_11.04.40","","2018-10-15T00:25:00",0.932,"2018-10-14T20:25:00",FALSE,"2018-10-14T15:25:00","Jacksonville Jaguars at Dallas Cowboys","https://seatgeek.com/jaguars-at-cowboys-tickets/10-14-2018-arlington-texas-at-t-stadium/nfl/4327923","nfl","2018-04-05T23:08:47",FALSE,"normal",TRUE,"Jaguars at Cowboys",FALSE,"2018-04-05T00:00:00",0.926,4327923,NA,1984,31,31,270,2642,338.16782,2437,"QRCODE","2018-04-17T22:02:33Z",FALSE,"1 AT&T Way",TRUE,0.9751414,"AT&T Stadium","Arlington, TX 76011","Arlington, TX","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago","76011","AT&T Stadium",623,"US","Arlington",0,21,4965,"TX",-97.0957,32.7459,"QRCODE","2018-04-17T22:02:33Z",FALSE
"49","2018-09-25","2018-09-25_11.04.40","","2018-10-15T04:20:00",0.905,"2018-10-15T00:20:00",FALSE,"2018-10-14T20:20:00","Kansas City Chiefs at New England Patriots","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095","nfl","2018-04-20T00:47:50",FALSE,"normal",FALSE,"Chiefs at Patriots",FALSE,"2018-04-20T00:00:00",0.9,4347095,NA,616,235,220,389,1437,455.80612,98,"QRCODE","2018-08-24T21:53:35Z",FALSE,"1 Patriot Place",TRUE,0.8983344,"Gillette Stadium","Foxborough, MA 02035","Foxborough, MA","gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","America/New_York","02035","Gillette Stadium",506,"US","Foxborough",0,15,33,"MA",-71.2674,42.0906,"NONE","2018-08-22T15:36:58Z",FALSE
"50","2018-09-25","2018-09-25_11.04.40","","2018-10-16T04:15:00",0.902,"2018-10-16T00:15:00",FALSE,"2018-10-15T19:15:00","San Francisco 49ers at Green Bay Packers","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914","nfl","2018-04-20T00:47:13",FALSE,"normal",FALSE,"49ers at Packers",FALSE,"2018-04-20T00:00:00",0.899,4346914,NA,497,168,168,313,644,323.39655,116,"QRCODE","2018-08-24T21:53:38Z",FALSE,"1265 Lombardi Avenue",TRUE,0.92909414,"Lambeau Field","Green Bay, WI 54304","Green Bay, WI","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago","54304","Lambeau Field",658,"US","Green Bay",0,6,1125,"WI",-88.0622,44.5013,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"51","2018-09-25","2018-09-25_11.04.40","","2018-10-19T04:20:00",0.894,"2018-10-19T00:20:00",FALSE,"2018-10-18T17:20:00","Denver Broncos at Arizona Cardinals","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","nfl","2018-04-20T00:47:51",FALSE,"normal",FALSE,"Broncos at Cardinals",FALSE,"2018-04-20T00:00:00",0.888,4347102,NA,758,52,52,145,720,175.52008,473,"QRCODE","2018-08-24T21:53:38Z",FALSE,"1 Cardinals Drive",TRUE,0.93402725,"State Farm Stadium","Glendale, AZ 85305","Glendale, AZ","state-farm-stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix","85305","State Farm Stadium",753,"US","Glendale",0,10,43,"AZ",-112.262,33.5294,"NONE","2015-12-21T17:26:05Z",FALSE
"52","2018-09-25","2018-09-25_11.04.40","","2018-10-21T03:30:00",0.473,"2018-10-20T23:30:00",FALSE,"2018-10-20T18:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/10-20-2018-jonesboro-arkansas-asu-convocation-center-1/nfl/4471322","nfl","2018-08-01T16:01:33",FALSE,"normal",FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,"2018-08-01T00:00:00",0.574,4471322,NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE","2018-08-24T21:53:38Z",FALSE,"217 Olympic Drive",TRUE,0.5808074,"ASU Convocation Center","Jonesboro, AR 72401","Jonesboro, AR","asu-convocation-center-1","https://seatgeek.com/venues/asu-convocation-center-1/tickets","America/Chicago","72401","ASU Convocation Center",734,"US","Jonesboro",0,42,4081,"AR",-90.6691,35.8438,NA,NA,NA
"53","2018-09-25","2018-09-25_11.04.40","","2018-10-21T21:00:00",0.939,"2018-10-21T17:00:00",FALSE,"2018-10-21T12:00:00","New England Patriots at Chicago Bears","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","nfl","2018-04-20T00:47:33",FALSE,"normal",FALSE,"Patriots at Bears",FALSE,"2018-04-20T00:00:00",0.92,4347008,NA,466,255,298,577,123581,2434.4265,68,"QRCODE","2018-08-24T21:53:38Z",FALSE,"1410 S. Museum Campus Drive",TRUE,0.940013,"Soldier Field","Chicago, IL 60605","Chicago, IL","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago","60605","Soldier Field",602,"US","Chicago",0,9,31,"IL",-87.6159,41.8623,"NONE","2018-06-02T00:44:08Z",FALSE
"54","2018-09-25","2018-09-25_11.04.40","","2018-10-21T21:00:00",0.826,"2018-10-21T17:00:00",FALSE,"2018-10-21T13:00:00","Buffalo Bills at Indianapolis Colts","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","nfl","2018-04-20T00:47:22",FALSE,"normal",FALSE,"Bills at Colts",FALSE,"2018-04-20T00:00:00",0.837,4346960,NA,1025,33,33,91,875,111.4904,573,"QRCODE","2018-08-24T21:53:38Z",FALSE,"500 South Capitol Avenue",TRUE,0.9071682,"Lucas Oil Stadium","Indianapolis, IN 46225","Indianapolis, IN","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis","46225","Lucas Oil Stadium",527,"US","Indianapolis",0,14,1130,"IN",-86.1639,39.7601,"QRCODE_TM","2018-09-13T22:29:37Z",FALSE
"55","2018-09-25","2018-09-25_11.04.40","","2018-10-21T21:00:00",0.922,"2018-10-21T17:00:00",FALSE,"2018-10-21T13:00:00","Minnesota Vikings at New York Jets","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","nfl","2018-04-20T00:47:26",FALSE,"normal",FALSE,"Vikings at Jets",FALSE,"2018-04-20T00:00:00",0.906,4346975,NA,937,62,62,178,1062,218.61407,469,"QRCODE","2018-08-24T21:53:38Z",FALSE,"1 MetLife Stadium Drive",TRUE,0.94873494,"MetLife Stadium","East Rutherford, NJ 07073","East Rutherford, NJ","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York","07073","MetLife Stadium",501,"US","East Rutherford",0,16,1587,"NJ",-74.0737,40.8142,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"56","2018-09-25","2018-09-25_11.04.40","","2018-10-21T21:00:00",0.853,"2018-10-21T17:00:00",FALSE,"2018-10-21T13:00:00","Detroit Lions at Miami Dolphins","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","nfl","2018-04-20T00:47:47",FALSE,"normal",FALSE,"Lions at Dolphins",FALSE,"2018-04-20T00:00:00",0.855,4347084,NA,969,62,53,137,902,155.47917,144,"QRCODE","2018-08-24T21:53:38Z",FALSE,"347 Don Shula Dr.",TRUE,0.8378203,"Hard Rock Stadium","Miami Gardens, FL 33056","Miami Gardens, FL","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York","33056","Hard Rock Stadium",528,"US","Miami Gardens",0,36,29,"FL",-80.24,25.96,"NONE","2017-10-03T18:58:44Z",FALSE
"57","2018-09-25","2018-09-25_11.04.40","","2018-10-21T21:00:00",0.821,"2018-10-21T17:00:00",FALSE,"2018-10-21T13:00:00","Cleveland Browns at Tampa Bay Buccaneers","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","nfl","2018-04-20T00:47:16",FALSE,"normal",FALSE,"Browns at Buccaneers",FALSE,"2018-04-20T00:00:00",0.828,4346931,NA,383,137,82,205,558,288.5625,16,"QRCODE","2018-08-24T21:53:38Z",FALSE,"4201 North Dale Mabry Highway",TRUE,0.86513025,"Raymond James Stadium","Tampa, FL 33607","Tampa, FL","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York","33607","Raymond James Stadium",539,"US","Tampa",0,14,39,"FL",-82.5034,27.9753,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
