"","date","timestamp","is_open","datetime_local","datetime_tbd","title","id","type","score","datetime_utc","description","created_at","status","visible_until_utc","time_tbd","short_title","url","popularity","announce_date","date_tbd","general_admission","listing_count","lowest_price","visible_listing_count","median_price","average_price","highest_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","metro_code","extended_address","name_v2","timezone","state","name","display_location","score_venue","popularity_venue","postal_code","num_upcoming_events","city","country","url_venue","id_venue","has_upcoming_events","slug","address","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"70","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T13:00:00",FALSE,"Washington Redskins at New York Giants",4346940,"nfl",0.959,"2018-10-28T17:00:00","","2018-04-20T00:47:17","normal","2018-10-28T21:00:00",FALSE,"Redskins at Giants","https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940",0.915,"2018-04-20T00:00:00",FALSE,NA,518,133,812,236,296.6139,1498,131,"2018-08-24T21:53:39Z",FALSE,"QRCODE",501,"East Rutherford, NJ 07073","MetLife Stadium","America/New_York","NJ","MetLife Stadium","East Rutherford, NJ",0.94873494,0,"07073",16,"East Rutherford","US","https://seatgeek.com/venues/metlife-stadium/tickets",1587,TRUE,"metlife-stadium","1 MetLife Stadium Drive",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"71","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T12:00:00",FALSE,"Denver Broncos at Kansas City Chiefs",4346981,"nfl",0.955,"2018-10-28T17:00:00","","2018-04-20T00:47:27","normal","2018-10-28T21:00:00",FALSE,"Broncos at Chiefs","https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981",0.914,"2018-04-20T00:00:00",FALSE,NA,811,107,1040,196,217.91739,840,107,"2018-08-24T21:53:39Z",FALSE,"QRCODE",616,"Kansas City, MO 64129","Arrowhead Stadium","America/Chicago","MO","Arrowhead Stadium","Kansas City, MO",0.8827867,0,"64129",8,"Kansas City","US","https://seatgeek.com/venues/arrowhead-stadium/tickets",1128,TRUE,"arrowhead-stadium","1 Arrowhead Drive",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"72","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T13:00:00",FALSE,"Cleveland Browns at Pittsburgh Steelers",4347078,"nfl",0.937,"2018-10-28T17:00:00","","2018-04-20T00:47:46","normal","2018-10-28T21:00:00",FALSE,"Browns at Steelers","https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078",0.902,"2018-04-20T00:00:00",FALSE,NA,307,89,627,259,310.16614,1138,89,"2018-08-24T21:53:39Z",FALSE,"QRCODE",508,"Pittsburgh, PA 15212","Heinz Field","America/New_York","PA","Heinz Field","Pittsburgh, PA",0.9033526,0,"15212",10,"Pittsburgh","US","https://seatgeek.com/venues/heinz-field/tickets",1119,TRUE,"heinz-field","100 Art Rooney Avenue",40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
"73","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T12:00:00",FALSE,"New York Jets at Chicago Bears",4347007,"nfl",0.939,"2018-10-28T17:00:00","","2018-04-20T00:47:33","normal","2018-10-28T21:00:00",FALSE,"Jets at Bears","https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007",0.902,"2018-04-20T00:00:00",FALSE,NA,133,133,711,296,326.6391,1197,158,"2018-08-24T21:53:39Z",FALSE,"QRCODE",602,"Chicago, IL 60605","Soldier Field","America/Chicago","IL","Soldier Field","Chicago, IL",0.940013,0,"60605",9,"Chicago","US","https://seatgeek.com/venues/soldier-field/tickets",31,TRUE,"soldier-field","1410 S. Museum Campus Drive",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"74","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T13:05:00",FALSE,"Indianapolis Colts at Oakland Raiders",4347153,"nfl",0.907,"2018-10-28T20:05:00","","2018-04-20T01:04:25","normal","2018-10-29T00:05:00",FALSE,"Colts at Raiders","https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153",0.878,"2018-04-20T00:00:00",FALSE,NA,548,77,845,161,168.41606,484,77,"2018-08-24T21:53:39Z",FALSE,"QRCODE",807,"Oakland, CA 94621","Oakland-Alameda County Coliseum","America/Los_Angeles","CA","Oakland-Alameda County Coliseum","Oakland, CA",0.7817843,0,"94621",21,"Oakland","US","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",14,TRUE,"oakland-alameda-county-coliseum","7000 Coliseum Way",37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"75","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T13:25:00",FALSE,"Green Bay Packers at Los Angeles Rams",4346921,"nfl",0.997,"2018-10-28T20:25:00","","2018-04-20T00:47:14","normal","2018-10-29T00:25:00",FALSE,"Packers at Rams","https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921",0.944,"2018-04-20T00:00:00",FALSE,NA,582,232,1026,486,658.29724,2929,232,"2018-08-24T21:53:39Z",FALSE,"QRCODE",0,"Los Angeles, CA 90037","Los Angeles Memorial Coliseum","America/Los_Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles, CA",0.86898464,0,"90037",9,"Los Angeles","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",51012,TRUE,"los-angeles-memorial-coliseum-1","3911 S Figueroa St",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"76","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T13:25:00",FALSE,"San Francisco 49ers at Arizona Cardinals",4347101,"nfl",0.958,"2018-10-28T20:25:00","","2018-04-20T00:47:51","normal","2018-10-29T00:25:00",FALSE,"49ers at Cardinals","https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101",0.918,"2018-04-20T00:00:00",FALSE,NA,766,37,1069,111,139.16971,611,37,"2018-08-24T21:53:39Z",FALSE,"QRCODE",753,"Glendale, AZ 85305","State Farm Stadium","America/Phoenix","AZ","State Farm Stadium","Glendale, AZ",0.93402725,0,"85305",10,"Glendale","US","https://seatgeek.com/venues/state-farm-stadium/tickets",43,TRUE,"state-farm-stadium","1 Cardinals Drive",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"77","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-28T19:20:00",FALSE,"New Orleans Saints at Minnesota Vikings",4347136,"nfl",0.949,"2018-10-29T00:20:00","","2018-04-20T01:04:04","normal","2018-10-29T04:20:00",FALSE,"Saints at Vikings","https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136",0.911,"2018-04-20T00:00:00",FALSE,NA,500,139,748,275,333.656,2321,136,"2018-08-24T21:53:39Z",FALSE,"QRCODE",0,"Minneapolis, MN 55415","U.S. Bank Stadium","America/Chicago","MN","U.S. Bank Stadium","Minneapolis, MN",0.88524246,0,"55415",15,"Minneapolis","US","https://seatgeek.com/venues/u-s-bank-stadium/tickets",218451,TRUE,"u-s-bank-stadium","900 South 5th Street",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"78","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-10-29T20:15:00",FALSE,"New England Patriots at Buffalo Bills",4347062,"nfl",0.954,"2018-10-30T00:15:00","","2018-04-20T00:47:44","normal","2018-10-30T04:15:00",FALSE,"Patriots at Bills","https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062",0.91,"2018-04-20T00:00:00",FALSE,NA,954,95,NA,NA,308.63,123647,95,"2018-08-24T21:53:39Z",FALSE,"QRCODE",514,"Orchard Park, NY 14127","New Era Field","America/New_York","NY","New Era Field","Orchard Park, NY",0.8815085,0,"14127",7,"Orchard Park","US","https://seatgeek.com/venues/new-era-field/tickets",1135,TRUE,"new-era-field","1 Bills Drive",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"79","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-01T17:20:00",FALSE,"Oakland Raiders at San Francisco 49ers",4347131,"nfl",1.006,"2018-11-02T00:20:00","","2018-04-20T00:47:57","normal","2018-11-02T04:20:00",FALSE,"Raiders at 49ers","https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131",0.945,"2018-04-20T00:00:00",FALSE,NA,682,220,939,454,484.21555,3068,220,"2018-08-24T21:53:39Z",FALSE,"QRCODE",0,"Santa Clara, CA 95054","Levi's Stadium","America/Los_Angeles","CA","Levi's Stadium","Santa Clara, CA",0.95768774,0,"95054",13,"Santa Clara","US","https://seatgeek.com/venues/levi-s-stadium/tickets",58670,TRUE,"levi-s-stadium","4900 Marie P DeBartolo Way",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"80","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-03T14:00:00",FALSE,"South Alabama Jaguars at Arkansas State Red Wolves Football",4281935,"ncaa_football",0.512,"2018-11-03T19:00:00","","2018-02-28T15:00:09","normal","2018-11-03T23:00:00",FALSE,"South Alabama at Arkansas State","https://seatgeek.com/south-alabama-jaguars-at-arkansas-state-red-wolves-football-tickets/ncaa-football/2018-11-03-2-pm/4281935",0.573,"2018-02-28T00:00:00",FALSE,NA,123,23,53,45,45.333332,78,NA,NA,NA,NA,0,"Jonesboro, AR 72401","Centennial Bank Stadium","America/Chicago","AR","Centennial Bank Stadium","Jonesboro, AR",0.47753516,0,"72401",3,"Jonesboro","US","https://seatgeek.com/venues/centennial-bank-stadium-1/tickets",8896,TRUE,"centennial-bank-stadium-1","2180 Aggie Rd",35.8429,-90.6797,NA,NA,NA
"81","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"New York Jets at Miami Dolphins",4347083,"nfl",0.924,"2018-11-04T18:00:00","","2018-04-20T00:47:47","normal","2018-11-04T22:00:00",FALSE,"Jets at Dolphins","https://seatgeek.com/jets-at-dolphins-tickets/11-4-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347083",0.88,"2018-04-20T00:00:00",FALSE,NA,185,73,891,177,224.02702,902,62,"2018-08-24T21:53:39Z",FALSE,"QRCODE",528,"Miami Gardens, FL 33056","Hard Rock Stadium","America/New_York","FL","Hard Rock Stadium","Miami Gardens, FL",0.8378203,0,"33056",36,"Miami Gardens","US","https://seatgeek.com/venues/hard-rock-stadium/tickets",29,TRUE,"hard-rock-stadium","347 Don Shula Dr.",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"82","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"Kansas City Chiefs at Cleveland Browns",4346997,"nfl",0.894,"2018-11-04T18:00:00","","2018-04-20T00:47:31","normal","2018-11-04T22:00:00",FALSE,"Chiefs at Browns","https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997",0.864,"2018-04-20T00:00:00",FALSE,NA,981,57,NA,NA,125.19,476,57,"2018-08-24T21:53:39Z",FALSE,"QRCODE",510,"Cleveland, OH 44114","FirstEnergy Stadium","America/New_York","OH","FirstEnergy Stadium","Cleveland, OH",0.86852187,0,"44114",6,"Cleveland","US","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",1123,TRUE,"firstenergy-stadium-15","100 Alfred Lerner Way",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"83","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T12:00:00",FALSE,"Detroit Lions at Minnesota Vikings",4347140,"nfl",0.93,"2018-11-04T18:00:00","","2018-04-20T01:04:05","normal","2018-11-04T22:00:00",FALSE,"Lions at Vikings","https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140",0.892,"2018-04-20T00:00:00",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:39Z",FALSE,"QRCODE",0,"Minneapolis, MN 55415","U.S. Bank Stadium","America/Chicago","MN","U.S. Bank Stadium","Minneapolis, MN",0.88524246,0,"55415",15,"Minneapolis","US","https://seatgeek.com/venues/u-s-bank-stadium/tickets",218451,TRUE,"u-s-bank-stadium","900 South 5th Street",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"84","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"Pittsburgh Steelers at Baltimore Ravens",4347069,"nfl",0.935,"2018-11-04T18:00:00","","2018-04-20T00:47:45","normal","2018-11-04T22:00:00",FALSE,"Steelers at Ravens","https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069",0.89,"2018-04-20T00:00:00",FALSE,NA,397,120,NA,NA,291.36,11429,145,"2018-08-24T21:53:39Z",FALSE,"QRCODE",512,"Baltimore, MD 21230","M&T Bank Stadium","America/New_York","MD","M&T Bank Stadium","Baltimore, MD",0.8927189,0,"21230",7,"Baltimore","US","https://seatgeek.com/venues/m-t-bank-stadium/tickets",1121,TRUE,"m-t-bank-stadium","1101 Russell St",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"85","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"Atlanta Falcons at Washington Redskins",4346937,"nfl",0.951,"2018-11-04T18:00:00","","2018-04-20T00:47:17","normal","2018-11-04T22:00:00",FALSE,"Falcons at Redskins","https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937",0.907,"2018-04-20T00:00:00",FALSE,NA,672,79,NA,NA,171.71,451,79,"2018-08-24T21:53:39Z",FALSE,"QRCODE",511,"Landover, MD 20785","FedEx Field","America/New_York","MD","FedEx Field","Landover, MD",0.9333444,0,"20785",6,"Landover","US","https://seatgeek.com/venues/fedex-field/tickets",35,TRUE,"fedex-field","1600 Fedex Way",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"86","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"Tampa Bay Buccaneers at Carolina Panthers",4347033,"nfl",0.91,"2018-11-04T18:00:00","","2018-04-20T00:47:38","normal","2018-11-04T22:00:00",FALSE,"Buccaneers at Panthers","https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033",0.871,"2018-04-20T00:00:00",FALSE,NA,305,77,756,158,204.41312,1081,71,"2018-08-24T21:53:39Z",FALSE,"QRCODE",517,"Charlotte, NC 28202","Bank of America Stadium","America/New_York","NC","Bank of America Stadium","Charlotte, NC",0.8968222,0,"28202",8,"Charlotte","US","https://seatgeek.com/venues/bank-of-america-stadium/tickets",1122,TRUE,"bank-of-america-stadium","800 South Mint Street",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"87","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:00:00",FALSE,"Chicago Bears at Buffalo Bills",4347061,"nfl",0.948,"2018-11-04T18:00:00","","2018-04-20T00:47:43","normal","2018-11-04T22:00:00",FALSE,"Bears at Bills","https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061",0.902,"2018-04-20T00:00:00",FALSE,NA,875,54,NA,NA,128.38,601,54,"2018-08-24T21:53:39Z",FALSE,"QRCODE",514,"Orchard Park, NY 14127","New Era Field","America/New_York","NY","New Era Field","Orchard Park, NY",0.8815085,0,"14127",7,"Orchard Park","US","https://seatgeek.com/venues/new-era-field/tickets",1135,TRUE,"new-era-field","1 Bills Drive",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"88","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-11-04T13:05:00",FALSE,"Los Angeles Chargers at Seattle Seahawks",4347127,"nfl",0.946,"2018-11-04T21:05:00","","2018-04-20T00:47:56","normal","2018-11-05T01:05:00",FALSE,"Chargers at Seahawks","https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127",0.898,"2018-04-20T00:00:00",FALSE,NA,222,156,NA,NA,363.8,1015,156,"2018-08-24T21:53:39Z",FALSE,"QRCODE",819,"Seattle, WA 98134","CenturyLink Field","America/Los_Angeles","WA","CenturyLink Field","Seattle, WA",0.87232786,0,"98134",12,"Seattle","US","https://seatgeek.com/venues/centurylink-field/tickets",339,TRUE,"centurylink-field","800 Occidental Ave S",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
