"","date","timestamp","datetime_local","time_tbd","description","datetime_utc","status","title","id","is_open","url","created_at","score","date_tbd","announce_date","short_title","popularity","type","visible_until_utc","datetime_tbd","general_admission","listing_count","lowest_price_good_deals","average_price","lowest_price","visible_listing_count","median_price","highest_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","num_upcoming_events","postal_code","id_venue","display_location","country","extended_address","address","slug","url_venue","timezone","score_venue","state","name","has_upcoming_events","metro_code","city","name_v2","popularity_venue","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"211","2018-09-13","2018-09-13_08.14.02","2018-12-16T12:00:00",FALSE,"","2018-12-16T18:00:00","normal","Green Bay Packers at Chicago Bears",4347002,FALSE,"https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","2018-04-20T00:47:32",0.962,FALSE,"2018-04-20T00:00:00","Packers at Bears",0.855,"nfl","2018-12-16T22:00:00",FALSE,NA,201,153,407.75125,153,915,333,2225,"2018-08-24T21:53:42Z","QRCODE",FALSE,12,"60605",31,"Chicago, IL","US","Chicago, IL 60605","1410 S. Museum Campus Drive","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",0.940013,"IL","Soldier Field",TRUE,602,"Chicago","Soldier Field",0,41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"212","2018-09-13","2018-09-13_08.14.02","2018-12-16T13:00:00",FALSE,"","2018-12-16T18:00:00","normal","Tampa Bay Buccaneers at Baltimore Ravens",4347066,FALSE,"https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","2018-04-20T00:47:44",0.864,FALSE,"2018-04-20T00:00:00","Buccaneers at Ravens",0.776,"nfl","2018-12-16T22:00:00",FALSE,NA,637,38,133.6986,38,1223,103,609,"2018-08-24T21:53:42Z","QRCODE",FALSE,8,"21230",1121,"Baltimore, MD","US","Baltimore, MD 21230","1101 Russell St","m-t-bank-stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","America/New_York",0.8927189,"MD","M&T Bank Stadium",TRUE,512,"Baltimore","M&T Bank Stadium",0,39.2774,-76.623,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"213","2018-09-13","2018-09-13_08.14.02","2018-12-16T13:00:00",FALSE,"","2018-12-16T18:00:00","normal","Washington Redskins at Jacksonville Jaguars",4346945,FALSE,"https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945","2018-04-20T00:47:18",0.866,FALSE,"2018-04-20T00:00:00","Redskins at Jaguars",0.772,"nfl","2018-12-16T22:00:00",FALSE,NA,679,62,163.05449,62,770,126,655,"2018-08-24T21:53:42Z","QRCODE",FALSE,10,"32202",5178,"Jacksonville, FL","US","Jacksonville, FL 32202","1 Everbank Field Dr","everbank-field","https://seatgeek.com/venues/everbank-field/tickets","America/New_York",0.83759147,"FL","EverBank Field",TRUE,561,"Jacksonville","EverBank Field",0,30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"214","2018-09-13","2018-09-13_08.14.02","2018-12-16T12:00:00",FALSE,"","2018-12-16T18:00:00","normal","Miami Dolphins at Minnesota Vikings",4347144,FALSE,"https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144","2018-04-20T01:04:05",0.924,FALSE,"2018-04-20T00:00:00","Dolphins at Vikings",0.832,"nfl","2018-12-16T22:00:00",FALSE,NA,702,98,230.37749,98,1042,194,1627,"2018-08-24T21:53:42Z","QRCODE",FALSE,13,"55415",218451,"Minneapolis, MN","US","Minneapolis, MN 55415","401 Chicago Avenue","u-s-bank-stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago",0.88524246,"MN","U.S. Bank Stadium",TRUE,0,"Minneapolis","U.S. Bank Stadium",0,44.97,-93.26,"2018-08-22T15:34:15Z","NONE",FALSE
"215","2018-09-13","2018-09-13_08.14.02","2018-12-16T13:00:00",FALSE,"","2018-12-16T18:00:00","normal","Oakland Raiders at Cincinnati Bengals",4347037,FALSE,"https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037","2018-04-20T00:47:39",0.911,FALSE,"2018-04-20T00:00:00","Raiders at Bengals",0.811,"nfl","2018-12-16T22:00:00",FALSE,NA,626,53,140.8706,53,656,106,11956,"2018-08-24T21:53:42Z","QRCODE",FALSE,8,"45202",1124,"Cincinnati, OH","US","Cincinnati, OH 45202","1 Paul Brown Stadium","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",0.86166537,"OH","Paul Brown Stadium",TRUE,515,"Cincinnati","Paul Brown Stadium",0,39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"216","2018-09-13","2018-09-13_08.14.02","2018-12-16T13:00:00",FALSE,"","2018-12-16T18:00:00","normal","Tennessee Titans at New York Giants",4346988,FALSE,"https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988","2018-04-20T00:47:29",0.915,FALSE,"2018-04-20T00:00:00","Titans at Giants",0.808,"nfl","2018-12-16T22:00:00",FALSE,NA,840,77,220.58452,77,1242,174,1488,"2018-08-24T21:53:42Z","QRCODE",FALSE,18,"07073",1587,"East Rutherford, NJ","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",0.94873494,"NJ","MetLife Stadium",TRUE,501,"East Rutherford","MetLife Stadium",0,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"217","2018-09-13","2018-09-13_08.14.02","2018-12-16T13:05:00",FALSE,"","2018-12-16T21:05:00","normal","Seattle Seahawks at San Francisco 49ers",4347122,FALSE,"https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122","2018-04-20T00:47:55",0.97,FALSE,"2018-04-20T00:00:00","Seahawks at 49ers",0.861,"nfl","2018-12-17T01:05:00",FALSE,NA,1129,95,228.94508,95,823,195,2990,"2018-08-24T21:53:42Z","QRCODE",FALSE,13,"95054",58670,"Santa Clara, CA","US","Santa Clara, CA 95054","4900 Marie P DeBartolo Way","levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","America/Los_Angeles",0.95768774,"CA","Levi's Stadium",TRUE,0,"Santa Clara","Levi's Stadium",0,37.4023,-121.969,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"218","2018-09-13","2018-09-13_08.14.02","2018-12-16T16:25:00",FALSE,"","2018-12-16T21:25:00","normal","New England Patriots at Pittsburgh Steelers",4347077,FALSE,"https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077","2018-04-20T00:47:46",0.967,FALSE,"2018-04-20T00:00:00","Patriots at Steelers",0.852,"nfl","2018-12-17T01:25:00",FALSE,NA,681,209,437.81058,209,932,363,1512,"2018-08-24T21:53:42Z","QRCODE",FALSE,12,"15212",1119,"Pittsburgh, PA","US","Pittsburgh, PA 15212","100 Art Rooney Avenue","heinz-field","https://seatgeek.com/venues/heinz-field/tickets","America/New_York",0.9033526,"PA","Heinz Field",TRUE,508,"Pittsburgh","Heinz Field",0,40.4468,-80.0158,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"219","2018-09-13","2018-09-13_08.14.02","2018-12-16T17:20:00",FALSE,"","2018-12-17T01:20:00","normal","Philadelphia Eagles at Los Angeles Rams",4346919,FALSE,"https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919","2018-04-20T00:47:14",0.941,FALSE,"2018-04-20T00:00:00","Eagles at Rams",0.835,"nfl","2018-12-17T05:20:00",FALSE,NA,871,119,322.8921,118,1401,257,1939,"2018-08-24T21:53:42Z","QRCODE",FALSE,12,"90037",51012,"Los Angeles, CA","US","Los Angeles, CA 90037","3911 S Figueroa St","los-angeles-memorial-coliseum-1","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",0.86898464,"CA","Los Angeles Memorial Coliseum",TRUE,0,"Los Angeles","Los Angeles Memorial Coliseum",0,34.0138,-118.288,"2018-08-23T17:59:28Z","QRCODE",FALSE
"220","2018-09-13","2018-09-13_08.14.02","2018-12-17T20:15:00",FALSE,"","2018-12-18T01:15:00","normal","New Orleans Saints at Carolina Panthers",4347035,FALSE,"https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035","2018-04-20T00:47:38",0.931,FALSE,"2018-04-20T00:00:00","Saints at Panthers",0.82,"nfl","2018-12-18T05:15:00",FALSE,NA,543,77,221.1952,77,575,159,1423,"2018-08-24T21:53:42Z","QRCODE",FALSE,9,"28202",1122,"Charlotte, NC","US","Charlotte, NC 28202","800 South Mint Street","bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",0.8968222,"NC","Bank of America Stadium",TRUE,517,"Charlotte","Bank of America Stadium",0,35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"221","2018-09-13","2018-09-13_08.14.02","2018-12-23T12:00:00",FALSE,"","2018-12-23T17:00:00","normal","Washington Redskins at Tennessee Titans",4346986,FALSE,"https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-04-20T00:47:29",0.863,FALSE,"2018-04-20T00:00:00","Redskins at Titans",0.768,"nfl","2018-12-23T21:00:00",FALSE,NA,644,48,155.60094,46,582,141,788,"2018-08-24T21:53:43Z","QRCODE",FALSE,15,"37213",1126,"Nashville, TN","US","Nashville, TN 37213","1 Titans Way","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",0.8546275,"TN","Nissan Stadium",TRUE,659,"Nashville","Nissan Stadium",0,36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"222","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Cincinnati Bengals at Cleveland Browns",4346994,FALSE,"https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-04-20T00:47:31",0.885,FALSE,"2018-04-20T00:00:00","Bengals at Browns",0.789,"nfl","2018-12-23T22:00:00",FALSE,NA,1349,32,93.50704,32,1117,74,757,"2018-08-24T21:53:43Z","QRCODE",FALSE,7,"44114",1123,"Cleveland, OH","US","Cleveland, OH 44114","100 Alfred Lerner Way","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York",0.86852187,"OH","FirstEnergy Stadium",TRUE,510,"Cleveland","FirstEnergy Stadium",0,41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"223","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Houston Texans at Philadelphia Eagles",4347013,FALSE,"https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-04-20T00:47:35",0.915,FALSE,"2018-04-20T00:00:00","Texans at Eagles",0.801,"nfl","2018-12-23T22:00:00",FALSE,NA,597,106,343.92798,144,1082,288,1356,"2018-08-24T21:53:43Z","QRCODE",FALSE,16,"19148",330,"Philadelphia, PA","US","Philadelphia, PA 19148","1020 Pattison Ave","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",0.90542686,"PA","Lincoln Financial Field",TRUE,504,"Philadelphia","Lincoln Financial Field",0,39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"224","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Green Bay Packers at New York Jets",4346959,FALSE,"https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959","2018-04-20T00:47:22",0.989,FALSE,"2018-04-20T00:00:00","Packers at Jets",0.864,"nfl","2018-12-23T22:00:00",FALSE,NA,869,92,305.50287,92,907,225,6046,"2018-08-24T21:53:43Z","QRCODE",FALSE,18,"07073",1587,"East Rutherford, NJ","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",0.94873494,"NJ","MetLife Stadium",TRUE,501,"East Rutherford","MetLife Stadium",0,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"225","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Jacksonville Jaguars at Miami Dolphins",4347085,FALSE,"https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085","2018-04-20T00:47:48",0.887,FALSE,"2018-04-20T00:00:00","Jaguars at Dolphins",0.769,"nfl","2018-12-23T22:00:00",FALSE,NA,268,53,183.27985,53,627,137,899,"2018-08-24T21:53:43Z","QRCODE",FALSE,38,"33056",29,"Miami Gardens, FL","US","Miami Gardens, FL 33056","347 Don Shula Dr.","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York",0.8378203,"FL","Hard Rock Stadium",TRUE,528,"Miami Gardens","Hard Rock Stadium",0,25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"226","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Atlanta Falcons at Carolina Panthers",4347046,FALSE,"https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046","2018-04-20T00:47:41",0.915,FALSE,"2018-04-20T00:00:00","Falcons at Panthers",0.805,"nfl","2018-12-23T22:00:00",FALSE,NA,612,83,232.3464,83,619,171,1132,"2018-08-24T21:53:43Z","QRCODE",FALSE,9,"28202",1122,"Charlotte, NC","US","Charlotte, NC 28202","800 South Mint Street","bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",0.8968222,"NC","Bank of America Stadium",TRUE,517,"Charlotte","Bank of America Stadium",0,35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"227","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Minnesota Vikings at Detroit Lions",4347022,FALSE,"https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022","2018-04-20T00:47:36",0.955,FALSE,"2018-04-20T00:00:00","Vikings at Lions",0.851,"nfl","2018-12-23T22:00:00",FALSE,NA,662,74,199.96526,80,878,174,1023,"2018-08-24T21:53:43Z","QRCODE",FALSE,9,"48226",346,"Detroit, MI","US","Detroit, MI 48226","2000 Brush St.","ford-field","https://seatgeek.com/venues/ford-field/tickets","America/Detroit",0.9029952,"MI","Ford Field",TRUE,505,"Detroit","Ford Field",0,42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"228","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","New York Giants at Indianapolis Colts",4346954,FALSE,"https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954","2018-04-20T00:47:20",0.91,FALSE,"2018-04-20T00:00:00","Giants at Colts",0.812,"nfl","2018-12-23T22:00:00",FALSE,NA,795,46,122.55849,37,905,100,1201,"2018-08-24T21:53:42Z","QRCODE",FALSE,13,"46225",1130,"Indianapolis, IN","US","Indianapolis, IN 46225","500 South Capitol Avenue","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",0.9071682,"IN","Lucas Oil Stadium",TRUE,527,"Indianapolis","Lucas Oil Stadium",0,39.7601,-86.1639,"2015-08-22T16:51:43Z","QRCODE_TM",FALSE
"229","2018-09-13","2018-09-13_08.14.02","2018-12-23T13:00:00",FALSE,"","2018-12-23T18:00:00","normal","Buffalo Bills at New England Patriots",4347093,FALSE,"https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093","2018-04-20T00:47:50",0.944,FALSE,"2018-04-20T00:00:00","Bills at Patriots",0.846,"nfl","2018-12-23T22:00:00",FALSE,NA,352,168,352.28125,168,715,281,1117,"2018-08-24T21:53:43Z","QRCODE",FALSE,17,"02035",33,"Foxborough, MA","US","Foxborough, MA 02035","1 Patriot Place","gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","America/New_York",0.8983344,"MA","Gillette Stadium",TRUE,506,"Foxborough","Gillette Stadium",0,42.0906,-71.2674,"2018-08-22T15:36:58Z","NONE",FALSE
