"","date","timestamp","announce_date","created_at","score","date_tbd","url","id","visible_until_utc","datetime_tbd","type","short_title","description","datetime_local","time_tbd","popularity","title","status","datetime_utc","is_open","general_admission","highest_price","visible_listing_count","lowest_price","median_price","average_price","listing_count","lowest_price_good_deals","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","state","score_venue","name","url_venue","timezone","slug","display_location","id_venue","popularity_venue","metro_code","name_v2","has_upcoming_events","city","country","num_upcoming_events","postal_code","address","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"142","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:31",0.897,FALSE,"https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995",4346995,"2018-12-09T22:00:00",FALSE,"nfl","Panthers at Browns","","2018-12-09T13:00:00",FALSE,0.791,"Carolina Panthers at Cleveland Browns","normal","2018-12-09T18:00:00",FALSE,NA,1172,1296,41,92,109.09658,1170,34,"2018-08-24T21:53:42Z","QRCODE",FALSE,"OH",0.86852187,"FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York","firstenergy-stadium-15","Cleveland, OH",1123,0,510,"FirstEnergy Stadium",TRUE,"Cleveland","US",6,"44114","100 Alfred Lerner Way","Cleveland, OH 44114",41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"143","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:32",0.918,FALSE,"https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003",4347003,"2018-12-09T22:00:00",FALSE,"nfl","Rams at Bears","","2018-12-09T12:00:00",FALSE,0.801,"Los Angeles Rams at Chicago Bears","normal","2018-12-09T18:00:00",FALSE,NA,2225,833,124,268,348.18182,143,124,"2018-08-24T21:53:42Z","QRCODE",FALSE,"IL",0.940013,"Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago","soldier-field","Chicago, IL",31,0,602,"Soldier Field",TRUE,"Chicago","US",8,"60605","1410 S. Museum Campus Drive","Chicago, IL 60605",41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"144","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:48",0.97,FALSE,"https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086",4347086,"2018-12-09T22:00:00",FALSE,"nfl","Patriots at Dolphins","","2018-12-09T13:00:00",FALSE,0.837,"New England Patriots at Miami Dolphins","normal","2018-12-09T18:00:00",FALSE,NA,1676,809,192,362,407.87677,211,162,"2018-08-24T21:53:42Z","QRCODE",FALSE,"FL",0.8378203,"Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York","hard-rock-stadium","Miami Gardens, FL",29,0,528,"Hard Rock Stadium",TRUE,"Miami Gardens","US",35,"33056","347 Don Shula Dr.","Miami Gardens, FL 33056",25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"145","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:43",0.884,FALSE,"https://seatgeek.com/jets-at-bills-tickets/12-9-2018-orchard-park-new-york-new-era-field/nfl/4347059",4347059,"2018-12-09T22:00:00",FALSE,"nfl","Jets at Bills","","2018-12-09T13:00:00",FALSE,0.777,"New York Jets at Buffalo Bills","normal","2018-12-09T18:00:00",FALSE,NA,636,1451,23,59,82.27688,1358,23,"2018-08-24T21:53:42Z","QRCODE",FALSE,"NY",0.8815085,"New Era Field","https://seatgeek.com/venues/new-era-field/tickets","America/New_York","new-era-field","Orchard Park, NY",1135,0,514,"New Era Field",TRUE,"Orchard Park","US",7,"14127","1 Bills Drive","Orchard Park, NY 14127",42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"146","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:17",0.98,FALSE,"https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935",4346935,"2018-12-09T22:00:00",FALSE,"nfl","Giants at Redskins","","2018-12-09T13:00:00",FALSE,0.851,"New York Giants at Washington Redskins","normal","2018-12-09T18:00:00",FALSE,NA,1039,1042,101,170,202.22342,743,93,"2018-08-24T21:53:42Z","QRCODE",FALSE,"MD",0.9333444,"FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","America/New_York","fedex-field","Landover, MD",35,0,511,"FedEx Field",TRUE,"Landover","US",6,"20785","1600 Fedex Way","Landover, MD 20785",38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"147","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:13",0.933,FALSE,"https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910",4346910,"2018-12-09T22:00:00",FALSE,"nfl","Falcons at Packers","","2018-12-09T12:00:00",FALSE,0.818,"Atlanta Falcons at Green Bay Packers","normal","2018-12-09T18:00:00",FALSE,NA,689,963,143,240,263.61124,445,140,"2018-08-24T21:53:42Z","QRCODE",FALSE,"WI",0.92909414,"Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago","lambeau-field","Green Bay, WI",1125,0,658,"Lambeau Field",TRUE,"Green Bay","US",5,"54304","1265 Lombardi Avenue","Green Bay, WI 54304",44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"148","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:27",0.936,FALSE,"https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979",4346979,"2018-12-09T22:00:00",FALSE,"nfl","Ravens at Chiefs","","2018-12-09T12:00:00",FALSE,0.815,"Baltimore Ravens at Kansas City Chiefs","normal","2018-12-09T18:00:00",FALSE,NA,807,1174,36,118,133.35847,1021,36,"2018-08-24T21:53:42Z","QRCODE",FALSE,"MO",0.8827867,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago","arrowhead-stadium","Kansas City, MO",1128,0,616,"Arrowhead Stadium",TRUE,"Kansas City","US",8,"64129","1 Arrowhead Drive","Kansas City, MO 64129",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"149","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:35",0.931,FALSE,"https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014",4347014,"2018-12-09T22:00:00",FALSE,"nfl","Colts at Texans","","2018-12-09T12:00:00",FALSE,0.808,"Indianapolis Colts at Houston Texans","normal","2018-12-09T18:00:00",FALSE,NA,2225,1136,30,142,180.10309,776,30,"2018-08-24T21:53:42Z","QRCODE",FALSE,"TX",0.8624192,"NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","America/Chicago","nrg-stadium","Houston, TX",41,0,618,"NRG Stadium",TRUE,"Houston","US",44,"77054","1 Reliant Park","Houston, TX 77054",29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"150","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:52",0.927,FALSE,"https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107",4347107,"2018-12-10T01:05:00",FALSE,"nfl","Bengals at Chargers","","2018-12-09T13:05:00",FALSE,0.799,"Cincinnati Bengals at Los Angeles Chargers","normal","2018-12-09T21:05:00",FALSE,NA,1198,520,118,195,230.9537,432,117,"2018-08-24T21:53:42Z","QRCODE",FALSE,"CA",0.7228164,"StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets","America/Los_Angeles","stubhub-center","Carson, CA",52,0,803,"StubHub Center",TRUE,"Carson","US",12,"90746","18400 Avalon Blvd","Carson, CA 90746",33.8643,-118.261,NA,NA,NA
"151","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:53",0.97,FALSE,"https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114",4347114,"2018-12-10T01:05:00",FALSE,"nfl","Broncos at 49ers","","2018-12-09T13:05:00",FALSE,0.84,"Denver Broncos at San Francisco 49ers","normal","2018-12-09T21:05:00",FALSE,NA,2989,1224,69,174,202.0836,921,64,"2018-08-24T21:53:42Z","QRCODE",FALSE,"CA",0.95768774,"Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","America/Los_Angeles","levi-s-stadium","Santa Clara, CA",58670,0,0,"Levi's Stadium",TRUE,"Santa Clara","US",12,"95054","4900 Marie P DeBartolo Way","Santa Clara, CA 95054",37.4023,-121.969,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
