"","date","timestamp","created_at","url","visible_until_utc","id","date_tbd","short_title","announce_date","datetime_local","datetime_tbd","is_open","description","time_tbd","type","title","status","score","datetime_utc","popularity","general_admission","average_price","listing_count","highest_price","lowest_price","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","url_venue","id_venue","name_v2","postal_code","metro_code","state","address","num_upcoming_events","slug","extended_address","country","has_upcoming_events","score_venue","popularity_venue","timezone","display_location","city","name","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"134","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:16","https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930","2018-11-11T22:00:00",4346930,FALSE,"Redskins at Buccaneers","2018-04-20T00:00:00","2018-11-11T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Washington Redskins at Tampa Bay Buccaneers","normal",0.893,"2018-11-11T18:00:00",0.824,NA,223.33333,27,528,79,71,180,556,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/raymond-james-stadium/tickets",39,"Raymond James Stadium","33607",539,"FL","4201 North Dale Mabry Highway",15,"raymond-james-stadium","Tampa, FL 33607","US",TRUE,0.86513025,0,"America/New_York","Tampa, FL","Tampa","Raymond James Stadium",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"135","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:31","https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996","2018-11-11T22:00:00",4346996,FALSE,"Falcons at Browns","2018-04-20T00:00:00","2018-11-11T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Atlanta Falcons at Cleveland Browns","normal",0.886,"2018-11-11T18:00:00",0.825,NA,96.32775,1135,1172,31,30,77,1368,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",1123,"FirstEnergy Stadium","44114",510,"OH","100 Alfred Lerner Way",7,"firstenergy-stadium-15","Cleveland, OH 44114","US",TRUE,0.86852187,0,"America/New_York","Cleveland, OH","Cleveland","FirstEnergy Stadium",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"136","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:43","https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060","2018-11-11T22:00:00",4347060,FALSE,"Bills at Jets","2018-04-20T00:00:00","2018-11-11T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Buffalo Bills at New York Jets","normal",0.934,"2018-11-11T18:00:00",0.855,NA,149.89691,970,871,46,46,125,1353,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/metlife-stadium/tickets",1587,"MetLife Stadium","07073",501,"NJ","1 MetLife Stadium Drive",18,"metlife-stadium","East Rutherford, NJ 07073","US",TRUE,0.94873494,0,"America/New_York","East Rutherford, NJ","East Rutherford","MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"137","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:13","https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912","2018-11-11T22:00:00",4346912,FALSE,"Dolphins at Packers","2018-04-20T00:00:00","2018-11-11T12:00:00",FALSE,FALSE,"",FALSE,"nfl","Miami Dolphins at Green Bay Packers","normal",0.935,"2018-11-11T18:00:00",0.865,NA,411.82758,174,1197,195,192,396,533,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/lambeau-field/tickets",1125,"Lambeau Field","54304",658,"WI","1265 Lombardi Avenue",7,"lambeau-field","Green Bay, WI 54304","US",TRUE,0.92909414,0,"America/Chicago","Green Bay, WI","Green Bay","Lambeau Field",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"138","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:56","https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130","2018-11-12T01:05:00",4347130,FALSE,"Chargers at Raiders","2018-04-20T00:00:00","2018-11-11T13:05:00",FALSE,FALSE,"",FALSE,"nfl","Los Angeles Chargers at Oakland Raiders","normal",0.901,"2018-11-11T21:05:00",0.83,NA,201.76056,497,628,79,75,188,738,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",14,"Oakland-Alameda County Coliseum","94621",807,"CA","7000 Coliseum Way",26,"oakland-alameda-county-coliseum","Oakland, CA 94621","US",TRUE,0.7817843,0,"America/Los_Angeles","Oakland, CA","Oakland","Oakland-Alameda County Coliseum",37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"139","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:14","https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","2018-11-12T01:25:00",4346920,FALSE,"Seahawks at Rams","2018-04-20T00:00:00","2018-11-11T13:25:00",FALSE,FALSE,"",FALSE,"nfl","Seattle Seahawks at Los Angeles Rams","normal",0.92,"2018-11-11T21:25:00",0.845,NA,184.77086,851,922,52,51,138,1524,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",51012,"Los Angeles Memorial Coliseum","90037",0,"CA","3911 S Figueroa St",12,"los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","US",TRUE,0.86898464,0,"America/Los_Angeles","Los Angeles, CA","Los Angeles","Los Angeles Memorial Coliseum",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"140","2018-09-13","2018-09-13_16.00.42","2018-08-23T20:13:51","https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","2018-11-12T04:00:00",4500554,FALSE,"Alex G with Half Waif","2018-08-23T00:00:00","2018-11-11T19:00:00",FALSE,FALSE,"",FALSE,"concert","Alex G with Half Waif","normal",0.468,"2018-11-12T00:00:00",0.513,TRUE,207.52942,17,569,45,NA,113,1,NA,NA,NA,"https://seatgeek.com/venues/crowbar-2/tickets",3160,"Crowbar","33605",539,"FL","1812 North 17th Street",32,"crowbar-2","Tampa, FL 33605","US",TRUE,0.42424366,0,"America/New_York","Tampa, FL","Tampa","Crowbar",27.9608,-82.4406,NA,NA,NA
"141","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:38","https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","2018-11-12T05:20:00",4347031,FALSE,"Cowboys at Eagles","2018-04-20T00:00:00","2018-11-11T20:20:00",FALSE,FALSE,"",FALSE,"nfl","Dallas Cowboys at Philadelphia Eagles","normal",0.977,"2018-11-12T01:20:00",0.887,NA,480.5261,479,1535,204,144,415,999,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/lincoln-financial-field/tickets",330,"Lincoln Financial Field","19148",504,"PA","1020 Pattison Ave",16,"lincoln-financial-field","Philadelphia, PA 19148","US",TRUE,0.90542686,0,"America/New_York","Philadelphia, PA","Philadelphia","Lincoln Financial Field",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"142","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:54","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","2018-11-13T05:15:00",4347117,FALSE,"Giants at 49ers","2018-04-20T00:00:00","2018-11-12T17:15:00",FALSE,FALSE,"",FALSE,"nfl","New York Giants at San Francisco 49ers","normal",0.94,"2018-11-13T01:15:00",0.857,NA,236.48442,1059,3699,87,86,212,1208,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/levi-s-stadium/tickets",58670,"Levi's Stadium","95054",0,"CA","4900 Marie P DeBartolo Way",13,"levi-s-stadium","Santa Clara, CA 95054","US",TRUE,0.95768774,0,"America/Los_Angeles","Santa Clara, CA","Santa Clara","Levi's Stadium",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"143","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:56","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126","2018-11-16T05:20:00",4347126,FALSE,"Packers at Seahawks","2018-04-20T00:00:00","2018-11-15T17:20:00",FALSE,FALSE,"",FALSE,"nfl","Green Bay Packers at Seattle Seahawks","normal",0.975,"2018-11-16T01:20:00",0.884,NA,515.06366,220,1809,266,265,416,546,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/centurylink-field/tickets",339,"CenturyLink Field","98134",819,"WA","800 Occidental Ave S",18,"centurylink-field","Seattle, WA 98134","US",TRUE,0.87232786,0,"America/Los_Angeles","Seattle, WA","Seattle","CenturyLink Field",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"144","2018-09-13","2018-09-13_16.00.42","2018-02-28T15:00:12","https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-4-pm/4281956","2018-11-18T02:00:00",4281956,FALSE,"South Alabama at Louisiana","2018-02-28T00:00:00","2018-11-17T16:00:00",FALSE,FALSE,"",FALSE,"ncaa_football","South Alabama Jaguars at Louisiana Ragin Cajuns Football","normal",0.498,"2018-11-17T22:00:00",0.508,NA,64.67052,173,99,54,53,68,75,NA,NA,NA,"https://seatgeek.com/venues/cajun-field/tickets",2796,"Cajun Field","70506",642,"LA","201 Reinhardt Dr",5,"cajun-field","Lafayette, LA 70506","US",TRUE,0.43303972,0,"America/Chicago","Lafayette, LA","Lafayette","Cajun Field",30.22,-92.04,NA,NA,NA
"145","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:45","https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068","2018-11-18T22:00:00",4347068,FALSE,"Bengals at Ravens","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Cincinnati Bengals at Baltimore Ravens","normal",0.868,"2018-11-18T18:00:00",0.801,NA,128.92947,709,550,39,39,103,1246,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/m-t-bank-stadium/tickets",1121,"M&T Bank Stadium","21230",512,"MD","1101 Russell St",8,"m-t-bank-stadium","Baltimore, MD 21230","US",TRUE,0.8927189,0,"America/New_York","Baltimore, MD","Baltimore","M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"146","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:25","https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969","2018-11-18T22:00:00",4346969,FALSE,"Eagles at Saints","2018-04-20T00:00:00","2018-11-18T12:00:00",FALSE,TRUE,"",FALSE,"nfl","Philadelphia Eagles at New Orleans Saints","normal",0.928,"2018-11-18T18:00:00",0.852,NA,479.60764,1361,123594,167,167,360,1266,"2018-05-29T20:39:16Z",FALSE,"QRCODE","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",128,"Mercedes-Benz Superdome","70112",622,"LA","1500 Sugar Bowl Drive",19,"mercedes-benz-superdome","New Orleans, LA 70112","US",TRUE,0.8966978,0,"America/Chicago","New Orleans, LA","New Orleans","Mercedes-Benz Superdome",29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"147","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:37","https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025","2018-11-18T22:00:00",4347025,FALSE,"Panthers at Lions","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Carolina Panthers at Detroit Lions","normal",0.951,"2018-11-18T18:00:00",0.874,NA,153.11646,687,899,67,64,132,951,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/ford-field/tickets",346,"Ford Field","48226",505,"MI","2000 Brush St.",9,"ford-field","Detroit, MI 48226","US",TRUE,0.9029952,0,"America/Detroit","Detroit, MI","Detroit","Ford Field",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"148","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:32","https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005","2018-11-18T22:00:00",4347005,FALSE,"Vikings at Bears","2018-04-20T00:00:00","2018-11-18T12:00:00",FALSE,FALSE,"",FALSE,"nfl","Minnesota Vikings at Chicago Bears","normal",0.939,"2018-11-18T18:00:00",0.856,NA,320.46667,195,1197,119,119,278,882,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/soldier-field/tickets",31,"Soldier Field","60605",602,"IL","1410 S. Museum Campus Drive",12,"soldier-field","Chicago, IL 60605","US",TRUE,0.940013,0,"America/Chicago","Chicago, IL","Chicago","Soldier Field",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"149","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:41","https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049","2018-11-18T22:00:00",4347049,FALSE,"Cowboys at Falcons","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Dallas Cowboys at Atlanta Falcons","normal",0.974,"2018-11-18T18:00:00",0.889,NA,458.18097,652,2149,218,215,388,1041,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",419590,"Mercedes-Benz Stadium","30313",0,"GA","441 M.L.K. Jr Dr NW",20,"mercedes-benz-stadium","Atlanta, GA 30313","US",TRUE,0.76958936,0,"America/New_York","Atlanta, GA","Atlanta","Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"150","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:16","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929","2018-11-18T22:00:00",4346929,FALSE,"Buccaneers at Giants","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Tampa Bay Buccaneers at New York Giants","normal",0.943,"2018-11-18T18:00:00",0.858,NA,253.96753,616,1488,97,97,200,1158,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/metlife-stadium/tickets",1587,"MetLife Stadium","07073",501,"NJ","1 MetLife Stadium Drive",18,"metlife-stadium","East Rutherford, NJ 07073","US",TRUE,0.94873494,0,"America/New_York","East Rutherford, NJ","East Rutherford","MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"151","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:22","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957","2018-11-18T22:00:00",4346957,FALSE,"Titans at Colts","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Tennessee Titans at Indianapolis Colts","normal",0.887,"2018-11-18T18:00:00",0.822,NA,102.882904,743,440,28,28,83,1075,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/lucas-oil-stadium/tickets",1130,"Lucas Oil Stadium","46225",527,"IN","500 South Capitol Avenue",13,"lucas-oil-stadium","Indianapolis, IN 46225","US",TRUE,0.9071682,0,"America/Indiana/Indianapolis","Indianapolis, IN","Indianapolis","Lucas Oil Stadium",39.7601,-86.1639,"2015-08-22T16:51:43Z",FALSE,"QRCODE_TM"
"152","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:17","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939","2018-11-18T22:00:00",4346939,FALSE,"Texans at Redskins","2018-04-20T00:00:00","2018-11-18T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Houston Texans at Washington Redskins","normal",0.943,"2018-11-18T18:00:00",0.863,NA,176.62169,830,1011,81,80,160,1129,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/fedex-field/tickets",35,"FedEx Field","20785",511,"MD","1600 Fedex Way",8,"fedex-field","Landover, MD 20785","US",TRUE,0.9333444,0,"America/New_York","Landover, MD","Landover","FedEx Field",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"153","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:52","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110","2018-11-19T01:05:00",4347110,FALSE,"Broncos at Chargers","2018-04-20T00:00:00","2018-11-18T13:05:00",FALSE,FALSE,"",FALSE,"nfl","Denver Broncos at Los Angeles Chargers","normal",0.967,"2018-11-18T21:05:00",0.872,NA,297.39404,335,765,186,163,254,456,"2018-08-24T21:53:40Z",FALSE,"QRCODE","https://seatgeek.com/venues/stubhub-center/tickets",52,"StubHub Center","90746",803,"CA","18400 Avalon Blvd",12,"stubhub-center","Carson, CA 90746","US",TRUE,0.7228164,0,"America/Los_Angeles","Carson, CA","Carson","StubHub Center",33.8643,-118.261,NA,NA,NA
