"","date","timestamp","visible_until_utc","id","time_tbd","description","status","short_title","datetime_utc","announce_date","created_at","date_tbd","type","popularity","datetime_local","score","title","datetime_tbd","is_open","url","general_admission","lowest_price","median_price","listing_count","visible_listing_count","lowest_price_good_deals","average_price","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","state","country","has_upcoming_events","id_venue","slug","metro_code","display_location","popularity_venue","extended_address","score_venue","timezone","city","postal_code","address","url_venue","name","name_v2","num_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"104","2018-10-03","2018-10-03_11.19.58","2018-11-19T05:20:00",4346947,FALSE,"","normal","Steelers at Jaguars","2018-11-19T01:20:00","2018-04-20T00:00:00","2018-04-20T00:47:19",FALSE,"nfl",0.808,"2018-11-18T20:20:00",0.889,"Pittsburgh Steelers at Jacksonville Jaguars",FALSE,FALSE,"https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947",NA,140,314,443,762,150,353.44922,808,"QRCODE",FALSE,"2018-08-24T21:53:40Z","FL","US",TRUE,5178,"everbank-field",561,"Jacksonville, FL",0,"Jacksonville, FL 32202",0.83759147,"America/New_York","Jacksonville","32202","1 Everbank Field Dr","https://seatgeek.com/venues/everbank-field/tickets","EverBank Field","EverBank Field",7,-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"105","2018-10-03","2018-10-03_11.19.58","2018-11-20T05:15:00",4347137,FALSE,"","normal","Chiefs at Rams","2018-11-20T01:15:00","2018-04-20T00:00:00","2018-04-20T01:04:04",FALSE,"nfl",0.817,"2018-11-19T19:15:00",0.894,"Kansas City Chiefs at Los Angeles Rams",FALSE,FALSE,"https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:40Z",NA,"Mexico",TRUE,41952,"estadio-azteca-2",0,"Mexico City, Mexico",0,"Mexico City, Mexico",0,"America/Mexico_City","Mexico City","14370","Calzada de Tlalpan 3665","https://seatgeek.com/venues/estadio-azteca-2/tickets","Estadio Azteca","Estadio Azteca",1,-99.15,19.3,NA,NA,NA
"106","2018-10-03","2018-10-03_11.19.58","2018-11-22T21:30:00",4347024,FALSE,"","normal","Bears at Lions","2018-11-22T17:30:00","2018-04-20T00:00:00","2018-04-20T00:47:36",FALSE,"nfl",0.85,"2018-11-22T12:30:00",0.928,"Chicago Bears at Detroit Lions",FALSE,FALSE,"https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024",NA,110,184,540,798,99,243.12407,2392,"QRCODE",FALSE,"2018-08-24T21:53:40Z","MI","US",TRUE,346,"ford-field",505,"Detroit, MI",0,"Detroit, MI 48226",0.9029952,"America/Detroit","Detroit","48226","2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets","Ford Field","Ford Field",11,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"107","2018-10-03","2018-10-03_11.19.58","2018-11-23T01:30:00",4327921,FALSE,"","normal","Redskins at Cowboys","2018-11-22T21:30:00","2018-04-05T00:00:00","2018-04-05T23:08:47",FALSE,"nfl",0.874,"2018-11-22T15:30:00",0.969,"Washington Redskins at Dallas Cowboys",FALSE,TRUE,"https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921",NA,28,296,2935,2263,28,368.0862,2980,"QRCODE",FALSE,"2018-04-17T22:02:33Z","TX","US",TRUE,4965,"at-t-stadium",623,"Arlington, TX",0,"Arlington, TX 76011",0.9751414,"America/Chicago","Arlington","76011","1 AT&T Way","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","AT&T Stadium",24,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"108","2018-10-03","2018-10-03_11.19.58","2018-11-23T05:20:00",4346968,FALSE,"","normal","Falcons at Saints","2018-11-23T01:20:00","2018-04-20T00:00:00","2018-04-20T00:47:24",FALSE,"nfl",0.81,"2018-11-22T19:20:00",0.888,"Atlanta Falcons at New Orleans Saints",FALSE,TRUE,"https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968",NA,131,314,1266,1128,131,330.27094,4200,"QRCODE",FALSE,"2018-05-29T20:39:22Z","LA","US",TRUE,128,"mercedes-benz-superdome",622,"New Orleans, LA",0,"New Orleans, LA 70112",0.8966978,"America/Chicago","New Orleans","70112","1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","Mercedes-Benz Superdome",16,-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"109","2018-10-03","2018-10-03_11.19.58","2018-11-23T23:00:00",4455655,FALSE,"","normal","Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball","2018-11-23T19:00:00","2018-07-18T00:00:00","2018-07-18T16:01:12",FALSE,"sports",0.507,"2018-11-23T13:00:00",0.486,"Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball",FALSE,FALSE,"https://seatgeek.com/texas-tech-red-raiders-at-iowa-state-cyclones-womens-volleyball-tickets/sport/2018-11-23-1-pm/4455655",NA,29,29,13,13,NA,29.76923,31,NA,NA,NA,"IA","US",TRUE,3458,"hilton-coliseum",679,"Ames, IA",0,"Ames, IA 50011",0.6426054,"America/Chicago","Ames","50011","1700 Lincoln Way","https://seatgeek.com/venues/hilton-coliseum/tickets","Hilton Coliseum","Hilton Coliseum",47,-93.63,42.02,NA,NA,NA
"110","2018-10-03","2018-10-03_11.19.58","2018-11-24T00:00:00",4281983,FALSE,"","normal","Coastal Carolina at South Alabama","2018-11-23T20:00:00","2018-02-28T00:00:00","2018-02-28T15:00:16",FALSE,"ncaa_football",0.357,"2018-11-23T14:00:00",0.327,"Coastal Carolina Chanticleers at South Alabama Jaguars Football",FALSE,FALSE,"https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL","US",TRUE,3716,"ladd-peebles-stadium",686,"Mobile, AL",0,"Mobile, AL 36604",0.50177634,"America/Chicago","Mobile","36604","1621 Virginia St.","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Ladd Peebles Stadium","Ladd Peebles Stadium",5,-88.0761,30.6748,NA,NA,NA
"111","2018-10-03","2018-10-03_11.19.58","2018-11-25T06:00:00",4241803,TRUE,"*Child Policy:: Children age 2 years and older require a ticket for entry.","normal","TFBI Shootout: Texas Tech V Baylor University","2018-11-24T09:30:00","2018-01-31T00:00:00","2018-01-31T15:02:10",FALSE,"football",0.684,"2018-11-24T03:30:00",0.725,"TFBI Shootout: Texas Tech V Baylor University",FALSE,TRUE,"https://seatgeek.com/tfbi-shootout-texas-tech-v-baylor-university-tickets/football/2018-11-24-3-30-am/4241803",NA,55,132,246,188,55,155.5813,524,"QRCODE",FALSE,"2018-04-17T22:02:33Z","TX","US",TRUE,4965,"at-t-stadium",623,"Arlington, TX",0,"Arlington, TX 76011",0.9751414,"America/Chicago","Arlington","76011","1 AT&T Way","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","AT&T Stadium",24,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"112","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4347039,FALSE,"","normal","Browns at Bengals","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:39",FALSE,"nfl",0.796,"2018-11-25T13:00:00",0.874,"Cleveland Browns at Cincinnati Bengals",FALSE,FALSE,"https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039",NA,71,115,519,877,74,130.36801,422,"QRCODE",FALSE,"2018-08-24T21:53:40Z","OH","US",TRUE,1124,"paul-brown-stadium",515,"Cincinnati, OH",0,"Cincinnati, OH 45202",0.86166537,"America/New_York","Cincinnati","45202","1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","Paul Brown Stadium",7,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"113","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4347058,FALSE,"","normal","Jaguars at Bills","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:43",FALSE,"nfl",0.792,"2018-11-25T13:00:00",0.863,"Jacksonville Jaguars at Buffalo Bills",FALSE,FALSE,"https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058",NA,26,65,1237,1492,26,84.91835,636,"QRCODE",FALSE,"2018-08-24T21:53:41Z","NY","US",TRUE,1135,"new-era-field",514,"Orchard Park, NY",0,"Orchard Park, NY 14127",0.8815085,"America/New_York","Orchard Park","14127","1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets","New Era Field","New Era Field",7,-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"114","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4346918,FALSE,"","normal","Giants at Eagles","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:14",FALSE,"nfl",0.852,"2018-11-25T13:00:00",0.941,"New York Giants at Philadelphia Eagles",FALSE,FALSE,"https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918",NA,212,367,409,897,134,411.72128,1239,"QRCODE",FALSE,"2018-08-24T21:53:40Z","PA","US",TRUE,330,"lincoln-financial-field",504,"Philadelphia, PA",0,"Philadelphia, PA 19148",0.90542686,"America/New_York","Philadelphia","19148","1020 Pattison Ave","https://seatgeek.com/venues/lincoln-financial-field/tickets","Lincoln Financial Field","Lincoln Financial Field",14,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"115","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4347125,FALSE,"","normal","Seahawks at Panthers","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:55",FALSE,"nfl",0.823,"2018-11-25T13:00:00",0.906,"Seattle Seahawks at Carolina Panthers",FALSE,FALSE,"https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125",NA,90,173,406,883,80,226.48521,996,"QRCODE",FALSE,"2018-08-24T21:53:41Z","NC","US",TRUE,1122,"bank-of-america-stadium",517,"Charlotte, NC",0,"Charlotte, NC 28202",0.8968222,"America/New_York","Charlotte","28202","800 South Mint Street","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","Bank of America Stadium",9,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"116","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4347098,FALSE,"","normal","Patriots at Jets","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:50",FALSE,"nfl",0.871,"2018-11-25T13:00:00",0.972,"New England Patriots at New York Jets",FALSE,FALSE,"https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098",NA,120,268,770,1107,120,316.76755,6034,"QRCODE",FALSE,"2018-08-24T21:53:41Z","NJ","US",TRUE,1587,"metlife-stadium",501,"East Rutherford, NJ",0,"East Rutherford, NJ 07073",0.94873494,"America/New_York","East Rutherford","07073","1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","MetLife Stadium",15,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"117","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4347067,FALSE,"","normal","Raiders at Ravens","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:44",FALSE,"nfl",0.788,"2018-11-25T13:00:00",0.864,"Oakland Raiders at Baltimore Ravens",FALSE,FALSE,"https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067",NA,67,134,531,1085,67,173.77213,691,"QRCODE",FALSE,"2018-08-24T21:53:41Z","MD","US",TRUE,1121,"m-t-bank-stadium",512,"Baltimore, MD",0,"Baltimore, MD 21230",0.8927189,"America/New_York","Baltimore","21230","1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","M&T Bank Stadium",7,-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"118","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4346928,FALSE,"","normal","49ers at Buccaneers","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:15",FALSE,"nfl",0.803,"2018-11-25T13:00:00",0.885,"San Francisco 49ers at Tampa Bay Buccaneers",FALSE,FALSE,"https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928",NA,82,183,38,419,77,217.3158,434,"QRCODE",FALSE,"2018-08-24T21:53:40Z","FL","US",TRUE,39,"raymond-james-stadium",539,"Tampa, FL",0,"Tampa, FL 33607",0.86513025,"America/New_York","Tampa","33607","4201 North Dale Mabry Highway","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","Raymond James Stadium",15,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"119","2018-10-03","2018-10-03_11.19.58","2018-11-25T22:00:00",4346956,FALSE,"","normal","Dolphins at Colts","2018-11-25T18:00:00","2018-04-20T00:00:00","2018-04-20T00:47:21",FALSE,"nfl",0.802,"2018-11-25T13:00:00",0.87,"Miami Dolphins at Indianapolis Colts",FALSE,FALSE,"https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956",NA,33,93,627,1105,33,111.79426,936,"QRCODE",FALSE,"2018-08-24T21:53:40Z","IN","US",TRUE,1130,"lucas-oil-stadium",527,"Indianapolis, IN",0,"Indianapolis, IN 46225",0.9071682,"America/Indiana/Indianapolis","Indianapolis","46225","500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","Lucas Oil Stadium",12,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"120","2018-10-03","2018-10-03_11.19.58","2018-11-26T01:05:00",4347109,FALSE,"","normal","Cardinals at Chargers","2018-11-25T21:05:00","2018-04-20T00:00:00","2018-04-20T00:47:52",FALSE,"nfl",0.792,"2018-11-25T13:05:00",0.879,"Arizona Cardinals at Los Angeles Chargers",FALSE,FALSE,"https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109",NA,108,186,551,598,100,211.33575,1198,"QRCODE",FALSE,"2018-08-24T21:53:41Z","CA","US",TRUE,52,"stubhub-center",803,"Carson, CA",0,"Carson, CA 90746",0.7228164,"America/Los_Angeles","Carson","90746","18400 Avalon Blvd","https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center","StubHub Center",12,-118.261,33.8643,NA,NA,NA
"121","2018-10-03","2018-10-03_11.19.58","2018-11-26T01:25:00",4347143,FALSE,"","normal","Steelers at Broncos","2018-11-25T21:25:00","2018-04-20T00:00:00","2018-04-20T01:04:05",FALSE,"nfl",0.845,"2018-11-25T14:25:00",0.927,"Pittsburgh Steelers at Denver Broncos",FALSE,FALSE,"https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143",NA,218,413,140,948,156,491.6143,2030,"QRCODE",FALSE,"2018-08-24T21:53:41Z","CO","US",TRUE,1131,"sports-authority-field-at-mile-high",751,"Denver, CO",0,"Denver, CO 80204",0.9028296,"America/Denver","Denver","80204","1701 Bryant Street","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","Sports Authority Field at Mile High",6,-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"122","2018-10-03","2018-10-03_11.19.58","2018-11-26T05:20:00",4347133,FALSE,"","normal","Packers at Vikings","2018-11-26T01:20:00","2018-04-20T00:00:00","2018-04-20T01:04:04",FALSE,"nfl",0.86,"2018-11-25T19:20:00",0.951,"Green Bay Packers at Minnesota Vikings",FALSE,FALSE,"https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133",NA,237,391,507,777,237,486.47534,3584,"QRCODE",FALSE,"2018-08-24T21:53:41Z","MN","US",TRUE,218451,"u-s-bank-stadium",0,"Minneapolis, MN",0,"Minneapolis, MN 55415",0.88524246,"America/Chicago","Minneapolis","55415","900 South 5th Street","https://seatgeek.com/venues/u-s-bank-stadium/tickets","U.S. Bank Stadium","U.S. Bank Stadium",15,-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
