"","date","timestamp","is_open","description","created_at","datetime_local","visible_until_utc","popularity","datetime_utc","title","type","announce_date","url","date_tbd","datetime_tbd","id","time_tbd","short_title","status","score","general_admission","average_price","lowest_price","highest_price","listing_count","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","timezone","display_location","name_v2","name","address","popularity_venue","extended_address","city","has_upcoming_events","country","postal_code","url_venue","num_upcoming_events","id_venue","slug","state","score_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"143","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:38","2018-11-11T20:20:00","2018-11-12T05:20:00",0.863,"2018-11-12T01:20:00","Dallas Cowboys at Philadelphia Eagles","nfl","2018-04-20T00:00:00","https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031",FALSE,FALSE,4347031,FALSE,"Cowboys at Eagles","normal",0.94,NA,521.87,235,7263,440,235,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","Philadelphia, PA","Lincoln Financial Field","Lincoln Financial Field","1020 Pattison Ave",0,"Philadelphia, PA 19148","Philadelphia",TRUE,"US","19148","https://seatgeek.com/venues/lincoln-financial-field/tickets",16,330,"lincoln-financial-field","PA",0.90542686,-75.1675,39.9046,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"144","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:54","2018-11-12T17:15:00","2018-11-13T05:15:00",0.857,"2018-11-13T01:15:00","New York Giants at San Francisco 49ers","nfl","2018-04-20T00:00:00","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117",FALSE,FALSE,4347117,FALSE,"Giants at 49ers","normal",0.934,NA,247.24,88,3701,1000,88,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Los_Angeles","Santa Clara, CA","Levi's Stadium","Levi's Stadium","4900 Marie P DeBartolo Way",0,"Santa Clara, CA 95054","Santa Clara",TRUE,"US","95054","https://seatgeek.com/venues/levi-s-stadium/tickets",13,58670,"levi-s-stadium","CA",0.95768774,-121.969,37.4023,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"145","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:56","2018-11-15T17:20:00","2018-11-16T05:20:00",0.859,"2018-11-16T01:20:00","Green Bay Packers at Seattle Seahawks","nfl","2018-04-20T00:00:00","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126",FALSE,FALSE,4347126,FALSE,"Packers at Seahawks","normal",0.938,NA,526.19,277,1809,208,277,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Los_Angeles","Seattle, WA","CenturyLink Field","CenturyLink Field","800 Occidental Ave S",0,"Seattle, WA 98134","Seattle",TRUE,"US","98134","https://seatgeek.com/venues/centurylink-field/tickets",14,339,"centurylink-field","WA",0.87232786,-122.33,47.6,"2018-03-02T22:54:54Z","QRCODE",FALSE
"146","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-02-28T15:00:12","2018-11-17T12:00:00","2018-11-17T22:00:00",0.453,"2018-11-17T18:00:00","South Alabama Jaguars at Louisiana Ragin Cajuns Football","ncaa_football","2018-02-28T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-12-pm/4281956",FALSE,FALSE,4281956,FALSE,"South Alabama at Louisiana","normal",0.435,NA,66.23,54,84,161,54,NA,NA,NA,NA,NA,"America/Chicago","Lafayette, LA","Cajun Field","Cajun Field","201 Rhienhardt Drive",0,"Lafayette, LA 70506","Lafayette",TRUE,"US","70506","https://seatgeek.com/venues/cajun-field/tickets",5,2796,"cajun-field","LA",0.43303972,-92.04,30.22,NA,NA,NA
"147","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:45","2018-11-18T13:00:00","2018-11-18T22:00:00",0.779,"2018-11-18T18:00:00","Cincinnati Bengals at Baltimore Ravens","nfl","2018-04-20T00:00:00","https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068",FALSE,FALSE,4347068,FALSE,"Bengals at Ravens","normal",0.835,NA,142.46,43,550,485,43,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","Baltimore, MD","M&T Bank Stadium","M&T Bank Stadium","1101 Russell St",0,"Baltimore, MD 21230","Baltimore",TRUE,"US","21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets",8,1121,"m-t-bank-stadium","MD",0.8927189,-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"148","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:37","2018-11-18T13:00:00","2018-11-18T22:00:00",0.838,"2018-11-18T18:00:00","Carolina Panthers at Detroit Lions","nfl","2018-04-20T00:00:00","https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025",FALSE,FALSE,4347025,FALSE,"Panthers at Lions","normal",0.899,NA,167.42,71,901,548,71,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Detroit","Detroit, MI","Ford Field","Ford Field","2000 Brush St.",0,"Detroit, MI 48226","Detroit",TRUE,"US","48226","https://seatgeek.com/venues/ford-field/tickets",10,346,"ford-field","MI",0.9029952,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"149","2018-09-10","2018-09-10_11.01.00",TRUE,"","2018-04-20T00:47:25","2018-11-18T12:00:00","2018-11-18T22:00:00",0.832,"2018-11-18T18:00:00","Philadelphia Eagles at New Orleans Saints","nfl","2018-04-20T00:00:00","https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969",FALSE,FALSE,4346969,FALSE,"Eagles at Saints","normal",0.898,NA,395.65,160,3000,1311,160,NA,NA,"2018-05-29T20:39:16Z","QRCODE",FALSE,"America/Chicago","New Orleans, LA","Mercedes-Benz Superdome","Mercedes-Benz Superdome","1500 Sugar Bowl Drive",0,"New Orleans, LA 70112","New Orleans",TRUE,"US","70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",19,128,"mercedes-benz-superdome","LA",0.8966978,-90.0786,29.9515,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"150","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:32","2018-11-18T12:00:00","2018-11-18T22:00:00",0.841,"2018-11-18T18:00:00","Minnesota Vikings at Chicago Bears","nfl","2018-04-20T00:00:00","https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005",FALSE,FALSE,4347005,FALSE,"Vikings at Bears","normal",0.914,NA,304.08,119,1197,197,119,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Chicago","Chicago, IL","Soldier Field","Soldier Field","1410 S. Museum Campus Drive",0,"Chicago, IL 60605","Chicago",TRUE,"US","60605","https://seatgeek.com/venues/soldier-field/tickets",12,31,"soldier-field","IL",0.940013,-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"151","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:41","2018-11-18T13:00:00","2018-11-18T22:00:00",0.868,"2018-11-18T18:00:00","Dallas Cowboys at Atlanta Falcons","nfl","2018-04-20T00:00:00","https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049",FALSE,FALSE,4347049,FALSE,"Cowboys at Falcons","normal",0.938,NA,657.22,216,123725,661,216,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW",0,"Atlanta, GA 30313","Atlanta",TRUE,"US","30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",15,419590,"mercedes-benz-stadium","GA",0.76958936,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"152","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:22","2018-11-18T13:00:00","2018-11-18T22:00:00",0.799,"2018-11-18T18:00:00","Tennessee Titans at Indianapolis Colts","nfl","2018-04-20T00:00:00","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957",FALSE,FALSE,4346957,FALSE,"Titans at Colts","normal",0.851,NA,108.48,28,440,777,28,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Indiana/Indianapolis","Indianapolis, IN","Lucas Oil Stadium","Lucas Oil Stadium","500 South Capitol Avenue",0,"Indianapolis, IN 46225","Indianapolis",TRUE,"US","46225","https://seatgeek.com/venues/lucas-oil-stadium/tickets",13,1130,"lucas-oil-stadium","IN",0.9071682,-86.1639,39.7601,"2015-08-22T16:51:43Z","QRCODE_TM",FALSE
