"","date","timestamp","short_title","title","created_at","date_tbd","datetime_tbd","popularity","description","url","visible_until_utc","datetime_utc","id","announce_date","is_open","score","status","type","datetime_local","time_tbd","general_admission","lowest_price","visible_listing_count","median_price","listing_count","lowest_price_good_deals","average_price","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","state","postal_code","timezone","country","extended_address","slug","url_venue","has_upcoming_events","popularity_venue","id_venue","address","score_venue","metro_code","display_location","name","name_v2","num_upcoming_events","city","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"68","2018-09-19","2018-09-19_08.16.19","Broncos at Cardinals","Denver Broncos at Arizona Cardinals","2018-04-20T00:47:51",FALSE,FALSE,0.882,"","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-19T04:20:00","2018-10-19T00:20:00",4347102,"2018-04-20T00:00:00",FALSE,0.925,"normal","nfl","2018-10-18T17:20:00",FALSE,NA,55,874,133,504,55,167.95833,607,"QRCODE",FALSE,"2018-08-24T21:53:38Z","AZ","85305","America/Phoenix","US","Glendale, AZ 85305","state-farm-stadium","https://seatgeek.com/venues/state-farm-stadium/tickets",TRUE,0,43,"1 Cardinals Drive",0.93402725,753,"Glendale, AZ","State Farm Stadium","State Farm Stadium",10,"Glendale",-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"69","2018-09-19","2018-09-19_08.16.19","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-08-01T16:01:33",FALSE,FALSE,0.434,"","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-10-21T03:30:00","2018-10-20T23:30:00",4471322,"2018-08-01T00:00:00",FALSE,0.342,"normal","sports","2018-10-20T18:30:00",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:38Z","AR","72401","America/Chicago","US","Jonesboro, AR 72401","asu-convocation-center-1","https://seatgeek.com/venues/asu-convocation-center-1/tickets",TRUE,0,4081,"217 Olympic Drive",0.5808074,734,"Jonesboro, AR","ASU Convocation Center","ASU Convocation Center",32,"Jonesboro",-90.6691,35.8438,NA,NA,NA
"70","2018-09-19","2018-09-19_08.16.19","Bills at Colts","Buffalo Bills at Indianapolis Colts","2018-04-20T00:47:22",FALSE,FALSE,0.839,"","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T21:00:00","2018-10-21T17:00:00",4346960,"2018-04-20T00:00:00",FALSE,0.867,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,34,1007,84,640,34,107.67031,878,"QRCODE",FALSE,"2018-08-24T21:53:38Z","IN","46225","America/Indiana/Indianapolis","US","Indianapolis, IN 46225","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets",TRUE,0,1130,"500 South Capitol Avenue",0.9071682,527,"Indianapolis, IN","Lucas Oil Stadium","Lucas Oil Stadium",12,"Indianapolis",-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"71","2018-09-19","2018-09-19_08.16.19","Patriots at Bears","New England Patriots at Chicago Bears","2018-04-20T00:47:33",FALSE,FALSE,0.908,"","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T21:00:00","2018-10-21T17:00:00",4347008,"2018-04-20T00:00:00",FALSE,0.963,"normal","nfl","2018-10-21T12:00:00",FALSE,NA,281,622,547,84,281,2059.25,123594,"QRCODE",FALSE,"2018-08-24T21:53:38Z","IL","60605","America/Chicago","US","Chicago, IL 60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets",TRUE,0,31,"1410 S. Museum Campus Drive",0.940013,602,"Chicago, IL","Soldier Field","Soldier Field",10,"Chicago",-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"72","2018-09-19","2018-09-19_08.16.19","Vikings at Jets","Minnesota Vikings at New York Jets","2018-04-20T00:47:26",FALSE,FALSE,0.894,"","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T21:00:00","2018-10-21T17:00:00",4346975,"2018-04-20T00:00:00",FALSE,0.946,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,75,947,180,466,75,221.51073,1062,"QRCODE",FALSE,"2018-08-24T21:53:38Z","NJ","07073","America/New_York","US","East Rutherford, NJ 07073","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,0,1587,"1 MetLife Stadium Drive",0.94873494,501,"East Rutherford, NJ","MetLife Stadium","MetLife Stadium",17,"East Rutherford",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"73","2018-09-19","2018-09-19_08.16.19","Browns at Buccaneers","Cleveland Browns at Tampa Bay Buccaneers","2018-04-20T00:47:16",FALSE,FALSE,0.828,"","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T21:00:00","2018-10-21T17:00:00",4346931,"2018-04-20T00:00:00",FALSE,0.863,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,137,349,189,21,79,258.8095,605,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL","33607","America/New_York","US","Tampa, FL 33607","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets",TRUE,0,39,"4201 North Dale Mabry Highway",0.86513025,539,"Tampa, FL","Raymond James Stadium","Raymond James Stadium",14,"Tampa",-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"74","2018-09-19","2018-09-19_08.16.19","Lions at Dolphins","Detroit Lions at Miami Dolphins","2018-04-20T00:47:47",FALSE,FALSE,0.851,"","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T21:00:00","2018-10-21T17:00:00",4347084,"2018-04-20T00:00:00",FALSE,0.892,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,62,955,136,168,53,152.21428,902,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL","33056","America/New_York","US","Miami Gardens, FL 33056","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets",TRUE,0,29,"347 Don Shula Dr.",0.8378203,528,"Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium",38,"Miami Gardens",-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"75","2018-09-19","2018-09-19_08.16.19","Panthers at Eagles","Carolina Panthers at Philadelphia Eagles","2018-04-20T00:47:39",FALSE,FALSE,0.88,"","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T21:00:00","2018-10-21T17:00:00",4347036,"2018-04-20T00:00:00",FALSE,0.925,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,211,926,394,361,152,439.19113,3680,"QRCODE",FALSE,"2018-08-24T21:53:38Z","PA","19148","America/New_York","US","Philadelphia, PA 19148","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets",TRUE,0,330,"1020 Pattison Ave",0.90542686,504,"Philadelphia, PA","Lincoln Financial Field","Lincoln Financial Field",16,"Philadelphia",-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"76","2018-09-19","2018-09-19_08.16.19","Bengals at Chiefs","Cincinnati Bengals at Kansas City Chiefs","2018-04-20T00:47:27",FALSE,FALSE,0.854,"","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-10-21T21:00:00","2018-10-21T17:00:00",4346982,"2018-04-20T00:00:00",FALSE,0.893,"normal","nfl","2018-10-21T12:00:00",FALSE,NA,48,1150,135,1036,48,146.62549,604,"QRCODE",FALSE,"2018-08-24T21:53:38Z","MO","64129","America/Chicago","US","Kansas City, MO 64129","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets",TRUE,0,1128,"1 Arrowhead Drive",0.8827867,616,"Kansas City, MO","Arrowhead Stadium","Arrowhead Stadium",9,"Kansas City",-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"77","2018-09-19","2018-09-19_08.16.19","Texans at Jaguars","Houston Texans at Jacksonville Jaguars","2018-04-20T00:47:19",FALSE,FALSE,0.791,"","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-everbank-field/nfl/4346948","2018-10-21T21:00:00","2018-10-21T17:00:00",4346948,"2018-04-20T00:00:00",FALSE,0.813,"normal","nfl","2018-10-21T13:00:00",FALSE,NA,48,801,98,621,48,126.23189,588,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL","32202","America/New_York","US","Jacksonville, FL 32202","everbank-field","https://seatgeek.com/venues/everbank-field/tickets",TRUE,0,5178,"1 Everbank Field Dr",0.83759147,561,"Jacksonville, FL","EverBank Field","EverBank Field",9,"Jacksonville",-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
