"","date","timestamp","datetime_utc","short_title","url","id","description","datetime_local","visible_until_utc","date_tbd","datetime_tbd","is_open","time_tbd","announce_date","type","popularity","created_at","title","status","score","general_admission","median_price","listing_count","lowest_price","visible_listing_count","highest_price","average_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","extended_address","city","timezone","num_upcoming_events","name","display_location","url_venue","address","id_venue","has_upcoming_events","state","country","slug","postal_code","name_v2","score_venue","popularity_venue","metro_code","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"49","2018-09-26","2018-09-26_11.03.31","2018-10-15T00:20:00","Chiefs at Patriots","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095",4347095,"","2018-10-14T20:20:00","2018-10-15T04:20:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.963,"2018-04-20T00:47:50","Kansas City Chiefs at New England Patriots","normal",0.929,NA,404,213,204,613,1437,491.7465,196,FALSE,"2018-08-24T21:53:35Z","QRCODE","Foxborough, MA 02035","Foxborough","America/New_York",15,"Gillette Stadium","Foxborough, MA","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",33,TRUE,"MA","US","gillette-stadium","02035","Gillette Stadium",0.8983344,0,506,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"50","2018-09-26","2018-09-26_11.03.31","2018-10-16T00:15:00","49ers at Packers","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914",4346914,"","2018-10-15T19:15:00","2018-10-16T04:15:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.945,"2018-04-20T00:47:13","San Francisco 49ers at Green Bay Packers","normal",0.909,NA,304,146,181,497,645,319.26028,175,FALSE,"2018-08-24T21:53:38Z","QRCODE","Green Bay, WI 54304","Green Bay","America/Chicago",6,"Lambeau Field","Green Bay, WI","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",1125,TRUE,"WI","US","lambeau-field","54304","Lambeau Field",0.92909414,0,658,44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"51","2018-09-26","2018-09-26_11.03.31","2018-10-19T00:20:00","Broncos at Cardinals","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",4347102,"","2018-10-18T17:20:00","2018-10-19T04:20:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.938,"2018-04-20T00:47:51","Denver Broncos at Arizona Cardinals","normal",0.904,NA,137,522,53,739,720,169.09387,53,FALSE,"2018-08-24T21:53:38Z","QRCODE","Glendale, AZ 85305","Glendale","America/Phoenix",10,"State Farm Stadium","Glendale, AZ","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive",43,TRUE,"AZ","US","state-farm-stadium","85305","State Farm Stadium",0.93402725,0,753,33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"52","2018-09-26","2018-09-26_11.03.31","2018-10-20T23:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",4471322,"","2018-10-20T18:30:00","2018-10-21T03:30:00",FALSE,FALSE,FALSE,FALSE,"2018-08-01T00:00:00","sports",0.487,"2018-08-01T16:01:33","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","normal",0.342,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"2018-08-24T21:53:38Z","QRCODE","Jonesboro, AR 72401","Jonesboro","America/Chicago",42,"ASU Convocation Center","Jonesboro, AR","https://seatgeek.com/venues/asu-convocation-center-1/tickets","217 Olympic Drive",4081,TRUE,"AR","US","asu-convocation-center-1","72401","ASU Convocation Center",0.5808074,0,734,35.8438,-90.6691,NA,NA,NA
"53","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Patriots at Bears","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",4347008,"","2018-10-21T12:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.972,"2018-04-20T00:47:33","New England Patriots at Chicago Bears","normal",0.95,NA,603,67,255,459,123581,2480.7163,357,FALSE,"2018-08-24T21:53:38Z","QRCODE","Chicago, IL 60605","Chicago","America/Chicago",9,"Soldier Field","Chicago, IL","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive",31,TRUE,"IL","US","soldier-field","60605","Soldier Field",0.940013,0,602,41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"54","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Bills at Colts","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",4346960,"","2018-10-21T13:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.885,"2018-04-20T00:47:22","Buffalo Bills at Indianapolis Colts","normal",0.838,NA,91,576,31,980,875,112.3559,31,FALSE,"2018-08-24T21:53:38Z","QRCODE","Indianapolis, IN 46225","Indianapolis","America/Indiana/Indianapolis",14,"Lucas Oil Stadium","Indianapolis, IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",1130,TRUE,"IN","US","lucas-oil-stadium","46225","Lucas Oil Stadium",0.9071682,0,527,39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
"55","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Vikings at Jets","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",4346975,"","2018-10-21T13:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.951,"2018-04-20T00:47:26","Minnesota Vikings at New York Jets","normal",0.924,NA,181,563,62,872,1032,217.06216,62,FALSE,"2018-08-24T21:53:38Z","QRCODE","East Rutherford, NJ 07073","East Rutherford","America/New_York",16,"MetLife Stadium","East Rutherford, NJ","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive",1587,TRUE,"NJ","US","metlife-stadium","07073","MetLife Stadium",0.94873494,0,501,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"56","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Lions at Dolphins","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",4347084,"","2018-10-21T13:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.9,"2018-04-20T00:47:47","Detroit Lions at Miami Dolphins","normal",0.86,NA,145,185,61,942,899,158.38379,53,FALSE,"2018-08-24T21:53:38Z","QRCODE","Miami Gardens, FL 33056","Miami Gardens","America/New_York",36,"Hard Rock Stadium","Miami Gardens, FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.",29,TRUE,"FL","US","hard-rock-stadium","33056","Hard Rock Stadium",0.8378203,0,528,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"57","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Browns at Buccaneers","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",4346931,"","2018-10-21T13:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.883,"2018-04-20T00:47:16","Cleveland Browns at Tampa Bay Buccaneers","normal",0.842,NA,200,28,95,321,558,245.71428,79,FALSE,"2018-08-24T21:53:38Z","QRCODE","Tampa, FL 33607","Tampa","America/New_York",14,"Raymond James Stadium","Tampa, FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway",39,TRUE,"FL","US","raymond-james-stadium","33607","Raymond James Stadium",0.86513025,0,539,27.9753,-82.5034,FALSE,"2015-08-24T14:44:53Z","QRCODE_TM"
"58","2018-09-26","2018-09-26_11.03.31","2018-10-21T17:00:00","Panthers at Eagles","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",4347036,"","2018-10-21T13:00:00","2018-10-21T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.946,"2018-04-20T00:47:39","Carolina Panthers at Philadelphia Eagles","normal",0.915,NA,364,362,202,770,3680,412.89227,156,FALSE,"2018-08-24T21:53:38Z","QRCODE","Philadelphia, PA 19148","Philadelphia","America/New_York",15,"Lincoln Financial Field","Philadelphia, PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave",330,TRUE,"PA","US","lincoln-financial-field","19148","Lincoln Financial Field",0.90542686,0,504,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
