"","date","timestamp","short_title","popularity","title","visible_until_utc","type","score","datetime_utc","announce_date","date_tbd","status","url","datetime_local","created_at","is_open","description","datetime_tbd","id","time_tbd","general_admission","highest_price","average_price","lowest_price_good_deals","listing_count","lowest_price","visible_listing_count","median_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","popularity_venue","score_venue","name_v2","timezone","postal_code","state","slug","name","display_location","country","url_venue","address","num_upcoming_events","city","has_upcoming_events","id_venue","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"85","2018-09-10","2018-09-10_15.59.48","Chiefs at Patriots",0.934,"Kansas City Chiefs at New England Patriots","2018-10-15T04:20:00","nfl",0.937,"2018-10-15T00:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095","2018-10-14T20:20:00","2018-04-20T00:47:50",FALSE,"",FALSE,4347095,FALSE,NA,123594,1068.98,209,240,209,NA,NA,"2018-08-24T21:53:35Z","QRCODE",FALSE,0,0.8983344,"Gillette Stadium","America/New_York","02035","MA","gillette-stadium","Gillette Stadium","Foxborough, MA","US","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",13,"Foxborough",TRUE,33,"Foxborough, MA 02035",42.0906,-71.2674,"2018-08-22T15:36:58Z","NONE",FALSE
"86","2018-09-10","2018-09-10_15.59.48","49ers at Packers",0.917,"San Francisco 49ers at Green Bay Packers","2018-10-16T04:15:00","nfl",0.915,"2018-10-16T00:15:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914","2018-10-15T19:15:00","2018-04-20T00:47:13",FALSE,"",FALSE,4346914,FALSE,NA,695,317.26,175,142,175,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.92909414,"Lambeau Field","America/Chicago","54304","WI","lambeau-field","Lambeau Field","Green Bay, WI","US","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",7,"Green Bay",TRUE,1125,"Green Bay, WI 54304",44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"87","2018-09-10","2018-09-10_15.59.48","Broncos at Cardinals",0.913,"Denver Broncos at Arizona Cardinals","2018-10-19T04:20:00","nfl",0.914,"2018-10-19T00:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-18T17:20:00","2018-04-20T00:47:51",FALSE,"",FALSE,4347102,FALSE,NA,567,191.76,60,79,60,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.93402725,"State Farm Stadium","America/Phoenix","85305","AZ","state-farm-stadium","State Farm Stadium","Glendale, AZ","US","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive",10,"Glendale",TRUE,43,"Glendale, AZ 85305",33.5294,-112.262,"2015-12-21T17:26:05Z","NONE",FALSE
"88","2018-09-10","2018-09-10_15.59.48","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",0.52,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-21T03:30:00","nfl",0.439,"2018-10-20T23:30:00","2018-08-01T00:00:00",FALSE,"normal","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/10-20-2018-jonesboro-arkansas-asu-convocation-center-1/nfl/4471322","2018-10-20T18:30:00","2018-08-01T16:01:33",FALSE,"",FALSE,4471322,FALSE,NA,21,21,NA,1,21,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.5808074,"ASU Convocation Center","America/Chicago","72401","AR","asu-convocation-center-1","ASU Convocation Center","Jonesboro, AR","US","https://seatgeek.com/venues/asu-convocation-center-1/tickets","217 Olympic Drive",36,"Jonesboro",TRUE,4081,"Jonesboro, AR 72401",35.8438,-90.6691,NA,NA,NA
"89","2018-09-10","2018-09-10_15.59.48","Bills at Colts",0.865,"Buffalo Bills at Indianapolis Colts","2018-10-21T21:00:00","nfl",0.854,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T13:00:00","2018-04-20T00:47:22",FALSE,"",FALSE,4346960,FALSE,NA,1198,113.03,34,691,34,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.9071682,"Lucas Oil Stadium","America/Indiana/Indianapolis","46225","IN","lucas-oil-stadium","Lucas Oil Stadium","Indianapolis, IN","US","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",13,"Indianapolis",TRUE,1130,"Indianapolis, IN 46225",39.7601,-86.1639,"2015-08-22T16:51:43Z","QRCODE_TM",FALSE
"90","2018-09-10","2018-09-10_15.59.48","Patriots at Bears",0.945,"New England Patriots at Chicago Bears","2018-10-21T21:00:00","nfl",0.961,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T12:00:00","2018-04-20T00:47:33",FALSE,"",FALSE,4347008,FALSE,NA,1198,585.42,276,100,276,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.940013,"Soldier Field","America/Chicago","60605","IL","soldier-field","Soldier Field","Chicago, IL","US","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive",12,"Chicago",TRUE,31,"Chicago, IL 60605",41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"91","2018-09-10","2018-09-10_15.59.48","Vikings at Jets",0.925,"Minnesota Vikings at New York Jets","2018-10-21T21:00:00","nfl",0.938,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T13:00:00","2018-04-20T00:47:26",FALSE,"",FALSE,4346975,FALSE,NA,1062,175.38,66,640,66,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.94873494,"MetLife Stadium","America/New_York","07073","NJ","metlife-stadium","MetLife Stadium","East Rutherford, NJ","US","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive",19,"East Rutherford",TRUE,1587,"East Rutherford, NJ 07073",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"92","2018-09-10","2018-09-10_15.59.48","Lions at Dolphins",0.88,"Detroit Lions at Miami Dolphins","2018-10-21T21:00:00","nfl",0.885,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T13:00:00","2018-04-20T00:47:47",FALSE,"",FALSE,4347084,FALSE,NA,906,155.5,47,196,47,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.8378203,"Hard Rock Stadium","America/New_York","33056","FL","hard-rock-stadium","Hard Rock Stadium","Miami Gardens, FL","US","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.",36,"Miami Gardens",TRUE,29,"Miami Gardens, FL 33056",25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"93","2018-09-10","2018-09-10_15.59.48","Browns at Buccaneers",0.858,"Cleveland Browns at Tampa Bay Buccaneers","2018-10-21T21:00:00","nfl",0.856,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T13:00:00","2018-04-20T00:47:16",FALSE,"",FALSE,4346931,FALSE,NA,649,297.89,122,19,122,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.86513025,"Raymond James Stadium","America/New_York","33607","FL","raymond-james-stadium","Raymond James Stadium","Tampa, FL","US","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway",15,"Tampa",TRUE,39,"Tampa, FL 33607",27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"94","2018-09-10","2018-09-10_15.59.48","Texans at Jaguars",0.785,"Houston Texans at Jacksonville Jaguars","2018-10-21T21:00:00","nfl",0.812,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T13:00:00","2018-04-20T00:47:19",FALSE,"",FALSE,4346948,FALSE,NA,588,128.45,60,687,50,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.83759147,"TIAA Bank Field","America/New_York","32202","FL","tiaa-bank-field","TIAA Bank Field","Jacksonville, FL","US","https://seatgeek.com/venues/tiaa-bank-field/tickets","1 Everbank Field Dr",10,"Jacksonville",TRUE,5178,"Jacksonville, FL 32202",30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
