"","date","timestamp","url","type","visible_until_utc","description","datetime_local","date_tbd","status","is_open","announce_date","short_title","title","time_tbd","popularity","created_at","datetime_tbd","score","datetime_utc","id","general_admission","visible_listing_count","median_price","lowest_price","average_price","listing_count","lowest_price_good_deals","highest_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","extended_address","postal_code","has_upcoming_events","address","slug","country","name","state","timezone","display_location","popularity_venue","num_upcoming_events","name_v2","metro_code","score_venue","id_venue","city","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"11","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","nfl","2018-09-23T21:00:00","","2018-09-23T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Giants at Texans","New York Giants at Houston Texans",FALSE,0.839,"2018-04-20T00:47:36",FALSE,0.69,"2018-09-23T17:00:00",4347021,NA,504,125,125,139,2,89,153,"2018-08-24T18:27:18Z","QRCODE",FALSE,"https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX 77054","77054",TRUE,"1 Reliant Park","nrg-stadium","US","NRG Stadium","TX","America/Chicago","Houston, TX",0,44,"NRG Stadium",618,0.8624192,41,"Houston",-95.4107,29.6847,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"12","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Titans at Jaguars","Tennessee Titans at Jacksonville Jaguars",FALSE,0.75,"2018-04-20T00:47:19",FALSE,0.597,"2018-09-23T17:00:00",4346950,NA,NA,NA,41,104.95,595,41,775,"2018-08-24T18:26:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/everbank-field/tickets","Jacksonville, FL 32202","32202",TRUE,"1 Everbank Field Dr","everbank-field","US","EverBank Field","FL","America/New_York","Jacksonville, FL",0,9,"EverBank Field",561,0.83759147,5178,"Jacksonville",-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"13","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923","nfl","2018-09-24T00:05:00","","2018-09-23T13:05:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Chargers at Rams","Los Angeles Chargers at Los Angeles Rams",FALSE,0.814,"2018-04-20T00:47:14",FALSE,0.665,"2018-09-23T20:05:00",4346923,NA,NA,NA,60,153.79,743,60,514,"2018-09-05T22:17:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles, CA 90037","90037",TRUE,"3911 S Figueroa St","los-angeles-memorial-coliseum-1","US","Los Angeles Memorial Coliseum","CA","America/Los_Angeles","Los Angeles, CA",0,11,"Los Angeles Memorial Coliseum",0,0.86898464,51012,"Los Angeles",-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"14","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129","nfl","2018-09-24T00:25:00","","2018-09-23T13:25:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Cowboys at Seahawks","Dallas Cowboys at Seattle Seahawks",FALSE,0.874,"2018-04-20T00:47:56",FALSE,0.727,"2018-09-23T20:25:00",4347129,NA,NA,NA,298,692.68,153,339,3079,"2018-03-02T22:54:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA 98134","98134",TRUE,"800 Occidental Ave S","centurylink-field","US","CenturyLink Field","WA","America/Los_Angeles","Seattle, WA",0,13,"CenturyLink Field",819,0.87232786,339,"Seattle",-122.33,47.6,"2018-03-02T22:54:54Z","QRCODE",FALSE
"15","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104","nfl","2018-09-24T00:25:00","","2018-09-23T13:25:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Bears at Cardinals","Chicago Bears at Arizona Cardinals",FALSE,0.847,"2018-04-20T00:47:52",FALSE,0.698,"2018-09-23T20:25:00",4347104,NA,673,135,84,201.75603,332,84,11218,"2018-08-24T20:34:25Z","QRCODE",FALSE,"https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ 85305","85305",TRUE,"1 Cardinals Drive","state-farm-stadium","US","State Farm Stadium","AZ","America/Phoenix","Glendale, AZ",0,10,"State Farm Stadium",753,0.93402725,43,"Glendale",-112.262,33.5294,"2015-12-21T17:26:05Z","NONE",FALSE
"16","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028","nfl","2018-09-24T04:20:00","","2018-09-23T20:20:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Patriots at Lions","New England Patriots at Detroit Lions",FALSE,0.865,"2018-04-20T00:47:37",FALSE,0.718,"2018-09-24T00:20:00",4347028,NA,849,226,125,260.7436,429,123,2454,"2018-08-24T18:27:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/ford-field/tickets","Detroit, MI 48226","48226",TRUE,"2000 Brush St.","ford-field","US","Ford Field","MI","America/Detroit","Detroit, MI",0,11,"Ford Field",505,0.9029952,346,"Detroit",-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"17","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","nfl","2018-09-25T04:15:00","","2018-09-24T20:15:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Steelers at Buccaneers","Pittsburgh Steelers at Tampa Bay Buccaneers",FALSE,0.806,"2018-04-20T00:47:16",FALSE,0.664,"2018-09-25T00:15:00",4346932,NA,NA,NA,202,376.19,31,202,1038,"2018-08-24T20:35:07Z","QRCODE",FALSE,"https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL 33607","33607",TRUE,"4201 North Dale Mabry Highway","raymond-james-stadium","US","Raymond James Stadium","FL","America/New_York","Tampa, FL",0,16,"Raymond James Stadium",539,0.86513025,39,"Tampa",-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"18","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","nfl","2018-09-28T04:20:00","","2018-09-27T17:20:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Vikings at Rams","Minnesota Vikings at Los Angeles Rams",FALSE,0.796,"2018-04-20T00:47:14",FALSE,0.674,"2018-09-28T00:20:00",4346922,NA,1104,149,68,191.6559,526,61,971,"2018-09-05T22:17:16Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles, CA 90037","90037",TRUE,"3911 S Figueroa St","los-angeles-memorial-coliseum-1","US","Los Angeles Memorial Coliseum","CA","America/Los_Angeles","Los Angeles, CA",0,11,"Los Angeles Memorial Coliseum",0,0.86898464,51012,"Los Angeles",-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"19","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","sports","2018-09-29T03:00:00","","2018-09-28T19:00:00",FALSE,"normal",FALSE,"2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",FALSE,0.528,"2018-06-05T16:00:59",FALSE,0.351,"2018-09-28T23:00:00",4401810,NA,1,12,12,12,1,NA,12,NA,NA,NA,"https://seatgeek.com/venues/memorial-coliseum-1/tickets","Lexington, KY 40506","40506",TRUE,"201 Avenue of Champions","memorial-coliseum-1","US","Memorial Coliseum","KY","America/New_York","Lexington, KY",0,25,"Memorial Coliseum",541,0.4125833,5102,"Lexington",-84.5,38.04,NA,NA,NA
"20","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","ncaa_football","2018-09-29T20:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2018-09-29T11:00:00",FALSE,"normal",TRUE,"2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M","Southwest Classic: Arkansas vs Texas A&M",FALSE,0.802,"2017-12-05T15:00:24",FALSE,0.674,"2018-09-29T16:00:00",4163969,NA,NA,NA,102,342.77,1904,102,14133,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX 76011","76011",TRUE,"1 AT&T Way","at-t-stadium","US","AT&T Stadium","TX","America/Chicago","Arlington, TX",0,22,"AT&T Stadium",623,0.9751414,4965,"Arlington",-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"21","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","ncaa_football","2018-09-29T23:30:00","","2018-09-29T15:30:00",FALSE,"normal",FALSE,"2018-02-28T00:00:00","South Alabama at Appalachian State","South Alabama Jaguars at Appalachian State Mountaineers Football",FALSE,0.625,"2018-02-28T15:00:11",FALSE,0.503,"2018-09-29T19:30:00",4281951,NA,86,81,46,92.36196,163,46,215,NA,NA,NA,"https://seatgeek.com/venues/kidd-brewer-stadium/tickets","Boone, NC 28607","28607",TRUE,"1 Kidd Brewer Stadium","kidd-brewer-stadium","US","Kidd Brewer Stadium","NC","America/New_York","Boone, NC",0,5,"Kidd Brewer Stadium",517,0.57884717,3723,"Boone",-81.6856,36.2116,NA,NA,NA
"22","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","nfl","2018-09-30T20:00:00","","2018-09-30T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Eagles at Titans","Philadelphia Eagles at Tennessee Titans",FALSE,0.791,"2018-04-20T00:47:30",FALSE,0.68,"2018-09-30T16:00:00",4346992,NA,NA,NA,208,437.59,322,236,1103,"2018-08-24T20:47:49Z","QRCODE",FALSE,"https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","37213",TRUE,"1 Titans Way","nissan-stadium","US","Nissan Stadium","TN","America/New_York","Nashville, TN",0,14,"Nissan Stadium",659,0.8546275,1126,"Nashville",-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"23","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","nfl","2018-09-30T21:00:00","","2018-09-30T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Bills at Packers","Buffalo Bills at Green Bay Packers",FALSE,0.797,"2018-04-20T00:47:13",FALSE,0.687,"2018-09-30T17:00:00",4346911,NA,NA,NA,224,386.67,132,224,912,"2018-08-24T20:38:24Z","QRCODE",FALSE,"https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI 54304","54304",TRUE,"1265 Lombardi Avenue","lambeau-field","US","Lambeau Field","WI","America/Chicago","Green Bay, WI",0,6,"Lambeau Field",658,0.92909414,1125,"Green Bay",-88.0622,44.5013,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"24","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","nfl","2018-09-30T21:00:00","","2018-09-30T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Buccaneers at Bears","Tampa Bay Buccaneers at Chicago Bears",FALSE,0.79,"2018-04-20T00:47:33",FALSE,0.677,"2018-09-30T17:00:00",4347009,NA,555,312,180,111024.75,77,167,1217883,"2018-08-24T20:48:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL 60605","60605",TRUE,"1410 S. Museum Campus Drive","soldier-field","US","Soldier Field","IL","America/Chicago","Chicago, IL",0,10,"Soldier Field",602,0.940013,31,"Chicago",-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"25","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","nfl","2018-09-30T21:00:00","","2018-09-30T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Dolphins at Patriots","Miami Dolphins at New England Patriots",FALSE,0.825,"2018-04-20T00:47:49",FALSE,0.713,"2018-09-30T17:00:00",4347092,NA,NA,NA,312,543.88,86,312,2017,"2018-08-24T20:51:36Z","QRCODE",FALSE,"https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA 02035","02035",TRUE,"1 Patriot Place","gillette-stadium","US","Gillette Stadium","MA","America/New_York","Foxborough, MA",0,15,"Gillette Stadium",506,0.8983344,33,"Foxborough",-71.2674,42.0906,"2018-08-22T15:36:58Z","NONE",FALSE
"26","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","nfl","2018-09-30T21:00:00","","2018-09-30T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Jets at Jaguars","New York Jets at Jacksonville Jaguars",FALSE,0.733,"2018-04-20T00:47:19",FALSE,0.618,"2018-09-30T17:00:00",4346949,NA,NA,NA,58,121.28,585,58,433,"2018-08-24T20:38:35Z","QRCODE",FALSE,"https://seatgeek.com/venues/everbank-field/tickets","Jacksonville, FL 32202","32202",TRUE,"1 Everbank Field Dr","everbank-field","US","EverBank Field","FL","America/New_York","Jacksonville, FL",0,9,"EverBank Field",561,0.83759147,5178,"Jacksonville",-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"27","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","nfl","2018-09-30T21:00:00","","2018-09-30T12:00:00",FALSE,"normal",TRUE,"2018-04-05T00:00:00","Lions at Cowboys","Detroit Lions at Dallas Cowboys",FALSE,0.837,"2018-04-05T23:08:47",FALSE,0.722,"2018-09-30T17:00:00",4327924,NA,NA,NA,NA,286.43,2739,NA,2095,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX 76011","76011",TRUE,"1 AT&T Way","at-t-stadium","US","AT&T Stadium","TX","America/Chicago","Arlington, TX",0,22,"AT&T Stadium",623,0.9751414,4965,"Arlington",-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"28","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","nfl","2018-09-30T21:00:00","","2018-09-30T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Texans at Colts","Houston Texans at Indianapolis Colts",FALSE,0.741,"2018-04-20T00:47:22",FALSE,0.629,"2018-09-30T17:00:00",4346962,NA,NA,NA,33,108.28,580,33,931,"2018-08-24T20:46:39Z","QRCODE",FALSE,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN 46225","46225",TRUE,"500 South Capitol Avenue","lucas-oil-stadium","US","Lucas Oil Stadium","IN","America/Indiana/Indianapolis","Indianapolis, IN",0,14,"Lucas Oil Stadium",527,0.9071682,1130,"Indianapolis",-86.1639,39.7601,"2018-09-13T22:29:37Z","QRCODE_TM",FALSE
"29","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","nfl","2018-09-30T21:00:00","","2018-09-30T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Bengals at Falcons","Cincinnati Bengals at Atlanta Falcons",FALSE,0.796,"2018-04-20T00:47:42",FALSE,0.685,"2018-09-30T17:00:00",4347052,NA,NA,NA,77,210.74,832,77,6009,"2018-08-23T20:14:46Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","30313",TRUE,"35 Northside Dr NW","mercedes-benz-stadium","US","Mercedes-Benz Stadium","GA","America/New_York","Atlanta, GA",0,19,"Mercedes-Benz Stadium",0,0.76958936,419590,"Atlanta",-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
