"","date","timestamp","created_at","status","description","datetime_utc","date_tbd","popularity","score","time_tbd","is_open","visible_until_utc","url","datetime_tbd","id","announce_date","type","datetime_local","short_title","title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","address","has_upcoming_events","display_location","metro_code","extended_address","popularity_venue","score_venue","state","country","name","url_venue","slug","postal_code","id_venue","timezone","name_v2","num_upcoming_events","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"65","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:50","normal","","2018-10-15T00:20:00",FALSE,0.903,0.942,FALSE,FALSE,"2018-10-15T04:20:00","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095",FALSE,4347095,"2018-04-20T00:00:00","nfl","2018-10-14T20:20:00","Chiefs at Patriots","Kansas City Chiefs at New England Patriots",NA,191,405,212,498.55496,245,1437,703,"2018-08-24T21:53:35Z",FALSE,"QRCODE","1 Patriot Place",TRUE,"Foxborough, MA",506,"Foxborough, MA 02035",0,0.8983344,"MA","US","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium","02035",33,"America/New_York","Gillette Stadium",15,"Foxborough",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"66","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:13","normal","","2018-10-16T00:15:00",FALSE,0.891,0.926,FALSE,FALSE,"2018-10-16T04:15:00","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914",FALSE,4346914,"2018-04-20T00:00:00","nfl","2018-10-15T19:15:00","49ers at Packers","San Francisco 49ers at Green Bay Packers",NA,118,329,181,340.8305,187,1107,571,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1265 Lombardi Avenue",TRUE,"Green Bay, WI",658,"Green Bay, WI 54304",0,0.92909414,"WI","US","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","54304",1125,"America/Chicago","Lambeau Field",6,"Green Bay",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"67","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:51","normal","","2018-10-19T00:20:00",FALSE,0.881,0.918,FALSE,FALSE,"2018-10-19T04:20:00","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",FALSE,4347102,"2018-04-20T00:00:00","nfl","2018-10-18T17:20:00","Broncos at Cardinals","Denver Broncos at Arizona Cardinals",NA,471,140,55,171.54778,56,607,869,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1 Cardinals Drive",TRUE,"Glendale, AZ",753,"Glendale, AZ 85305",0,0.93402725,"AZ","US","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","state-farm-stadium","85305",43,"America/Phoenix","State Farm Stadium",9,"Glendale",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"68","2018-09-21","2018-09-21_11.00.46","2018-08-01T16:01:33","normal","","2018-10-20T23:30:00",FALSE,0.48,0.399,FALSE,FALSE,"2018-10-21T03:30:00","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/10-20-2018-jonesboro-arkansas-asu-convocation-center-1/nfl/4471322",FALSE,4471322,"2018-08-01T00:00:00","nfl","2018-10-20T18:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","217 Olympic Drive",TRUE,"Jonesboro, AR",734,"Jonesboro, AR 72401",0,0.5808074,"AR","US","ASU Convocation Center","https://seatgeek.com/venues/asu-convocation-center-1/tickets","asu-convocation-center-1","72401",4081,"America/Chicago","ASU Convocation Center",32,"Jonesboro",35.8438,-90.6691,NA,NA,NA
"69","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:22","normal","","2018-10-21T17:00:00",FALSE,0.834,0.857,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",FALSE,4346960,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Bills at Colts","Buffalo Bills at Indianapolis Colts",NA,646,82,33,106.83282,33,875,1045,"2018-08-24T21:53:38Z",FALSE,"QRCODE","500 South Capitol Avenue",TRUE,"Indianapolis, IN",527,"Indianapolis, IN 46225",0,0.9071682,"IN","US","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium","46225",1130,"America/Indiana/Indianapolis","Lucas Oil Stadium",14,"Indianapolis",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"70","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:33","normal","","2018-10-21T17:00:00",FALSE,0.917,0.972,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",FALSE,4347008,"2018-04-20T00:00:00","nfl","2018-10-21T12:00:00","Patriots at Bears","New England Patriots at Chicago Bears",NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1410 S. Museum Campus Drive",TRUE,"Chicago, IL",602,"Chicago, IL 60605",0,0.940013,"IL","US","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","soldier-field","60605",31,"America/Chicago","Soldier Field",10,"Chicago",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"71","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:26","normal","","2018-10-21T17:00:00",FALSE,0.892,0.942,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",FALSE,4346975,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Vikings at Jets","Minnesota Vikings at New York Jets",NA,446,180,68,217.94618,72,1065,963,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1 MetLife Stadium Drive",TRUE,"East Rutherford, NJ",501,"East Rutherford, NJ 07073",0,0.94873494,"NJ","US","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","07073",1587,"America/New_York","MetLife Stadium",17,"East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"72","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:47","normal","","2018-10-21T17:00:00",FALSE,0.846,0.884,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",FALSE,4347084,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Lions at Dolphins","Detroit Lions at Miami Dolphins",NA,164,135,53,151.34756,62,900,989,"2018-08-24T21:53:38Z",FALSE,"QRCODE","347 Don Shula Dr.",TRUE,"Miami Gardens, FL",528,"Miami Gardens, FL 33056",0,0.8378203,"FL","US","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","33056",29,"America/New_York","Hard Rock Stadium",38,"Miami Gardens",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"73","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:16","normal","","2018-10-21T17:00:00",FALSE,0.839,0.873,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",FALSE,4346931,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Browns at Buccaneers","Cleveland Browns at Tampa Bay Buccaneers",NA,18,183,79,272,137,558,434,"2018-08-24T21:53:38Z",FALSE,"QRCODE","4201 North Dale Mabry Highway",TRUE,"Tampa, FL",539,"Tampa, FL 33607",0,0.86513025,"FL","US","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","33607",39,"America/New_York","Raymond James Stadium",16,"Tampa",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"74","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:19","normal","","2018-10-21T17:00:00",FALSE,0.793,0.813,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-everbank-field/nfl/4346948",FALSE,4346948,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Texans at Jaguars","Houston Texans at Jacksonville Jaguars",NA,609,97,48,126.32184,48,589,879,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1 Everbank Field Dr",TRUE,"Jacksonville, FL",561,"Jacksonville, FL 32202",0,0.83759147,"FL","US","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","everbank-field","32202",5178,"America/New_York","EverBank Field",9,"Jacksonville",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
