"","date","timestamp","date_tbd","id","short_title","score","datetime_tbd","status","is_open","announce_date","url","popularity","title","visible_until_utc","datetime_local","description","datetime_utc","created_at","type","time_tbd","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","postal_code","country","id_venue","name","extended_address","score_venue","state","url_venue","timezone","has_upcoming_events","popularity_venue","display_location","metro_code","num_upcoming_events","name_v2","city","address","slug","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"132","2018-10-19","2018-10-19_08.21.47",FALSE,4347144,"Dolphins at Vikings",0.939,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144",0.839,"Miami Dolphins at Minnesota Vikings","2018-12-16T22:00:00","2018-12-16T12:00:00","","2018-12-16T18:00:00","2018-04-20T01:04:05","nfl",FALSE,NA,214,1520,486,260.59464,98,98,1791,"2018-08-24T21:53:42Z",FALSE,"QRCODE","55415","US",218451,"U.S. Bank Stadium","Minneapolis, MN 55415",0.88524246,"MN","https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago",TRUE,0,"Minneapolis, MN",0,14,"U.S. Bank Stadium","Minneapolis","401 Chicago Avenue","u-s-bank-stadium",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"133","2018-10-19","2018-10-19_08.21.47",FALSE,4347037,"Raiders at Bengals",0.904,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037",0.804,"Oakland Raiders at Cincinnati Bengals","2018-12-16T22:00:00","2018-12-16T13:00:00","","2018-12-16T18:00:00","2018-04-20T00:47:39","nfl",FALSE,NA,105,1052,582,125.484535,50,44,1168,"2018-08-24T21:53:42Z",FALSE,"QRCODE","45202","US",1124,"Paul Brown Stadium","Cincinnati, OH 45202",0.86166537,"OH","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",TRUE,0,"Cincinnati, OH",515,5,"Paul Brown Stadium","Cincinnati","1 Paul Brown Stadium","paul-brown-stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"134","2018-10-19","2018-10-19_08.21.47",FALSE,4346988,"Titans at Giants",0.915,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988",0.811,"Tennessee Titans at New York Giants","2018-12-16T22:00:00","2018-12-16T13:00:00","","2018-12-16T18:00:00","2018-04-20T00:47:29","nfl",FALSE,NA,133,2270,965,171.77824,62,65,1217,"2018-08-24T21:53:42Z",FALSE,"QRCODE","07073","US",1587,"MetLife Stadium","East Rutherford, NJ 07073",0.94873494,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,0,"East Rutherford, NJ",501,12,"MetLife Stadium","East Rutherford","1 MetLife Stadium Drive","metlife-stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"135","2018-10-19","2018-10-19_08.21.47",FALSE,4347122,"Seahawks at 49ers",0.957,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122",0.844,"Seattle Seahawks at San Francisco 49ers","2018-12-17T01:05:00","2018-12-16T13:05:00","","2018-12-16T21:05:00","2018-04-20T00:47:55","nfl",FALSE,NA,143,2208,1129,160.39238,62,59,2989,"2018-08-24T21:53:42Z",FALSE,"QRCODE","95054","US",58670,"Levi's Stadium","Santa Clara, CA 95054",0.95768774,"CA","https://seatgeek.com/venues/levi-s-stadium/tickets","America/Los_Angeles",TRUE,0,"Santa Clara, CA",0,10,"Levi's Stadium","Santa Clara","4900 Marie P DeBartolo Way","levi-s-stadium",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"136","2018-10-19","2018-10-19_08.21.47",FALSE,4347077,"Patriots at Steelers",0.981,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077",0.866,"New England Patriots at Pittsburgh Steelers","2018-12-17T01:25:00","2018-12-16T16:25:00","","2018-12-16T21:25:00","2018-04-20T00:47:46","nfl",FALSE,NA,341,1837,632,425.80063,203,187,10979,"2018-08-24T21:53:42Z",FALSE,"QRCODE","15212","US",1119,"Heinz Field","Pittsburgh, PA 15212",0.9033526,"PA","https://seatgeek.com/venues/heinz-field/tickets","America/New_York",TRUE,0,"Pittsburgh, PA",508,7,"Heinz Field","Pittsburgh","100 Art Rooney Avenue","heinz-field",40.4468,-80.0158,"2018-10-04T12:42:28Z",FALSE,"QRCODE"
"137","2018-10-19","2018-10-19_08.21.47",FALSE,4346919,"Eagles at Rams",0.952,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919",0.837,"Philadelphia Eagles at Los Angeles Rams","2018-12-17T05:20:00","2018-12-16T17:20:00","","2018-12-17T01:20:00","2018-04-20T00:47:14","nfl",FALSE,NA,275,1697,629,359.63593,118,118,1938,"2018-08-24T21:53:42Z",FALSE,"QRCODE","90037","US",51012,"Los Angeles Memorial Coliseum","Los Angeles, CA 90037",0.86898464,"CA","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",TRUE,0,"Los Angeles, CA",0,8,"Los Angeles Memorial Coliseum","Los Angeles","3911 S Figueroa St","los-angeles-memorial-coliseum-1",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"138","2018-10-19","2018-10-19_08.21.47",FALSE,4347035,"Saints at Panthers",0.923,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035",0.812,"New Orleans Saints at Carolina Panthers","2018-12-18T05:15:00","2018-12-17T20:15:00","","2018-12-18T01:15:00","2018-04-20T00:47:38","nfl",FALSE,NA,167,1737,577,236.54593,84,84,1025,"2018-08-24T21:53:42Z",FALSE,"QRCODE","28202","US",1122,"Bank of America Stadium","Charlotte, NC 28202",0.8968222,"NC","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",TRUE,0,"Charlotte, NC",517,9,"Bank of America Stadium","Charlotte","800 South Mint Street","bank-of-america-stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"139","2018-10-19","2018-10-19_08.21.47",FALSE,4346986,"Redskins at Titans",0.856,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986",0.763,"Washington Redskins at Tennessee Titans","2018-12-23T21:00:00","2018-12-23T12:00:00","","2018-12-23T17:00:00","2018-04-20T00:47:29","nfl",FALSE,NA,121,1592,661,142.4947,44,35,780,"2018-08-24T21:53:43Z",FALSE,"QRCODE","37213","US",1126,"Nissan Stadium","Nashville, TN 37213",0.8546275,"TN","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",TRUE,0,"Nashville, TN",659,16,"Nissan Stadium","Nashville","1 Titans Way","nissan-stadium",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"140","2018-10-19","2018-10-19_08.21.47",FALSE,4346994,"Bengals at Browns",0.885,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994",0.791,"Cincinnati Bengals at Cleveland Browns","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:31","nfl",FALSE,NA,86,1725,1238,102.30614,39,39,757,"2018-08-24T21:53:43Z",FALSE,"QRCODE","44114","US",1123,"FirstEnergy Stadium","Cleveland, OH 44114",0.86852187,"OH","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York",TRUE,0,"Cleveland, OH",510,5,"FirstEnergy Stadium","Cleveland","100 Alfred Lerner Way","firstenergy-stadium-15",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"141","2018-10-19","2018-10-19_08.21.47",FALSE,4347013,"Texans at Eagles",0.936,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013",0.825,"Houston Texans at Philadelphia Eagles","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:35","nfl",FALSE,NA,266,1796,527,314.37192,146,105,2245,"2018-08-24T21:53:43Z",FALSE,"QRCODE","19148","US",330,"Lincoln Financial Field","Philadelphia, PA 19148",0.90542686,"PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",TRUE,0,"Philadelphia, PA",504,13,"Lincoln Financial Field","Philadelphia","1020 Pattison Ave","lincoln-financial-field",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"142","2018-10-19","2018-10-19_08.21.47",FALSE,4346959,"Packers at Jets",0.994,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959",0.863,"Green Bay Packers at New York Jets","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:22","nfl",FALSE,NA,224,1454,752,261.0093,86,86,1344,"2018-08-24T21:53:43Z",FALSE,"QRCODE","07073","US",1587,"MetLife Stadium","East Rutherford, NJ 07073",0.94873494,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,0,"East Rutherford, NJ",501,12,"MetLife Stadium","East Rutherford","1 MetLife Stadium Drive","metlife-stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"143","2018-10-19","2018-10-19_08.21.47",FALSE,4347046,"Falcons at Panthers",0.917,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046",0.808,"Atlanta Falcons at Carolina Panthers","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:41","nfl",FALSE,NA,169,1709,659,234.77086,79,83,1025,"2018-08-24T21:53:43Z",FALSE,"QRCODE","28202","US",1122,"Bank of America Stadium","Charlotte, NC 28202",0.8968222,"NC","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",TRUE,0,"Charlotte, NC",517,9,"Bank of America Stadium","Charlotte","800 South Mint Street","bank-of-america-stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"144","2018-10-19","2018-10-19_08.21.47",FALSE,4347022,"Vikings at Lions",0.954,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022",0.846,"Minnesota Vikings at Detroit Lions","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:36","nfl",FALSE,NA,159,989,642,182.86916,73,63,899,"2018-08-24T21:53:43Z",FALSE,"QRCODE","48226","US",346,"Ford Field","Detroit, MI 48226",0.9029952,"MI","https://seatgeek.com/venues/ford-field/tickets","America/Detroit",TRUE,0,"Detroit, MI",505,11,"Ford Field","Detroit","2000 Brush St.","ford-field",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"145","2018-10-19","2018-10-19_08.21.47",FALSE,4347085,"Jaguars at Dolphins",0.89,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085",0.783,"Jacksonville Jaguars at Miami Dolphins","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:48","nfl",FALSE,NA,142,1515,223,166.0269,50,50,899,"2018-08-24T21:53:43Z",FALSE,"QRCODE","33056","US",29,"Hard Rock Stadium","Miami Gardens, FL 33056",0.8378203,"FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York",TRUE,0,"Miami Gardens, FL",528,32,"Hard Rock Stadium","Miami Gardens","347 Don Shula Dr.","hard-rock-stadium",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"146","2018-10-19","2018-10-19_08.21.47",FALSE,4346954,"Giants at Colts",0.912,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954",0.812,"New York Giants at Indianapolis Colts","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:20","nfl",FALSE,NA,88,1248,827,108.614265,34,35,455,"2018-08-24T21:53:42Z",FALSE,"QRCODE","46225","US",1130,"Lucas Oil Stadium","Indianapolis, IN 46225",0.9071682,"IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",TRUE,0,"Indianapolis, IN",527,12,"Lucas Oil Stadium","Indianapolis","500 South Capitol Avenue","lucas-oil-stadium",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"147","2018-10-19","2018-10-19_08.21.47",FALSE,4347093,"Bills at Patriots",0.955,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093",0.847,"Buffalo Bills at New England Patriots","2018-12-23T22:00:00","2018-12-23T13:00:00","","2018-12-23T18:00:00","2018-04-20T00:47:50","nfl",FALSE,NA,280,940,224,348.25,173,174,1114,"2018-08-24T21:53:43Z",FALSE,"QRCODE","02035","US",33,"Gillette Stadium","Foxborough, MA 02035",0.8983344,"MA","https://seatgeek.com/venues/gillette-stadium/tickets","America/New_York",TRUE,0,"Foxborough, MA",506,11,"Gillette Stadium","Foxborough","1 Patriot Place","gillette-stadium",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"148","2018-10-19","2018-10-19_08.21.47",FALSE,4327918,"Buccaneers at Cowboys",0.974,FALSE,"normal",TRUE,"2018-04-05T00:00:00","https://seatgeek.com/buccaneers-at-cowboys-tickets/12-23-2018-arlington-texas-at-t-stadium/nfl/4327918",0.853,"Tampa Bay Buccaneers at Dallas Cowboys","2018-12-23T22:00:00","2018-12-23T12:00:00","","2018-12-23T18:00:00","2018-04-05T23:08:46","nfl",FALSE,NA,200,2990,4112,259.1549,NA,NA,6056,"2018-10-06T23:29:11Z",FALSE,"QRCODE_TM","76011","US",4965,"AT&T Stadium","Arlington, TX 76011",0.9751414,"TX","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago",TRUE,0,"Arlington, TX",623,17,"AT&T Stadium","Arlington","1 AT&T Way","at-t-stadium",32.7459,-97.0957,"2018-10-06T23:29:11Z",FALSE,"QRCODE_TM"
"149","2018-10-19","2018-10-19_08.21.47",FALSE,4347097,"Rams at Cardinals",0.914,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/rams-at-cardinals-tickets/12-23-2018-glendale-arizona-state-farm-stadium/nfl/4347097",0.813,"Los Angeles Rams at Arizona Cardinals","2018-12-24T01:05:00","2018-12-23T14:05:00","","2018-12-23T21:05:00","2018-04-20T00:47:50","nfl",FALSE,NA,93,1771,1184,120.914696,27,27,6034,"2018-08-24T21:53:43Z",FALSE,"QRCODE","85305","US",43,"State Farm Stadium","Glendale, AZ 85305",0.93402725,"AZ","https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix",TRUE,0,"Glendale, AZ",753,9,"State Farm Stadium","Glendale","1 Cardinals Drive","state-farm-stadium",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"150","2018-10-19","2018-10-19_08.21.47",FALSE,4347106,"Ravens at Chargers",0.945,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/ravens-at-chargers-tickets/12-23-2018-carson-california-stubhub-center/nfl/4347106",0.822,"Baltimore Ravens at Los Angeles Chargers","2018-12-24T01:05:00","2018-12-23T13:05:00","","2018-12-23T21:05:00","2018-04-20T00:47:52","nfl",FALSE,NA,202,665,345,239.67827,127,127,611,"2018-08-24T21:53:43Z",FALSE,"QRCODE","90746","US",52,"StubHub Center","Carson, CA 90746",0.7228164,"CA","https://seatgeek.com/venues/stubhub-center/tickets","America/Los_Angeles",TRUE,0,"Carson, CA",803,10,"StubHub Center","Carson","18400 Avalon Blvd","stubhub-center",33.8643,-118.261,NA,NA,NA
