"","date","timestamp","datetime_tbd","description","is_open","short_title","visible_until_utc","type","score","time_tbd","date_tbd","announce_date","popularity","url","datetime_local","status","title","datetime_utc","created_at","id","general_admission","median_price","lowest_price_good_deals","lowest_price","visible_listing_count","average_price","highest_price","listing_count","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","has_upcoming_events","score_venue","slug","country","city","popularity_venue","postal_code","url_venue","extended_address","timezone","address","name","display_location","metro_code","state","id_venue","num_upcoming_events","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"203","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Saints at Panthers","2018-12-18T05:15:00","nfl",0.933,FALSE,FALSE,"2018-04-20T00:00:00",0.819,"https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035","2018-12-17T20:15:00","normal","New Orleans Saints at Carolina Panthers","2018-12-18T01:15:00","2018-04-20T00:47:38",4347035,NA,160,77,78,1053,222.33855,1422,511,FALSE,"2018-08-24T21:53:42Z","QRCODE","Bank of America Stadium",TRUE,0.8968222,"bank-of-america-stadium","US","Charlotte",0,"28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC 28202","America/New_York","800 South Mint Street","Bank of America Stadium","Charlotte, NC",517,"NC",1122,9,35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"204","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Redskins at Titans","2018-12-23T21:00:00","nfl",0.867,FALSE,FALSE,"2018-04-20T00:00:00",0.768,"https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-12-23T12:00:00","normal","Washington Redskins at Tennessee Titans","2018-12-23T17:00:00","2018-04-20T00:47:29",4346986,NA,137,40,40,1027,151.3873,788,630,FALSE,"2018-08-24T21:53:43Z","QRCODE","Nissan Stadium",TRUE,0.8546275,"nissan-stadium","US","Nashville",0,"37213","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","America/New_York","1 Titans Way","Nissan Stadium","Nashville, TN",659,"TN",1126,14,36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"205","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Bengals at Browns","2018-12-23T22:00:00","nfl",0.888,FALSE,FALSE,"2018-04-20T00:00:00",0.786,"https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-12-23T13:00:00","normal","Cincinnati Bengals at Cleveland Browns","2018-12-23T18:00:00","2018-04-20T00:47:31",4346994,NA,74,30,32,1555,93.299095,757,1324,FALSE,"2018-08-24T21:53:43Z","QRCODE","FirstEnergy Stadium",TRUE,0.86852187,"firstenergy-stadium-15","US","Cleveland",0,"44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","America/New_York","100 Alfred Lerner Way","FirstEnergy Stadium","Cleveland, OH",510,"OH",1123,7,41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"206","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Texans at Eagles","2018-12-23T22:00:00","nfl",0.923,FALSE,FALSE,"2018-04-20T00:00:00",0.809,"https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-12-23T13:00:00","normal","Houston Texans at Philadelphia Eagles","2018-12-23T18:00:00","2018-04-20T00:47:35",4347013,NA,NA,142,142,NA,340.8,1339,588,FALSE,"2018-08-24T21:53:43Z","QRCODE","Lincoln Financial Field",TRUE,0.90542686,"lincoln-financial-field","US","Philadelphia",0,"19148","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","America/New_York","1020 Pattison Ave","Lincoln Financial Field","Philadelphia, PA",504,"PA",330,16,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"207","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Packers at Jets","2018-12-23T22:00:00","nfl",0.998,FALSE,FALSE,"2018-04-20T00:00:00",0.869,"https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959","2018-12-23T13:00:00","normal","Green Bay Packers at New York Jets","2018-12-23T18:00:00","2018-04-20T00:47:22",4346959,NA,243,87,103,1095,278.41846,1344,791,FALSE,"2018-08-24T21:53:43Z","QRCODE","MetLife Stadium",TRUE,0.94873494,"metlife-stadium","US","East Rutherford",0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","America/New_York","1 MetLife Stadium Drive","MetLife Stadium","East Rutherford, NJ",501,"NJ",1587,17,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"208","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Jaguars at Dolphins","2018-12-23T22:00:00","nfl",0.887,FALSE,FALSE,"2018-04-20T00:00:00",0.769,"https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085","2018-12-23T13:00:00","normal","Jacksonville Jaguars at Miami Dolphins","2018-12-23T18:00:00","2018-04-20T00:47:48",4347085,NA,131,52,53,851,152.3372,899,258,FALSE,"2018-08-24T21:53:43Z","QRCODE","Hard Rock Stadium",TRUE,0.8378203,"hard-rock-stadium","US","Miami Gardens",0,"33056","https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL 33056","America/New_York","347 Don Shula Dr.","Hard Rock Stadium","Miami Gardens, FL",528,"FL",29,38,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"209","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Vikings at Lions","2018-12-23T22:00:00","nfl",0.964,FALSE,FALSE,"2018-04-20T00:00:00",0.853,"https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022","2018-12-23T13:00:00","normal","Minnesota Vikings at Detroit Lions","2018-12-23T18:00:00","2018-04-20T00:47:36",4347022,NA,176,74,79,914,207.79828,2392,699,FALSE,"2018-08-24T21:53:43Z","QRCODE","Ford Field",TRUE,0.9029952,"ford-field","US","Detroit",0,"48226","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI 48226","America/Detroit","2000 Brush St.","Ford Field","Detroit, MI",505,"MI",346,9,42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"210","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Falcons at Panthers","2018-12-23T22:00:00","nfl",0.924,FALSE,FALSE,"2018-04-20T00:00:00",0.811,"https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046","2018-12-23T13:00:00","normal","Atlanta Falcons at Carolina Panthers","2018-12-23T18:00:00","2018-04-20T00:47:41",4347046,NA,174,84,84,1062,232.63844,1132,614,FALSE,"2018-08-24T21:53:43Z","QRCODE","Bank of America Stadium",TRUE,0.8968222,"bank-of-america-stadium","US","Charlotte",0,"28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC 28202","America/New_York","800 South Mint Street","Bank of America Stadium","Charlotte, NC",517,"NC",1122,9,35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"211","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Bills at Patriots","2018-12-23T22:00:00","nfl",0.951,FALSE,FALSE,"2018-04-20T00:00:00",0.845,"https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093","2018-12-23T13:00:00","normal","Buffalo Bills at New England Patriots","2018-12-23T18:00:00","2018-04-20T00:47:50",4347093,NA,284,168,168,760,358.01596,1114,313,FALSE,"2018-08-24T21:53:43Z","QRCODE","Gillette Stadium",TRUE,0.8983344,"gillette-stadium","US","Foxborough",0,"02035","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA 02035","America/New_York","1 Patriot Place","Gillette Stadium","Foxborough, MA",506,"MA",33,15,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"212","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Giants at Colts","2018-12-23T22:00:00","nfl",0.917,FALSE,FALSE,"2018-04-20T00:00:00",0.812,"https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954","2018-12-23T13:00:00","normal","New York Giants at Indianapolis Colts","2018-12-23T18:00:00","2018-04-20T00:47:20",4346954,NA,103,35,35,1018,123.52242,1201,825,FALSE,"2018-08-24T21:53:42Z","QRCODE","Lucas Oil Stadium",TRUE,0.9071682,"lucas-oil-stadium","US","Indianapolis",0,"46225","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN 46225","America/Indiana/Indianapolis","500 South Capitol Avenue","Lucas Oil Stadium","Indianapolis, IN",527,"IN",1130,12,39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
