"","date","timestamp","title","datetime_local","created_at","type","url","visible_until_utc","description","date_tbd","score","datetime_utc","popularity","short_title","announce_date","datetime_tbd","id","is_open","status","time_tbd","general_admission","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","name_v2","url_venue","extended_address","slug","display_location","has_upcoming_events","address","timezone","score_venue","popularity_venue","city","state","id_venue","num_upcoming_events","name","postal_code","country","metro_code","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"54","2018-10-18","2018-10-18_16.00.59","Miami Dolphins at Green Bay Packers","2018-11-11T12:00:00","2018-04-20T00:47:13","nfl","https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912","2018-11-11T22:00:00","",FALSE,0.944,"2018-11-11T18:00:00",0.868,"Dolphins at Packers","2018-04-20T00:00:00",FALSE,4346912,FALSE,"normal",FALSE,NA,363.81732,659,180,367,636,227,104,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI 54304","lambeau-field","Green Bay, WI",TRUE,"1265 Lombardi Avenue","America/Chicago",0.92909414,0,"Green Bay","WI",1125,4,"Lambeau Field","54304","US",658,44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"55","2018-10-18","2018-10-18_16.00.59","Los Angeles Chargers at Oakland Raiders","2018-11-11T13:05:00","2018-04-20T00:47:56","nfl","https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130","2018-11-12T01:05:00","",FALSE,0.909,"2018-11-11T21:05:00",0.838,"Chargers at Raiders","2018-04-20T00:00:00",FALSE,4347130,FALSE,"normal",FALSE,NA,186.17995,497,77,181,1619,85,439,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland, CA 94621","oakland-alameda-county-coliseum","Oakland, CA",TRUE,"7000 Coliseum Way","America/Los_Angeles",0.7817843,0,"Oakland","CA",14,9,"Oakland-Alameda County Coliseum","94621","US",807,37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"56","2018-10-18","2018-10-18_16.00.59","Seattle Seahawks at Los Angeles Rams","2018-11-11T13:25:00","2018-04-20T00:47:14","nfl","https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","2018-11-12T01:25:00","",FALSE,0.916,"2018-11-11T21:25:00",0.842,"Seahawks at Rams","2018-04-20T00:00:00",FALSE,4346920,FALSE,"normal",FALSE,NA,227.34988,922,68,172,1429,89,423,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles, CA 90037","los-angeles-memorial-coliseum-1","Los Angeles, CA",TRUE,"3911 S Figueroa St","America/Los_Angeles",0.86898464,0,"Los Angeles","CA",51012,8,"Los Angeles Memorial Coliseum","90037","US",0,34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"57","2018-10-18","2018-10-18_16.00.59","Alex G with Half Waif","2018-11-11T19:00:00","2018-08-23T20:13:51","concert","https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","2018-11-12T04:00:00","",FALSE,0.435,"2018-11-12T00:00:00",0.525,"Alex G with Half Waif","2018-08-23T00:00:00",FALSE,4500554,FALSE,"normal",FALSE,TRUE,199.8,584,NA,113,1,102,10,NA,NA,NA,"Crowbar","https://seatgeek.com/venues/crowbar-2/tickets","Tampa, FL 33605","crowbar-2","Tampa, FL",TRUE,"1812 North 17th Street","America/New_York",0.42424366,0,"Tampa","FL",3160,29,"Crowbar","33605","US",539,27.9608,-82.4406,NA,NA,NA
"58","2018-10-18","2018-10-18_16.00.59","Dallas Cowboys at Philadelphia Eagles","2018-11-11T20:20:00","2018-04-20T00:47:38","nfl","https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","2018-11-12T05:20:00","",FALSE,0.981,"2018-11-12T01:20:00",0.888,"Cowboys at Eagles","2018-04-20T00:00:00",FALSE,4347031,FALSE,"normal",FALSE,NA,481.6021,2588,151,429,1539,205,284,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","lincoln-financial-field","Philadelphia, PA",TRUE,"1020 Pattison Ave","America/New_York",0.90542686,0,"Philadelphia","PA",330,13,"Lincoln Financial Field","19148","US",504,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"59","2018-10-18","2018-10-18_16.00.59","New York Giants at San Francisco 49ers","2018-11-12T17:15:00","2018-04-20T00:47:54","nfl","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","2018-11-13T05:15:00","",FALSE,0.948,"2018-11-13T01:15:00",0.864,"Giants at 49ers","2018-04-20T00:00:00",FALSE,4347117,FALSE,"normal",FALSE,NA,147.11226,696,44,131,2243,44,1060,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA 95054","levi-s-stadium","Santa Clara, CA",TRUE,"4900 Marie P DeBartolo Way","America/Los_Angeles",0.95768774,0,"Santa Clara","CA",58670,10,"Levi's Stadium","95054","US",0,37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"60","2018-10-18","2018-10-18_16.00.59","Green Bay Packers at Seattle Seahawks","2018-11-15T17:20:00","2018-04-20T00:47:56","nfl","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126","2018-11-16T05:20:00","",FALSE,0.983,"2018-11-16T01:20:00",0.887,"Packers at Seahawks","2018-04-20T00:00:00",FALSE,4347126,FALSE,"normal",FALSE,NA,556.8873,1599,224,453,1441,259,142,"2018-08-24T21:53:40Z",FALSE,"QRCODE","CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA 98134","centurylink-field","Seattle, WA",TRUE,"800 Occidental Ave S","America/Los_Angeles",0.87232786,0,"Seattle","WA",339,8,"CenturyLink Field","98134","US",819,47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"61","2018-10-18","2018-10-18_16.00.59","South Alabama Jaguars at Louisiana Ragin Cajuns Football","2018-11-17T16:00:00","2018-02-28T15:00:12","ncaa_football","https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-4-pm/4281956","2018-11-18T02:00:00","",FALSE,0.424,"2018-11-17T22:00:00",0.505,"South Alabama at Louisiana","2018-02-28T00:00:00",FALSE,4281956,FALSE,"normal",FALSE,NA,64.98131,103,54,59,37,54,107,NA,NA,NA,"Cajun Field","https://seatgeek.com/venues/cajun-field/tickets","Lafayette, LA 70506","cajun-field","Lafayette, LA",TRUE,"201 Rhienhardt Drive","America/Chicago",0.43303972,0,"Lafayette","LA",2796,3,"Cajun Field","70506","US",642,30.22,-92.04,NA,NA,NA
"62","2018-10-18","2018-10-18_16.00.59","Cincinnati Bengals at Baltimore Ravens","2018-11-18T13:00:00","2018-04-20T00:47:45","nfl","https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068","2018-11-18T22:00:00","",FALSE,0.859,"2018-11-18T18:00:00",0.796,"Bengals at Ravens","2018-04-20T00:00:00",FALSE,4347068,FALSE,"normal",FALSE,NA,138.27405,715,44,106,1940,45,551,"2018-08-24T21:53:40Z",FALSE,"QRCODE","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","m-t-bank-stadium","Baltimore, MD",TRUE,"1101 Russell St","America/New_York",0.8927189,0,"Baltimore","MD",1121,6,"M&T Bank Stadium","21230","US",512,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"63","2018-10-18","2018-10-18_16.00.59","Philadelphia Eagles at New Orleans Saints","2018-11-18T12:00:00","2018-04-20T00:47:25","nfl","https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969","2018-11-18T22:00:00","",FALSE,0.936,"2018-11-18T18:00:00",0.858,"Eagles at Saints","2018-04-20T00:00:00",FALSE,4346969,TRUE,"normal",FALSE,NA,369.42105,3000,166,341,1105,166,1197,"2018-05-29T20:39:16Z",FALSE,"QRCODE","Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA 70112","mercedes-benz-superdome","New Orleans, LA",TRUE,"1500 Sugar Bowl Drive","America/Chicago",0.8966978,0,"New Orleans","LA",128,15,"Mercedes-Benz Superdome","70112","US",622,29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"64","2018-10-18","2018-10-18_16.00.59","Minnesota Vikings at Chicago Bears","2018-11-18T12:00:00","2018-04-20T00:47:32","nfl","https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005","2018-11-18T22:00:00","",FALSE,0.943,"2018-11-18T18:00:00",0.857,"Vikings at Bears","2018-04-20T00:00:00",FALSE,4347005,FALSE,"normal",FALSE,NA,412.29135,1049,194,378,1124,190,127,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL 60605","soldier-field","Chicago, IL",TRUE,"1410 S. Museum Campus Drive","America/Chicago",0.940013,0,"Chicago","IL",31,8,"Soldier Field","60605","US",602,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"65","2018-10-18","2018-10-18_16.00.59","Dallas Cowboys at Atlanta Falcons","2018-11-18T13:00:00","2018-04-20T00:47:41","nfl","https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049","2018-11-18T22:00:00","",FALSE,0.981,"2018-11-18T18:00:00",0.891,"Cowboys at Falcons","2018-04-20T00:00:00",FALSE,4347049,FALSE,"normal",FALSE,NA,376.30978,1600,160,313,2297,160,665,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","mercedes-benz-stadium","Atlanta, GA",TRUE,"35 Northside Dr NW","America/New_York",0.76958936,0,"Atlanta","GA",419590,16,"Mercedes-Benz Stadium","30313","US",0,33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"66","2018-10-18","2018-10-18_16.00.59","Carolina Panthers at Detroit Lions","2018-11-18T13:00:00","2018-04-20T00:47:37","nfl","https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025","2018-11-18T22:00:00","",FALSE,0.929,"2018-11-18T18:00:00",0.852,"Panthers at Lions","2018-04-20T00:00:00",FALSE,4347025,FALSE,"normal",FALSE,NA,123.27687,899,58,100,852,58,549,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Ford Field","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI 48226","ford-field","Detroit, MI",TRUE,"2000 Brush St.","America/Detroit",0.9029952,0,"Detroit","MI",346,11,"Ford Field","48226","US",505,42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"67","2018-10-18","2018-10-18_16.00.59","Tennessee Titans at Indianapolis Colts","2018-11-18T13:00:00","2018-04-20T00:47:22","nfl","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957","2018-11-18T22:00:00","",FALSE,0.877,"2018-11-18T18:00:00",0.814,"Titans at Colts","2018-04-20T00:00:00",FALSE,4346957,FALSE,"normal",FALSE,NA,100.263084,1162,26,73,1286,26,688,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN 46225","lucas-oil-stadium","Indianapolis, IN",TRUE,"500 South Capitol Avenue","America/Indiana/Indianapolis",0.9071682,0,"Indianapolis","IN",1130,12,"Lucas Oil Stadium","46225","US",527,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"68","2018-10-18","2018-10-18_16.00.59","Tampa Bay Buccaneers at New York Giants","2018-11-18T13:00:00","2018-04-20T00:47:16","nfl","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929","2018-11-18T22:00:00","",FALSE,0.936,"2018-11-18T18:00:00",0.851,"Buccaneers at Giants","2018-04-20T00:00:00",FALSE,4346929,FALSE,"normal",FALSE,NA,222.04024,1217,85,172,1879,85,497,"2018-08-24T21:53:40Z",FALSE,"QRCODE","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","metlife-stadium","East Rutherford, NJ",TRUE,"1 MetLife Stadium Drive","America/New_York",0.94873494,0,"East Rutherford","NJ",1587,12,"MetLife Stadium","07073","US",501,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"69","2018-10-18","2018-10-18_16.00.59","Houston Texans at Washington Redskins","2018-11-18T13:00:00","2018-04-20T00:47:17","nfl","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939","2018-11-18T22:00:00","",FALSE,0.944,"2018-11-18T18:00:00",0.863,"Texans at Redskins","2018-04-20T00:00:00",FALSE,4346939,FALSE,"normal",FALSE,NA,163.90297,376,62,155,1262,62,639,"2018-08-24T21:53:40Z",FALSE,"QRCODE","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","fedex-field","Landover, MD",TRUE,"1600 Fedex Way","America/New_York",0.9333444,0,"Landover","MD",35,5,"FedEx Field","20785","US",511,38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"70","2018-10-18","2018-10-18_16.00.59","Oakland Raiders at Arizona Cardinals","2018-11-18T14:05:00","2018-04-20T00:47:51","nfl","https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100","2018-11-19T01:05:00","",FALSE,0.943,"2018-11-18T21:05:00",0.861,"Raiders at Cardinals","2018-04-20T00:00:00",FALSE,4347100,FALSE,"normal",FALSE,NA,224.8922,687,75,203,1186,75,538,"2018-08-24T21:53:40Z",FALSE,"QRCODE","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ 85305","state-farm-stadium","Glendale, AZ",TRUE,"1 Cardinals Drive","America/Phoenix",0.93402725,0,"Glendale","AZ",43,10,"State Farm Stadium","85305","US",753,33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"71","2018-10-18","2018-10-18_16.00.59","Denver Broncos at Los Angeles Chargers","2018-11-18T13:05:00","2018-04-20T00:47:52","nfl","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110","2018-11-19T01:05:00","",FALSE,0.967,"2018-11-18T21:05:00",0.872,"Broncos at Chargers","2018-04-20T00:00:00",FALSE,4347110,FALSE,"normal",FALSE,NA,296.10428,612,188,256,611,194,211,"2018-08-24T21:53:40Z",FALSE,"QRCODE","StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA 90746","stubhub-center","Carson, CA",TRUE,"18400 Avalon Blvd","America/Los_Angeles",0.7228164,0,"Carson","CA",52,10,"StubHub Center","90746","US",803,33.8643,-118.261,NA,NA,NA
"72","2018-10-18","2018-10-18_16.00.59","Pittsburgh Steelers at Jacksonville Jaguars","2018-11-18T20:20:00","2018-04-20T00:47:19","nfl","https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-tiaa-bank-field/nfl/4346947","2018-11-19T05:20:00","",FALSE,0.913,"2018-11-19T01:20:00",0.832,"Steelers at Jaguars","2018-04-20T00:00:00",FALSE,4346947,FALSE,"normal",FALSE,NA,980.5567,123582,144,281,1155,156,379,"2018-08-24T21:53:40Z",FALSE,"QRCODE","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","Jacksonville, FL 32202","tiaa-bank-field","Jacksonville, FL",TRUE,"1 Everbank Field Dr","America/New_York",0.83759147,0,"Jacksonville","FL",5178,7,"TIAA Bank Field","32202","US",561,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"73","2018-10-18","2018-10-18_16.00.59","Kansas City Chiefs at Los Angeles Rams","2018-11-19T19:15:00","2018-04-20T01:04:04","nfl","https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137","2018-11-20T05:15:00","",FALSE,0.913,"2018-11-20T01:15:00",0.838,"Chiefs at Rams","2018-04-20T00:00:00",FALSE,4347137,FALSE,"normal",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Estadio Azteca","https://seatgeek.com/venues/estadio-azteca-2/tickets","Mexico City, Mexico","estadio-azteca-2","Mexico City, Mexico",TRUE,"Calzada de Tlalpan 3665","America/Mexico_City",0,0,"Mexico City",NA,41952,1,"Estadio Azteca","04650","Mexico",0,19.3,-99.15,NA,NA,NA
