"","date","timestamp","date_tbd","datetime_utc","popularity","datetime_local","id","score","created_at","short_title","visible_until_utc","type","description","is_open","datetime_tbd","status","url","announce_date","title","time_tbd","general_admission","highest_price","lowest_price","median_price","visible_listing_count","listing_count","average_price","lowest_price_good_deals","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","has_upcoming_events","popularity_venue","postal_code","id_venue","metro_code","display_location","slug","extended_address","name_v2","timezone","score_venue","address","state","city","name","url_venue","country","num_upcoming_events","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"135","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-16T18:00:00",0.847,"2018-12-16T13:00:00",4346988,0.9,"2018-04-20T00:47:29","Titans at Giants","2018-12-16T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988","2018-04-20T00:00:00","Tennessee Titans at New York Giants",FALSE,NA,1217,63,134,2255,971,173.65088,63,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"07073",1587,501,"East Rutherford, NJ","metlife-stadium","East Rutherford, NJ 07073","MetLife Stadium","America/New_York",0.94873494,"1 MetLife Stadium Drive","NJ","East Rutherford","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",12,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"136","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-16T21:05:00",0.87,"2018-12-16T13:05:00",4347122,0.93,"2018-04-20T00:47:55","Seahawks at 49ers","2018-12-17T01:05:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122","2018-04-20T00:00:00","Seattle Seahawks at San Francisco 49ers",FALSE,NA,2988,50,142,2200,1137,163.29903,50,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"95054",58670,0,"Santa Clara, CA","levi-s-stadium","Santa Clara, CA 95054","Levi's Stadium","America/Los_Angeles",0.95768774,"4900 Marie P DeBartolo Way","CA","Santa Clara","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","US",10,-121.969,37.4023,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"137","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-16T21:25:00",0.892,"2018-12-16T16:25:00",4347077,0.952,"2018-04-20T00:47:46","Patriots at Steelers","2018-12-17T01:25:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077","2018-04-20T00:00:00","New England Patriots at Pittsburgh Steelers",FALSE,NA,10750,188,334,1847,642,416.5997,181,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"15212",1119,508,"Pittsburgh, PA","heinz-field","Pittsburgh, PA 15212","Heinz Field","America/New_York",0.9033526,"100 Art Rooney Avenue","PA","Pittsburgh","Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","US",7,-80.0158,40.4468,FALSE,"QRCODE","2018-10-04T12:42:28Z"
"138","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-17T01:20:00",0.865,"2018-12-16T17:20:00",4346919,0.927,"2018-04-20T00:47:14","Eagles at Rams","2018-12-17T05:20:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919","2018-04-20T00:00:00","Philadelphia Eagles at Los Angeles Rams",FALSE,NA,1940,118,275,1681,641,356.16537,118,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"90037",51012,0,"Los Angeles, CA","los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","Los Angeles Memorial Coliseum","America/Los_Angeles",0.86898464,"3911 S Figueroa St","CA","Los Angeles","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US",8,-118.288,34.0138,FALSE,"QRCODE","2018-08-23T17:59:28Z"
"139","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-18T01:15:00",0.839,"2018-12-17T20:15:00",4347035,0.898,"2018-04-20T00:47:38","Saints at Panthers","2018-12-18T05:15:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035","2018-04-20T00:00:00","New Orleans Saints at Carolina Panthers",FALSE,NA,1025,84,167,1749,592,236.63852,84,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"28202",1122,517,"Charlotte, NC","bank-of-america-stadium","Charlotte, NC 28202","Bank of America Stadium","America/New_York",0.8968222,"800 South Mint Street","NC","Charlotte","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",9,-80.8524,35.2243,FALSE,"QRCODE_TM","2015-09-25T18:23:51Z"
"140","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T17:00:00",0.795,"2018-12-23T12:00:00",4346986,0.841,"2018-04-20T00:47:29","Redskins at Titans","2018-12-23T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-04-20T00:00:00","Washington Redskins at Tennessee Titans",FALSE,NA,780,44,121,1589,661,141.8926,35,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"37213",1126,659,"Nashville, TN","nissan-stadium","Nashville, TN 37213","Nissan Stadium","America/New_York",0.8546275,"1 Titans Way","TN","Nashville","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","US",16,-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
"141","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.822,"2018-12-23T13:00:00",4346994,0.867,"2018-04-20T00:47:31","Bengals at Browns","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-04-20T00:00:00","Cincinnati Bengals at Cleveland Browns",FALSE,NA,757,39,86,1722,1243,102.38053,37,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"44114",1123,510,"Cleveland, OH","firstenergy-stadium-15","Cleveland, OH 44114","FirstEnergy Stadium","America/New_York",0.86852187,"100 Alfred Lerner Way","OH","Cleveland","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US",5,-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
"142","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.846,"2018-12-23T13:00:00",4347013,0.904,"2018-04-20T00:47:35","Texans at Eagles","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-04-20T00:00:00","Houston Texans at Philadelphia Eagles",FALSE,NA,2245,146,265,1787,525,313.26096,104,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"19148",330,504,"Philadelphia, PA","lincoln-financial-field","Philadelphia, PA 19148","Lincoln Financial Field","America/New_York",0.90542686,"1020 Pattison Ave","PA","Philadelphia","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US",13,-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"143","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.814,"2018-12-23T13:00:00",4347085,0.871,"2018-04-20T00:47:48","Jaguars at Dolphins","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085","2018-04-20T00:00:00","Jacksonville Jaguars at Miami Dolphins",FALSE,NA,899,50,140,1496,219,165.26027,50,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"33056",29,528,"Miami Gardens, FL","hard-rock-stadium","Miami Gardens, FL 33056","Hard Rock Stadium","America/New_York",0.8378203,"347 Don Shula Dr.","FL","Miami Gardens","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US",32,-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"144","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.882,"2018-12-23T13:00:00",4347022,0.939,"2018-04-20T00:47:36","Vikings at Lions","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022","2018-04-20T00:00:00","Minnesota Vikings at Detroit Lions",FALSE,NA,899,73,157,853,631,179.9271,71,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"48226",346,505,"Detroit, MI","ford-field","Detroit, MI 48226","Ford Field","America/Detroit",0.9029952,"2000 Brush St.","MI","Detroit","Ford Field","https://seatgeek.com/venues/ford-field/tickets","US",11,-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
"145","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.896,"2018-12-23T13:00:00",4346959,0.971,"2018-04-20T00:47:22","Packers at Jets","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959","2018-04-20T00:00:00","Green Bay Packers at New York Jets",FALSE,NA,1343,88,223,1452,752,261.46677,88,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"07073",1587,501,"East Rutherford, NJ","metlife-stadium","East Rutherford, NJ 07073","MetLife Stadium","America/New_York",0.94873494,"1 MetLife Stadium Drive","NJ","East Rutherford","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",12,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"146","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.833,"2018-12-23T13:00:00",4347046,0.89,"2018-04-20T00:47:41","Falcons at Panthers","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046","2018-04-20T00:00:00","Atlanta Falcons at Carolina Panthers",FALSE,NA,1025,78,169,1721,683,236.42606,78,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"28202",1122,517,"Charlotte, NC","bank-of-america-stadium","Charlotte, NC 28202","Bank of America Stadium","America/New_York",0.8968222,"800 South Mint Street","NC","Charlotte","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",9,-80.8524,35.2243,FALSE,"QRCODE_TM","2015-09-25T18:23:51Z"
"147","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.874,"2018-12-23T13:00:00",4347093,0.928,"2018-04-20T00:47:50","Bills at Patriots","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093","2018-04-20T00:00:00","Buffalo Bills at New England Patriots",FALSE,NA,1114,173,283,945,229,348.96506,186,FALSE,"QRCODE","2018-08-24T21:53:43Z",TRUE,0,"02035",33,506,"Foxborough, MA","gillette-stadium","Foxborough, MA 02035","Gillette Stadium","America/New_York",0.8983344,"1 Patriot Place","MA","Foxborough","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","US",11,-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"148","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.84,"2018-12-23T13:00:00",4346954,0.89,"2018-04-20T00:47:20","Giants at Colts","2018-12-23T22:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954","2018-04-20T00:00:00","New York Giants at Indianapolis Colts",FALSE,NA,568,34,88,1247,831,110.24308,34,FALSE,"QRCODE","2018-08-24T21:53:42Z",TRUE,0,"46225",1130,527,"Indianapolis, IN","lucas-oil-stadium","Indianapolis, IN 46225","Lucas Oil Stadium","America/Indiana/Indianapolis",0.9071682,"500 South Capitol Avenue","IN","Indianapolis","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US",12,-86.1639,39.7601,FALSE,"QRCODE_TM","2018-09-13T22:29:37Z"
"149","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-12-23T18:00:00",0.878,"2018-12-23T12:00:00",4327918,0.943,"2018-04-05T23:08:46","Buccaneers at Cowboys","2018-12-23T22:00:00","nfl","",TRUE,FALSE,"normal","https://seatgeek.com/buccaneers-at-cowboys-tickets/12-23-2018-arlington-texas-at-t-stadium/nfl/4327918","2018-04-05T00:00:00","Tampa Bay Buccaneers at Dallas Cowboys",FALSE,NA,6056,NA,200,2995,4098,257.95145,NA,FALSE,"QRCODE_TM","2018-10-06T23:29:11Z",TRUE,0,"76011",4965,623,"Arlington, TX","at-t-stadium","Arlington, TX 76011","AT&T Stadium","America/Chicago",0.9751414,"1 AT&T Way","TX","Arlington","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","US",17,-97.0957,32.7459,FALSE,"QRCODE_TM","2018-10-06T23:29:11Z"
