"","date","timestamp","visible_until_utc","url","datetime_local","datetime_tbd","id","type","score","status","date_tbd","time_tbd","is_open","short_title","popularity","title","announce_date","datetime_utc","description","created_at","general_admission","listing_count","lowest_price","median_price","visible_listing_count","highest_price","average_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","metro_code","city","extended_address","country","url_venue","name_v2","slug","name","score_venue","popularity_venue","num_upcoming_events","id_venue","timezone","has_upcoming_events","state","display_location","postal_code","address","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"161","2018-09-27","2018-09-27_16.00.17","2018-12-09T22:00:00","https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014","2018-12-09T12:00:00",FALSE,4347014,"nfl",0.915,"normal",FALSE,FALSE,FALSE,"Colts at Texans",0.844,"Indianapolis Colts at Houston Texans","2018-04-20T00:00:00","2018-12-09T18:00:00","","2018-04-20T00:47:35",NA,614,30,130,1061,2224,171.96906,30,"QRCODE",FALSE,"2018-08-24T21:53:42Z",618,"Houston","Houston, TX 77054","US","https://seatgeek.com/venues/nrg-stadium/tickets","NRG Stadium","nrg-stadium","NRG Stadium",0.8624192,0,45,41,"America/Chicago",TRUE,"TX","Houston, TX","77054","1 Reliant Park",29.6847,-95.4107,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"162","2018-09-27","2018-09-27_16.00.17","2018-12-09T22:00:00","https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935","2018-12-09T13:00:00",FALSE,4346935,"nfl",0.963,"normal",FALSE,FALSE,FALSE,"Giants at Redskins",0.886,"New York Giants at Washington Redskins","2018-04-20T00:00:00","2018-12-09T18:00:00","","2018-04-20T00:47:17",NA,750,100,173,1063,1040,205.06534,93,"QRCODE",FALSE,"2018-08-24T21:53:42Z",511,"Landover","Landover, MD 20785","US","https://seatgeek.com/venues/fedex-field/tickets","FedEx Field","fedex-field","FedEx Field",0.9333444,0,6,35,"America/New_York",TRUE,"MD","Landover, MD","20785","1600 Fedex Way",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"163","2018-09-27","2018-09-27_16.00.17","2018-12-09T22:00:00","https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910","2018-12-09T12:00:00",FALSE,4346910,"nfl",0.914,"normal",FALSE,FALSE,FALSE,"Falcons at Packers",0.852,"Atlanta Falcons at Green Bay Packers","2018-04-20T00:00:00","2018-12-09T18:00:00","","2018-04-20T00:47:13",NA,475,160,247,967,1083,279.99158,163,"QRCODE",FALSE,"2018-08-24T21:53:42Z",658,"Green Bay","Green Bay, WI 54304","US","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","lambeau-field","Lambeau Field",0.92909414,0,6,1125,"America/Chicago",TRUE,"WI","Green Bay, WI","54304","1265 Lombardi Avenue",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"164","2018-09-27","2018-09-27_16.00.17","2018-12-09T22:00:00","https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979","2018-12-09T12:00:00",FALSE,4346979,"nfl",0.9,"normal",FALSE,FALSE,FALSE,"Ravens at Chiefs",0.836,"Baltimore Ravens at Kansas City Chiefs","2018-04-20T00:00:00","2018-12-09T18:00:00","","2018-04-20T00:47:27",NA,959,36,124,1130,524741,1778.9833,37,"QRCODE",FALSE,"2018-08-24T21:53:42Z",616,"Kansas City","Kansas City, MO 64129","US","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","arrowhead-stadium","Arrowhead Stadium",0.8827867,0,8,1128,"America/Chicago",TRUE,"MO","Kansas City, MO","64129","1 Arrowhead Drive",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"165","2018-09-27","2018-09-27_16.00.17","2018-12-10T01:05:00","https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107","2018-12-09T13:05:00",FALSE,4347107,"nfl",0.918,"normal",FALSE,FALSE,FALSE,"Bengals at Chargers",0.841,"Cincinnati Bengals at Los Angeles Chargers","2018-04-20T00:00:00","2018-12-09T21:05:00","","2018-04-20T00:47:52",NA,473,115,189,539,1201,223.3594,95,"QRCODE",FALSE,"2018-08-24T21:53:42Z",803,"Carson","Carson, CA 90746","US","https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center","stubhub-center","StubHub Center",0.7228164,0,14,52,"America/Los_Angeles",TRUE,"CA","Carson, CA","90746","18400 Avalon Blvd",33.8643,-118.261,NA,NA,NA
"166","2018-09-27","2018-09-27_16.00.17","2018-12-10T01:05:00","https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114","2018-12-09T13:05:00",FALSE,4347114,"nfl",0.951,"normal",FALSE,FALSE,FALSE,"Broncos at 49ers",0.874,"Denver Broncos at San Francisco 49ers","2018-04-20T00:00:00","2018-12-09T21:05:00","","2018-04-20T00:47:53",NA,981,72,174,1167,2990,202.99185,71,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"Santa Clara","Santa Clara, CA 95054","US","https://seatgeek.com/venues/levi-s-stadium/tickets","Levi's Stadium","levi-s-stadium","Levi's Stadium",0.95768774,0,13,58670,"America/Los_Angeles",TRUE,"CA","Santa Clara, CA","95054","4900 Marie P DeBartolo Way",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"167","2018-09-27","2018-09-27_16.00.17","2018-12-10T01:25:00","https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099","2018-12-09T14:25:00",FALSE,4347099,"nfl",0.916,"normal",FALSE,FALSE,FALSE,"Lions at Cardinals",0.853,"Detroit Lions at Arizona Cardinals","2018-04-20T00:00:00","2018-12-09T21:25:00","","2018-04-20T00:47:51",NA,1092,27,97,1261,614,117.970695,27,"QRCODE",FALSE,"2018-08-24T21:53:42Z",753,"Glendale","Glendale, AZ 85305","US","https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium","state-farm-stadium","State Farm Stadium",0.93402725,0,10,43,"America/Phoenix",TRUE,"AZ","Glendale, AZ","85305","1 Cardinals Drive",33.5294,-112.262,"NONE",FALSE,"2015-12-21T17:26:05Z"
"168","2018-09-27","2018-09-27_16.00.17","2018-12-10T01:25:00","https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919","2018-12-09T15:25:00",FALSE,4327919,"nfl",0.985,"normal",FALSE,FALSE,TRUE,"Eagles at Cowboys",0.901,"Philadelphia Eagles at Dallas Cowboys","2018-04-05T00:00:00","2018-12-09T21:25:00","","2018-04-05T23:08:46",NA,2762,48,365,2156,4421,445.53513,48,"QRCODE",FALSE,"2018-04-17T22:02:33Z",623,"Arlington","Arlington, TX 76011","US","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","at-t-stadium","AT&T Stadium",0.9751414,0,20,4965,"America/Chicago",TRUE,"TX","Arlington, TX","76011","1 AT&T Way",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"169","2018-09-27","2018-09-27_16.00.17","2018-12-10T05:20:00","https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151","2018-12-09T17:20:00",FALSE,4347151,"nfl",0.931,"normal",FALSE,FALSE,FALSE,"Steelers at Raiders",0.854,"Pittsburgh Steelers at Oakland Raiders","2018-04-20T00:00:00","2018-12-10T01:20:00","","2018-04-20T01:04:24",NA,515,166,387,760,1842,403.12427,166,"QRCODE",FALSE,"2018-08-24T21:53:42Z",807,"Oakland","Oakland, CA 94621","US","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland-Alameda County Coliseum","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum",0.7817843,0,20,14,"America/Los_Angeles",TRUE,"CA","Oakland, CA","94621","7000 Coliseum Way",37.7469,-122.201,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"170","2018-09-27","2018-09-27_16.00.17","2018-12-11T05:15:00","https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123","2018-12-10T17:15:00",FALSE,4347123,"nfl",0.946,"normal",FALSE,FALSE,FALSE,"Vikings at Seahawks",0.866,"Minnesota Vikings at Seattle Seahawks","2018-04-20T00:00:00","2018-12-11T01:15:00","","2018-04-20T00:47:55",NA,367,142,365,769,1341,376.52045,131,"QRCODE",FALSE,"2018-08-24T21:53:42Z",819,"Seattle","Seattle, WA 98134","US","https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field","centurylink-field","CenturyLink Field",0.87232786,0,12,339,"America/Los_Angeles",TRUE,"WA","Seattle, WA","98134","800 Occidental Ave S",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"171","2018-09-27","2018-09-27_16.00.17","2018-12-14T05:20:00","https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978","2018-12-13T19:20:00",FALSE,4346978,"nfl",0.893,"normal",FALSE,FALSE,FALSE,"Chargers at Chiefs",0.821,"Los Angeles Chargers at Kansas City Chiefs","2018-04-20T00:00:00","2018-12-14T01:20:00","","2018-04-20T00:47:26",NA,861,42,135,1067,968,151.70616,42,"QRCODE",FALSE,"2018-08-24T21:53:42Z",616,"Kansas City","Kansas City, MO 64129","US","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","arrowhead-stadium","Arrowhead Stadium",0.8827867,0,8,1128,"America/Chicago",TRUE,"MO","Kansas City, MO","64129","1 Arrowhead Drive",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"172","2018-09-27","2018-09-27_16.00.17","2018-12-16T01:30:00","https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015","2018-12-15T16:30:00",FALSE,4347015,"nfl",0.927,"normal",FALSE,FALSE,FALSE,"Texans at Jets",0.851,"Houston Texans at New York Jets","2018-04-20T00:00:00","2018-12-15T21:30:00","","2018-04-20T00:47:35",NA,1176,35,126,1290,1001,151.76616,35,"QRCODE",FALSE,"2018-08-24T21:53:42Z",501,"East Rutherford","East Rutherford, NJ 07073","US","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","metlife-stadium","MetLife Stadium",0.94873494,0,16,1587,"America/New_York",TRUE,"NJ","East Rutherford, NJ","07073","1 MetLife Stadium Drive",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"173","2018-09-27","2018-09-27_16.00.17","2018-12-16T01:30:00","https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135","2018-12-15T14:30:00",FALSE,4347135,"nfl",0.882,"normal",FALSE,FALSE,FALSE,"Browns at Broncos",0.822,"Cleveland Browns at Denver Broncos","2018-04-20T00:00:00","2018-12-15T21:30:00","","2018-04-20T01:04:04",NA,126,95,238,683,1185,297.88095,83,"QRCODE",FALSE,"2018-08-24T21:53:42Z",751,"Denver","Denver, CO 80204","US","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","sports-authority-field-at-mile-high","Sports Authority Field at Mile High",0.9028296,0,7,1131,"America/Denver",TRUE,"CO","Denver, CO","80204","1701 Bryant Street",39.74,-105.02,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"174","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047","2018-12-16T13:00:00",FALSE,4347047,"nfl",0.915,"normal",FALSE,FALSE,FALSE,"Cardinals at Falcons",0.848,"Arizona Cardinals at Atlanta Falcons","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:41",NA,1057,64,159,1225,1193,190.66698,64,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"Atlanta","Atlanta, GA 30313","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Mercedes-Benz Stadium","mercedes-benz-stadium","Mercedes-Benz Stadium",0.76958936,0,20,419590,"America/New_York",TRUE,"GA","Atlanta, GA","30313","35 Northside Dr NW",33.76,-84.4,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"175","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057","2018-12-16T13:00:00",FALSE,4347057,"nfl",0.868,"normal",FALSE,FALSE,FALSE,"Lions at Bills",0.807,"Detroit Lions at Buffalo Bills","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:43",NA,1311,23,58,1443,636,80.0183,23,"QRCODE",FALSE,"2018-08-24T21:53:42Z",514,"Orchard Park","Orchard Park, NY 14127","US","https://seatgeek.com/venues/new-era-field/tickets","New Era Field","new-era-field","New Era Field",0.8815085,0,7,1135,"America/New_York",TRUE,"NY","Orchard Park, NY","14127","1 Bills Drive",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"176","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955","2018-12-16T13:00:00",FALSE,4346955,"nfl",0.948,"normal",FALSE,FALSE,FALSE,"Cowboys at Colts",0.872,"Dallas Cowboys at Indianapolis Colts","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:20",NA,425,120,238,907,1979,288.41177,120,"QRCODE",FALSE,"2018-08-24T21:53:42Z",527,"Indianapolis","Indianapolis, IN 46225","US","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","lucas-oil-stadium","Lucas Oil Stadium",0.9071682,0,13,1130,"America/Indiana/Indianapolis",TRUE,"IN","Indianapolis, IN","46225","500 South Capitol Avenue",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"177","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","2018-12-16T12:00:00",FALSE,4347002,"nfl",0.973,"normal",FALSE,FALSE,FALSE,"Packers at Bears",0.888,"Green Bay Packers at Chicago Bears","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:32",NA,147,206,395,785,1462,472.06122,194,"QRCODE",FALSE,"2018-08-24T21:53:42Z",602,"Chicago","Chicago, IL 60605","US","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","soldier-field","Soldier Field",0.940013,0,9,31,"America/Chicago",TRUE,"IL","Chicago, IL","60605","1410 S. Museum Campus Drive",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"178","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","2018-12-16T13:00:00",FALSE,4347066,"nfl",0.857,"normal",FALSE,FALSE,FALSE,"Buccaneers at Ravens",0.796,"Tampa Bay Buccaneers at Baltimore Ravens","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:44",NA,723,36,97,1284,595,128.41771,36,"QRCODE",FALSE,"2018-08-24T21:53:42Z",512,"Baltimore","Baltimore, MD 21230","US","https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","m-t-bank-stadium","M&T Bank Stadium",0.8927189,0,7,1121,"America/New_York",TRUE,"MD","Baltimore, MD","21230","1101 Russell St",39.2774,-76.623,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"179","2018-09-27","2018-09-27_16.00.17","2018-12-16T22:00:00","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945","2018-12-16T13:00:00",FALSE,4346945,"nfl",0.873,"normal",FALSE,FALSE,FALSE,"Redskins at Jaguars",0.803,"Washington Redskins at Jacksonville Jaguars","2018-04-20T00:00:00","2018-12-16T18:00:00","","2018-04-20T00:47:18",NA,656,55,129,839,655,160.2942,55,"QRCODE",FALSE,"2018-08-24T21:53:42Z",561,"Jacksonville","Jacksonville, FL 32202","US","https://seatgeek.com/venues/everbank-field/tickets","EverBank Field","everbank-field","EverBank Field",0.83759147,0,8,5178,"America/New_York",TRUE,"FL","Jacksonville, FL","32202","1 Everbank Field Dr",30.3239,-81.6373,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
