"","date","timestamp","datetime_tbd","datetime_utc","url","created_at","date_tbd","short_title","visible_until_utc","time_tbd","datetime_local","status","description","type","score","announce_date","title","id","is_open","popularity","general_admission","median_price","listing_count","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","url_venue","country","popularity_venue","name","slug","address","num_upcoming_events","state","score_venue","display_location","city","timezone","has_upcoming_events","id_venue","postal_code","metro_code","extended_address","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"40","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","2018-04-20T00:47:22",FALSE,"Colts at Jets","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00","normal","","nfl",0.895,"2018-04-20T00:00:00","Indianapolis Colts at New York Jets",4346961,FALSE,0.924,NA,146,771,52,1031,52,168.67964,1076,FALSE,"2018-08-24T21:52:02Z","QRCODE","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive",16,"NJ",0.94873494,"East Rutherford, NJ","East Rutherford","America/New_York",TRUE,1587,"07073",501,"East Rutherford, NJ 07073",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"41","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","2018-04-20T00:47:47",FALSE,"Bears at Dolphins","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00","normal","","nfl",0.866,"2018-04-20T00:00:00","Chicago Bears at Miami Dolphins",4347081,FALSE,0.9,NA,212,144,95,11581,80,304.13196,813,FALSE,"2018-08-24T21:53:35Z","QRCODE","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US",0,"Hard Rock Stadium","hard-rock-stadium","347 Don Shula Dr.",36,"FL",0.8378203,"Miami Gardens, FL","Miami Gardens","America/New_York",TRUE,29,"33056",528,"Miami Gardens, FL 33056",25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"42","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","2018-04-20T00:47:31",FALSE,"Chargers at Browns","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00","normal","","nfl",0.834,"2018-04-20T00:00:00","Los Angeles Chargers at Cleveland Browns",4346998,FALSE,0.876,NA,108,718,59,677,51,132.00836,937,FALSE,"2018-08-24T21:53:35Z","QRCODE","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US",0,"FirstEnergy Stadium","firstenergy-stadium-15","100 Alfred Lerner Way",6,"OH",0.86852187,"Cleveland, OH","Cleveland","America/New_York",TRUE,1123,"44114",510,"Cleveland, OH 44114",41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"43","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","2018-04-20T01:04:06",FALSE,"Cardinals at Vikings","2018-10-14T21:00:00",FALSE,"2018-10-14T12:00:00","normal","","nfl",0.847,"2018-04-20T00:00:00","Arizona Cardinals at Minnesota Vikings",4347145,FALSE,0.886,NA,262,432,106,1198,104,307.95834,577,FALSE,"2018-08-24T21:53:38Z","QRCODE","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","US",0,"U.S. Bank Stadium","u-s-bank-stadium","900 South 5th Street",15,"MN",0.88524246,"Minneapolis, MN","Minneapolis","America/Chicago",TRUE,218451,"55415",0,"Minneapolis, MN 55415",44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"44","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","2018-04-20T00:47:18",FALSE,"Panthers at Redskins","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00","normal","","nfl",0.895,"2018-04-20T00:00:00","Carolina Panthers at Washington Redskins",4346942,FALSE,0.929,NA,160,605,95,826,88,184.07108,1001,FALSE,"2018-08-24T21:52:02Z","QRCODE","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","US",0,"FedEx Field","fedex-field","1600 Fedex Way",6,"MD",0.9333444,"Landover, MD","Landover","America/New_York",TRUE,35,"20785",511,"Landover, MD 20785",38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"45","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019","2018-04-20T00:47:36",FALSE,"Bills at Texans","2018-10-14T21:00:00",FALSE,"2018-10-14T12:00:00","normal","","nfl",0.848,"2018-04-20T00:00:00","Buffalo Bills at Houston Texans",4347019,FALSE,0.885,NA,148,686,45,585,45,168.39214,1037,FALSE,"2018-08-24T21:53:35Z","QRCODE","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","US",0,"NRG Stadium","nrg-stadium","1 Reliant Park",47,"TX",0.8624192,"Houston, TX","Houston","America/Chicago",TRUE,41,"77054",618,"Houston, TX 77054",29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
"46","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T19:25:00","https://seatgeek.com/ravens-at-titans-tickets/10-14-2018-nashville-tennessee-nissan-stadium/nfl/4346991","2018-04-20T00:47:30",FALSE,"Ravens at Titans","2018-10-14T23:25:00",FALSE,"2018-10-14T15:25:00","normal","","nfl",0.826,"2018-04-20T00:00:00","Baltimore Ravens at Tennessee Titans",4346991,FALSE,0.868,NA,183,394,66,513,63,194.93655,670,FALSE,"2018-08-24T21:53:35Z","QRCODE","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","US",0,"Nissan Stadium","nissan-stadium","1 Titans Way",16,"TN",0.8546275,"Nashville, TN","Nashville","America/New_York",TRUE,1126,"37213",659,"Nashville, TN 37213",36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"47","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T20:05:00","https://seatgeek.com/rams-at-broncos-tickets/10-14-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347138","2018-04-20T01:04:04",FALSE,"Rams at Broncos","2018-10-15T00:05:00",FALSE,"2018-10-14T14:05:00","normal","","nfl",0.839,"2018-04-20T00:00:00","Los Angeles Rams at Denver Broncos",4347138,FALSE,0.88,NA,297,64,167,1194,159,380.20312,618,FALSE,"2018-08-24T21:53:38Z","QRCODE","Sports Authority Field at Mile High","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","US",0,"Sports Authority Field at Mile High","sports-authority-field-at-mile-high","1701 Bryant St.",7,"CO",0.9028296,"Denver, CO","Denver","America/Denver",TRUE,1131,"80204",751,"Denver, CO 80204",39.74,-105.02,FALSE,"2015-08-07T18:39:02Z","QRCODE_TM"
"48","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-14T20:25:00","https://seatgeek.com/jaguars-at-cowboys-tickets/10-14-2018-arlington-texas-at-t-stadium/nfl/4327923","2018-04-05T23:08:47",FALSE,"Jaguars at Cowboys","2018-10-15T00:25:00",FALSE,"2018-10-14T15:25:00","normal","","nfl",0.889,"2018-04-05T00:00:00","Jacksonville Jaguars at Dallas Cowboys",4327923,TRUE,0.921,NA,269,2505,29,2642,29,332.62195,1991,FALSE,"2018-04-17T22:02:33Z","QRCODE","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","US",0,"AT&T Stadium","at-t-stadium","1 AT&T Way",20,"TX",0.9751414,"Arlington, TX","Arlington","America/Chicago",TRUE,4965,"76011",623,"Arlington, TX 76011",32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"49","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-15T00:20:00","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095","2018-04-20T00:47:50",FALSE,"Chiefs at Patriots","2018-10-15T04:20:00",FALSE,"2018-10-14T20:20:00","normal","","nfl",0.856,"2018-04-20T00:00:00","Kansas City Chiefs at New England Patriots",4347095,FALSE,0.889,NA,404,221,212,1437,212,486.80997,614,FALSE,"2018-08-24T21:53:35Z","QRCODE","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","US",0,"Gillette Stadium","gillette-stadium","1 Patriot Place",15,"MA",0.8983344,"Foxborough, MA","Foxborough","America/New_York",TRUE,33,"02035",506,"Foxborough, MA 02035",42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"50","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-16T00:15:00","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914","2018-04-20T00:47:13",FALSE,"49ers at Packers","2018-10-16T04:15:00",FALSE,"2018-10-15T19:15:00","normal","","nfl",0.868,"2018-04-20T00:00:00","San Francisco 49ers at Green Bay Packers",4346914,FALSE,0.899,NA,310,148,176,644,175,320.43243,499,FALSE,"2018-08-24T21:53:38Z","QRCODE","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","US",0,"Lambeau Field","lambeau-field","1265 Lombardi Avenue",6,"WI",0.92909414,"Green Bay, WI","Green Bay","America/Chicago",TRUE,1125,"54304",658,"Green Bay, WI 54304",44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"51","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-19T00:20:00","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-04-20T00:47:51",FALSE,"Broncos at Cardinals","2018-10-19T04:20:00",FALSE,"2018-10-18T17:20:00","normal","","nfl",0.878,"2018-04-20T00:00:00","Denver Broncos at Arizona Cardinals",4347102,FALSE,0.902,NA,137,537,55,720,55,169.02234,765,FALSE,"2018-08-24T21:53:38Z","QRCODE","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","US",0,"State Farm Stadium","state-farm-stadium","1 Cardinals Drive",10,"AZ",0.93402725,"Glendale, AZ","Glendale","America/Phoenix",TRUE,43,"85305",753,"Glendale, AZ 85305",33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"52","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-20T23:30:00","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-08-01T16:01:33",FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-21T03:30:00",FALSE,"2018-10-20T18:30:00","normal","","sports",0.473,"2018-08-01T00:00:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",4471322,FALSE,0.574,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"2018-08-24T21:53:38Z","QRCODE","ASU Convocation Center","https://seatgeek.com/venues/asu-convocation-center-1/tickets","US",0,"ASU Convocation Center","asu-convocation-center-1","217 Olympic Drive",42,"AR",0.5808074,"Jonesboro, AR","Jonesboro","America/Chicago",TRUE,4081,"72401",734,"Jonesboro, AR 72401",35.8438,-90.6691,NA,NA,NA
"53","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-04-20T00:47:22",FALSE,"Bills at Colts","2018-10-21T21:00:00",FALSE,"2018-10-21T13:00:00","normal","","nfl",0.816,"2018-04-20T00:00:00","Buffalo Bills at Indianapolis Colts",4346960,FALSE,0.853,NA,94,578,31,875,31,113.76298,1022,FALSE,"2018-08-24T21:53:38Z","QRCODE","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US",0,"Lucas Oil Stadium","lucas-oil-stadium","500 South Capitol Avenue",14,"IN",0.9071682,"Indianapolis, IN","Indianapolis","America/Indiana/Indianapolis",TRUE,1130,"46225",527,"Indianapolis, IN 46225",39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
"54","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-04-20T00:47:33",FALSE,"Patriots at Bears","2018-10-21T21:00:00",FALSE,"2018-10-21T12:00:00","normal","","nfl",0.895,"2018-04-20T00:00:00","New England Patriots at Chicago Bears",4347008,FALSE,0.914,NA,603,71,255,123581,329,2373.155,464,FALSE,"2018-08-24T21:53:38Z","QRCODE","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","US",0,"Soldier Field","soldier-field","1410 S. Museum Campus Drive",9,"IL",0.940013,"Chicago, IL","Chicago","America/Chicago",TRUE,31,"60605",602,"Chicago, IL 60605",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"55","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-04-20T00:47:26",FALSE,"Vikings at Jets","2018-10-21T21:00:00",FALSE,"2018-10-21T13:00:00","normal","","nfl",0.902,"2018-04-20T00:00:00","Minnesota Vikings at New York Jets",4346975,FALSE,0.918,NA,180,573,62,1062,62,215.02443,933,FALSE,"2018-08-24T21:53:38Z","QRCODE","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive",16,"NJ",0.94873494,"East Rutherford, NJ","East Rutherford","America/New_York",TRUE,1587,"07073",501,"East Rutherford, NJ 07073",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"56","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-04-20T00:47:47",FALSE,"Lions at Dolphins","2018-10-21T21:00:00",FALSE,"2018-10-21T13:00:00","normal","","nfl",0.847,"2018-04-20T00:00:00","Detroit Lions at Miami Dolphins",4347084,FALSE,0.875,NA,142,196,61,902,53,153.65816,985,FALSE,"2018-08-24T21:53:38Z","QRCODE","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US",0,"Hard Rock Stadium","hard-rock-stadium","347 Don Shula Dr.",36,"FL",0.8378203,"Miami Gardens, FL","Miami Gardens","America/New_York",TRUE,29,"33056",528,"Miami Gardens, FL 33056",25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"57","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-04-20T00:47:16",FALSE,"Browns at Buccaneers","2018-10-21T21:00:00",FALSE,"2018-10-21T13:00:00","normal","","nfl",0.824,"2018-04-20T00:00:00","Cleveland Browns at Tampa Bay Buccaneers",4346931,FALSE,0.854,NA,199,27,94,558,82,242.25926,392,FALSE,"2018-08-24T21:53:38Z","QRCODE","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","US",0,"Raymond James Stadium","raymond-james-stadium","4201 North Dale Mabry Highway",14,"FL",0.86513025,"Tampa, FL","Tampa","America/New_York",TRUE,39,"33607",539,"Tampa, FL 33607",27.9753,-82.5034,FALSE,"2015-08-24T14:44:53Z","QRCODE_TM"
"58","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-10-21T17:00:00","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-04-20T00:47:39",FALSE,"Panthers at Eagles","2018-10-21T21:00:00",FALSE,"2018-10-21T13:00:00","normal","","nfl",0.873,"2018-04-20T00:00:00","Carolina Panthers at Philadelphia Eagles",4347036,FALSE,0.897,NA,363,379,206,3680,156,409.68073,796,FALSE,"2018-08-24T21:53:38Z","QRCODE","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US",0,"Lincoln Financial Field","lincoln-financial-field","1020 Pattison Ave",15,"PA",0.90542686,"Philadelphia, PA","Philadelphia","America/New_York",TRUE,330,"19148",504,"Philadelphia, PA 19148",39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
