"","date","timestamp","score","type","title","announce_date","is_open","id","date_tbd","datetime_utc","datetime_tbd","popularity","created_at","url","short_title","visible_until_utc","time_tbd","status","description","datetime_local","general_admission","lowest_price_good_deals","listing_count","median_price","highest_price","lowest_price","visible_listing_count","average_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","score_venue","state","city","display_location","postal_code","timezone","id_venue","has_upcoming_events","metro_code","extended_address","name_v2","name","popularity_venue","country","url_venue","address","slug","num_upcoming_events","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"191","2018-09-21","2018-09-21_15.54.36",0.938,"nfl","Dallas Cowboys at Indianapolis Colts","2018-04-20T00:00:00",FALSE,4346955,FALSE,"2018-12-16T18:00:00",FALSE,0.834,"2018-04-20T00:47:20","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955","Cowboys at Colts","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,117,440,230,1974,117,922,284.64774,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.9071682,"IN","Indianapolis","Indianapolis, IN","46225","America/Indiana/Indianapolis",1130,TRUE,527,"Indianapolis, IN 46225","Lucas Oil Stadium","Lucas Oil Stadium",0,"US","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue","lucas-oil-stadium",14,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"192","2018-09-21","2018-09-21_15.54.36",0.869,"nfl","Detroit Lions at Buffalo Bills","2018-04-20T00:00:00",FALSE,4347057,FALSE,"2018-12-16T18:00:00",FALSE,0.778,"2018-04-20T00:47:43","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057","Lions at Bills","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,24,1194,64,636,24,1511,84.06868,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.8815085,"NY","Orchard Park","Orchard Park, NY","14127","America/New_York",1135,TRUE,514,"Orchard Park, NY 14127","New Era Field","New Era Field",0,"US","https://seatgeek.com/venues/new-era-field/tickets","1 Bills Drive","new-era-field",7,42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"193","2018-09-21","2018-09-21_15.54.36",0.961,"nfl","Green Bay Packers at Chicago Bears","2018-04-20T00:00:00",FALSE,4347002,FALSE,"2018-12-16T18:00:00",FALSE,0.856,"2018-04-20T00:47:32","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","Packers at Bears","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T12:00:00",NA,163,154,365,2225,180,917,447.57144,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.940013,"IL","Chicago","Chicago, IL","60605","America/Chicago",31,TRUE,602,"Chicago, IL 60605","Soldier Field","Soldier Field",0,"US","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive","soldier-field",10,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"194","2018-09-21","2018-09-21_15.54.36",0.854,"nfl","Tampa Bay Buccaneers at Baltimore Ravens","2018-04-20T00:00:00",FALSE,4347066,FALSE,"2018-12-16T18:00:00",FALSE,0.765,"2018-04-20T00:47:44","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","Buccaneers at Ravens","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,39,744,94,607,39,1283,125.866936,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.8927189,"MD","Baltimore","Baltimore, MD","21230","America/New_York",1121,TRUE,512,"Baltimore, MD 21230","M&T Bank Stadium","M&T Bank Stadium",0,"US","https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St","m-t-bank-stadium",8,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"195","2018-09-21","2018-09-21_15.54.36",0.923,"nfl","Miami Dolphins at Minnesota Vikings","2018-04-20T00:00:00",FALSE,4347144,FALSE,"2018-12-16T18:00:00",FALSE,0.824,"2018-04-20T01:04:05","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144","Dolphins at Vikings","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T12:00:00",NA,99,646,198,1623,105,1005,240.09442,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.88524246,"MN","Minneapolis","Minneapolis, MN","55415","America/Chicago",218451,TRUE,0,"Minneapolis, MN 55415","U.S. Bank Stadium","U.S. Bank Stadium",0,"US","https://seatgeek.com/venues/u-s-bank-stadium/tickets","401 Chicago Avenue","u-s-bank-stadium",14,44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"196","2018-09-21","2018-09-21_15.54.36",0.866,"nfl","Washington Redskins at Jacksonville Jaguars","2018-04-20T00:00:00",FALSE,4346945,FALSE,"2018-12-16T18:00:00",FALSE,0.77,"2018-04-20T00:47:18","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945","Redskins at Jaguars","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,63,661,129,653,63,870,162.84418,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.83759147,"FL","Jacksonville","Jacksonville, FL","32202","America/New_York",5178,TRUE,561,"Jacksonville, FL 32202","EverBank Field","EverBank Field",0,"US","https://seatgeek.com/venues/everbank-field/tickets","1 Everbank Field Dr","everbank-field",9,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"197","2018-09-21","2018-09-21_15.54.36",0.889,"nfl","Oakland Raiders at Cincinnati Bengals","2018-04-20T00:00:00",FALSE,4347037,FALSE,"2018-12-16T18:00:00",FALSE,0.805,"2018-04-20T00:47:39","https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037","Raiders at Bengals","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,53,608,103,601,53,908,119.68421,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.86166537,"OH","Cincinnati","Cincinnati, OH","45202","America/New_York",1124,TRUE,515,"Cincinnati, OH 45202","Paul Brown Stadium","Paul Brown Stadium",0,"US","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium","paul-brown-stadium",7,39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"198","2018-09-21","2018-09-21_15.54.36",0.909,"nfl","Tennessee Titans at New York Giants","2018-04-20T00:00:00",FALSE,4346988,FALSE,"2018-12-16T18:00:00",FALSE,0.804,"2018-04-20T00:47:29","https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988","Titans at Giants","2018-12-16T22:00:00",FALSE,"normal","","2018-12-16T13:00:00",NA,74,554,164,1264,74,1432,207.44946,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.94873494,"NJ","East Rutherford","East Rutherford, NJ","07073","America/New_York",1587,TRUE,501,"East Rutherford, NJ 07073","MetLife Stadium","MetLife Stadium",0,"US","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","metlife-stadium",17,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"199","2018-09-21","2018-09-21_15.54.36",0.947,"nfl","Seattle Seahawks at San Francisco 49ers","2018-04-20T00:00:00",FALSE,4347122,FALSE,"2018-12-16T21:05:00",FALSE,0.843,"2018-04-20T00:47:55","https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122","Seahawks at 49ers","2018-12-17T01:05:00",FALSE,"normal","","2018-12-16T13:05:00",NA,93,1103,196,2993,102,1123,229.73526,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.95768774,"CA","Santa Clara","Santa Clara, CA","95054","America/Los_Angeles",58670,TRUE,0,"Santa Clara, CA 95054","Levi's Stadium","Levi's Stadium",0,"US","https://seatgeek.com/venues/levi-s-stadium/tickets","4900 Marie P DeBartolo Way","levi-s-stadium",13,37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"200","2018-09-21","2018-09-21_15.54.36",0.968,"nfl","New England Patriots at Pittsburgh Steelers","2018-04-20T00:00:00",FALSE,4347077,FALSE,"2018-12-16T21:25:00",FALSE,0.857,"2018-04-20T00:47:46","https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077","Patriots at Steelers","2018-12-17T01:25:00",FALSE,"normal","","2018-12-16T16:25:00",NA,193,657,346,10750,193,1032,435.58905,"2018-08-24T21:53:42Z",FALSE,"QRCODE",0.9033526,"PA","Pittsburgh","Pittsburgh, PA","15212","America/New_York",1119,TRUE,508,"Pittsburgh, PA 15212","Heinz Field","Heinz Field",0,"US","https://seatgeek.com/venues/heinz-field/tickets","100 Art Rooney Avenue","heinz-field",10,40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
