"","date","timestamp","url","short_title","title","id","datetime_tbd","score","popularity","is_open","time_tbd","description","announce_date","visible_until_utc","created_at","status","date_tbd","type","datetime_utc","datetime_local","general_admission","listing_count","visible_listing_count","average_price","lowest_price_good_deals","highest_price","lowest_price","median_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","country","url_venue","slug","num_upcoming_events","id_venue","score_venue","has_upcoming_events","popularity_venue","address","state","city","timezone","postal_code","display_location","extended_address","name","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"11","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","Vikings at Packers","Minnesota Vikings at Green Bay Packers",4346915,FALSE,0.902,0.923,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:14","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T12:00:00",NA,154,NA,448.55,270,1252,249,NA,FALSE,"2018-08-24T17:03:48Z","QRCODE","Lambeau Field","US","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field",7,1125,0.92909414,TRUE,0,"1265 Lombardi Avenue","WI","Green Bay","America/Chicago","54304","Green Bay, WI","Green Bay, WI 54304","Lambeau Field",44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"12","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924","Cardinals at Rams","Arizona Cardinals at Los Angeles Rams",4346924,FALSE,0.833,0.889,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-17T00:05:00","2018-04-20T00:47:15","normal",FALSE,"nfl","2018-09-16T20:05:00","2018-09-16T13:05:00",NA,1146,NA,86.05,25,488,25,NA,FALSE,"2018-08-24T17:04:03Z","QRCODE","Los Angeles Memorial Coliseum","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1",12,51012,0.86898464,TRUE,0,"3911 S Figueroa St","CA","Los Angeles","America/Los_Angeles","90037","Los Angeles, CA","Los Angeles, CA 90037","Los Angeles Memorial Coliseum",34.01,-118.29,FALSE,"2018-08-23T17:59:28Z","QRCODE"
"13","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119","Lions at 49ers","Detroit Lions at San Francisco 49ers",4347119,FALSE,0.894,0.932,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-17T00:05:00","2018-04-20T00:47:54","normal",FALSE,"nfl","2018-09-16T20:05:00","2018-09-16T13:05:00",NA,436,NA,195.77,82,888,80,NA,FALSE,"2018-08-24T18:24:41Z","QRCODE","Levi's Stadium","US","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium",13,58670,0.95768774,TRUE,0,"4900 Marie P DeBartolo Way","CA","Santa Clara","America/Los_Angeles","95054","Santa Clara, CA","Santa Clara, CA 95054","Levi's Stadium",37.4023,-121.969,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"14","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149","Raiders at Broncos","Oakland Raiders at Denver Broncos",4347149,FALSE,0.874,0.921,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-17T00:25:00","2018-04-20T01:04:06","normal",FALSE,"nfl","2018-09-16T20:25:00","2018-09-16T14:25:00",NA,82,NA,314.07,152,787,152,NA,FALSE,"2018-08-24T18:24:52Z","QRCODE","Sports Authority Field at Mile High","US","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","sports-authority-field-at-mile-high",7,1131,0.9028296,TRUE,0,"1701 Bryant St.","CO","Denver","America/Denver","80204","Denver, CO","Denver, CO 80204","Sports Authority Field at Mile High",39.74,-105.02,FALSE,"2015-08-07T18:39:02Z","QRCODE_TM"
"15","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951","Patriots at Jaguars","New England Patriots at Jacksonville Jaguars",4346951,FALSE,0.884,0.929,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-17T00:25:00","2018-04-20T00:47:19","normal",FALSE,"nfl","2018-09-16T20:25:00","2018-09-16T16:25:00",NA,306,NA,256.95,155,1037,155,NA,FALSE,"2018-08-24T18:23:21Z","QRCODE","TIAA Bank Field","US","https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field",10,5178,0.83759147,TRUE,0,"1 Everbank Field Dr","FL","Jacksonville","America/New_York","32202","Jacksonville, FL","Jacksonville, FL 32202","TIAA Bank Field",30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"16","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925","Giants at Cowboys","New York Giants at Dallas Cowboys",4327925,FALSE,0.949,0.965,TRUE,FALSE,"","2018-04-05T00:00:00","2018-09-17T04:20:00","2018-04-05T23:08:47","normal",FALSE,"nfl","2018-09-17T00:20:00","2018-09-16T19:20:00",NA,2161,NA,338.9,39,3000,39,NA,FALSE,"2018-04-17T22:02:33Z","QRCODE","AT&T Stadium","US","https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium",24,4965,0.9751414,TRUE,0,"1 AT&T Way","TX","Arlington","America/Chicago","76011","Arlington, TX","Arlington, TX 76011","AT&T Stadium",32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"17","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010","Seahawks at Bears","Seattle Seahawks at Chicago Bears",4347010,FALSE,0.904,0.933,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-18T04:15:00","2018-04-20T00:47:34","normal",FALSE,"nfl","2018-09-18T00:15:00","2018-09-17T19:15:00",NA,64,NA,340.81,178,1200,145,NA,FALSE,"2018-08-24T18:25:05Z","QRCODE","Soldier Field","US","https://seatgeek.com/venues/soldier-field/tickets","soldier-field",12,31,0.940013,TRUE,0,"1410 S. Museum Campus Drive","IL","Chicago","America/Chicago","60605","Chicago, IL","Chicago, IL 60605","Soldier Field",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"18","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","Jets at Browns","New York Jets at Cleveland Browns",4347000,FALSE,0.841,0.869,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-21T04:20:00","2018-04-20T00:47:31","normal",FALSE,"nfl","2018-09-21T00:20:00","2018-09-20T20:20:00",NA,662,NA,100.89,41,391,41,NA,FALSE,"2018-08-24T18:25:16Z","QRCODE","FirstEnergy Stadium","US","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15",7,1123,0.86852187,TRUE,0,"100 Alfred Lerner Way","OH","Cleveland","America/New_York","44114","Cleveland, OH","Cleveland, OH 44114","FirstEnergy Stadium",41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"19","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","South Alabama at Memphis","South Alabama Jaguars at Memphis Tigers Football",4241762,FALSE,0.465,0.602,FALSE,FALSE,"","2018-01-31T00:00:00","2018-09-23T04:00:00","2018-01-31T15:00:53","normal",FALSE,"ncaa_football","2018-09-23T00:00:00","2018-09-22T19:00:00",NA,133,NA,53.74,26,245,26,NA,NA,NA,NA,"Liberty Bowl Stadium","US","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","liberty-bowl-stadium",7,2827,0.6733288,TRUE,0,"335 South Hollywood St.","TN","Memphis","America/Chicago","38104","Memphis, TN","Memphis, TN 38104","Liberty Bowl Stadium",35.12,-89.98,NA,NA,NA
"20","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","Colts at Eagles","Indianapolis Colts at Philadelphia Eagles",4346963,FALSE,0.904,0.905,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:23","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,273,NA,378.33,217,1226,214,NA,FALSE,"2018-08-24T18:26:28Z","QRCODE","Lincoln Financial Field","US","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field",16,330,0.90542686,TRUE,0,"1020 Pattison Ave","PA","Philadelphia","America/New_York","19148","Philadelphia, PA","Philadelphia, PA 19148","Lincoln Financial Field",39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
