"","date","timestamp","time_tbd","title","type","url","datetime_local","is_open","datetime_utc","description","id","short_title","score","popularity","visible_until_utc","status","created_at","announce_date","datetime_tbd","date_tbd","general_admission","highest_price","average_price","listing_count","lowest_price","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","state","address","score_venue","has_upcoming_events","popularity_venue","timezone","id_venue","num_upcoming_events","metro_code","postal_code","city","slug","country","display_location","extended_address","name_v2","name","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"140","2018-09-22","2018-09-22_11.01.42",FALSE,"Washington Redskins at Dallas Cowboys","nfl","https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921","2018-11-22T15:30:00",TRUE,"2018-11-22T21:30:00","",4327921,"Redskins at Cowboys",0.992,0.922,"2018-11-23T01:30:00","normal","2018-04-05T23:08:47","2018-04-05T00:00:00",FALSE,FALSE,NA,3375,387.36987,3147,37,36,318,2578,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","TX","1 AT&T Way",0.9751414,TRUE,0,"America/Chicago",4965,22,623,"76011","Arlington","at-t-stadium","US","Arlington, TX","Arlington, TX 76011","AT&T Stadium","AT&T Stadium",32.7459,-97.0957,"2018-04-17T22:02:33Z","QRCODE",FALSE
"141","2018-09-22","2018-09-22_11.01.42",FALSE,"Atlanta Falcons at New Orleans Saints","nfl","https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968","2018-11-22T19:20:00",TRUE,"2018-11-23T01:20:00","",4346968,"Falcons at Saints",0.898,0.847,"2018-11-23T05:20:00","normal","2018-04-20T00:47:24","2018-04-20T00:00:00",FALSE,FALSE,NA,4200,318.967,1364,120,120,298,1213,"2018-05-29T20:39:22Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","LA","1500 Sugar Bowl Drive",0.8966978,TRUE,0,"America/Chicago",128,18,622,"70112","New Orleans","mercedes-benz-superdome","US","New Orleans, LA","New Orleans, LA 70112","Mercedes-Benz Superdome","Mercedes-Benz Superdome",29.9515,-90.0786,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"142","2018-09-22","2018-09-22_11.01.42",FALSE,"Coastal Carolina Chanticleers at South Alabama Jaguars Football","ncaa_football","https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983","2018-11-23T14:00:00",FALSE,"2018-11-23T20:00:00","",4281983,"Coastal Carolina at South Alabama",0.245,0.31,"2018-11-24T00:00:00","normal","2018-02-28T15:00:16","2018-02-28T00:00:00",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","AL","1621 Virginia St.",0.50177634,TRUE,0,"America/Chicago",3716,5,686,"36604","Mobile","ladd-peebles-stadium","US","Mobile, AL","Mobile, AL 36604","Ladd Peebles Stadium","Ladd Peebles Stadium",30.6748,-88.0761,NA,NA,NA
"143","2018-09-22","2018-09-22_11.01.42",FALSE,"Cleveland Browns at Cincinnati Bengals","nfl","https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4347039,"Browns at Bengals",0.886,0.834,"2018-11-25T22:00:00","normal","2018-04-20T00:47:39","2018-04-20T00:00:00",FALSE,FALSE,NA,423,114.695656,552,56,56,102,882,"2018-08-24T21:53:40Z","QRCODE",FALSE,"https://seatgeek.com/venues/paul-brown-stadium/tickets","OH","1 Paul Brown Stadium",0.86166537,TRUE,0,"America/New_York",1124,7,515,"45202","Cincinnati","paul-brown-stadium","US","Cincinnati, OH","Cincinnati, OH 45202","Paul Brown Stadium","Paul Brown Stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"144","2018-09-22","2018-09-22_11.01.42",FALSE,"Jacksonville Jaguars at Buffalo Bills","nfl","https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4347058,"Jaguars at Bills",0.883,0.836,"2018-11-25T22:00:00","normal","2018-04-20T00:47:43","2018-04-20T00:00:00",FALSE,FALSE,NA,640,92.2102,1294,27,26,72,1497,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/new-era-field/tickets","NY","1 Bills Drive",0.8815085,TRUE,0,"America/New_York",1135,7,514,"14127","Orchard Park","new-era-field","US","Orchard Park, NY","Orchard Park, NY 14127","New Era Field","New Era Field",42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"145","2018-09-22","2018-09-22_11.01.42",FALSE,"New York Giants at Philadelphia Eagles","nfl","https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4346918,"Giants at Eagles",0.957,0.892,"2018-11-25T22:00:00","normal","2018-04-20T00:47:14","2018-04-20T00:00:00",FALSE,FALSE,NA,1242,412.42395,401,142,139,345,1046,"2018-08-24T21:53:40Z","QRCODE",FALSE,"https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","1020 Pattison Ave",0.90542686,TRUE,0,"America/New_York",330,16,504,"19148","Philadelphia","lincoln-financial-field","US","Philadelphia, PA","Philadelphia, PA 19148","Lincoln Financial Field","Lincoln Financial Field",39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"146","2018-09-22","2018-09-22_11.01.42",FALSE,"Oakland Raiders at Baltimore Ravens","nfl","https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4347067,"Raiders at Ravens",0.879,0.83,"2018-11-25T22:00:00","normal","2018-04-20T00:47:44","2018-04-20T00:00:00",FALSE,FALSE,NA,724,178.88007,592,67,66,138,1107,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","MD","1101 Russell St",0.8927189,TRUE,0,"America/New_York",1121,8,512,"21230","Baltimore","m-t-bank-stadium","US","Baltimore, MD","Baltimore, MD 21230","M&T Bank Stadium","M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"147","2018-09-22","2018-09-22_11.01.42",FALSE,"Seattle Seahawks at Carolina Panthers","nfl","https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4347125,"Seahawks at Panthers",0.914,0.857,"2018-11-25T22:00:00","normal","2018-04-20T00:47:55","2018-04-20T00:00:00",FALSE,FALSE,NA,1196,228.87,503,90,90,NA,NA,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","NC","800 South Mint Street",0.8968222,TRUE,0,"America/New_York",1122,9,517,"28202","Charlotte","bank-of-america-stadium","US","Charlotte, NC","Charlotte, NC 28202","Bank of America Stadium","Bank of America Stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"148","2018-09-22","2018-09-22_11.01.42",FALSE,"New England Patriots at New York Jets","nfl","https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4347098,"Patriots at Jets",0.996,0.918,"2018-11-25T22:00:00","normal","2018-04-20T00:47:50","2018-04-20T00:00:00",FALSE,FALSE,NA,6034,309.566,712,109,96,261,1215,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/metlife-stadium/tickets","NJ","1 MetLife Stadium Drive",0.94873494,TRUE,0,"America/New_York",1587,16,501,"07073","East Rutherford","metlife-stadium","US","East Rutherford, NJ","East Rutherford, NJ 07073","MetLife Stadium","MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"149","2018-09-22","2018-09-22_11.01.42",FALSE,"San Francisco 49ers at Tampa Bay Buccaneers","nfl","https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4346928,"49ers at Buccaneers",0.896,0.842,"2018-11-25T22:00:00","normal","2018-04-20T00:47:15","2018-04-20T00:00:00",FALSE,FALSE,NA,529,238.1,30,78,78,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","4201 North Dale Mabry Highway",0.86513025,TRUE,0,"America/New_York",39,16,539,"33607","Tampa","raymond-james-stadium","US","Tampa, FL","Tampa, FL 33607","Raymond James Stadium","Raymond James Stadium",27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"150","2018-09-22","2018-09-22_11.01.42",FALSE,"Miami Dolphins at Indianapolis Colts","nfl","https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956","2018-11-25T13:00:00",FALSE,"2018-11-25T18:00:00","",4346956,"Dolphins at Colts",0.888,0.843,"2018-11-25T22:00:00","normal","2018-04-20T00:47:21","2018-04-20T00:00:00",FALSE,FALSE,NA,944,111.88776,686,32,28,94,1221,"2018-08-24T21:53:40Z","QRCODE",FALSE,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","500 South Capitol Avenue",0.9071682,TRUE,0,"America/Indiana/Indianapolis",1130,14,527,"46225","Indianapolis","lucas-oil-stadium","US","Indianapolis, IN","Indianapolis, IN 46225","Lucas Oil Stadium","Lucas Oil Stadium",39.7601,-86.1639,"2018-09-13T22:29:37Z","QRCODE_TM",FALSE
"151","2018-09-22","2018-09-22_11.01.42",FALSE,"Arizona Cardinals at Los Angeles Chargers","nfl","https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109","2018-11-25T13:05:00",FALSE,"2018-11-25T21:05:00","",4347109,"Cardinals at Chargers",0.889,0.83,"2018-11-26T01:05:00","normal","2018-04-20T00:47:52","2018-04-20T00:00:00",FALSE,FALSE,NA,599,209.19,602,103,103,NA,NA,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/stubhub-center/tickets","CA","18400 Avalon Blvd",0.7228164,TRUE,0,"America/Los_Angeles",52,16,803,"90746","Carson","stubhub-center","US","Carson, CA","Carson, CA 90746","StubHub Center","StubHub Center",33.8643,-118.261,NA,NA,NA
"152","2018-09-22","2018-09-22_11.01.42",FALSE,"Pittsburgh Steelers at Denver Broncos","nfl","https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143","2018-11-25T14:25:00",FALSE,"2018-11-25T21:25:00","",4347143,"Steelers at Broncos",0.943,0.884,"2018-11-26T01:25:00","normal","2018-04-20T01:04:05","2018-04-20T00:00:00",FALSE,FALSE,NA,2388,492.88815,152,212,150,393,1054,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","CO","1701 Bryant St.",0.9028296,TRUE,0,"America/Denver",1131,6,751,"80204","Denver","sports-authority-field-at-mile-high","US","Denver, CO","Denver, CO 80204","Sports Authority Field at Mile High","Sports Authority Field at Mile High",39.74,-105.02,"2015-08-07T18:39:02Z","QRCODE_TM",FALSE
"153","2018-09-22","2018-09-22_11.01.42",FALSE,"Green Bay Packers at Minnesota Vikings","nfl","https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133","2018-11-25T19:20:00",FALSE,"2018-11-26T01:20:00","",4347133,"Packers at Vikings",0.955,0.891,"2018-11-26T05:20:00","normal","2018-04-20T01:04:04","2018-04-20T00:00:00",FALSE,FALSE,NA,126802,755.7632,494,238,259,404,900,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","MN","401 Chicago Avenue",0.88524246,TRUE,0,"America/Chicago",218451,14,0,"55415","Minneapolis","u-s-bank-stadium","US","Minneapolis, MN","Minneapolis, MN 55415","U.S. Bank Stadium","U.S. Bank Stadium",44.97,-93.26,"2018-08-22T15:34:15Z","NONE",FALSE
"154","2018-09-22","2018-09-22_11.01.42",FALSE,"Tennessee Titans at Houston Texans","nfl","https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017","2018-11-26T19:15:00",FALSE,"2018-11-27T01:15:00","",4347017,"Titans at Texans",0.873,0.814,"2018-11-27T05:15:00","normal","2018-04-20T00:47:36","2018-04-20T00:00:00",FALSE,FALSE,NA,954,165.75331,604,44,44,136,1186,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/nrg-stadium/tickets","TX","1 Reliant Park",0.8624192,TRUE,0,"America/Chicago",41,47,618,"77054","Houston","nrg-stadium","US","Houston, TX","Houston, TX 77054","NRG Stadium","NRG Stadium",29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"155","2018-09-22","2018-09-22_11.01.42",FALSE,"New Orleans Saints at Dallas Cowboys","nfl","https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920","2018-11-29T19:20:00",TRUE,"2018-11-30T01:20:00","",4327920,"Saints at Cowboys",1.005,0.924,"2018-11-30T05:20:00","normal","2018-04-05T23:08:47","2018-04-05T00:00:00",FALSE,FALSE,NA,4318,425.37,2723,46,46,NA,NA,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","TX","1 AT&T Way",0.9751414,TRUE,0,"America/Chicago",4965,22,623,"76011","Arlington","at-t-stadium","US","Arlington, TX","Arlington, TX 76011","AT&T Stadium","AT&T Stadium",32.7459,-97.0957,"2018-04-17T22:02:33Z","QRCODE",FALSE
"156","2018-09-22","2018-09-22_11.01.42",FALSE,"Los Angeles Rams at Detroit Lions","nfl","https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023","2018-12-02T13:00:00",FALSE,"2018-12-02T18:00:00","",4347023,"Rams at Lions",0.914,0.855,"2018-12-02T22:00:00","normal","2018-04-20T00:47:36","2018-04-20T00:00:00",FALSE,FALSE,NA,2402,169.83435,652,66,62,130,752,"2018-08-24T21:53:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/ford-field/tickets","MI","2000 Brush St.",0.9029952,TRUE,0,"America/Detroit",346,11,505,"48226","Detroit","ford-field","US","Detroit, MI","Detroit, MI 48226","Ford Field","Ford Field",42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
