"","date","timestamp","url","is_open","description","datetime_tbd","date_tbd","created_at","status","title","visible_until_utc","short_title","popularity","time_tbd","datetime_local","type","score","id","datetime_utc","announce_date","general_admission","highest_price","median_price","average_price","lowest_price_good_deals","listing_count","lowest_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","slug","extended_address","country","timezone","postal_code","state","city","num_upcoming_events","name_v2","name","display_location","score_venue","address","id_venue","popularity_venue","has_upcoming_events","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"13","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:15","normal","Arizona Cardinals at Los Angeles Rams","2018-09-17T00:05:00","Cardinals at Rams",0.912,FALSE,"2018-09-16T13:05:00","nfl",0.842,4346924,"2018-09-16T20:05:00","2018-04-20T00:00:00",NA,486,NA,80.06,25,1094,25,NA,"2018-08-24T17:04:03Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","US","America/Los_Angeles","90037","CA","Los Angeles",12,"Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum","Los Angeles, CA",0.86898464,"3911 S Figueroa St",51012,0,TRUE,34.01,-118.29,"2018-08-23T17:59:28Z","QRCODE",FALSE
"14","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149",FALSE,"",FALSE,FALSE,"2018-04-20T01:04:06","normal","Oakland Raiders at Denver Broncos","2018-09-17T00:25:00","Raiders at Broncos",0.946,FALSE,"2018-09-16T14:25:00","nfl",0.884,4347149,"2018-09-16T20:25:00","2018-04-20T00:00:00",NA,801,NA,319.84,152,70,146,NA,"2018-08-24T18:24:52Z","QRCODE",FALSE,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","sports-authority-field-at-mile-high","Denver, CO 80204","US","America/Denver","80204","CO","Denver",7,"Sports Authority Field at Mile High","Sports Authority Field at Mile High","Denver, CO",0.9028296,"1701 Bryant St.",1131,0,TRUE,39.74,-105.02,"2015-08-07T18:39:02Z","QRCODE_TM",FALSE
"15","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:19","normal","New England Patriots at Jacksonville Jaguars","2018-09-17T00:25:00","Patriots at Jaguars",0.94,FALSE,"2018-09-16T16:25:00","nfl",0.875,4346951,"2018-09-16T20:25:00","2018-04-20T00:00:00",NA,1082,NA,245,147,293,147,NA,"2018-08-24T18:23:21Z","QRCODE",FALSE,"https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field","Jacksonville, FL 32202","US","America/New_York","32202","FL","Jacksonville",10,"TIAA Bank Field","TIAA Bank Field","Jacksonville, FL",0.83759147,"1 Everbank Field Dr",5178,0,TRUE,30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"16","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925",TRUE,"",FALSE,FALSE,"2018-04-05T23:08:47","normal","New York Giants at Dallas Cowboys","2018-09-17T04:20:00","Giants at Cowboys",0.993,FALSE,"2018-09-16T19:20:00","nfl",0.958,4327925,"2018-09-17T00:20:00","2018-04-05T00:00:00",NA,14935,NA,333.9,32,2179,32,NA,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium","Arlington, TX 76011","US","America/Chicago","76011","TX","Arlington",24,"AT&T Stadium","AT&T Stadium","Arlington, TX",0.9751414,"1 AT&T Way",4965,0,TRUE,32.7459,-97.0957,"2018-04-17T22:02:33Z","QRCODE",FALSE
"17","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:34","normal","Seattle Seahawks at Chicago Bears","2018-09-18T04:15:00","Seahawks at Bears",0.964,FALSE,"2018-09-17T19:15:00","nfl",0.92,4347010,"2018-09-18T00:15:00","2018-04-20T00:00:00",NA,1199,NA,338.38,157,53,157,NA,"2018-08-24T18:25:05Z","QRCODE",FALSE,"https://seatgeek.com/venues/soldier-field/tickets","soldier-field","Chicago, IL 60605","US","America/Chicago","60605","IL","Chicago",12,"Soldier Field","Soldier Field","Chicago, IL",0.940013,"1410 S. Museum Campus Drive",31,0,TRUE,41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"18","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:31","normal","New York Jets at Cleveland Browns","2018-09-21T04:20:00","Jets at Browns",0.886,FALSE,"2018-09-20T20:20:00","nfl",0.843,4347000,"2018-09-21T00:20:00","2018-04-20T00:00:00",NA,391,NA,100.98,44,628,41,NA,"2018-08-24T18:25:16Z","QRCODE",FALSE,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15","Cleveland, OH 44114","US","America/New_York","44114","OH","Cleveland",7,"FirstEnergy Stadium","FirstEnergy Stadium","Cleveland, OH",0.86852187,"100 Alfred Lerner Way",1123,0,TRUE,41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"19","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",FALSE,"",FALSE,FALSE,"2018-01-31T15:00:53","normal","South Alabama Jaguars at Memphis Tigers Football","2018-09-23T04:00:00","South Alabama at Memphis",0.619,FALSE,"2018-09-22T19:00:00","ncaa_football",0.486,4241762,"2018-09-23T00:00:00","2018-01-31T00:00:00",NA,245,NA,59.8,23,282,23,NA,NA,NA,NA,"https://seatgeek.com/venues/liberty-bowl-stadium/tickets","liberty-bowl-stadium","Memphis, TN 38104","US","America/Chicago","38104","TN","Memphis",7,"Liberty Bowl Stadium","Liberty Bowl Stadium","Memphis, TN",0.6733288,"335 South Hollywood St.",2827,0,TRUE,35.12,-89.98,NA,NA,NA
"20","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:23","normal","Indianapolis Colts at Philadelphia Eagles","2018-09-23T21:00:00","Colts at Eagles",0.926,FALSE,"2018-09-23T13:00:00","nfl",0.908,4346963,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,1226,NA,378.15,214,294,214,NA,"2018-08-24T18:26:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","Philadelphia, PA 19148","US","America/New_York","19148","PA","Philadelphia",16,"Lincoln Financial Field","Lincoln Financial Field","Philadelphia, PA",0.90542686,"1020 Pattison Ave",330,0,TRUE,39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"21","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:48","normal","Oakland Raiders at Miami Dolphins","2018-09-23T21:00:00","Raiders at Dolphins",0.899,FALSE,"2018-09-23T13:00:00","nfl",0.873,4347088,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,452,NA,172.2,61,161,61,NA,"2018-08-24T20:34:12Z","QRCODE",FALSE,"https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","Miami Gardens, FL 33056","US","America/New_York","33056","FL","Miami Gardens",37,"Hard Rock Stadium","Hard Rock Stadium","Miami Gardens, FL",0.8378203,"347 Don Shula Dr.",29,0,TRUE,25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"22","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",FALSE,"",FALSE,FALSE,"2018-04-20T01:04:05","normal","Buffalo Bills at Minnesota Vikings","2018-09-23T21:00:00","Bills at Vikings",0.907,FALSE,"2018-09-23T12:00:00","nfl",0.886,4347142,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,923,NA,236.84,92,522,92,NA,"2018-08-23T16:03:24Z","QRCODE",FALSE,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium","Minneapolis, MN 55415","US","America/Chicago","55415","MN","Minneapolis",13,"U.S. Bank Stadium","U.S. Bank Stadium","Minneapolis, MN",0.88524246,"401 Chicago Avenue",218451,0,TRUE,44.97,-93.26,"2018-08-22T15:34:15Z","NONE",FALSE
"23","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:18","normal","Green Bay Packers at Washington Redskins","2018-09-23T21:00:00","Packers at Redskins",0.973,FALSE,"2018-09-23T13:00:00","nfl",0.961,4346943,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,991,NA,334.6,170,567,170,NA,"2018-08-24T18:25:58Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","fedex-field","Landover, MD 20785","US","America/New_York","20785","MD","Landover",9,"FedEx Field","FedEx Field","Landover, MD",0.9333444,"1600 Fedex Way",35,0,TRUE,38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"24","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:41","normal","Cincinnati Bengals at Carolina Panthers","2018-09-23T21:00:00","Bengals at Panthers",0.896,FALSE,"2018-09-23T13:00:00","nfl",0.867,4347045,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,684,NA,176.13,77,388,77,NA,"2018-08-24T18:28:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium","Charlotte, NC 28202","US","America/New_York","28202","NC","Charlotte",9,"Bank of America Stadium","Bank of America Stadium","Charlotte, NC",0.8968222,"800 South Mint Street",1122,0,TRUE,35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"25","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:45","normal","Denver Broncos at Baltimore Ravens","2018-09-23T21:00:00","Broncos at Ravens",0.892,FALSE,"2018-09-23T13:00:00","nfl",0.865,4347072,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,707,NA,155.87,63,520,63,NA,"2018-08-24T18:29:20Z","QRCODE",FALSE,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","Baltimore, MD 21230","US","America/New_York","21230","MD","Baltimore",8,"M&T Bank Stadium","M&T Bank Stadium","Baltimore, MD",0.8927189,"1101 Russell St",1121,0,TRUE,39.2774,-76.623,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"26","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:42","normal","New Orleans Saints at Atlanta Falcons","2018-09-23T21:00:00","Saints at Falcons",0.929,FALSE,"2018-09-23T13:00:00","nfl",0.913,4347053,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,1348,NA,320.89,152,611,152,NA,"2018-08-24T18:29:05Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","Atlanta, GA 30313","US","America/New_York","30313","GA","Atlanta",15,"Mercedes-Benz Stadium","Mercedes-Benz Stadium","Atlanta, GA",0.76958936,"441 M.L.K. Jr Dr NW",419590,0,TRUE,33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"27","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:28","normal","San Francisco 49ers at Kansas City Chiefs","2018-09-23T21:00:00","49ers at Chiefs",0.908,FALSE,"2018-09-23T12:00:00","nfl",0.888,4346985,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,534,NA,212.29,83,1051,83,NA,"2018-08-24T18:27:03Z","QRCODE",FALSE,"https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium","Kansas City, MO 64129","US","America/Chicago","64129","MO","Kansas City",9,"Arrowhead Stadium","Arrowhead Stadium","Kansas City, MO",0.8827867,"1 Arrowhead Drive",1128,0,TRUE,39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"28","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:36","normal","New York Giants at Houston Texans","2018-09-23T21:00:00","Giants at Texans",0.927,FALSE,"2018-09-23T12:00:00","nfl",0.911,4347021,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,123594,NA,690.34,106,310,106,NA,"2018-08-24T18:27:18Z","QRCODE",FALSE,"https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","Houston, TX 77054","US","America/Chicago","77054","TX","Houston",46,"NRG Stadium","NRG Stadium","Houston, TX",0.8624192,"1 Reliant Park",41,0,TRUE,29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"29","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-tiaa-bank-field/nfl/4346950",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:19","normal","Tennessee Titans at Jacksonville Jaguars","2018-09-23T21:00:00","Titans at Jaguars",0.839,FALSE,"2018-09-23T13:00:00","nfl",0.791,4346950,"2018-09-23T17:00:00","2018-04-20T00:00:00",NA,775,NA,104.95,41,595,41,NA,"2018-08-24T18:26:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field","Jacksonville, FL 32202","US","America/New_York","32202","FL","Jacksonville",10,"TIAA Bank Field","TIAA Bank Field","Jacksonville, FL",0.83759147,"1 Everbank Field Dr",5178,0,TRUE,30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"30","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:14","normal","Los Angeles Chargers at Los Angeles Rams","2018-09-24T00:05:00","Chargers at Rams",0.892,FALSE,"2018-09-23T13:05:00","nfl",0.867,4346923,"2018-09-23T20:05:00","2018-04-20T00:00:00",NA,514,NA,153.79,60,743,60,NA,"2018-09-05T22:17:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","US","America/Los_Angeles","90037","CA","Los Angeles",12,"Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum","Los Angeles, CA",0.86898464,"3911 S Figueroa St",51012,0,TRUE,34.01,-118.29,"2018-08-23T17:59:28Z","QRCODE",FALSE
