"","date","timestamp","type","description","is_open","datetime_tbd","date_tbd","time_tbd","score","visible_until_utc","short_title","url","popularity","status","announce_date","id","created_at","datetime_utc","title","datetime_local","general_admission","listing_count","highest_price","average_price","visible_listing_count","lowest_price","lowest_price_good_deals","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","name_v2","country","slug","score_venue","has_upcoming_events","timezone","extended_address","url_venue","postal_code","popularity_venue","city","id_venue","num_upcoming_events","state","metro_code","display_location","name","address","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"63","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.884,"2018-10-15T00:05:00","Rams at Broncos","https://seatgeek.com/rams-at-broncos-tickets/10-14-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347138",0.863,"normal","2018-04-20T00:00:00",4347138,"2018-04-20T01:04:04","2018-10-14T20:05:00","Los Angeles Rams at Denver Broncos","2018-10-14T14:05:00",NA,80,1193,360.425,972,167,134,288,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Sports Authority Field at Mile High","US","sports-authority-field-at-mile-high",0.9028296,TRUE,"America/Denver","Denver, CO 80204","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","80204",0,"Denver",1131,6,"CO",751,"Denver, CO","Sports Authority Field at Mile High","1701 Bryant St.",-105.02,39.74,"QRCODE_TM","2015-08-07T18:39:02Z",FALSE
"64","2018-09-21","2018-09-21_08.02.02","nfl","",TRUE,FALSE,FALSE,FALSE,0.954,"2018-10-15T00:25:00","Jaguars at Cowboys","https://seatgeek.com/jaguars-at-cowboys-tickets/10-14-2018-arlington-texas-at-t-stadium/nfl/4327923",0.916,"normal","2018-04-05T00:00:00",4327923,"2018-04-05T23:08:47","2018-10-14T20:25:00","Jacksonville Jaguars at Dallas Cowboys","2018-10-14T15:25:00",NA,2629,2570,327.39368,2056,25,25,261,"QRCODE","2018-04-17T22:02:33Z",FALSE,"AT&T Stadium","US","at-t-stadium",0.9751414,TRUE,"America/Chicago","Arlington, TX 76011","https://seatgeek.com/venues/at-t-stadium/tickets","76011",0,"Arlington",4965,22,"TX",623,"Arlington, TX","AT&T Stadium","1 AT&T Way",-97.0957,32.7459,"QRCODE","2018-04-17T22:02:33Z",FALSE
"65","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.942,"2018-10-15T04:20:00","Chiefs at Patriots","https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095",0.903,"normal","2018-04-20T00:00:00",4347095,"2018-04-20T00:47:50","2018-10-15T00:20:00","Kansas City Chiefs at New England Patriots","2018-10-14T20:20:00",NA,185,1437,493.72433,705,245,212,405,"QRCODE","2018-08-24T21:53:35Z",FALSE,"Gillette Stadium","US","gillette-stadium",0.8983344,TRUE,"America/New_York","Foxborough, MA 02035","https://seatgeek.com/venues/gillette-stadium/tickets","02035",0,"Foxborough",33,15,"MA",506,"Foxborough, MA","Gillette Stadium","1 Patriot Place",-71.2674,42.0906,"NONE","2018-08-22T15:36:58Z",FALSE
"66","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.926,"2018-10-16T04:15:00","49ers at Packers","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914",0.891,"normal","2018-04-20T00:00:00",4346914,"2018-04-20T00:47:13","2018-10-16T00:15:00","San Francisco 49ers at Green Bay Packers","2018-10-15T19:15:00",NA,118,1224,341.92374,574,187,181,329,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Lambeau Field","US","lambeau-field",0.92909414,TRUE,"America/Chicago","Green Bay, WI 54304","https://seatgeek.com/venues/lambeau-field/tickets","54304",0,"Green Bay",1125,6,"WI",658,"Green Bay, WI","Lambeau Field","1265 Lombardi Avenue",-88.0622,44.5013,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"67","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.918,"2018-10-19T04:20:00","Broncos at Cardinals","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",0.881,"normal","2018-04-20T00:00:00",4347102,"2018-04-20T00:47:51","2018-10-19T00:20:00","Denver Broncos at Arizona Cardinals","2018-10-18T17:20:00",NA,472,607,171.22882,868,56,55,138,"QRCODE","2018-08-24T21:53:38Z",FALSE,"State Farm Stadium","US","state-farm-stadium",0.93402725,TRUE,"America/Phoenix","Glendale, AZ 85305","https://seatgeek.com/venues/state-farm-stadium/tickets","85305",0,"Glendale",43,9,"AZ",753,"Glendale, AZ","State Farm Stadium","1 Cardinals Drive",-112.262,33.5294,"NONE","2015-12-21T17:26:05Z",FALSE
"68","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.399,"2018-10-21T03:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/10-20-2018-jonesboro-arkansas-asu-convocation-center-1/nfl/4471322",0.48,"normal","2018-08-01T00:00:00",4471322,"2018-08-01T16:01:33","2018-10-20T23:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-20T18:30:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE","2018-08-24T21:53:38Z",FALSE,"ASU Convocation Center","US","asu-convocation-center-1",0.5808074,TRUE,"America/Chicago","Jonesboro, AR 72401","https://seatgeek.com/venues/asu-convocation-center-1/tickets","72401",0,"Jonesboro",4081,32,"AR",734,"Jonesboro, AR","ASU Convocation Center","217 Olympic Drive",-90.6691,35.8438,NA,NA,NA
"69","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.857,"2018-10-21T21:00:00","Bills at Colts","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",0.834,"normal","2018-04-20T00:00:00",4346960,"2018-04-20T00:47:22","2018-10-21T17:00:00","Buffalo Bills at Indianapolis Colts","2018-10-21T13:00:00",NA,647,875,106.89645,1047,33,33,83,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Lucas Oil Stadium","US","lucas-oil-stadium",0.9071682,TRUE,"America/Indiana/Indianapolis","Indianapolis, IN 46225","https://seatgeek.com/venues/lucas-oil-stadium/tickets","46225",0,"Indianapolis",1130,14,"IN",527,"Indianapolis, IN","Lucas Oil Stadium","500 South Capitol Avenue",-86.1639,39.7601,"QRCODE_TM","2018-09-13T22:29:37Z",FALSE
"70","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.972,"2018-10-21T21:00:00","Patriots at Bears","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",0.917,"normal","2018-04-20T00:00:00",4347008,"2018-04-20T00:47:33","2018-10-21T17:00:00","New England Patriots at Chicago Bears","2018-10-21T12:00:00",NA,77,1460,612.8831,587,280,280,563,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Soldier Field","US","soldier-field",0.940013,TRUE,"America/Chicago","Chicago, IL 60605","https://seatgeek.com/venues/soldier-field/tickets","60605",0,"Chicago",31,10,"IL",602,"Chicago, IL","Soldier Field","1410 S. Museum Campus Drive",-87.6159,41.8623,"NONE","2018-06-02T00:44:08Z",FALSE
"71","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.942,"2018-10-21T21:00:00","Vikings at Jets","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",0.892,"normal","2018-04-20T00:00:00",4346975,"2018-04-20T00:47:26","2018-10-21T17:00:00","Minnesota Vikings at New York Jets","2018-10-21T13:00:00",NA,447,1065,217.78076,964,73,68,181,"QRCODE","2018-08-24T21:53:38Z",FALSE,"MetLife Stadium","US","metlife-stadium",0.94873494,TRUE,"America/New_York","East Rutherford, NJ 07073","https://seatgeek.com/venues/metlife-stadium/tickets","07073",0,"East Rutherford",1587,17,"NJ",501,"East Rutherford, NJ","MetLife Stadium","1 MetLife Stadium Drive",-74.0737,40.8142,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"72","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.873,"2018-10-21T21:00:00","Browns at Buccaneers","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",0.839,"normal","2018-04-20T00:00:00",4346931,"2018-04-20T00:47:16","2018-10-21T17:00:00","Cleveland Browns at Tampa Bay Buccaneers","2018-10-21T13:00:00",NA,18,558,270.8889,405,137,79,183,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Raymond James Stadium","US","raymond-james-stadium",0.86513025,TRUE,"America/New_York","Tampa, FL 33607","https://seatgeek.com/venues/raymond-james-stadium/tickets","33607",0,"Tampa",39,16,"FL",539,"Tampa, FL","Raymond James Stadium","4201 North Dale Mabry Highway",-82.5034,27.9753,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
