"","date","timestamp","description","datetime_utc","datetime_local","visible_until_utc","id","is_open","date_tbd","popularity","status","url","type","score","title","datetime_tbd","created_at","time_tbd","short_title","announce_date","general_admission","median_price","lowest_price","lowest_price_good_deals","visible_listing_count","listing_count","average_price","highest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","slug","postal_code","state","address","extended_address","id_venue","timezone","popularity_venue","url_venue","score_venue","display_location","has_upcoming_events","name_v2","country","city","num_upcoming_events","name","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"212","2018-09-07","2018-09-07_10.59.28","","2018-12-09T18:00:00","2018-12-09T12:00:00","2018-12-09T22:00:00",4347014,FALSE,FALSE,0.829,"normal","https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014","nfl",0.874,"Indianapolis Colts at Houston Texans",FALSE,"2018-04-20T00:47:35",FALSE,"Colts at Texans","2018-04-20T00:00:00",NA,NA,42,42,NA,1752,198.31,5390,"2018-08-24T21:53:42Z",FALSE,"QRCODE","nrg-stadium","77054","TX","1 Reliant Park","Houston, TX 77054",41,"America/Chicago",0,"https://seatgeek.com/venues/nrg-stadium/tickets",0.8624192,"Houston, TX",TRUE,"NRG Stadium","US","Houston",47,"NRG Stadium",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"213","2018-09-07","2018-09-07_10.59.28","","2018-12-09T18:00:00","2018-12-09T13:00:00","2018-12-09T22:00:00",4346935,FALSE,FALSE,0.86,"normal","https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935","nfl",0.913,"New York Giants at Washington Redskins",FALSE,"2018-04-20T00:47:17",FALSE,"Giants at Redskins","2018-04-20T00:00:00",NA,NA,92,92,NA,1885,250.74,1198,"2018-08-24T21:53:42Z",FALSE,"QRCODE","fedex-field","20785","MD","1600 Fedex Way","Landover, MD 20785",35,"America/New_York",0,"https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"Landover, MD",TRUE,"FedEx Field","US","Landover",9,"FedEx Field",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"214","2018-09-07","2018-09-07_10.59.28","","2018-12-09T18:00:00","2018-12-09T12:00:00","2018-12-09T22:00:00",4346910,FALSE,FALSE,0.839,"normal","https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910","nfl",0.878,"Atlanta Falcons at Green Bay Packers",FALSE,"2018-04-20T00:47:13",FALSE,"Falcons at Packers","2018-04-20T00:00:00",NA,NA,143,143,NA,2563,296.02,1772,"2018-08-24T21:53:42Z",FALSE,"QRCODE","lambeau-field","54304","WI","1265 Lombardi Avenue","Green Bay, WI 54304",1125,"America/Chicago",0,"https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"Green Bay, WI",TRUE,"Lambeau Field","US","Green Bay",8,"Lambeau Field",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"215","2018-09-07","2018-09-07_10.59.28","","2018-12-09T21:05:00","2018-12-09T13:05:00","2018-12-10T01:05:00",4347107,FALSE,FALSE,0.833,"normal","https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107","nfl",0.88,"Cincinnati Bengals at Los Angeles Chargers",FALSE,"2018-04-20T00:47:52",FALSE,"Bengals at Chargers","2018-04-20T00:00:00",NA,NA,103,103,NA,886,241.48,1198,"2018-08-24T21:53:42Z",FALSE,"QRCODE","stubhub-center","90746","CA","18400 Avalon Blvd","Carson, CA 90746",52,"America/Los_Angeles",0,"https://seatgeek.com/venues/stubhub-center/tickets",0.7228164,"Carson, CA",TRUE,"StubHub Center","US","Carson",14,"StubHub Center",33.8643,-118.261,NA,NA,NA
"216","2018-09-07","2018-09-07_10.59.28","","2018-12-09T21:05:00","2018-12-09T13:05:00","2018-12-10T01:05:00",4347114,FALSE,FALSE,0.875,"normal","https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114","nfl",0.916,"Denver Broncos at San Francisco 49ers",FALSE,"2018-04-20T00:47:53",FALSE,"Broncos at 49ers","2018-04-20T00:00:00",NA,NA,100,100,NA,1876,310.82,6786,"2018-08-24T21:53:42Z",FALSE,"QRCODE","levi-s-stadium","95054","CA","4900 Marie P DeBartolo Way","Santa Clara, CA 95054",58670,"America/Los_Angeles",0,"https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"Santa Clara, CA",TRUE,"Levi's Stadium","US","Santa Clara",13,"Levi's Stadium",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"217","2018-09-07","2018-09-07_10.59.28","","2018-12-09T21:25:00","2018-12-09T14:25:00","2018-12-10T01:25:00",4347099,FALSE,FALSE,0.847,"normal","https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099","nfl",0.882,"Detroit Lions at Arizona Cardinals",FALSE,"2018-04-20T00:47:51",FALSE,"Lions at Cardinals","2018-04-20T00:00:00",NA,NA,43,43,NA,1727,175.57,1238,"2018-08-24T21:53:42Z",FALSE,"QRCODE","state-farm-stadium","85305","AZ","1 Cardinals Drive","Glendale, AZ 85305",43,"America/Phoenix",0,"https://seatgeek.com/venues/state-farm-stadium/tickets",0.93402725,"Glendale, AZ",TRUE,"State Farm Stadium","US","Glendale",11,"State Farm Stadium",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"218","2018-09-07","2018-09-07_10.59.28","","2018-12-09T21:25:00","2018-12-09T15:25:00","2018-12-10T01:25:00",4327919,TRUE,FALSE,0.888,"normal","https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919","nfl",0.942,"Philadelphia Eagles at Dallas Cowboys",FALSE,"2018-04-05T23:08:46",FALSE,"Eagles at Cowboys","2018-04-05T00:00:00",NA,NA,56,56,NA,2923,460.47,4311,"2018-04-17T22:02:33Z",FALSE,"QRCODE","at-t-stadium","76011","TX","1 AT&T Way","Arlington, TX 76011",4965,"America/Chicago",0,"https://seatgeek.com/venues/at-t-stadium/tickets",0.9751414,"Arlington, TX",TRUE,"AT&T Stadium","US","Arlington",24,"AT&T Stadium",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"219","2018-09-07","2018-09-07_10.59.28","","2018-12-10T01:20:00","2018-12-09T17:20:00","2018-12-10T05:20:00",4347151,FALSE,FALSE,0.859,"normal","https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151","nfl",0.9,"Pittsburgh Steelers at Oakland Raiders",FALSE,"2018-04-20T01:04:24",FALSE,"Steelers at Raiders","2018-04-20T00:00:00",NA,NA,197,197,NA,1011,477.6,2048,"2018-08-24T21:53:42Z",FALSE,"QRCODE","oakland-alameda-county-coliseum","94621","CA","7000 Coliseum Way","Oakland, CA 94621",14,"America/Los_Angeles",0,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",0.7817843,"Oakland, CA",TRUE,"Oakland-Alameda County Coliseum","US","Oakland",30,"Oakland-Alameda County Coliseum",37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"220","2018-09-07","2018-09-07_10.59.28","","2018-12-11T01:15:00","2018-12-10T17:15:00","2018-12-11T05:15:00",4347123,FALSE,FALSE,0.859,"normal","https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123","nfl",0.901,"Minnesota Vikings at Seattle Seahawks",FALSE,"2018-04-20T00:47:55",FALSE,"Vikings at Seahawks","2018-04-20T00:00:00",NA,NA,132,132,NA,1354,432.94,2570,"2018-08-24T21:53:42Z",FALSE,"QRCODE","centurylink-field","98134","WA","800 Occidental Ave S","Seattle, WA 98134",339,"America/Los_Angeles",0,"https://seatgeek.com/venues/centurylink-field/tickets",0.87232786,"Seattle, WA",TRUE,"CenturyLink Field","US","Seattle",14,"CenturyLink Field",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"221","2018-09-07","2018-09-07_10.59.28","","2018-12-14T01:20:00","2018-12-13T19:20:00","2018-12-14T05:20:00",4346978,FALSE,FALSE,0.812,"normal","https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978","nfl",0.855,"Los Angeles Chargers at Kansas City Chiefs",FALSE,"2018-04-20T00:47:26",FALSE,"Chargers at Chiefs","2018-04-20T00:00:00",NA,NA,38,38,NA,1354,168.5,7918,"2018-08-24T21:53:42Z",FALSE,"QRCODE","arrowhead-stadium","64129","MO","1 Arrowhead Drive","Kansas City, MO 64129",1128,"America/Chicago",0,"https://seatgeek.com/venues/arrowhead-stadium/tickets",0.8827867,"Kansas City, MO",TRUE,"Arrowhead Stadium","US","Kansas City",10,"Arrowhead Stadium",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"222","2018-09-07","2018-09-07_10.59.28","","2018-12-15T21:30:00","2018-12-15T16:30:00","2018-12-16T01:30:00",4347015,FALSE,FALSE,0.842,"normal","https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015","nfl",0.886,"Houston Texans at New York Jets",FALSE,"2018-04-20T00:47:35",FALSE,"Texans at Jets","2018-04-20T00:00:00",NA,NA,27,27,NA,2290,164.04,1368,"2018-08-24T21:53:42Z",FALSE,"QRCODE","metlife-stadium","07073","NJ","1 MetLife Stadium Drive","East Rutherford, NJ 07073",1587,"America/New_York",0,"https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"East Rutherford, NJ",TRUE,"MetLife Stadium","US","East Rutherford",21,"MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"223","2018-09-07","2018-09-07_10.59.28","","2018-12-15T21:30:00","2018-12-15T14:30:00","2018-12-16T01:30:00",4347135,FALSE,FALSE,0.803,"normal","https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135","nfl",0.836,"Cleveland Browns at Denver Broncos",FALSE,"2018-04-20T01:04:04",FALSE,"Browns at Broncos","2018-04-20T00:00:00",NA,NA,97,97,NA,991,282.21,1285,"2018-08-24T21:53:42Z",FALSE,"QRCODE","sports-authority-field-at-mile-high","80204","CO","1701 Bryant St.","Denver, CO 80204",1131,"America/Denver",0,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",0.9028296,"Denver, CO",TRUE,"Sports Authority Field at Mile High","US","Denver",8,"Sports Authority Field at Mile High",39.74,-105.02,"2015-08-07T18:39:02Z",FALSE,"QRCODE_TM"
"224","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4347047,FALSE,FALSE,0.845,"normal","https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047","nfl",0.873,"Arizona Cardinals at Atlanta Falcons",FALSE,"2018-04-20T00:47:41",FALSE,"Cardinals at Falcons","2018-04-20T00:00:00",NA,NA,68,68,NA,1532,221.06,10438,"2018-08-24T21:53:42Z",FALSE,"QRCODE","mercedes-benz-stadium","30313","GA","441 M.L.K. Jr Dr NW","Atlanta, GA 30313",419590,"America/New_York",0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"Atlanta, GA",TRUE,"Mercedes-Benz Stadium","US","Atlanta",15,"Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"225","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4346955,FALSE,FALSE,0.862,"normal","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955","nfl",0.903,"Dallas Cowboys at Indianapolis Colts",FALSE,"2018-04-20T00:47:20",FALSE,"Cowboys at Colts","2018-04-20T00:00:00",NA,NA,103,103,NA,1475,326.58,6154,"2018-08-24T21:53:42Z",FALSE,"QRCODE","lucas-oil-stadium","46225","IN","500 South Capitol Avenue","Indianapolis, IN 46225",1130,"America/Indiana/Indianapolis",0,"https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"Indianapolis, IN",TRUE,"Lucas Oil Stadium","US","Indianapolis",14,"Lucas Oil Stadium",39.7601,-86.1639,"2015-08-22T16:51:43Z",FALSE,"QRCODE_TM"
"226","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T12:00:00","2018-12-16T22:00:00",4347002,FALSE,FALSE,0.873,"normal","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","nfl",0.923,"Green Bay Packers at Chicago Bears",FALSE,"2018-04-20T00:47:32",FALSE,"Packers at Bears","2018-04-20T00:00:00",NA,NA,143,143,NA,1654,484.2,2230,"2018-08-24T21:53:42Z",FALSE,"QRCODE","soldier-field","60605","IL","1410 S. Museum Campus Drive","Chicago, IL 60605",31,"America/Chicago",0,"https://seatgeek.com/venues/soldier-field/tickets",0.940013,"Chicago, IL",TRUE,"Soldier Field","US","Chicago",12,"Soldier Field",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"227","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4347057,FALSE,FALSE,0.794,"normal","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057","nfl",0.837,"Detroit Lions at Buffalo Bills",FALSE,"2018-04-20T00:47:43",FALSE,"Lions at Bills","2018-04-20T00:00:00",NA,NA,25,25,NA,2755,120.2,9541,"2018-08-24T21:53:42Z",FALSE,"QRCODE","new-era-field","14127","NY","1 Bills Drive","Orchard Park, NY 14127",1135,"America/New_York",0,"https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"Orchard Park, NY",TRUE,"New Era Field","US","Orchard Park",8,"New Era Field",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"228","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4347066,FALSE,FALSE,0.784,"normal","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","nfl",0.817,"Tampa Bay Buccaneers at Baltimore Ravens",FALSE,"2018-04-20T00:47:44",FALSE,"Buccaneers at Ravens","2018-04-20T00:00:00",NA,NA,36,36,NA,2185,189.88,923,"2018-08-24T21:53:42Z",FALSE,"QRCODE","m-t-bank-stadium","21230","MD","1101 Russell St","Baltimore, MD 21230",1121,"America/New_York",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"Baltimore, MD",TRUE,"M&T Bank Stadium","US","Baltimore",9,"M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"229","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T12:00:00","2018-12-16T22:00:00",4347144,FALSE,FALSE,0.846,"normal","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144","nfl",0.883,"Miami Dolphins at Minnesota Vikings",FALSE,"2018-04-20T01:04:05",FALSE,"Dolphins at Vikings","2018-04-20T00:00:00",NA,NA,92,92,NA,1427,296.82,11271,"2018-08-24T21:53:42Z",FALSE,"QRCODE","u-s-bank-stadium","55415","MN","401 Chicago Avenue","Minneapolis, MN 55415",218451,"America/Chicago",0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"Minneapolis, MN",TRUE,"U.S. Bank Stadium","US","Minneapolis",14,"U.S. Bank Stadium",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"230","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4346945,FALSE,FALSE,0.785,"normal","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346945","nfl",0.824,"Washington Redskins at Jacksonville Jaguars",FALSE,"2018-04-20T00:47:18",FALSE,"Redskins at Jaguars","2018-04-20T00:00:00",NA,NA,64,64,NA,1071,173,2558,"2018-08-24T21:53:42Z",FALSE,"QRCODE","tiaa-bank-field","32202","FL","1 Everbank Field Dr","Jacksonville, FL 32202",5178,"America/New_York",0,"https://seatgeek.com/venues/tiaa-bank-field/tickets",0.83759147,"Jacksonville, FL",TRUE,"TIAA Bank Field","US","Jacksonville",10,"TIAA Bank Field",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"231","2018-09-07","2018-09-07_10.59.28","","2018-12-16T18:00:00","2018-12-16T13:00:00","2018-12-16T22:00:00",4347037,FALSE,FALSE,0.81,"normal","https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037","nfl",0.851,"Oakland Raiders at Cincinnati Bengals",FALSE,"2018-04-20T00:47:39",FALSE,"Raiders at Bengals","2018-04-20T00:00:00",NA,NA,53,53,NA,1443,149.4,11944,"2018-08-24T21:53:42Z",FALSE,"QRCODE","paul-brown-stadium","45202","OH","1 Paul Brown Stadium","Cincinnati, OH 45202",1124,"America/New_York",0,"https://seatgeek.com/venues/paul-brown-stadium/tickets",0.86166537,"Cincinnati, OH",TRUE,"Paul Brown Stadium","US","Cincinnati",9,"Paul Brown Stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
