"","date","timestamp","url","time_tbd","date_tbd","status","announce_date","score","datetime_utc","type","visible_until_utc","title","popularity","short_title","id","datetime_tbd","description","is_open","created_at","datetime_local","general_admission","visible_listing_count","median_price","lowest_price","listing_count","lowest_price_good_deals","highest_price","average_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","country","display_location","name","state","slug","postal_code","name_v2","timezone","score_venue","popularity_venue","extended_address","id_venue","has_upcoming_events","city","address","num_upcoming_events","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"23","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.99,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","Green Bay Packers at Washington Redskins",0.988,"Packers at Redskins",4346943,FALSE,"",FALSE,"2018-04-20T00:47:18","2018-09-23T13:00:00",NA,NA,NA,170,567,170,991,334.6,"2018-08-24T18:25:58Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","US","Landover, MD","FedEx Field","MD","fedex-field","20785","FedEx Field","America/New_York",0.9333444,0,"Landover, MD 20785",35,TRUE,"Landover","1600 Fedex Way",8,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"24","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.907,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","San Francisco 49ers at Kansas City Chiefs",0.92,"49ers at Chiefs",4346985,FALSE,"",FALSE,"2018-04-20T00:47:28","2018-09-23T12:00:00",NA,NA,NA,83,1051,83,534,212.29,"2018-08-24T18:27:03Z","QRCODE",FALSE,"https://seatgeek.com/venues/arrowhead-stadium/tickets","US","Kansas City, MO","Arrowhead Stadium","MO","arrowhead-stadium","64129","Arrowhead Stadium","America/Chicago",0.8827867,0,"Kansas City, MO 64129",1128,TRUE,"Kansas City","1 Arrowhead Drive",9,-94.4839,39.0489,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"25","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.93,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","New Orleans Saints at Atlanta Falcons",0.938,"Saints at Falcons",4347053,FALSE,"",FALSE,"2018-04-20T00:47:42","2018-09-23T13:00:00",NA,NA,NA,152,611,152,1348,320.89,"2018-08-24T18:29:05Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","Atlanta, GA","Mercedes-Benz Stadium","GA","mercedes-benz-stadium","30313","Mercedes-Benz Stadium","America/New_York",0.76958936,0,"Atlanta, GA 30313",419590,TRUE,"Atlanta","441 M.L.K. Jr Dr NW",19,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"26","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.888,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","Cincinnati Bengals at Carolina Panthers",0.91,"Bengals at Panthers",4347045,FALSE,"",FALSE,"2018-04-20T00:47:41","2018-09-23T13:00:00",NA,NA,NA,77,388,77,684,176.13,"2018-08-24T18:28:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","US","Charlotte, NC","Bank of America Stadium","NC","bank-of-america-stadium","28202","Bank of America Stadium","America/New_York",0.8968222,0,"Charlotte, NC 28202",1122,TRUE,"Charlotte","800 South Mint Street",9,-80.8524,35.2243,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"27","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.896,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","Denver Broncos at Baltimore Ravens",0.914,"Broncos at Ravens",4347072,FALSE,"",FALSE,"2018-04-20T00:47:45","2018-09-23T13:00:00",NA,NA,NA,63,520,63,707,155.87,"2018-08-24T18:29:20Z","QRCODE",FALSE,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","US","Baltimore, MD","M&T Bank Stadium","MD","m-t-bank-stadium","21230","M&T Bank Stadium","America/New_York",0.8927189,0,"Baltimore, MD 21230",1121,TRUE,"Baltimore","1101 Russell St",8,-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"28","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.934,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","New York Giants at Houston Texans",0.941,"Giants at Texans",4347021,FALSE,"",FALSE,"2018-04-20T00:47:36","2018-09-23T12:00:00",NA,NA,NA,106,310,106,123594,690.34,"2018-08-24T18:27:18Z","QRCODE",FALSE,"https://seatgeek.com/venues/nrg-stadium/tickets","US","Houston, TX","NRG Stadium","TX","nrg-stadium","77054","NRG Stadium","America/Chicago",0.8624192,0,"Houston, TX 77054",41,TRUE,"Houston","1 Reliant Park",46,-95.4107,29.6847,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"29","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.83,"2018-09-23T17:00:00","nfl","2018-09-23T21:00:00","Tennessee Titans at Jacksonville Jaguars",0.869,"Titans at Jaguars",4346950,FALSE,"",FALSE,"2018-04-20T00:47:19","2018-09-23T13:00:00",NA,NA,NA,41,595,41,775,104.95,"2018-08-24T18:26:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/everbank-field/tickets","US","Jacksonville, FL","EverBank Field","FL","everbank-field","32202","EverBank Field","America/New_York",0.83759147,0,"Jacksonville, FL 32202",5178,TRUE,"Jacksonville","1 Everbank Field Dr",10,-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"30","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.895,"2018-09-23T20:05:00","nfl","2018-09-24T00:05:00","Los Angeles Chargers at Los Angeles Rams",0.911,"Chargers at Rams",4346923,FALSE,"",FALSE,"2018-04-20T00:47:14","2018-09-23T13:05:00",NA,NA,NA,60,743,60,514,153.79,"2018-09-05T22:17:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US","Los Angeles, CA","Los Angeles Memorial Coliseum","CA","los-angeles-memorial-coliseum-1","90037","Los Angeles Memorial Coliseum","America/Los_Angeles",0.86898464,0,"Los Angeles, CA 90037",51012,TRUE,"Los Angeles","3911 S Figueroa St",12,-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"31","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.967,"2018-09-23T20:25:00","nfl","2018-09-24T00:25:00","Dallas Cowboys at Seattle Seahawks",0.965,"Cowboys at Seahawks",4347129,FALSE,"",FALSE,"2018-04-20T00:47:56","2018-09-23T13:25:00",NA,NA,NA,298,153,339,3079,692.68,"2018-03-02T22:54:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/centurylink-field/tickets","US","Seattle, WA","CenturyLink Field","WA","centurylink-field","98134","CenturyLink Field","America/Los_Angeles",0.87232786,0,"Seattle, WA 98134",339,TRUE,"Seattle","800 Occidental Ave S",18,-122.33,47.6,"2018-03-02T22:54:54Z","QRCODE",FALSE
"32","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.934,"2018-09-23T20:25:00","nfl","2018-09-24T00:25:00","Chicago Bears at Arizona Cardinals",0.943,"Bears at Cardinals",4347104,FALSE,"",FALSE,"2018-04-20T00:47:52","2018-09-23T13:25:00",NA,NA,NA,75,456,75,653,197.99,"2018-08-24T20:34:25Z","QRCODE",FALSE,"https://seatgeek.com/venues/state-farm-stadium/tickets","US","Glendale, AZ","State Farm Stadium","AZ","state-farm-stadium","85305","State Farm Stadium","America/Phoenix",0.93402725,0,"Glendale, AZ 85305",43,TRUE,"Glendale","1 Cardinals Drive",10,-112.262,33.5294,"2015-12-21T17:26:05Z","NONE",FALSE
