"","date","timestamp","status","date_tbd","datetime_tbd","announce_date","created_at","popularity","short_title","score","description","datetime_utc","visible_until_utc","id","datetime_local","url","type","title","time_tbd","is_open","general_admission","lowest_price","lowest_price_good_deals","listing_count","average_price","highest_price","visible_listing_count","median_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","display_location","name","name_v2","country","timezone","city","has_upcoming_events","popularity_venue","score_venue","metro_code","num_upcoming_events","id_venue","state","url_venue","slug","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"107","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T01:04:04",0.846,"Packers at Vikings",0.934,"","2018-11-26T01:20:00","2018-11-26T05:20:00",4347133,"2018-11-25T19:20:00","https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133","nfl","Green Bay Packers at Minnesota Vikings",FALSE,FALSE,NA,247,242,486,512.4239,3678,765,419,FALSE,"QRCODE","2018-08-24T21:53:41Z","Minneapolis, MN 55415","Minneapolis, MN","U.S. Bank Stadium","U.S. Bank Stadium","US","America/Chicago","Minneapolis",TRUE,0,0.88524246,0,15,218451,"MN","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium","401 Chicago Avenue","55415",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"108","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:36",0.779,"Titans at Texans",0.866,"","2018-11-27T01:15:00","2018-11-27T05:15:00",4347017,"2018-11-26T19:15:00","https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017","nfl","Tennessee Titans at Houston Texans",FALSE,FALSE,NA,42,40,800,169.91,962,1186,138,FALSE,"QRCODE","2018-08-24T21:53:41Z","Houston, TX 77054","Houston, TX","NRG Stadium","NRG Stadium","US","America/Chicago","Houston",TRUE,0,0.8624192,618,42,41,"TX","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","1 Reliant Park","77054",-95.4107,29.6847,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"109","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-05T00:00:00","2018-04-05T23:08:47",0.88,"Saints at Cowboys",0.987,"","2018-11-30T01:20:00","2018-11-30T05:20:00",4327920,"2018-11-29T19:20:00","https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920","nfl","New Orleans Saints at Dallas Cowboys",FALSE,TRUE,NA,38,38,2791,396.71838,3976,2215,323,FALSE,"QRCODE_TM","2018-10-06T23:29:11Z","Arlington, TX 76011","Arlington, TX","AT&T Stadium","AT&T Stadium","US","America/Chicago","Arlington",TRUE,0,0.9751414,623,17,4965,"TX","https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium","1 AT&T Way","76011",-97.0957,32.7459,FALSE,"QRCODE_TM","2018-10-06T23:29:11Z"
"110","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:36",0.814,"Rams at Lions",0.897,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347023,"2018-12-02T13:00:00","https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023","nfl","Los Angeles Rams at Detroit Lions",FALSE,FALSE,NA,63,61,532,144.4455,1198,785,115,FALSE,"QRCODE","2018-08-24T21:53:41Z","Detroit, MI 48226","Detroit, MI","Ford Field","Ford Field","US","America/Detroit","Detroit",TRUE,0,0.9029952,505,10,346,"MI","https://seatgeek.com/venues/ford-field/tickets","ford-field","2000 Brush St.","48226",-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
"111","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:15",0.779,"Panthers at Buccaneers",0.866,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4346927,"2018-12-02T13:00:00","https://seatgeek.com/panthers-at-buccaneers-tickets/12-2-2018-tampa-florida-raymond-james-stadium/nfl/4346927","nfl","Carolina Panthers at Tampa Bay Buccaneers",FALSE,FALSE,NA,76,76,23,165,389,418,144,FALSE,"QRCODE","2018-08-24T21:53:41Z","Tampa, FL 33607","Tampa, FL","Raymond James Stadium","Raymond James Stadium","US","America/New_York","Tampa",TRUE,0,0.86513025,539,15,39,"FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","4201 North Dale Mabry Highway","33607",-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"112","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:48",0.782,"Bills at Dolphins",0.873,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347087,"2018-12-02T13:00:00","https://seatgeek.com/bills-at-dolphins-tickets/12-2-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347087","nfl","Buffalo Bills at Miami Dolphins",FALSE,FALSE,NA,64,51,178,172.63483,899,940,149,FALSE,"QRCODE","2018-08-24T21:53:41Z","Miami Gardens, FL 33056","Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium","US","America/New_York","Miami Gardens",TRUE,0,0.8378203,528,34,29,"FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","347 Don Shula Dr.","33056",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"113","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:52",0.81,"Chargers at Steelers",0.898,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347108,"2018-12-02T13:00:00","https://seatgeek.com/chargers-at-steelers-tickets/12-2-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347108","nfl","Los Angeles Chargers at Pittsburgh Steelers",FALSE,FALSE,NA,92,90,727,207.95874,962,1079,176,FALSE,"QRCODE","2018-08-24T21:53:41Z","Pittsburgh, PA 15212","Pittsburgh, PA","Heinz Field","Heinz Field","US","America/New_York","Pittsburgh",TRUE,0,0.9033526,508,7,1119,"PA","https://seatgeek.com/venues/heinz-field/tickets","heinz-field","100 Art Rooney Avenue","15212",-80.0158,40.4468,FALSE,"QRCODE","2018-10-04T12:42:28Z"
"114","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:13",0.801,"Cardinals at Packers",0.885,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4346909,"2018-12-02T12:00:00","https://seatgeek.com/cardinals-at-packers-tickets/12-2-2018-green-bay-wisconsin-lambeau-field/nfl/4346909","nfl","Arizona Cardinals at Green Bay Packers",FALSE,FALSE,NA,149,140,244,263.34836,718,986,240,FALSE,"QRCODE","2018-08-24T21:53:41Z","Green Bay, WI 54304","Green Bay, WI","Lambeau Field","Lambeau Field","US","America/Chicago","Green Bay",TRUE,0,0.92909414,658,5,1125,"WI","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","1265 Lombardi Avenue","54304",-88.0622,44.5013,FALSE,"QRCODE_TM","2015-09-02T22:43:34Z"
"115","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:19",0.753,"Colts at Jaguars",0.833,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4346946,"2018-12-02T13:00:00","https://seatgeek.com/colts-at-jaguars-tickets/12-2-2018-jacksonville-florida-everbank-field/nfl/4346946","nfl","Indianapolis Colts at Jacksonville Jaguars",FALSE,FALSE,NA,45,45,682,122.4912,473,858,102,FALSE,"QRCODE","2018-08-24T21:53:41Z","Jacksonville, FL 32202","Jacksonville, FL","EverBank Field","EverBank Field","US","America/New_York","Jacksonville",TRUE,0,0.83759147,561,7,5178,"FL","https://seatgeek.com/venues/everbank-field/tickets","everbank-field","1 Everbank Field Dr","32202",-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"116","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:39",0.805,"Broncos at Bengals",0.898,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347038,"2018-12-02T13:00:00","https://seatgeek.com/broncos-at-bengals-tickets/12-2-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347038","nfl","Denver Broncos at Cincinnati Bengals",FALSE,FALSE,NA,54,54,521,116.95586,513,851,101,FALSE,"QRCODE","2018-08-24T21:53:41Z","Cincinnati, OH 45202","Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium","US","America/New_York","Cincinnati",TRUE,0,0.86166537,515,6,1124,"OH","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium","1 Paul Brown Stadium","45202",-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
