"","date","timestamp","time_tbd","id","datetime_local","date_tbd","popularity","url","announce_date","visible_until_utc","is_open","status","description","type","datetime_tbd","score","datetime_utc","created_at","short_title","title","general_admission","median_price","listing_count","highest_price","lowest_price","lowest_price_good_deals","average_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","timezone","has_upcoming_events","id_venue","popularity_venue","url_venue","country","display_location","name","slug","address","postal_code","metro_code","extended_address","num_upcoming_events","state","name_v2","score_venue","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"140","2018-10-10","2018-10-10_08.11.57",FALSE,4347015,"2018-12-15T16:30:00",FALSE,0.834,"https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015","2018-04-20T00:00:00","2018-12-16T01:30:00",FALSE,"normal","","nfl",FALSE,0.93,"2018-12-15T21:30:00","2018-04-20T00:47:35","Texans at Jets","Houston Texans at New York Jets",NA,121,1043,917,32,31,146.46309,1767,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1587,0,"https://seatgeek.com/venues/metlife-stadium/tickets","US","East Rutherford, NJ","MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive","07073",501,"East Rutherford, NJ 07073",14,"NJ","MetLife Stadium",0.94873494,"East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"141","2018-10-10","2018-10-10_08.11.57",FALSE,4347135,"2018-12-15T14:30:00",FALSE,0.805,"https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135","2018-04-20T00:00:00","2018-12-16T01:30:00",FALSE,"normal","","nfl",FALSE,0.881,"2018-12-15T21:30:00","2018-04-20T01:04:04","Browns at Broncos","Cleveland Browns at Denver Broncos",NA,268,98,1197,144,92,333.38776,1399,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Denver",TRUE,1131,0,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","US","Denver, CO","Sports Authority Field at Mile High","sports-authority-field-at-mile-high","1701 Bryant St.","80204",751,"Denver, CO 80204",6,"CO","Sports Authority Field at Mile High",0.9028296,"Denver",39.74,-105.02,"2015-08-07T18:39:02Z",FALSE,"QRCODE_TM"
"142","2018-10-10","2018-10-10_08.11.57",FALSE,4347047,"2018-12-16T13:00:00",FALSE,0.831,"https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.912,"2018-12-16T18:00:00","2018-04-20T00:47:41","Cardinals at Falcons","Arizona Cardinals at Atlanta Falcons",NA,144,957,1193,65,62,178.71786,2258,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,419590,0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","Atlanta, GA","Mercedes-Benz Stadium","mercedes-benz-stadium","35 Northside Dr NW","30313",0,"Atlanta, GA 30313",18,"GA","Mercedes-Benz Stadium",0.76958936,"Atlanta",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"143","2018-10-10","2018-10-10_08.11.57",FALSE,4346955,"2018-12-16T13:00:00",FALSE,0.853,"https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.943,"2018-12-16T18:00:00","2018-04-20T00:47:20","Cowboys at Colts","Dallas Cowboys at Indianapolis Colts",NA,257,463,1981,119,119,304.5378,1103,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Indiana/Indianapolis",TRUE,1130,0,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","US","Indianapolis, IN","Lucas Oil Stadium","lucas-oil-stadium","500 South Capitol Avenue","46225",527,"Indianapolis, IN 46225",11,"IN","Lucas Oil Stadium",0.9071682,"Indianapolis",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"144","2018-10-10","2018-10-10_08.11.57",FALSE,4347057,"2018-12-16T13:00:00",FALSE,0.812,"https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.896,"2018-12-16T18:00:00","2018-04-20T00:47:43","Lions at Bills","Detroit Lions at Buffalo Bills",NA,56,1227,636,18,16,76.53545,1917,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1135,0,"https://seatgeek.com/venues/new-era-field/tickets","US","Orchard Park, NY","New Era Field","new-era-field","1 Bills Drive","14127",514,"Orchard Park, NY 14127",6,"NY","New Era Field",0.8815085,"Orchard Park",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"145","2018-10-10","2018-10-10_08.11.57",FALSE,4347002,"2018-12-16T12:00:00",FALSE,0.868,"https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.971,"2018-12-16T18:00:00","2018-04-20T00:47:32","Packers at Bears","Green Bay Packers at Chicago Bears",NA,434,94,1350,263,183,513.1489,1387,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Chicago",TRUE,31,0,"https://seatgeek.com/venues/soldier-field/tickets","US","Chicago, IL","Soldier Field","soldier-field","1410 S. Museum Campus Drive","60605",602,"Chicago, IL 60605",7,"IL","Soldier Field",0.940013,"Chicago",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"146","2018-10-10","2018-10-10_08.11.57",FALSE,4347066,"2018-12-16T13:00:00",FALSE,0.776,"https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.855,"2018-12-16T18:00:00","2018-04-20T00:47:44","Buccaneers at Ravens","Tampa Bay Buccaneers at Baltimore Ravens",NA,93,707,572,35,33,122.930695,2143,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1121,0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","US","Baltimore, MD","M&T Bank Stadium","m-t-bank-stadium","1101 Russell St","21230",512,"Baltimore, MD 21230",6,"MD","M&T Bank Stadium",0.8927189,"Baltimore",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"147","2018-10-10","2018-10-10_08.11.57",FALSE,4346945,"2018-12-16T13:00:00",FALSE,0.771,"https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346945","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.852,"2018-12-16T18:00:00","2018-04-20T00:47:18","Redskins at Jaguars","Washington Redskins at Jacksonville Jaguars",NA,119,640,654,56,53,149.80624,1105,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,5178,0,"https://seatgeek.com/venues/tiaa-bank-field/tickets","US","Jacksonville, FL","TIAA Bank Field","tiaa-bank-field","1 Everbank Field Dr","32202",561,"Jacksonville, FL 32202",7,"FL","TIAA Bank Field",0.83759147,"Jacksonville",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"148","2018-10-10","2018-10-10_08.11.57",FALSE,4347144,"2018-12-16T12:00:00",FALSE,0.837,"https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.923,"2018-12-16T18:00:00","2018-04-20T01:04:05","Dolphins at Vikings","Miami Dolphins at Minnesota Vikings",NA,207,548,1795,111,105,252.18431,1585,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Chicago",TRUE,218451,0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","US","Minneapolis, MN","U.S. Bank Stadium","u-s-bank-stadium","401 Chicago Avenue","55415",0,"Minneapolis, MN 55415",15,"MN","U.S. Bank Stadium",0.88524246,"Minneapolis",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"149","2018-10-10","2018-10-10_08.11.57",FALSE,4347037,"2018-12-16T13:00:00",FALSE,0.806,"https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.894,"2018-12-16T18:00:00","2018-04-20T00:47:39","Raiders at Bengals","Oakland Raiders at Cincinnati Bengals",NA,106,581,601,56,49,123.70224,1060,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1124,0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","US","Cincinnati, OH","Paul Brown Stadium","paul-brown-stadium","1 Paul Brown Stadium","45202",515,"Cincinnati, OH 45202",6,"OH","Paul Brown Stadium",0.86166537,"Cincinnati",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"150","2018-10-10","2018-10-10_08.11.57",FALSE,4346988,"2018-12-16T13:00:00",FALSE,0.817,"https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988","2018-04-20T00:00:00","2018-12-16T22:00:00",FALSE,"normal","","nfl",FALSE,0.91,"2018-12-16T18:00:00","2018-04-20T00:47:29","Titans at Giants","Tennessee Titans at New York Giants",NA,151,916,1250,71,71,192.43777,2116,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1587,0,"https://seatgeek.com/venues/metlife-stadium/tickets","US","East Rutherford, NJ","MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive","07073",501,"East Rutherford, NJ 07073",14,"NJ","MetLife Stadium",0.94873494,"East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"151","2018-10-10","2018-10-10_08.11.57",FALSE,4347122,"2018-12-16T13:05:00",FALSE,0.846,"https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122","2018-04-20T00:00:00","2018-12-17T01:05:00",FALSE,"normal","","nfl",FALSE,0.945,"2018-12-16T21:05:00","2018-04-20T00:47:55","Seahawks at 49ers","Seattle Seahawks at San Francisco 49ers",NA,158,973,2988,63,62,179.963,2129,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Los_Angeles",TRUE,58670,0,"https://seatgeek.com/venues/levi-s-stadium/tickets","US","Santa Clara, CA","Levi's Stadium","levi-s-stadium","4900 Marie P DeBartolo Way","95054",0,"Santa Clara, CA 95054",11,"CA","Levi's Stadium",0.95768774,"Santa Clara",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"152","2018-10-10","2018-10-10_08.11.57",FALSE,4347077,"2018-12-16T16:25:00",FALSE,0.868,"https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077","2018-04-20T00:00:00","2018-12-17T01:25:00",FALSE,"normal","","nfl",FALSE,0.969,"2018-12-16T21:25:00","2018-04-20T00:47:46","Patriots at Steelers","New England Patriots at Pittsburgh Steelers",NA,341,624,10950,187,186,429.15866,1929,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1119,0,"https://seatgeek.com/venues/heinz-field/tickets","US","Pittsburgh, PA","Heinz Field","heinz-field","100 Art Rooney Avenue","15212",508,"Pittsburgh, PA 15212",7,"PA","Heinz Field",0.9033526,"Pittsburgh",40.4468,-80.0158,"2018-10-04T12:42:28Z",FALSE,"QRCODE"
"153","2018-10-10","2018-10-10_08.11.57",FALSE,4346919,"2018-12-16T17:20:00",FALSE,0.836,"https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919","2018-04-20T00:00:00","2018-12-17T05:20:00",FALSE,"normal","","nfl",FALSE,0.936,"2018-12-17T01:20:00","2018-04-20T00:47:14","Eagles at Rams","Philadelphia Eagles at Los Angeles Rams",NA,285,627,1941,129,122,364.59967,1737,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/Los_Angeles",TRUE,51012,0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US","Los Angeles, CA","Los Angeles Memorial Coliseum","los-angeles-memorial-coliseum-1","3911 S Figueroa St","90037",0,"Los Angeles, CA 90037",9,"CA","Los Angeles Memorial Coliseum",0.86898464,"Los Angeles",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"154","2018-10-10","2018-10-10_08.11.57",FALSE,4347035,"2018-12-17T20:15:00",FALSE,0.82,"https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035","2018-04-20T00:00:00","2018-12-18T05:15:00",FALSE,"normal","","nfl",FALSE,0.92,"2018-12-18T01:15:00","2018-04-20T00:47:38","Saints at Panthers","New Orleans Saints at Carolina Panthers",NA,155,462,1423,81,81,221.31386,1744,"2018-08-24T21:53:42Z",FALSE,"QRCODE","America/New_York",TRUE,1122,0,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","US","Charlotte, NC","Bank of America Stadium","bank-of-america-stadium","800 South Mint Street","28202",517,"Charlotte, NC 28202",7,"NC","Bank of America Stadium",0.8968222,"Charlotte",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"155","2018-10-10","2018-10-10_08.11.57",FALSE,4346986,"2018-12-23T12:00:00",FALSE,0.768,"https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-04-20T00:00:00","2018-12-23T21:00:00",FALSE,"normal","","nfl",FALSE,0.851,"2018-12-23T17:00:00","2018-04-20T00:47:29","Redskins at Titans","Washington Redskins at Tennessee Titans",NA,125,620,781,36,33,147.53226,1671,"2018-08-24T21:53:43Z",FALSE,"QRCODE","America/New_York",TRUE,1126,0,"https://seatgeek.com/venues/nissan-stadium/tickets","US","Nashville, TN","Nissan Stadium","nissan-stadium","1 Titans Way","37213",659,"Nashville, TN 37213",15,"TN","Nissan Stadium",0.8546275,"Nashville",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"156","2018-10-10","2018-10-10_08.11.57",FALSE,4346994,"2018-12-23T13:00:00",FALSE,0.8,"https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-04-20T00:00:00","2018-12-23T22:00:00",FALSE,"normal","","nfl",FALSE,0.886,"2018-12-23T18:00:00","2018-04-20T00:47:31","Bengals at Browns","Cincinnati Bengals at Cleveland Browns",NA,92,1194,757,41,38,107.64322,1771,"2018-08-24T21:53:43Z",FALSE,"QRCODE","America/New_York",TRUE,1123,0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US","Cleveland, OH","FirstEnergy Stadium","firstenergy-stadium-15","100 Alfred Lerner Way","44114",510,"Cleveland, OH 44114",5,"OH","FirstEnergy Stadium",0.86852187,"Cleveland",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"157","2018-10-10","2018-10-10_08.11.57",FALSE,4347013,"2018-12-23T13:00:00",FALSE,0.817,"https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-04-20T00:00:00","2018-12-23T22:00:00",FALSE,"normal","","nfl",FALSE,0.913,"2018-12-23T18:00:00","2018-04-20T00:47:35","Texans at Eagles","Houston Texans at Philadelphia Eagles",NA,350,2726,6105,96,NA,406.5488,1642,"2018-08-24T21:53:43Z",FALSE,"QRCODE","America/New_York",TRUE,330,0,"https://seatgeek.com/venues/lincoln-financial-field/tickets","US","Philadelphia, PA","Lincoln Financial Field","lincoln-financial-field","1020 Pattison Ave","19148",504,"Philadelphia, PA 19148",12,"PA","Lincoln Financial Field",0.90542686,"Philadelphia",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"158","2018-10-10","2018-10-10_08.11.57",FALSE,4347085,"2018-12-23T13:00:00",FALSE,0.781,"https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085","2018-04-20T00:00:00","2018-12-23T22:00:00",FALSE,"normal","","nfl",FALSE,0.878,"2018-12-23T18:00:00","2018-04-20T00:47:48","Jaguars at Dolphins","Jacksonville Jaguars at Miami Dolphins",NA,138,227,899,62,56,161.64317,1469,"2018-08-24T21:53:43Z",FALSE,"QRCODE","America/New_York",TRUE,29,0,"https://seatgeek.com/venues/hard-rock-stadium/tickets","US","Miami Gardens, FL","Hard Rock Stadium","hard-rock-stadium","347 Don Shula Dr.","33056",528,"Miami Gardens, FL 33056",34,"FL","Hard Rock Stadium",0.8378203,"Miami Gardens",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
