"","date","timestamp","date_tbd","id","status","time_tbd","title","short_title","type","description","announce_date","created_at","score","datetime_utc","visible_until_utc","datetime_local","is_open","url","popularity","datetime_tbd","general_admission","listing_count","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","state","id_venue","num_upcoming_events","name","address","popularity_venue","extended_address","postal_code","country","score_venue","metro_code","slug","display_location","has_upcoming_events","timezone","url_venue","name_v2","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"130","2018-09-14","2018-09-14_16.00.11",FALSE,4346980,"normal",FALSE,"Arizona Cardinals at Kansas City Chiefs","Cardinals at Chiefs","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:27",0.893,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T12:00:00",FALSE,"https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980",0.809,FALSE,NA,849,156.05182,11704,40,127,1067,40,"2018-08-24T21:53:40Z",FALSE,"QRCODE","MO",1128,9,"Arrowhead Stadium","1 Arrowhead Drive",0,"Kansas City, MO 64129","64129","US",0.8827867,616,"arrowhead-stadium","Kansas City, MO",TRUE,"America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","Kansas City",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"131","2018-09-14","2018-09-14_16.00.11",FALSE,4347040,"normal",FALSE,"New Orleans Saints at Cincinnati Bengals","Saints at Bengals","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:40",0.888,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T13:00:00",FALSE,"https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040",0.803,FALSE,NA,534,117.7603,414,51,104,899,53,"2018-08-24T21:53:40Z",FALSE,"QRCODE","OH",1124,7,"Paul Brown Stadium","1 Paul Brown Stadium",0,"Cincinnati, OH 45202","45202","US",0.86166537,515,"paul-brown-stadium","Cincinnati, OH",TRUE,"America/New_York","https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","Cincinnati",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"132","2018-09-14","2018-09-14_16.00.11",FALSE,4346958,"normal",FALSE,"Jacksonville Jaguars at Indianapolis Colts","Jaguars at Colts","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:22",0.871,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T13:00:00",FALSE,"https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958",0.797,FALSE,NA,745,271.8953,123594,33,87,1097,33,"2018-08-24T21:53:40Z",FALSE,"QRCODE","IN",1130,13,"Lucas Oil Stadium","500 South Capitol Avenue",0,"Indianapolis, IN 46225","46225","US",0.9071682,527,"lucas-oil-stadium","Indianapolis, IN",TRUE,"America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","Indianapolis",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"133","2018-09-14","2018-09-14_16.00.11",FALSE,4346930,"normal",FALSE,"Washington Redskins at Tampa Bay Buccaneers","Redskins at Buccaneers","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:16",0.88,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T13:00:00",FALSE,"https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930",0.796,FALSE,NA,26,228.15384,528,132,180,644,79,"2018-08-24T21:53:40Z",FALSE,"QRCODE","FL",39,15,"Raymond James Stadium","4201 North Dale Mabry Highway",0,"Tampa, FL 33607","33607","US",0.86513025,539,"raymond-james-stadium","Tampa, FL",TRUE,"America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","Tampa",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"134","2018-09-14","2018-09-14_16.00.11",FALSE,4347060,"normal",FALSE,"Buffalo Bills at New York Jets","Bills at Jets","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:43",0.913,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T13:00:00",FALSE,"https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060",0.821,FALSE,NA,954,152.04402,871,46,126,1391,46,"2018-08-24T21:53:40Z",FALSE,"QRCODE","NJ",1587,18,"MetLife Stadium","1 MetLife Stadium Drive",0,"East Rutherford, NJ 07073","07073","US",0.94873494,501,"metlife-stadium","East Rutherford, NJ",TRUE,"America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"135","2018-09-14","2018-09-14_16.00.11",FALSE,4346996,"normal",FALSE,"Atlanta Falcons at Cleveland Browns","Falcons at Browns","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:31",0.865,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T13:00:00",FALSE,"https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996",0.791,FALSE,NA,1126,96.3135,1172,30,77,1416,31,"2018-08-24T21:53:40Z",FALSE,"QRCODE","OH",1123,7,"FirstEnergy Stadium","100 Alfred Lerner Way",0,"Cleveland, OH 44114","44114","US",0.86852187,510,"firstenergy-stadium-15","Cleveland, OH",TRUE,"America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","Cleveland",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"136","2018-09-14","2018-09-14_16.00.11",FALSE,4346912,"normal",FALSE,"Miami Dolphins at Green Bay Packers","Dolphins at Packers","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:13",0.919,"2018-11-11T18:00:00","2018-11-11T22:00:00","2018-11-11T12:00:00",FALSE,"https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912",0.836,FALSE,NA,165,415.70303,1197,187,402,592,195,"2018-08-24T21:53:40Z",FALSE,"QRCODE","WI",1125,7,"Lambeau Field","1265 Lombardi Avenue",0,"Green Bay, WI 54304","54304","US",0.92909414,658,"lambeau-field","Green Bay, WI",TRUE,"America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","Green Bay",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"137","2018-09-14","2018-09-14_16.00.11",FALSE,4347130,"normal",FALSE,"Los Angeles Chargers at Oakland Raiders","Chargers at Raiders","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:56",0.887,"2018-11-11T21:05:00","2018-11-12T01:05:00","2018-11-11T13:05:00",FALSE,"https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130",0.802,FALSE,NA,504,199.2262,628,79,187,820,79,"2018-08-24T21:53:40Z",FALSE,"QRCODE","CA",14,26,"Oakland-Alameda County Coliseum","7000 Coliseum Way",0,"Oakland, CA 94621","94621","US",0.7817843,807,"oakland-alameda-county-coliseum","Oakland, CA",TRUE,"America/Los_Angeles","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland-Alameda County Coliseum","Oakland",37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"138","2018-09-14","2018-09-14_16.00.11",FALSE,4346920,"normal",FALSE,"Seattle Seahawks at Los Angeles Rams","Seahawks at Rams","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:14",0.902,"2018-11-11T21:25:00","2018-11-12T01:25:00","2018-11-11T13:25:00",FALSE,"https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920",0.815,FALSE,NA,840,182.73691,922,51,134,1381,55,"2018-08-24T21:53:40Z",FALSE,"QRCODE","CA",51012,12,"Los Angeles Memorial Coliseum","3911 S Figueroa St",0,"Los Angeles, CA 90037","90037","US",0.86898464,0,"los-angeles-memorial-coliseum-1","Los Angeles, CA",TRUE,"America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles Memorial Coliseum","Los Angeles",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"139","2018-09-14","2018-09-14_16.00.11",FALSE,4500554,"normal",FALSE,"Alex G with Half Waif","Alex G with Half Waif","concert","","2018-08-23T00:00:00","2018-08-23T20:13:51",0.458,"2018-11-12T00:00:00","2018-11-12T04:00:00","2018-11-11T19:00:00",FALSE,"https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554",0.468,FALSE,TRUE,15,220.8,569,NA,243,1,45,NA,NA,NA,"FL",3160,31,"Crowbar","1812 North 17th Street",0,"Tampa, FL 33605","33605","US",0.42424366,539,"crowbar-2","Tampa, FL",TRUE,"America/New_York","https://seatgeek.com/venues/crowbar-2/tickets","Crowbar","Tampa",27.9608,-82.4406,NA,NA,NA
