"","date","timestamp","date_tbd","datetime_tbd","time_tbd","id","url","short_title","datetime_utc","datetime_local","type","score","title","is_open","popularity","status","description","visible_until_utc","created_at","announce_date","general_admission","median_price","lowest_price_good_deals","highest_price","listing_count","lowest_price","average_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","has_upcoming_events","postal_code","id_venue","url_venue","state","name_v2","name","score_venue","extended_address","timezone","popularity_venue","country","address","slug","display_location","city","metro_code","num_upcoming_events","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"46","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346990,"https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990","Patriots at Titans","2018-11-11T17:00:00","2018-11-11T12:00:00","nfl",0.947,"New England Patriots at Tennessee Titans",FALSE,0.912,"normal","","2018-11-11T21:00:00","2018-04-20T00:47:30","2018-04-20T00:00:00",NA,479,243,2443,281,243,559.95374,1068,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"37213",1126,"https://seatgeek.com/venues/nissan-stadium/tickets","TN","Nissan Stadium","Nissan Stadium",0.8546275,"Nashville, TN 37213","America/New_York",0,"US","1 Titans Way","nissan-stadium","Nashville, TN","Nashville",659,16,36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"47","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346980,"https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980","Cardinals at Chiefs","2018-11-11T18:00:00","2018-11-11T12:00:00","nfl",0.891,"Arizona Cardinals at Kansas City Chiefs",FALSE,0.87,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:27","2018-04-20T00:00:00",NA,122,64,225,2,122,173.5,1220,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"64129",1128,"https://seatgeek.com/venues/arrowhead-stadium/tickets","MO","Arrowhead Stadium","Arrowhead Stadium",0.8827867,"Kansas City, MO 64129","America/Chicago",0,"US","1 Arrowhead Drive","arrowhead-stadium","Kansas City, MO","Kansas City",616,6,39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"48","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347040,"https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040","Saints at Bengals","2018-11-11T18:00:00","2018-11-11T13:00:00","nfl",0.893,"New Orleans Saints at Cincinnati Bengals",FALSE,0.871,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:40","2018-04-20T00:00:00",NA,121,70,10755,392,62,163.7551,793,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"45202",1124,"https://seatgeek.com/venues/paul-brown-stadium/tickets","OH","Paul Brown Stadium","Paul Brown Stadium",0.86166537,"Cincinnati, OH 45202","America/New_York",0,"US","1 Paul Brown Stadium","paul-brown-stadium","Cincinnati, OH","Cincinnati",515,5,39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"49","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347006,"https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006","Lions at Bears","2018-11-11T18:00:00","2018-11-11T12:00:00","nfl",0.92,"Detroit Lions at Chicago Bears",FALSE,0.892,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:32","2018-04-20T00:00:00",NA,372,137,1197,111,182,397.82883,1076,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"60605",31,"https://seatgeek.com/venues/soldier-field/tickets","IL","Soldier Field","Soldier Field",0.940013,"Chicago, IL 60605","America/Chicago",0,"US","1410 S. Museum Campus Drive","soldier-field","Chicago, IL","Chicago",602,8,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"50","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346958,"https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958","Jaguars at Colts","2018-11-11T18:00:00","2018-11-11T13:00:00","nfl",0.853,"Jacksonville Jaguars at Indianapolis Colts",FALSE,0.845,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:22","2018-04-20T00:00:00",NA,87,28,868,659,28,105.36419,1227,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"46225",1130,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","Lucas Oil Stadium","Lucas Oil Stadium",0.9071682,"Indianapolis, IN 46225","America/Indiana/Indianapolis",0,"US","500 South Capitol Avenue","lucas-oil-stadium","Indianapolis, IN","Indianapolis",527,12,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"51","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346930,"https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930","Redskins at Buccaneers","2018-11-11T18:00:00","2018-11-11T13:00:00","nfl",0.894,"Washington Redskins at Tampa Bay Buccaneers",FALSE,0.87,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:16","2018-04-20T00:00:00",NA,168,78,430,14,80,195.21428,733,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"33607",39,"https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","Raymond James Stadium","Raymond James Stadium",0.86513025,"Tampa, FL 33607","America/New_York",0,"US","4201 North Dale Mabry Highway","raymond-james-stadium","Tampa, FL","Tampa",539,14,27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"52","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346996,"https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996","Falcons at Browns","2018-11-11T18:00:00","2018-11-11T13:00:00","nfl",0.874,"Atlanta Falcons at Cleveland Browns",FALSE,0.861,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:31","2018-04-20T00:00:00",NA,96,47,1172,851,49,117.93067,1381,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"44114",1123,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","OH","FirstEnergy Stadium","FirstEnergy Stadium",0.86852187,"Cleveland, OH 44114","America/New_York",0,"US","100 Alfred Lerner Way","firstenergy-stadium-15","Cleveland, OH","Cleveland",510,5,41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"53","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347060,"https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060","Bills at Jets","2018-11-11T18:00:00","2018-11-11T13:00:00","nfl",0.912,"Buffalo Bills at New York Jets",FALSE,0.884,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:43","2018-04-20T00:00:00",NA,138,48,942,724,49,165.54005,1511,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"07073",1587,"https://seatgeek.com/venues/metlife-stadium/tickets","NJ","MetLife Stadium","MetLife Stadium",0.94873494,"East Rutherford, NJ 07073","America/New_York",0,"US","1 MetLife Stadium Drive","metlife-stadium","East Rutherford, NJ","East Rutherford",501,12,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"54","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346912,"https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912","Dolphins at Packers","2018-11-11T18:00:00","2018-11-11T12:00:00","nfl",0.925,"Miami Dolphins at Green Bay Packers",FALSE,0.901,"normal","","2018-11-11T22:00:00","2018-04-20T00:47:13","2018-04-20T00:00:00",NA,379,181,659,105,228,376.9238,660,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"54304",1125,"https://seatgeek.com/venues/lambeau-field/tickets","WI","Lambeau Field","Lambeau Field",0.92909414,"Green Bay, WI 54304","America/Chicago",0,"US","1265 Lombardi Avenue","lambeau-field","Green Bay, WI","Green Bay",658,4,44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"55","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347130,"https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130","Chargers at Raiders","2018-11-11T21:05:00","2018-11-11T13:05:00","nfl",0.846,"Los Angeles Chargers at Oakland Raiders",FALSE,0.869,"normal","","2018-11-12T01:05:00","2018-04-20T00:47:56","2018-04-20T00:00:00",NA,181,77,497,443,79,188.09706,1613,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"94621",14,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum",0.7817843,"Oakland, CA 94621","America/Los_Angeles",0,"US","7000 Coliseum Way","oakland-alameda-county-coliseum","Oakland, CA","Oakland",807,9,37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"56","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346920,"https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","Seahawks at Rams","2018-11-11T21:25:00","2018-11-11T13:25:00","nfl",0.895,"Seattle Seahawks at Los Angeles Rams",FALSE,0.872,"normal","","2018-11-12T01:25:00","2018-04-20T00:47:14","2018-04-20T00:00:00",NA,170,68,922,446,89,227.26457,1477,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"90037",51012,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","CA","Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum",0.86898464,"Los Angeles, CA 90037","America/Los_Angeles",0,"US","3911 S Figueroa St","los-angeles-memorial-coliseum-1","Los Angeles, CA","Los Angeles",0,8,34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"57","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4500554,"https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","Alex G with Half Waif","2018-11-12T00:00:00","2018-11-11T19:00:00","concert",0.44,"Alex G with Half Waif",FALSE,0.518,"normal","","2018-11-12T04:00:00","2018-08-23T20:13:51","2018-08-23T00:00:00",TRUE,104,NA,106,2,104,105,1,NA,NA,NA,TRUE,"33605",3160,"https://seatgeek.com/venues/crowbar-2/tickets","FL","Crowbar","Crowbar",0.42424366,"Tampa, FL 33605","America/New_York",0,"US","1812 North 17th Street","crowbar-2","Tampa, FL","Tampa",539,29,27.9608,-82.4406,NA,NA,NA
"58","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347031,"https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","Cowboys at Eagles","2018-11-12T01:20:00","2018-11-11T20:20:00","nfl",0.971,"Dallas Cowboys at Philadelphia Eagles",FALSE,0.928,"normal","","2018-11-12T05:20:00","2018-04-20T00:47:38","2018-04-20T00:00:00",NA,429,161,1375,328,203,471.89328,1558,"2018-08-24T21:53:40Z",FALSE,"QRCODE",TRUE,"19148",330,"https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","Lincoln Financial Field","Lincoln Financial Field",0.90542686,"Philadelphia, PA 19148","America/New_York",0,"US","1020 Pattison Ave","lincoln-financial-field","Philadelphia, PA","Philadelphia",504,13,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
