"","date","timestamp","status","score","id","visible_until_utc","url","datetime_utc","announce_date","is_open","created_at","short_title","title","time_tbd","popularity","datetime_tbd","description","type","datetime_local","date_tbd","general_admission","average_price","median_price","lowest_price_good_deals","listing_count","highest_price","lowest_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","score_venue","name","metro_code","extended_address","id_venue","num_upcoming_events","url_venue","name_v2","timezone","country","postal_code","popularity_venue","address","has_upcoming_events","city","display_location","state","slug","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"65","2018-10-03","2018-10-03_16.27.34","normal",0.893,4346997,"2018-11-04T22:00:00","https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:31","Chiefs at Browns","Kansas City Chiefs at Cleveland Browns",FALSE,0.816,FALSE,"","nfl","2018-11-04T13:00:00",FALSE,NA,131.10112,113,57,890,477,62,1051,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.86852187,"FirstEnergy Stadium",510,"Cleveland, OH 44114",1123,6,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","America/New_York","US","44114",0,"100 Alfred Lerner Way",TRUE,"Cleveland","Cleveland, OH","OH","firstenergy-stadium-15",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"66","2018-10-03","2018-10-03_16.27.34","normal",0.933,4347140,"2018-11-04T22:00:00","https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T01:04:05","Lions at Vikings","Detroit Lions at Minnesota Vikings",FALSE,0.848,FALSE,"","nfl","2018-11-04T12:00:00",FALSE,NA,256.30508,217,108,531,1385,108,762,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.88524246,"U.S. Bank Stadium",0,"Minneapolis, MN 55415",218451,15,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","U.S. Bank Stadium","America/Chicago","US","55415",0,"401 Chicago Avenue",TRUE,"Minneapolis","Minneapolis, MN","MN","u-s-bank-stadium",44.97,-93.26,"NONE",FALSE,"2018-08-22T15:34:15Z"
"67","2018-10-03","2018-10-03_16.27.34","normal",0.905,4347069,"2018-11-04T22:00:00","https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:45","Steelers at Ravens","Pittsburgh Steelers at Baltimore Ravens",FALSE,0.835,FALSE,"","nfl","2018-11-04T13:00:00",FALSE,NA,286.94022,191,120,368,11280,120,794,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.8927189,"M&T Bank Stadium",512,"Baltimore, MD 21230",1121,7,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","America/New_York","US","21230",0,"1101 Russell St",TRUE,"Baltimore","Baltimore, MD","MD","m-t-bank-stadium",39.2774,-76.623,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"68","2018-10-03","2018-10-03_16.27.34","normal",0.952,4346937,"2018-11-04T22:00:00","https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:17","Falcons at Redskins","Atlanta Falcons at Washington Redskins",FALSE,0.862,FALSE,"","nfl","2018-11-04T13:00:00",FALSE,NA,171.61913,150,80,617,420,80,956,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.9333444,"FedEx Field",511,"Landover, MD 20785",35,6,"https://seatgeek.com/venues/fedex-field/tickets","FedEx Field","America/New_York","US","20785",0,"1600 Fedex Way",TRUE,"Landover","Landover, MD","MD","fedex-field",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"69","2018-10-03","2018-10-03_16.27.34","normal",0.873,4347033,"2018-11-04T22:00:00","https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:38","Buccaneers at Panthers","Tampa Bay Buccaneers at Carolina Panthers",FALSE,0.811,FALSE,"","nfl","2018-11-04T13:00:00",FALSE,NA,202.1378,162,83,283,956,82,696,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.8968222,"Bank of America Stadium",517,"Charlotte, NC 28202",1122,9,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","America/New_York","US","28202",0,"800 South Mint Street",TRUE,"Charlotte","Charlotte, NC","NC","bank-of-america-stadium",35.2243,-80.8524,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"70","2018-10-03","2018-10-03_16.27.34","normal",0.913,4347061,"2018-11-04T22:00:00","https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061","2018-11-04T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:43","Bears at Bills","Chicago Bears at Buffalo Bills",FALSE,0.83,FALSE,"","nfl","2018-11-04T13:00:00",FALSE,NA,133.87015,108,54,747,603,58,1073,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.8815085,"New Era Field",514,"Orchard Park, NY 14127",1135,7,"https://seatgeek.com/venues/new-era-field/tickets","New Era Field","America/New_York","US","14127",0,"1 Bills Drive",TRUE,"Orchard Park","Orchard Park, NY","NY","new-era-field",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"71","2018-10-03","2018-10-03_16.27.34","normal",0.932,4347127,"2018-11-05T01:05:00","https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127","2018-11-04T21:05:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:56","Chargers at Seahawks","Los Angeles Chargers at Seattle Seahawks",FALSE,0.841,FALSE,"","nfl","2018-11-04T13:05:00",FALSE,NA,367.95212,362,156,188,955,156,578,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.87232786,"CenturyLink Field",819,"Seattle, WA 98134",339,11,"https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field","America/Los_Angeles","US","98134",0,"800 Occidental Ave S",TRUE,"Seattle","Seattle, WA","WA","centurylink-field",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"72","2018-10-03","2018-10-03_16.27.34","normal",0.899,4347141,"2018-11-05T01:05:00","https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141","2018-11-04T21:05:00","2018-04-20T00:00:00",FALSE,"2018-04-20T01:04:05","Texans at Broncos","Houston Texans at Denver Broncos",FALSE,0.822,FALSE,"","nfl","2018-11-04T14:05:00",FALSE,NA,362.0482,285,118,83,1270,158,657,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.9028296,"Sports Authority Field at Mile High",751,"Denver, CO 80204",1131,6,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","America/Denver","US","80204",0,"1701 Bryant Street",TRUE,"Denver","Denver, CO","CO","sports-authority-field-at-mile-high",39.74,-105.02,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"73","2018-10-03","2018-10-03_16.27.34","normal",0.9,4346970,"2018-11-05T01:25:00","https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970","2018-11-04T21:25:00","2018-04-20T00:00:00",TRUE,"2018-04-20T00:47:25","Rams at Saints","Los Angeles Rams at New Orleans Saints",FALSE,0.822,FALSE,"","nfl","2018-11-04T15:25:00",FALSE,NA,261.24023,234,66,1203,5942,66,1079,"QRCODE",FALSE,"2018-05-29T20:39:08Z",0.8966978,"Mercedes-Benz Superdome",622,"New Orleans, LA 70112",128,16,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","America/Chicago","US","70112",0,"1500 Sugar Bowl Drive",TRUE,"New Orleans","New Orleans, LA","LA","mercedes-benz-superdome",29.9515,-90.0786,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"74","2018-10-03","2018-10-03_16.27.34","normal",0.525,4494650,"2018-11-05T05:00:00","https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650","2018-11-05T01:00:00","2018-08-23T00:00:00",FALSE,"2018-08-23T19:51:10","Alex G","Alex G",FALSE,0.557,FALSE,"","concert","2018-11-04T19:00:00",FALSE,TRUE,111.37931,63,NA,29,584,47,1,NA,NA,NA,0.51888376,"Thalia Hall",0,"Chicago, IL 60608",60271,57,"https://seatgeek.com/venues/thalia-hall/tickets","Thalia Hall","America/Chicago","US","60608",0,"1807 S Allport St",TRUE,"Chicago","Chicago, IL","IL","thalia-hall",41.8577,-87.6575,NA,NA,NA
"75","2018-10-03","2018-10-03_16.27.34","normal",1.014,4347089,"2018-11-05T05:20:00","https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089","2018-11-05T01:20:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:49","Packers at Patriots","Green Bay Packers at New England Patriots",FALSE,0.907,FALSE,"","nfl","2018-11-04T20:20:00",FALSE,NA,776.3237,702,392,139,1837,418,547,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.8983344,"Gillette Stadium",506,"Foxborough, MA 02035",33,14,"https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","America/New_York","US","02035",0,"1 Patriot Place",TRUE,"Foxborough","Foxborough, MA","MA","gillette-stadium",42.0906,-71.2674,"NONE",FALSE,"2018-08-22T15:36:58Z"
"76","2018-10-03","2018-10-03_16.27.34","normal",0.989,4327922,"2018-11-06T05:15:00","https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922","2018-11-06T01:15:00","2018-04-05T00:00:00",TRUE,"2018-04-05T23:08:47","Titans at Cowboys","Tennessee Titans at Dallas Cowboys",FALSE,0.886,FALSE,"","nfl","2018-11-05T19:15:00",FALSE,NA,252.8366,193,NA,3727,2640,NA,2600,"QRCODE",FALSE,"2018-04-17T22:02:33Z",0.9751414,"AT&T Stadium",623,"Arlington, TX 76011",4965,24,"https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","America/Chicago","US","76011",0,"1 AT&T Way",TRUE,"Arlington","Arlington, TX","TX","at-t-stadium",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"77","2018-10-03","2018-10-03_16.27.34","normal",0.92,4347075,"2018-11-09T05:20:00","https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075","2018-11-09T01:20:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:46","Panthers at Steelers","Carolina Panthers at Pittsburgh Steelers",FALSE,0.829,FALSE,"","nfl","2018-11-08T20:20:00",FALSE,NA,211.19595,152,87,495,1198,87,914,"QRCODE",FALSE,"2018-08-24T21:53:39Z",0.9033526,"Heinz Field",508,"Pittsburgh, PA 15212",1119,9,"https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","America/New_York","US","15212",0,"100 Art Rooney Avenue",TRUE,"Pittsburgh","Pittsburgh, PA","PA","heinz-field",40.4468,-80.0158,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"78","2018-10-03","2018-10-03_16.27.34","normal",0.966,4346990,"2018-11-11T21:00:00","https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990","2018-11-11T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:30","Patriots at Titans","New England Patriots at Tennessee Titans",FALSE,0.862,FALSE,"","nfl","2018-11-11T12:00:00",FALSE,NA,553.02704,485,260,296,2449,260,571,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.8546275,"Nissan Stadium",659,"Nashville, TN 37213",1126,16,"https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium","America/New_York","US","37213",0,"1 Titans Way",TRUE,"Nashville","Nashville, TN","TN","nissan-stadium",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"79","2018-10-03","2018-10-03_16.27.34","normal",0.932,4347006,"2018-11-11T22:00:00","https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006","2018-11-11T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:32","Lions at Bears","Detroit Lions at Chicago Bears",FALSE,0.836,FALSE,"","nfl","2018-11-11T12:00:00",FALSE,NA,366.60294,319,152,136,1197,186,766,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.940013,"Soldier Field",602,"Chicago, IL 60605",31,8,"https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","America/Chicago","US","60605",0,"1410 S. Museum Campus Drive",TRUE,"Chicago","Chicago, IL","IL","soldier-field",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"80","2018-10-03","2018-10-03_16.27.34","normal",0.88,4347040,"2018-11-11T22:00:00","https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040","2018-11-11T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:40","Saints at Bengals","New Orleans Saints at Cincinnati Bengals",FALSE,0.811,FALSE,"","nfl","2018-11-11T13:00:00",FALSE,NA,126.13093,111,55,443,413,55,777,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.86166537,"Paul Brown Stadium",515,"Cincinnati, OH 45202",1124,7,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","America/New_York","US","45202",0,"1 Paul Brown Stadium",TRUE,"Cincinnati","Cincinnati, OH","OH","paul-brown-stadium",39.0961,-84.5177,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"81","2018-10-03","2018-10-03_16.27.34","normal",0.915,4346980,"2018-11-11T22:00:00","https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980","2018-11-11T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:27","Cardinals at Chiefs","Arizona Cardinals at Kansas City Chiefs",FALSE,0.823,FALSE,"","nfl","2018-11-11T12:00:00",FALSE,NA,150.9209,123,53,1024,982,53,1125,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.8827867,"Arrowhead Stadium",616,"Kansas City, MO 64129",1128,8,"https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","America/Chicago","US","64129",0,"1 Arrowhead Drive",TRUE,"Kansas City","Kansas City, MO","MO","arrowhead-stadium",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"82","2018-10-03","2018-10-03_16.27.34","normal",0.851,4346958,"2018-11-11T22:00:00","https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958","2018-11-11T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:22","Jaguars at Colts","Jacksonville Jaguars at Indianapolis Colts",FALSE,0.795,FALSE,"","nfl","2018-11-11T13:00:00",FALSE,NA,106.587105,94,35,574,871,32,1032,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.9071682,"Lucas Oil Stadium",527,"Indianapolis, IN 46225",1130,12,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","America/Indiana/Indianapolis","US","46225",0,"500 South Capitol Avenue",TRUE,"Indianapolis","Indianapolis, IN","IN","lucas-oil-stadium",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"83","2018-10-03","2018-10-03_16.27.34","normal",0.894,4346930,"2018-11-11T22:00:00","https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930","2018-11-11T18:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:16","Redskins at Buccaneers","Washington Redskins at Tampa Bay Buccaneers",FALSE,0.805,FALSE,"","nfl","2018-11-11T13:00:00",FALSE,NA,194.18182,174,82,33,429,79,405,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0.86513025,"Raymond James Stadium",539,"Tampa, FL 33607",39,15,"https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","America/New_York","US","33607",0,"4201 North Dale Mabry Highway",TRUE,"Tampa","Tampa, FL","FL","raymond-james-stadium",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
