"","date","timestamp","time_tbd","datetime_local","type","datetime_utc","id","score","status","description","datetime_tbd","date_tbd","popularity","url","visible_until_utc","announce_date","is_open","short_title","created_at","title","general_admission","listing_count","median_price","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","city","id_venue","has_upcoming_events","popularity_venue","num_upcoming_events","name_v2","display_location","name","metro_code","score_venue","address","extended_address","country","timezone","url_venue","slug","postal_code","state","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"11","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4347045,0.826,"normal","",FALSE,FALSE,0.95,"https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Bengals at Panthers","2018-04-20T00:47:41","Cincinnati Bengals at Carolina Panthers",NA,317,105,657,571,69,144.76971,69,"2018-08-24T18:28:54Z",FALSE,"QRCODE","Charlotte",1122,TRUE,0,9,"Bank of America Stadium","Charlotte, NC","Bank of America Stadium",517,0.8968222,"800 South Mint Street","Charlotte, NC 28202","US","America/New_York","https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium","28202","NC",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"12","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4346950,0.762,"normal","",FALSE,FALSE,0.898,"https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Titans at Jaguars","2018-04-20T00:47:19","Tennessee Titans at Jacksonville Jaguars",NA,381,77,607,775,41,98.94226,41,"2018-08-24T18:26:19Z",FALSE,"QRCODE","Jacksonville",5178,TRUE,0,9,"EverBank Field","Jacksonville, FL","EverBank Field",561,0.83759147,"1 Everbank Field Dr","Jacksonville, FL 32202","US","America/New_York","https://seatgeek.com/venues/everbank-field/tickets","everbank-field","32202","FL",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"13","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:05:00","nfl","2018-09-23T20:05:00",4346923,0.824,"normal","",FALSE,FALSE,0.948,"https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923","2018-09-24T00:05:00","2018-04-20T00:00:00",FALSE,"Chargers at Rams","2018-04-20T00:47:14","Los Angeles Chargers at Los Angeles Rams",NA,776,90,1160,460,41,110.09665,40,"2018-09-05T22:17:11Z",FALSE,"QRCODE","Los Angeles",51012,TRUE,0,11,"Los Angeles Memorial Coliseum","Los Angeles, CA","Los Angeles Memorial Coliseum",0,0.86898464,"3911 S Figueroa St","Los Angeles, CA 90037","US","America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1","90037","CA",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"14","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:25:00","nfl","2018-09-23T20:25:00",4347129,0.897,"normal","",FALSE,FALSE,1.008,"https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129","2018-09-24T00:25:00","2018-04-20T00:00:00",FALSE,"Cowboys at Seahawks","2018-04-20T00:47:56","Dallas Cowboys at Seattle Seahawks",NA,152,482,361,1137,222,528.8224,222,"2018-03-02T22:54:54Z",FALSE,"QRCODE","Seattle",339,TRUE,0,18,"CenturyLink Field","Seattle, WA","CenturyLink Field",819,0.87232786,"800 Occidental Ave S","Seattle, WA 98134","US","America/Los_Angeles","https://seatgeek.com/venues/centurylink-field/tickets","centurylink-field","98134","WA",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"15","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:25:00","nfl","2018-09-23T20:25:00",4347104,0.87,"normal","",FALSE,FALSE,0.988,"https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104","2018-09-24T00:25:00","2018-04-20T00:00:00",FALSE,"Bears at Cardinals","2018-04-20T00:47:52","Chicago Bears at Arizona Cardinals",NA,348,162,681,624,92,184.21265,89,"2018-08-24T20:34:25Z",FALSE,"QRCODE","Glendale",43,TRUE,0,10,"State Farm Stadium","Glendale, AZ","State Farm Stadium",753,0.93402725,"1 Cardinals Drive","Glendale, AZ 85305","US","America/Phoenix","https://seatgeek.com/venues/state-farm-stadium/tickets","state-farm-stadium","85305","AZ",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"16","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T20:20:00","nfl","2018-09-24T00:20:00",4347028,0.897,"normal","",FALSE,FALSE,1.009,"https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028","2018-09-24T04:20:00","2018-04-20T00:00:00",FALSE,"Patriots at Lions","2018-04-20T00:47:37","New England Patriots at Detroit Lions",NA,429,241,845,2455,132,280.5105,42,"2018-08-24T18:27:28Z",FALSE,"QRCODE","Detroit",346,TRUE,0,9,"Ford Field","Detroit, MI","Ford Field",505,0.9029952,"2000 Brush St.","Detroit, MI 48226","US","America/Detroit","https://seatgeek.com/venues/ford-field/tickets","ford-field","48226","MI",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"17","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-24T20:15:00","nfl","2018-09-25T00:15:00",4346932,0.82,"normal","",FALSE,FALSE,0.938,"https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","2018-09-25T04:15:00","2018-04-20T00:00:00",FALSE,"Steelers at Buccaneers","2018-04-20T00:47:16","Pittsburgh Steelers at Tampa Bay Buccaneers",NA,28,307,354,1039,169,377.25,156,"2018-08-24T20:35:07Z",FALSE,"QRCODE","Tampa",39,TRUE,0,14,"Raymond James Stadium","Tampa, FL","Raymond James Stadium",539,0.86513025,"4201 North Dale Mabry Highway","Tampa, FL 33607","US","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","33607","FL",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"18","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-27T17:20:00","nfl","2018-09-28T00:20:00",4346922,0.838,"normal","",FALSE,FALSE,0.932,"https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-09-28T04:20:00","2018-04-20T00:00:00",FALSE,"Vikings at Rams","2018-04-20T00:47:14","Minnesota Vikings at Los Angeles Rams",NA,527,153,1120,971,68,195.18785,64,"2018-09-05T22:17:16Z",FALSE,"QRCODE","Los Angeles",51012,TRUE,0,11,"Los Angeles Memorial Coliseum","Los Angeles, CA","Los Angeles Memorial Coliseum",0,0.86898464,"3911 S Figueroa St","Los Angeles, CA 90037","US","America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1","90037","CA",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"19","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-28T19:00:00","sports","2018-09-28T23:00:00",4401810,0.349,"normal","",FALSE,FALSE,0.532,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-09-29T03:00:00","2018-06-05T00:00:00",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","2018-06-05T16:00:59","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",NA,1,12,1,12,12,12,NA,NA,NA,NA,"Lexington",5102,TRUE,0,25,"Memorial Coliseum","Lexington, KY","Memorial Coliseum",541,0.4125833,"201 Avenue of Champions","Lexington, KY 40506","US","America/New_York","https://seatgeek.com/venues/memorial-coliseum-1/tickets","memorial-coliseum-1","40506","KY",38.04,-84.5,NA,NA,NA
"20","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-29T11:00:00","ncaa_football","2018-09-29T16:00:00",4163969,0.843,"normal","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",FALSE,FALSE,0.944,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2018-09-29T20:00:00","2017-12-05T00:00:00",TRUE,"Southwest Classic: Arkansas vs Texas A&M","2017-12-05T15:00:24","Southwest Classic: Arkansas vs Texas A&M",NA,1904,NA,NA,14133,102,342.77,102,"2018-04-17T22:02:33Z",FALSE,"QRCODE","Arlington",4965,TRUE,0,22,"AT&T Stadium","Arlington, TX","AT&T Stadium",623,0.9751414,"1 AT&T Way","Arlington, TX 76011","US","America/Chicago","https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium","76011","TX",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"21","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-29T15:30:00","ncaa_football","2018-09-29T19:30:00",4281951,0.504,"normal","",FALSE,FALSE,0.65,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-09-29T23:30:00","2018-02-28T00:00:00",FALSE,"South Alabama at Appalachian State","2018-02-28T15:00:11","South Alabama Jaguars at Appalachian State Mountaineers Football",NA,161,83,83,215,46,93.07453,46,NA,NA,NA,"Boone",3723,TRUE,0,5,"Kidd Brewer Stadium","Boone, NC","Kidd Brewer Stadium",517,0.57884717,"1 Kidd Brewer Stadium","Boone, NC 28607","US","America/New_York","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","kidd-brewer-stadium","28607","NC",36.2116,-81.6856,NA,NA,NA
"22","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T12:00:00","nfl","2018-09-30T16:00:00",4346992,0.83,"normal","",FALSE,FALSE,0.913,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-09-30T20:00:00","2018-04-20T00:00:00",FALSE,"Eagles at Titans","2018-04-20T00:47:30","Philadelphia Eagles at Tennessee Titans",NA,322,NA,NA,1103,208,437.59,236,"2018-08-24T20:47:49Z",FALSE,"QRCODE","Nashville",1126,TRUE,0,14,"Nissan Stadium","Nashville, TN","Nissan Stadium",659,0.8546275,"1 Titans Way","Nashville, TN 37213","US","America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium","37213","TN",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"23","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T12:00:00","nfl","2018-09-30T17:00:00",4346911,0.847,"normal","",FALSE,FALSE,0.929,"https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Bills at Packers","2018-04-20T00:47:13","Buffalo Bills at Green Bay Packers",NA,134,361,505,1138,195,411.17163,172,"2018-08-24T20:38:24Z",FALSE,"QRCODE","Green Bay",1125,TRUE,0,6,"Lambeau Field","Green Bay, WI","Lambeau Field",658,0.92909414,"1265 Lombardi Avenue","Green Bay, WI 54304","US","America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","54304","WI",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"24","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T12:00:00","nfl","2018-09-30T17:00:00",4347009,0.843,"normal","",FALSE,FALSE,0.926,"https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Buccaneers at Bears","2018-04-20T00:47:33","Tampa Bay Buccaneers at Chicago Bears",NA,72,293,551,1017,180,343.65277,161,"2018-08-24T20:48:11Z",FALSE,"QRCODE","Chicago",31,TRUE,0,10,"Soldier Field","Chicago, IL","Soldier Field",602,0.940013,"1410 S. Museum Campus Drive","Chicago, IL 60605","US","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets","soldier-field","60605","IL",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"25","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T13:00:00","nfl","2018-09-30T17:00:00",4347052,0.846,"normal","",FALSE,FALSE,0.93,"https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Bengals at Falcons","2018-04-20T00:47:42","Cincinnati Bengals at Atlanta Falcons",NA,790,191,1021,1079,68,204.46835,68,"2018-08-23T20:14:46Z",FALSE,"QRCODE","Atlanta",419590,TRUE,0,19,"Mercedes-Benz Stadium","Atlanta, GA","Mercedes-Benz Stadium",0,0.76958936,"441 M.L.K. Jr Dr NW","Atlanta, GA 30313","US","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","30313","GA",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"26","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T13:00:00","nfl","2018-09-30T17:00:00",4347092,0.869,"normal","",FALSE,FALSE,0.948,"https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Dolphins at Patriots","2018-04-20T00:47:49","Miami Dolphins at New England Patriots",NA,79,436,463,2072,271,561.70886,261,"2018-08-24T20:51:36Z",FALSE,"QRCODE","Foxborough",33,TRUE,0,15,"Gillette Stadium","Foxborough, MA","Gillette Stadium",506,0.8983344,"1 Patriot Place","Foxborough, MA 02035","US","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium","02035","MA",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"27","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T13:00:00","nfl","2018-09-30T17:00:00",4346949,0.766,"normal","",FALSE,FALSE,0.864,"https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Jets at Jaguars","2018-04-20T00:47:19","New York Jets at Jacksonville Jaguars",NA,462,102,773,489,57,126.72944,57,"2018-08-24T20:38:35Z",FALSE,"QRCODE","Jacksonville",5178,TRUE,0,9,"EverBank Field","Jacksonville, FL","EverBank Field",561,0.83759147,"1 Everbank Field Dr","Jacksonville, FL 32202","US","America/New_York","https://seatgeek.com/venues/everbank-field/tickets","everbank-field","32202","FL",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"28","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T12:00:00","nfl","2018-09-30T17:00:00",4327924,0.896,"normal","",FALSE,FALSE,0.976,"https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","2018-09-30T21:00:00","2018-04-05T00:00:00",TRUE,"Lions at Cowboys","2018-04-05T23:08:47","Detroit Lions at Dallas Cowboys",NA,2825,228,2211,2142,20,274.2177,20,"2018-04-17T22:02:33Z",FALSE,"QRCODE","Arlington",4965,TRUE,0,22,"AT&T Stadium","Arlington, TX","AT&T Stadium",623,0.9751414,"1 AT&T Way","Arlington, TX 76011","US","America/Chicago","https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium","76011","TX",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"29","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-30T13:00:00","nfl","2018-09-30T17:00:00",4346962,0.786,"normal","",FALSE,FALSE,0.878,"https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","2018-09-30T21:00:00","2018-04-20T00:00:00",FALSE,"Texans at Colts","2018-04-20T00:47:22","Houston Texans at Indianapolis Colts",NA,531,79,996,923,26,101.12241,26,"2018-08-24T20:46:39Z",FALSE,"QRCODE","Indianapolis",1130,TRUE,0,12,"Lucas Oil Stadium","Indianapolis, IN","Lucas Oil Stadium",527,0.9071682,"500 South Capitol Avenue","Indianapolis, IN 46225","US","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium","46225","IN",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
