"","date","timestamp","popularity","datetime_utc","datetime_tbd","score","status","type","datetime_local","time_tbd","is_open","description","date_tbd","announce_date","short_title","url","visible_until_utc","created_at","id","title","general_admission","listing_count","average_price","lowest_price_good_deals","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","timezone","popularity_venue","display_location","city","name","country","has_upcoming_events","score_venue","postal_code","slug","extended_address","state","num_upcoming_events","address","name_v2","url_venue","id_venue","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"21","2018-09-05","2018-09-05_11.00.08",0.985,"2018-09-16T17:00:00",FALSE,0.909,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Colts at Redskins","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","2018-09-16T21:00:00","2018-04-20T00:47:18",4346944,"Indianapolis Colts at Washington Redskins",NA,1877,212.12,85,85,1276,FALSE,"2018-08-24T18:23:09Z","QRCODE","America/New_York",0,"Landover, MD","Landover","FedEx Field","US",TRUE,0.9333444,"20785","fedex-field","Landover, MD 20785","MD",9,"1600 Fedex Way","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets",35,38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"22","2018-09-05","2018-09-05_11.00.08",0.957,"2018-09-16T17:00:00",FALSE,0.884,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Panthers at Falcons","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","2018-09-16T21:00:00","2018-04-20T00:47:42",4347054,"Carolina Panthers at Atlanta Falcons",NA,1450,305.35,111,111,12187,FALSE,"2018-08-23T20:14:46Z","QRCODE","America/New_York",0,"Atlanta, GA","Atlanta","Mercedes-Benz Stadium","US",TRUE,0.76958936,"30313","mercedes-benz-stadium","Atlanta, GA 30313","GA",15,"35 Northside Dr NW","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",419590,33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"23","2018-09-05","2018-09-05_11.00.08",0.933,"2018-09-16T17:00:00",FALSE,0.854,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Eagles at Buccaneers","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","2018-09-16T21:00:00","2018-04-20T00:47:16",4346933,"Philadelphia Eagles at Tampa Bay Buccaneers",NA,1033,414.79,147,138,1268,FALSE,"2018-08-24T17:04:19Z","QRCODE","America/New_York",0,"Tampa, FL","Tampa","Raymond James Stadium","US",TRUE,0.86513025,"33607","raymond-james-stadium","Tampa, FL 33607","FL",16,"4201 North Dale Mabry Highway","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets",39,27.9753,-82.5034,FALSE,"2015-08-24T14:44:53Z","QRCODE_TM"
"24","2018-09-05","2018-09-05_11.00.08",0.957,"2018-09-16T17:00:00",FALSE,0.886,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Chiefs at Steelers","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","2018-09-16T21:00:00","2018-04-20T00:47:45",4347074,"Kansas City Chiefs at Pittsburgh Steelers",NA,921,340.42,133,133,5666,FALSE,"2018-08-24T18:24:29Z","QRCODE","America/New_York",0,"Pittsburgh, PA","Pittsburgh","Heinz Field","US",TRUE,0.9033526,"15212","heinz-field","Pittsburgh, PA 15212","PA",13,"100 Art Rooney Avenue","Heinz Field","https://seatgeek.com/venues/heinz-field/tickets",1119,40.4468,-80.0158,FALSE,"2015-12-08T15:36:23Z","QRCODE_TM"
"25","2018-09-05","2018-09-05_11.00.08",0.937,"2018-09-16T17:00:00",FALSE,0.862,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Chargers at Bills","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064","2018-09-16T21:00:00","2018-04-20T00:47:44",4347064,"Los Angeles Chargers at Buffalo Bills",NA,1162,241.87,122,122,2149,FALSE,"2018-08-24T18:24:17Z","QRCODE","America/New_York",0,"Orchard Park, NY","Orchard Park","New Era Field","US",TRUE,0.8815085,"14127","new-era-field","Orchard Park, NY 14127","NY",8,"1 Bills Drive","New Era Field","https://seatgeek.com/venues/new-era-field/tickets",1135,42.7737,-78.7874,FALSE,"2015-08-12T16:52:53Z","QRCODE_TM"
"26","2018-09-05","2018-09-05_11.00.08",0.975,"2018-09-16T17:00:00",FALSE,0.908,"normal","nfl","2018-09-16T12:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Vikings at Packers","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","2018-09-16T21:00:00","2018-04-20T00:47:14",4346915,"Minnesota Vikings at Green Bay Packers",NA,1024,532.75,284,284,1969,FALSE,"2018-08-24T17:03:48Z","QRCODE","America/Chicago",0,"Green Bay, WI","Green Bay","Lambeau Field","US",TRUE,0.92909414,"54304","lambeau-field","Green Bay, WI 54304","WI",8,"1265 Lombardi Avenue","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets",1125,44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"27","2018-09-05","2018-09-05_11.00.08",0.988,"2018-09-16T17:00:00",FALSE,0.916,"normal","nfl","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Dolphins at Jets","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953","2018-09-16T21:00:00","2018-04-20T00:47:20",4346953,"Miami Dolphins at New York Jets",NA,1593,222.96,71,71,1979,FALSE,"2018-08-24T18:23:39Z","QRCODE","America/New_York",0,"East Rutherford, NJ","East Rutherford","MetLife Stadium","US",TRUE,0.94873494,"07073","metlife-stadium","East Rutherford, NJ 07073","NJ",21,"1 MetLife Stadium Drive","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets",1587,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"28","2018-09-05","2018-09-05_11.00.08",0.926,"2018-09-16T17:00:00",FALSE,0.841,"normal","nfl","2018-09-16T12:00:00",FALSE,TRUE,"",FALSE,"2018-04-20T00:00:00","Browns at Saints","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973","2018-09-16T21:00:00","2018-04-20T00:47:25",4346973,"Cleveland Browns at New Orleans Saints",NA,1432,196.41,54,54,1800,FALSE,"2018-05-29T20:38:49Z","QRCODE","America/Chicago",0,"New Orleans, LA","New Orleans","Mercedes-Benz Superdome","US",TRUE,0.8966978,"70112","mercedes-benz-superdome","New Orleans, LA 70112","LA",20,"1500 Sugar Bowl Drive","Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",128,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"29","2018-09-05","2018-09-05_11.00.08",0.968,"2018-09-16T20:05:00",FALSE,0.899,"normal","nfl","2018-09-16T13:05:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Lions at 49ers","https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119","2018-09-17T00:05:00","2018-04-20T00:47:54",4347119,"Detroit Lions at San Francisco 49ers",NA,1292,256.7,86,86,3694,FALSE,"2018-08-24T18:24:41Z","QRCODE","America/Los_Angeles",0,"Santa Clara, CA","Santa Clara","Levi's Stadium","US",TRUE,0.95768774,"95054","levi-s-stadium","Santa Clara, CA 95054","CA",13,"4900 Marie P DeBartolo Way","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets",58670,37.4023,-121.969,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"30","2018-09-05","2018-09-05_11.00.08",0.919,"2018-09-16T20:05:00",FALSE,0.839,"normal","nfl","2018-09-16T13:05:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Cardinals at Rams","https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924","2018-09-17T00:05:00","2018-04-20T00:47:15",4346924,"Arizona Cardinals at Los Angeles Rams",NA,2400,130.19,35,35,1856,FALSE,"2018-08-24T17:04:03Z","QRCODE","America/Los_Angeles",0,"Los Angeles, CA","Los Angeles","Los Angeles Memorial Coliseum","US",TRUE,0.86898464,"90037","los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","CA",14,"3911 S Figueroa St","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",51012,34.01,-118.29,FALSE,"2018-08-23T17:59:28Z","QRCODE"
