"","date","timestamp","short_title","description","status","title","datetime_tbd","id","datetime_local","time_tbd","url","score","popularity","type","datetime_utc","visible_until_utc","is_open","created_at","date_tbd","announce_date","general_admission","lowest_price_good_deals","listing_count","average_price","visible_listing_count","median_price","lowest_price","highest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","metro_code","name_v2","address","slug","city","postal_code","timezone","url_venue","score_venue","state","name","id_venue","has_upcoming_events","display_location","extended_address","popularity_venue","num_upcoming_events","country","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"45","2018-10-01","2018-10-01_11.06.03","Cowboys at Redskins","","normal","Dallas Cowboys at Washington Redskins",FALSE,4346941,"2018-10-21T16:25:00",FALSE,"https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",0.976,0.937,"nfl","2018-10-21T20:25:00","2018-10-22T00:25:00",FALSE,"2018-04-20T00:47:18",FALSE,"2018-04-20T00:00:00",NA,164,713,314.18793,1036,268,172,1049,"QRCODE","2018-08-24T21:53:38Z",FALSE,511,"FedEx Field","1600 Fedex Way","fedex-field","Landover","20785","America/New_York","https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"MD","FedEx Field",35,TRUE,"Landover, MD","Landover, MD 20785",0,6,"US",38.9071,-76.8658,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"46","2018-10-01","2018-10-01_11.06.03","Rams at 49ers","","normal","Los Angeles Rams at San Francisco 49ers",FALSE,4347118,"2018-10-21T17:20:00",FALSE,"https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118",0.919,0.886,"nfl","2018-10-22T00:20:00","2018-10-22T04:20:00",FALSE,"2018-04-20T00:47:54",FALSE,"2018-04-20T00:00:00",NA,82,793,216.27617,998,185,73,3004,"QRCODE","2018-08-24T21:53:38Z",FALSE,0,"Levi's Stadium","4900 Marie P DeBartolo Way","levi-s-stadium","Santa Clara","95054","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"CA","Levi's Stadium",58670,TRUE,"Santa Clara, CA","Santa Clara, CA 95054",0,12,"US",37.4023,-121.969,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"47","2018-10-01","2018-10-01_11.06.03","Giants at Falcons","","normal","New York Giants at Atlanta Falcons",FALSE,4347050,"2018-10-22T20:15:00",FALSE,"https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050",0.93,0.896,"nfl","2018-10-23T00:15:00","2018-10-23T04:15:00",FALSE,"2018-04-20T00:47:42",FALSE,"2018-04-20T00:00:00",NA,110,798,302.42856,842,281,116,1791,"QRCODE","2018-08-24T21:53:38Z",FALSE,0,"Mercedes-Benz Stadium","35 Northside Dr NW","mercedes-benz-stadium","Atlanta","30313","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"GA","Mercedes-Benz Stadium",419590,TRUE,"Atlanta, GA","Atlanta, GA 30313",0,19,"US",33.76,-84.4,"QRCODE","2018-08-23T20:14:46Z",FALSE
"48","2018-10-01","2018-10-01_11.06.03","Troy at South Alabama","","normal","Troy Trojans at South Alabama Jaguars Football",FALSE,4281985,"2018-10-23T19:00:00",FALSE,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985",0.309,0.406,"ncaa_football","2018-10-24T00:00:00","2018-10-24T04:00:00",FALSE,"2018-02-28T15:00:17",FALSE,"2018-02-28T00:00:00",NA,25,29,42.931034,11,36,25,93,NA,NA,NA,686,"Ladd Peebles Stadium","1621 Virginia St.","ladd-peebles-stadium","Mobile","36604","America/Chicago","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0.50177634,"AL","Ladd Peebles Stadium",3716,TRUE,"Mobile, AL","Mobile, AL 36604",0,5,"US",30.6748,-88.0761,NA,NA,NA
"49","2018-10-01","2018-10-01_11.06.03","Dolphins at Texans","","normal","Miami Dolphins at Houston Texans",FALSE,4347018,"2018-10-25T19:20:00",FALSE,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018",0.882,0.846,"nfl","2018-10-26T00:20:00","2018-10-26T04:20:00",FALSE,"2018-04-20T00:47:36",FALSE,"2018-04-20T00:00:00",NA,38,649,164.14021,1045,136,38,620,"QRCODE","2018-08-24T21:53:38Z",FALSE,618,"NRG Stadium","1 Reliant Park","nrg-stadium","Houston","77054","America/Chicago","https://seatgeek.com/venues/nrg-stadium/tickets",0.8624192,"TX","NRG Stadium",41,TRUE,"Houston, TX","Houston, TX 77054",0,44,"US",29.6847,-95.4107,"QRCODE_TM","2015-11-04T18:42:27Z",FALSE
"50","2018-10-01","2018-10-01_11.06.03","Seahawks at Lions","","normal","Seattle Seahawks at Detroit Lions",FALSE,4347026,"2018-10-28T13:00:00",FALSE,"https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026",0.923,0.887,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:37",FALSE,"2018-04-20T00:00:00",NA,68,442,181.75792,660,133,66,2396,"QRCODE","2018-08-24T21:53:39Z",FALSE,505,"Ford Field","2000 Brush St.","ford-field","Detroit","48226","America/Detroit","https://seatgeek.com/venues/ford-field/tickets",0.9029952,"MI","Ford Field",346,TRUE,"Detroit, MI","Detroit, MI 48226",0,11,"US",42.34,-83.0459,"NONE","2015-11-04T17:31:52Z",FALSE
"51","2018-10-01","2018-10-01_11.06.03","Buccaneers at Bengals","","normal","Tampa Bay Buccaneers at Cincinnati Bengals",FALSE,4347041,"2018-10-28T13:00:00",FALSE,"https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041",0.862,0.833,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:40",FALSE,"2018-04-20T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE","2018-08-24T21:53:39Z",FALSE,515,"Paul Brown Stadium","1 Paul Brown Stadium","paul-brown-stadium","Cincinnati","45202","America/New_York","https://seatgeek.com/venues/paul-brown-stadium/tickets",0.86166537,"OH","Paul Brown Stadium",1124,TRUE,"Cincinnati, OH","Cincinnati, OH 45202",0,7,"US",39.0961,-84.5177,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"52","2018-10-01","2018-10-01_11.06.03","Ravens at Panthers","","normal","Baltimore Ravens at Carolina Panthers",FALSE,4347070,"2018-10-28T13:00:00",FALSE,"https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070",0.898,0.861,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:45",FALSE,"2018-04-20T00:00:00",NA,83,242,227.54546,612,172,83,588,"QRCODE","2018-08-24T21:53:39Z",FALSE,517,"Bank of America Stadium","800 South Mint Street","bank-of-america-stadium","Charlotte","28202","America/New_York","https://seatgeek.com/venues/bank-of-america-stadium/tickets",0.8968222,"NC","Bank of America Stadium",1122,TRUE,"Charlotte, NC","Charlotte, NC 28202",0,9,"US",35.2243,-80.8524,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"53","2018-10-01","2018-10-01_11.06.03","Redskins at Giants","","normal","Washington Redskins at New York Giants",FALSE,4346940,"2018-10-28T13:00:00",FALSE,"https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940",0.924,0.88,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:17",FALSE,"2018-04-20T00:00:00",NA,126,480,298.83124,758,233,126,1497,"QRCODE","2018-08-24T21:53:39Z",FALSE,501,"MetLife Stadium","1 MetLife Stadium Drive","metlife-stadium","East Rutherford","07073","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"NJ","MetLife Stadium",1587,TRUE,"East Rutherford, NJ","East Rutherford, NJ 07073",0,15,"US",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"54","2018-10-01","2018-10-01_11.06.03","Browns at Steelers","","normal","Cleveland Browns at Pittsburgh Steelers",FALSE,4347078,"2018-10-28T13:00:00",FALSE,"https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078",0.894,0.859,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:46",FALSE,"2018-04-20T00:00:00",NA,88,249,315.76306,573,261,113,1144,"QRCODE","2018-08-24T21:53:39Z",FALSE,508,"Heinz Field","100 Art Rooney Avenue","heinz-field","Pittsburgh","15212","America/New_York","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"PA","Heinz Field",1119,TRUE,"Pittsburgh, PA","Pittsburgh, PA 15212",0,9,"US",40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"55","2018-10-01","2018-10-01_11.06.03","Broncos at Chiefs","","normal","Denver Broncos at Kansas City Chiefs",FALSE,4346981,"2018-10-28T12:00:00",FALSE,"https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981",0.914,0.874,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:27",FALSE,"2018-04-20T00:00:00",NA,121,736,228.74185,980,203,121,845,"QRCODE","2018-08-24T21:53:39Z",FALSE,616,"Arrowhead Stadium","1 Arrowhead Drive","arrowhead-stadium","Kansas City","64129","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets",0.8827867,"MO","Arrowhead Stadium",1128,TRUE,"Kansas City, MO","Kansas City, MO 64129",0,8,"US",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"56","2018-10-01","2018-10-01_11.06.03","Jets at Bears","","normal","New York Jets at Chicago Bears",FALSE,4347007,"2018-10-28T12:00:00",FALSE,"https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007",0.909,0.87,"nfl","2018-10-28T17:00:00","2018-10-28T21:00:00",FALSE,"2018-04-20T00:47:33",FALSE,"2018-04-20T00:00:00",NA,133,114,340.51755,635,302,133,1198,"QRCODE","2018-08-24T21:53:39Z",FALSE,602,"Soldier Field","1410 S. Museum Campus Drive","soldier-field","Chicago","60605","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets",0.940013,"IL","Soldier Field",31,TRUE,"Chicago, IL","Chicago, IL 60605",0,8,"US",41.8623,-87.6159,"NONE","2018-06-02T00:44:08Z",FALSE
"57","2018-10-01","2018-10-01_11.06.03","Colts at Raiders","","normal","Indianapolis Colts at Oakland Raiders",FALSE,4347153,"2018-10-28T13:05:00",FALSE,"https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153",0.869,0.838,"nfl","2018-10-28T20:05:00","2018-10-29T00:05:00",FALSE,"2018-04-20T01:04:25",FALSE,"2018-04-20T00:00:00",NA,73,392,170.51276,752,149,75,481,"QRCODE","2018-08-24T21:53:39Z",FALSE,807,"Oakland-Alameda County Coliseum","7000 Coliseum Way","oakland-alameda-county-coliseum","Oakland","94621","America/Los_Angeles","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",0.7817843,"CA","Oakland-Alameda County Coliseum",14,TRUE,"Oakland, CA","Oakland, CA 94621",0,18,"US",37.7469,-122.201,"PDF417","2015-06-24T00:00:00Z",FALSE
"58","2018-10-01","2018-10-01_11.06.03","Packers at Rams","","normal","Green Bay Packers at Los Angeles Rams",FALSE,4346921,"2018-10-28T13:25:00",FALSE,"https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921",0.961,0.91,"nfl","2018-10-28T20:25:00","2018-10-29T00:25:00",FALSE,"2018-04-20T00:47:14",FALSE,"2018-04-20T00:00:00",NA,256,553,515.7468,1053,473,256,1385,"QRCODE","2018-08-24T21:53:39Z",FALSE,0,"Los Angeles Memorial Coliseum","3911 S Figueroa St","los-angeles-memorial-coliseum-1","Los Angeles","90037","America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",0.86898464,"CA","Los Angeles Memorial Coliseum",51012,TRUE,"Los Angeles, CA","Los Angeles, CA 90037",0,8,"US",34.0138,-118.288,"QRCODE","2018-08-23T17:59:28Z",FALSE
"59","2018-10-01","2018-10-01_11.06.03","49ers at Cardinals","","normal","San Francisco 49ers at Arizona Cardinals",FALSE,4347101,"2018-10-28T13:25:00",FALSE,"https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101",0.919,0.881,"nfl","2018-10-28T20:25:00","2018-10-29T00:25:00",FALSE,"2018-04-20T00:47:51",FALSE,"2018-04-20T00:00:00",NA,39,732,134.49454,980,109,39,613,"QRCODE","2018-08-24T21:53:39Z",FALSE,753,"State Farm Stadium","1 Cardinals Drive","state-farm-stadium","Glendale","85305","America/Phoenix","https://seatgeek.com/venues/state-farm-stadium/tickets",0.93402725,"AZ","State Farm Stadium",43,TRUE,"Glendale, AZ","Glendale, AZ 85305",0,9,"US",33.5294,-112.262,"NONE","2015-12-21T17:26:05Z",FALSE
"60","2018-10-01","2018-10-01_11.06.03","Saints at Vikings","","normal","New Orleans Saints at Minnesota Vikings",FALSE,4347136,"2018-10-28T19:20:00",FALSE,"https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136",0.912,0.875,"nfl","2018-10-29T00:20:00","2018-10-29T04:20:00",FALSE,"2018-04-20T01:04:04",FALSE,"2018-04-20T00:00:00",NA,126,561,320.95187,787,273,126,2033,"QRCODE","2018-08-24T21:53:39Z",FALSE,0,"U.S. Bank Stadium","900 South 5th Street","u-s-bank-stadium","Minneapolis","55415","America/Chicago","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"MN","U.S. Bank Stadium",218451,TRUE,"Minneapolis, MN","Minneapolis, MN 55415",0,15,"US",44.97,-93.26,"NONE","2018-08-22T15:34:15Z",FALSE
"61","2018-10-01","2018-10-01_11.06.03","Patriots at Bills","","normal","New England Patriots at Buffalo Bills",FALSE,4347062,"2018-10-29T20:15:00",FALSE,"https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062",0.917,0.874,"nfl","2018-10-30T00:15:00","2018-10-30T04:15:00",FALSE,"2018-04-20T00:47:44",FALSE,"2018-04-20T00:00:00",NA,92,904,314.3385,988,155,95,123843,"QRCODE","2018-08-24T21:53:39Z",FALSE,514,"New Era Field","1 Bills Drive","new-era-field","Orchard Park","14127","America/New_York","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"NY","New Era Field",1135,TRUE,"Orchard Park, NY","Orchard Park, NY 14127",0,7,"US",42.7737,-78.7874,"QRCODE_TM","2015-08-12T16:52:53Z",FALSE
"62","2018-10-01","2018-10-01_11.06.03","Raiders at 49ers","","normal","Oakland Raiders at San Francisco 49ers",FALSE,4347131,"2018-11-01T17:20:00",FALSE,"https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131",0.967,0.91,"nfl","2018-11-02T00:20:00","2018-11-02T04:20:00",FALSE,"2018-04-20T00:47:57",FALSE,"2018-04-20T00:00:00",NA,226,640,479.08124,873,447,219,3067,"QRCODE","2018-08-24T21:53:39Z",FALSE,0,"Levi's Stadium","4900 Marie P DeBartolo Way","levi-s-stadium","Santa Clara","95054","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"CA","Levi's Stadium",58670,TRUE,"Santa Clara, CA","Santa Clara, CA 95054",0,12,"US",37.4023,-121.969,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"63","2018-10-01","2018-10-01_11.06.03","Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball","","normal","Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball",FALSE,4466234,"2018-11-03T13:00:00",FALSE,"https://seatgeek.com/texas-tech-red-raiders-at-kansas-jayhawks-womens-volleyball-tickets/11-3-2018-lawrence-horejsi-center/nfl/4466234",0,0,"nfl","2018-11-03T18:00:00","2018-11-03T22:00:00",FALSE,"2018-07-28T16:00:52",FALSE,"2018-07-28T00:00:00",NA,NA,1,82,1,82,82,82,NA,NA,NA,0,"Horejsi Center","1550 Allen Fieldhhouse Dr","horejsi-center","Lawrence","66045","America/Chicago","https://seatgeek.com/venues/horejsi-center/tickets",0.56565154,NA,"Horejsi Center",74230,TRUE,"Lawrence","Lawrence, ",0,7,"",38.9535,-95.2532,NA,NA,NA
