"","date","timestamp","short_title","time_tbd","visible_until_utc","date_tbd","description","title","datetime_tbd","datetime_local","is_open","announce_date","popularity","created_at","status","url","score","datetime_utc","type","id","general_admission","lowest_price_good_deals","highest_price","average_price","visible_listing_count","median_price","lowest_price","listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","slug","has_upcoming_events","country","city","address","state","name_v2","timezone","extended_address","num_upcoming_events","popularity_venue","postal_code","url_venue","score_venue","name","display_location","id_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"142","2018-09-11","2018-09-11_16.00.13","Giants at 49ers",FALSE,"2018-11-13T05:15:00",FALSE,"","New York Giants at San Francisco 49ers",FALSE,"2018-11-12T17:15:00",FALSE,"2018-04-20T00:00:00",0.859,"2018-04-20T00:47:54","normal","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117",0.915,"2018-11-13T01:15:00","nfl",4347117,NA,89,3694,248.77,NA,NA,89,995,"2018-08-24T21:53:40Z","QRCODE",FALSE,"levi-s-stadium",TRUE,"US","Santa Clara","4900 Marie P DeBartolo Way","CA","Levi's Stadium","America/Los_Angeles","Santa Clara, CA 95054",13,0,"95054","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"Levi's Stadium","Santa Clara, CA",58670,-121.969,37.4023,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"143","2018-09-11","2018-09-11_16.00.13","Packers at Seahawks",FALSE,"2018-11-16T05:20:00",FALSE,"","Green Bay Packers at Seattle Seahawks",FALSE,"2018-11-15T17:20:00",FALSE,"2018-04-20T00:00:00",0.887,"2018-04-20T00:47:56","normal","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126",0.95,"2018-11-16T01:20:00","nfl",4347126,NA,270,1809,518.32,NA,NA,270,211,"2018-08-24T21:53:40Z","QRCODE",FALSE,"centurylink-field",TRUE,"US","Seattle","800 Occidental Ave S","WA","CenturyLink Field","America/Los_Angeles","Seattle, WA 98134",15,0,"98134","https://seatgeek.com/venues/centurylink-field/tickets",0.87232786,"CenturyLink Field","Seattle, WA",339,-122.33,47.6,"2018-03-02T22:54:54Z","QRCODE",FALSE
"144","2018-09-11","2018-09-11_16.00.13","South Alabama at Louisiana",FALSE,"2018-11-17T22:00:00",FALSE,"","South Alabama Jaguars at Louisiana Ragin Cajuns Football",FALSE,"2018-11-17T12:00:00",FALSE,"2018-02-28T00:00:00",0.507,"2018-02-28T15:00:12","normal","https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-12-pm/4281956",0.497,"2018-11-17T18:00:00","ncaa_football",4281956,NA,54,84,65.54,NA,NA,54,154,NA,NA,NA,"cajun-field",TRUE,"US","Lafayette","201 Rhienhardt Drive","LA","Cajun Field","America/Chicago","Lafayette, LA 70506",5,0,"70506","https://seatgeek.com/venues/cajun-field/tickets",0.43303972,"Cajun Field","Lafayette, LA",2796,-92.04,30.22,NA,NA,NA
"145","2018-09-11","2018-09-11_16.00.13","Bengals at Ravens",FALSE,"2018-11-18T22:00:00",FALSE,"","Cincinnati Bengals at Baltimore Ravens",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.791,"2018-04-20T00:47:45","normal","https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068",0.833,"2018-11-18T18:00:00","nfl",4347068,NA,41,550,139.4,NA,NA,41,521,"2018-08-24T21:53:40Z","QRCODE",FALSE,"m-t-bank-stadium",TRUE,"US","Baltimore","1101 Russell St","MD","M&T Bank Stadium","America/New_York","Baltimore, MD 21230",8,0,"21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"M&T Bank Stadium","Baltimore, MD",1121,-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"146","2018-09-11","2018-09-11_16.00.13","Vikings at Bears",FALSE,"2018-11-18T22:00:00",FALSE,"","Minnesota Vikings at Chicago Bears",FALSE,"2018-11-18T12:00:00",FALSE,"2018-04-20T00:00:00",0.845,"2018-04-20T00:47:32","normal","https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005",0.898,"2018-11-18T18:00:00","nfl",4347005,NA,119,1197,312.21,NA,NA,119,191,"2018-08-24T21:53:40Z","QRCODE",FALSE,"soldier-field",TRUE,"US","Chicago","1410 S. Museum Campus Drive","IL","Soldier Field","America/Chicago","Chicago, IL 60605",12,0,"60605","https://seatgeek.com/venues/soldier-field/tickets",0.940013,"Soldier Field","Chicago, IL",31,-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"147","2018-09-11","2018-09-11_16.00.13","Panthers at Lions",FALSE,"2018-11-18T22:00:00",FALSE,"","Carolina Panthers at Detroit Lions",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.857,"2018-04-20T00:47:37","normal","https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025",0.902,"2018-11-18T18:00:00","nfl",4347025,NA,71,899,168.36,NA,NA,71,556,"2018-08-24T21:53:40Z","QRCODE",FALSE,"ford-field",TRUE,"US","Detroit","2000 Brush St.","MI","Ford Field","America/Detroit","Detroit, MI 48226",9,0,"48226","https://seatgeek.com/venues/ford-field/tickets",0.9029952,"Ford Field","Detroit, MI",346,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"148","2018-09-11","2018-09-11_16.00.13","Cowboys at Falcons",FALSE,"2018-11-18T22:00:00",FALSE,"","Dallas Cowboys at Atlanta Falcons",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.893,"2018-04-20T00:47:41","normal","https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049",0.947,"2018-11-18T18:00:00","nfl",4347049,NA,215,123594,655.31,NA,NA,215,660,"2018-08-24T21:53:40Z","QRCODE",FALSE,"mercedes-benz-stadium",TRUE,"US","Atlanta","35 Northside Dr NW","GA","Mercedes-Benz Stadium","America/New_York","Atlanta, GA 30313",18,0,"30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"Mercedes-Benz Stadium","Atlanta, GA",419590,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"149","2018-09-11","2018-09-11_16.00.13","Eagles at Saints",FALSE,"2018-11-18T22:00:00",FALSE,"","Philadelphia Eagles at New Orleans Saints",FALSE,"2018-11-18T12:00:00",TRUE,"2018-04-20T00:00:00",0.848,"2018-04-20T00:47:25","normal","https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969",0.896,"2018-11-18T18:00:00","nfl",4346969,NA,160,3000,389.05,NA,NA,160,1378,"2018-05-29T20:39:16Z","QRCODE",FALSE,"mercedes-benz-superdome",TRUE,"US","New Orleans","1500 Sugar Bowl Drive","LA","Mercedes-Benz Superdome","America/Chicago","New Orleans, LA 70112",19,0,"70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"Mercedes-Benz Superdome","New Orleans, LA",128,-90.0786,29.9515,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"150","2018-09-11","2018-09-11_16.00.13","Buccaneers at Giants",FALSE,"2018-11-18T22:00:00",FALSE,"","Tampa Bay Buccaneers at New York Giants",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.842,"2018-04-20T00:47:16","normal","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929",0.897,"2018-11-18T18:00:00","nfl",4346929,NA,96,1490,260.95,NA,NA,96,588,"2018-08-24T21:53:40Z","QRCODE",FALSE,"metlife-stadium",TRUE,"US","East Rutherford","1 MetLife Stadium Drive","NJ","MetLife Stadium","America/New_York","East Rutherford, NJ 07073",19,0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"MetLife Stadium","East Rutherford, NJ",1587,-74.0737,40.8142,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"151","2018-09-11","2018-09-11_16.00.13","Titans at Colts",FALSE,"2018-11-18T22:00:00",FALSE,"","Tennessee Titans at Indianapolis Colts",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.814,"2018-04-20T00:47:22","normal","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957",0.851,"2018-11-18T18:00:00","nfl",4346957,NA,28,440,108.34,NA,NA,28,778,"2018-08-24T21:53:40Z","QRCODE",FALSE,"lucas-oil-stadium",TRUE,"US","Indianapolis","500 South Capitol Avenue","IN","Lucas Oil Stadium","America/Indiana/Indianapolis","Indianapolis, IN 46225",13,0,"46225","https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"Lucas Oil Stadium","Indianapolis, IN",1130,-86.1639,39.7601,"2015-08-22T16:51:43Z","QRCODE_TM",FALSE
