"","date","timestamp","time_tbd","url","visible_until_utc","datetime_tbd","date_tbd","datetime_local","score","description","title","id","type","announce_date","short_title","datetime_utc","popularity","status","created_at","is_open","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","slug","url_venue","name_v2","has_upcoming_events","country","score_venue","timezone","address","postal_code","metro_code","display_location","id_venue","extended_address","num_upcoming_events","popularity_venue","state","name","city","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"154","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124","2018-12-03T05:20:00",FALSE,FALSE,"2018-12-02T17:20:00",0.954,"","San Francisco 49ers at Seattle Seahawks",4347124,"nfl","2018-04-20T00:00:00","49ers at Seahawks","2018-12-03T01:20:00",0.899,"normal","2018-04-20T00:47:55",FALSE,NA,379,738,289,405.15918,177,153,1225,"QRCODE",FALSE,"2018-08-24T21:53:41Z","centurylink-field","https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field",TRUE,"US",0.87232786,"America/Los_Angeles","800 Occidental Ave S","98134",819,"Seattle, WA",339,"Seattle, WA 98134",12,0,"WA","CenturyLink Field","Seattle",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"155","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936","2018-12-04T05:15:00",FALSE,FALSE,"2018-12-03T20:15:00",0.93,"","Washington Redskins at Philadelphia Eagles",4346936,"nfl","2018-04-20T00:00:00","Redskins at Eagles","2018-12-04T01:15:00",0.877,"normal","2018-04-20T00:47:17",FALSE,NA,260,1276,595,310.96808,134,115,1186,"QRCODE",FALSE,"2018-08-24T21:53:41Z","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","Lincoln Financial Field",TRUE,"US",0.90542686,"America/New_York","1020 Pattison Ave","19148",504,"Philadelphia, PA",330,"Philadelphia, PA 19148",15,0,"PA","Lincoln Financial Field","Philadelphia",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"156","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987","2018-12-07T04:20:00",FALSE,FALSE,"2018-12-06T19:20:00",0.846,"","Jacksonville Jaguars at Tennessee Titans",4346987,"nfl","2018-04-20T00:00:00","Jaguars at Titans","2018-12-07T00:20:00",0.805,"normal","2018-04-20T00:47:29",FALSE,NA,121,994,656,146.8125,39,36,2319,"QRCODE",FALSE,"2018-08-24T21:53:42Z","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium",TRUE,"US",0.8546275,"America/New_York","1 Titans Way","37213",659,"Nashville, TN",1126,"Nashville, TN 37213",16,0,"TN","Nissan Stadium","Nashville",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"157","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T13:00:00",0.872,"","New Orleans Saints at Tampa Bay Buccaneers",4346926,"nfl","2018-04-20T00:00:00","Saints at Buccaneers","2018-12-09T18:00:00",0.825,"normal","2018-04-20T00:47:15",FALSE,NA,191,400,23,228.65218,82,70,641,"QRCODE",FALSE,"2018-08-24T21:53:42Z","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium",TRUE,"US",0.86513025,"America/New_York","4201 North Dale Mabry Highway","33607",539,"Tampa, FL",39,"Tampa, FL 33607",15,0,"FL","Raymond James Stadium","Tampa",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"158","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T13:00:00",0.876,"","Carolina Panthers at Cleveland Browns",4346995,"nfl","2018-04-20T00:00:00","Panthers at Browns","2018-12-09T18:00:00",0.838,"normal","2018-04-20T00:47:31",FALSE,NA,86,1401,1162,101.83735,35,33,1172,"QRCODE",FALSE,"2018-08-24T21:53:42Z","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium",TRUE,"US",0.86852187,"America/New_York","100 Alfred Lerner Way","44114",510,"Cleveland, OH",1123,"Cleveland, OH 44114",6,0,"OH","FirstEnergy Stadium","Cleveland",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"159","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T12:00:00",0.9,"","Los Angeles Rams at Chicago Bears",4347003,"nfl","2018-04-20T00:00:00","Rams at Bears","2018-12-09T18:00:00",0.853,"normal","2018-04-20T00:47:32",FALSE,NA,249,1010,116,325.82758,115,102,2224,"QRCODE",FALSE,"2018-08-24T21:53:42Z","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field",TRUE,"US",0.940013,"America/Chicago","1410 S. Museum Campus Drive","60605",602,"Chicago, IL",31,"Chicago, IL 60605",9,0,"IL","Soldier Field","Chicago",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"160","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T13:00:00",0.954,"","New England Patriots at Miami Dolphins",4347086,"nfl","2018-04-20T00:00:00","Patriots at Dolphins","2018-12-09T18:00:00",0.892,"normal","2018-04-20T00:47:48",FALSE,NA,297,827,73,377.91782,179,156,1141,"QRCODE",FALSE,"2018-08-24T21:53:42Z","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","Hard Rock Stadium",TRUE,"US",0.8378203,"America/New_York","347 Don Shula Dr.","33056",528,"Miami Gardens, FL",29,"Miami Gardens, FL 33056",36,0,"FL","Hard Rock Stadium","Miami Gardens",25.96,-80.24,"NONE",FALSE,"2017-10-03T18:58:44Z"
"161","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T13:00:00",0.96,"","New York Giants at Washington Redskins",4346935,"nfl","2018-04-20T00:00:00","Giants at Redskins","2018-12-09T18:00:00",0.903,"normal","2018-04-20T00:47:17",FALSE,NA,179,1036,507,207.63313,100,93,1039,"QRCODE",FALSE,"2018-08-24T21:53:42Z","fedex-field","https://seatgeek.com/venues/fedex-field/tickets","FedEx Field",TRUE,"US",0.9333444,"America/New_York","1600 Fedex Way","20785",511,"Landover, MD",35,"Landover, MD 20785",6,0,"MD","FedEx Field","Landover",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"162","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T12:00:00",0.904,"","Indianapolis Colts at Houston Texans",4347014,"nfl","2018-04-20T00:00:00","Colts at Texans","2018-12-09T18:00:00",0.852,"normal","2018-04-20T00:47:35",FALSE,NA,136,1048,571,181.79684,37,30,2225,"QRCODE",FALSE,"2018-08-24T21:53:42Z","nrg-stadium","https://seatgeek.com/venues/nrg-stadium/tickets","NRG Stadium",TRUE,"US",0.8624192,"America/Chicago","1 Reliant Park","77054",618,"Houston, TX",41,"Houston, TX 77054",47,0,"TX","NRG Stadium","Houston",29.6847,-95.4107,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"163","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/jets-at-bills-tickets/12-9-2018-orchard-park-new-york-new-era-field/nfl/4347059","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T13:00:00",0.868,"","New York Jets at Buffalo Bills",4347059,"nfl","2018-04-20T00:00:00","Jets at Bills","2018-12-09T18:00:00",0.83,"normal","2018-04-20T00:47:43",FALSE,NA,67,1451,1124,90.87811,23,23,636,"QRCODE",FALSE,"2018-08-24T21:53:42Z","new-era-field","https://seatgeek.com/venues/new-era-field/tickets","New Era Field",TRUE,"US",0.8815085,"America/New_York","1 Bills Drive","14127",514,"Orchard Park, NY",1135,"Orchard Park, NY 14127",7,0,"NY","New Era Field","Orchard Park",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"164","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T12:00:00",0.912,"","Baltimore Ravens at Kansas City Chiefs",4346979,"nfl","2018-04-20T00:00:00","Ravens at Chiefs","2018-12-09T18:00:00",0.863,"normal","2018-04-20T00:47:27",FALSE,NA,115,1170,1039,128.72281,36,36,807,"QRCODE",FALSE,"2018-08-24T21:53:42Z","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium",TRUE,"US",0.8827867,"America/Chicago","1 Arrowhead Drive","64129",616,"Kansas City, MO",1128,"Kansas City, MO 64129",8,0,"MO","Arrowhead Stadium","Kansas City",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"165","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910","2018-12-09T22:00:00",FALSE,FALSE,"2018-12-09T12:00:00",0.907,"","Atlanta Falcons at Green Bay Packers",4346910,"nfl","2018-04-20T00:00:00","Falcons at Packers","2018-12-09T18:00:00",0.864,"normal","2018-04-20T00:47:13",FALSE,NA,239,1024,373,280.3807,159,159,1077,"QRCODE",FALSE,"2018-08-24T21:53:42Z","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field",TRUE,"US",0.92909414,"America/Chicago","1265 Lombardi Avenue","54304",658,"Green Bay, WI",1125,"Green Bay, WI 54304",6,0,"WI","Lambeau Field","Green Bay",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"166","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107","2018-12-10T01:05:00",FALSE,FALSE,"2018-12-09T13:05:00",0.917,"","Cincinnati Bengals at Los Angeles Chargers",4347107,"nfl","2018-04-20T00:00:00","Bengals at Chargers","2018-12-09T21:05:00",0.859,"normal","2018-04-20T00:47:52",FALSE,NA,195,557,471,215.707,116,95,581,"QRCODE",FALSE,"2018-08-24T21:53:42Z","stubhub-center","https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center",TRUE,"US",0.7228164,"America/Los_Angeles","18400 Avalon Blvd","90746",803,"Carson, CA",52,"Carson, CA 90746",14,0,"CA","StubHub Center","Carson",33.8643,-118.261,NA,NA,NA
"167","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114","2018-12-10T01:05:00",FALSE,FALSE,"2018-12-09T13:05:00",0.96,"","Denver Broncos at San Francisco 49ers",4347114,"nfl","2018-04-20T00:00:00","Broncos at 49ers","2018-12-09T21:05:00",0.902,"normal","2018-04-20T00:47:53",FALSE,NA,206,1179,1024,228.34766,74,74,2989,"QRCODE",FALSE,"2018-08-24T21:53:42Z","levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","Levi's Stadium",TRUE,"US",0.95768774,"America/Los_Angeles","4900 Marie P DeBartolo Way","95054",0,"Santa Clara, CA",58670,"Santa Clara, CA 95054",13,0,"CA","Levi's Stadium","Santa Clara",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"168","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099","2018-12-10T01:25:00",FALSE,FALSE,"2018-12-09T14:25:00",0.92,"","Detroit Lions at Arizona Cardinals",4347099,"nfl","2018-04-20T00:00:00","Lions at Cardinals","2018-12-09T21:25:00",0.875,"normal","2018-04-20T00:47:51",FALSE,NA,98,1314,1094,117.500916,30,28,613,"QRCODE",FALSE,"2018-08-24T21:53:42Z","state-farm-stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium",TRUE,"US",0.93402725,"America/Phoenix","1 Cardinals Drive","85305",753,"Glendale, AZ",43,"Glendale, AZ 85305",10,0,"AZ","State Farm Stadium","Glendale",33.5294,-112.262,"NONE",FALSE,"2015-12-21T17:26:05Z"
"169","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919","2018-12-10T01:25:00",FALSE,FALSE,"2018-12-09T15:25:00",0.98,"","Philadelphia Eagles at Dallas Cowboys",4327919,"nfl","2018-04-05T00:00:00","Eagles at Cowboys","2018-12-09T21:25:00",0.918,"normal","2018-04-05T23:08:46",TRUE,NA,359,2319,3031,436.58002,49,49,4309,"QRCODE",FALSE,"2018-04-17T22:02:33Z","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium",TRUE,"US",0.9751414,"America/Chicago","1 AT&T Way","76011",623,"Arlington, TX",4965,"Arlington, TX 76011",21,0,"TX","AT&T Stadium","Arlington",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"170","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151","2018-12-10T05:20:00",FALSE,FALSE,"2018-12-09T17:20:00",0.927,"","Pittsburgh Steelers at Oakland Raiders",4347151,"nfl","2018-04-20T00:00:00","Steelers at Raiders","2018-12-10T01:20:00",0.871,"normal","2018-04-20T01:04:24",FALSE,NA,379,790,495,390.16766,162,162,1038,"QRCODE",FALSE,"2018-08-24T21:53:42Z","oakland-alameda-county-coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland-Alameda County Coliseum",TRUE,"US",0.7817843,"America/Los_Angeles","7000 Coliseum Way","94621",807,"Oakland, CA",14,"Oakland, CA 94621",21,0,"CA","Oakland-Alameda County Coliseum","Oakland",37.7469,-122.201,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"171","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123","2018-12-11T05:15:00",FALSE,FALSE,"2018-12-10T17:15:00",0.937,"","Minnesota Vikings at Seattle Seahawks",4347123,"nfl","2018-04-20T00:00:00","Vikings at Seahawks","2018-12-11T01:15:00",0.879,"normal","2018-04-20T00:47:55",FALSE,NA,350,776,330,373.10303,142,132,1341,"QRCODE",FALSE,"2018-08-24T21:53:42Z","centurylink-field","https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field",TRUE,"US",0.87232786,"America/Los_Angeles","800 Occidental Ave S","98134",819,"Seattle, WA",339,"Seattle, WA 98134",12,0,"WA","CenturyLink Field","Seattle",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"172","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978","2018-12-14T05:20:00",FALSE,FALSE,"2018-12-13T19:20:00",0.894,"","Los Angeles Chargers at Kansas City Chiefs",4346978,"nfl","2018-04-20T00:00:00","Chargers at Chiefs","2018-12-14T01:20:00",0.84,"normal","2018-04-20T00:47:26",FALSE,NA,124,1109,932,142.08047,41,41,701,"QRCODE",FALSE,"2018-08-24T21:53:42Z","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium",TRUE,"US",0.8827867,"America/Chicago","1 Arrowhead Drive","64129",616,"Kansas City, MO",1128,"Kansas City, MO 64129",8,0,"MO","Arrowhead Stadium","Kansas City",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
