"","date","timestamp","popularity","description","type","announce_date","time_tbd","title","datetime_utc","date_tbd","datetime_local","url","id","datetime_tbd","visible_until_utc","status","created_at","short_title","score","is_open","general_admission","listing_count","highest_price","visible_listing_count","lowest_price","average_price","median_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","popularity_venue","address","country","metro_code","extended_address","timezone","url_venue","display_location","has_upcoming_events","id_venue","num_upcoming_events","postal_code","name","name_v2","score_venue","city","state","slug","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"194","2018-09-14","2018-09-14_11.02.26",0.797,"","nfl","2018-04-20T00:00:00",FALSE,"Baltimore Ravens at Kansas City Chiefs","2018-12-09T18:00:00",FALSE,"2018-12-09T12:00:00","https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979",4346979,FALSE,"2018-12-09T22:00:00","normal","2018-04-20T00:47:27","Ravens at Chiefs",0.897,FALSE,NA,950,818,1136,37,136.87369,125,37,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Arrowhead Drive","US",616,"Kansas City, MO 64129","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO",TRUE,1128,9,"64129","Arrowhead Stadium","Arrowhead Stadium",0.8827867,"Kansas City","MO","arrowhead-stadium",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"195","2018-09-14","2018-09-14_11.02.26",0.839,"","nfl","2018-04-20T00:00:00",FALSE,"New York Giants at Washington Redskins","2018-12-09T18:00:00",FALSE,"2018-12-09T13:00:00","https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935",4346935,FALSE,"2018-12-09T22:00:00","normal","2018-04-20T00:47:17","Giants at Redskins",0.96,FALSE,NA,647,1188,1218,104,225.66306,205,92,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1600 Fedex Way","US",511,"Landover, MD 20785","America/New_York","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD",TRUE,35,8,"20785","FedEx Field","FedEx Field",0.9333444,"Landover","MD","fedex-field",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"196","2018-09-14","2018-09-14_11.02.26",0.801,"","nfl","2018-04-20T00:00:00",FALSE,"Indianapolis Colts at Houston Texans","2018-12-09T18:00:00",FALSE,"2018-12-09T12:00:00","https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014",4347014,FALSE,"2018-12-09T22:00:00","normal","2018-04-20T00:47:35","Colts at Texans",0.911,FALSE,NA,593,2225,1123,44,187.99326,142,44,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Reliant Park","US",618,"Houston, TX 77054","America/Chicago","https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX",TRUE,41,46,"77054","NRG Stadium","NRG Stadium",0.8624192,"Houston","TX","nrg-stadium",29.6847,-95.4107,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"197","2018-09-14","2018-09-14_11.02.26",0.803,"","nfl","2018-04-20T00:00:00",FALSE,"Atlanta Falcons at Green Bay Packers","2018-12-09T18:00:00",FALSE,"2018-12-09T12:00:00","https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910",4346910,FALSE,"2018-12-09T22:00:00","normal","2018-04-20T00:47:13","Falcons at Packers",0.907,FALSE,NA,458,674,1110,160,273.11136,235,152,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1265 Lombardi Avenue","US",658,"Green Bay, WI 54304","America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI",TRUE,1125,7,"54304","Lambeau Field","Lambeau Field",0.92909414,"Green Bay","WI","lambeau-field",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"198","2018-09-14","2018-09-14_11.02.26",0.806,"","nfl","2018-04-20T00:00:00",FALSE,"Cincinnati Bengals at Los Angeles Chargers","2018-12-09T21:05:00",FALSE,"2018-12-09T13:05:00","https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107",4347107,FALSE,"2018-12-10T01:05:00","normal","2018-04-20T00:47:52","Bengals at Chargers",0.922,FALSE,NA,509,582,612,113,209.60118,192,103,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"18400 Avalon Blvd","US",803,"Carson, CA 90746","America/Los_Angeles","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA",TRUE,52,12,"90746","StubHub Center","StubHub Center",0.7228164,"Carson","CA","stubhub-center",33.8643,-118.261,NA,NA,NA
"199","2018-09-14","2018-09-14_11.02.26",0.846,"","nfl","2018-04-20T00:00:00",FALSE,"Denver Broncos at San Francisco 49ers","2018-12-09T21:05:00",FALSE,"2018-12-09T13:05:00","https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114",4347114,FALSE,"2018-12-10T01:05:00","normal","2018-04-20T00:47:53","Broncos at 49ers",0.954,FALSE,NA,1029,2994,1204,96,241.32458,217,96,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"4900 Marie P DeBartolo Way","US",0,"Santa Clara, CA 95054","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA",TRUE,58670,13,"95054","Levi's Stadium","Levi's Stadium",0.95768774,"Santa Clara","CA","levi-s-stadium",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"200","2018-09-14","2018-09-14_11.02.26",0.814,"","nfl","2018-04-20T00:00:00",FALSE,"Detroit Lions at Arizona Cardinals","2018-12-09T21:25:00",FALSE,"2018-12-09T14:25:00","https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099",4347099,FALSE,"2018-12-10T01:25:00","normal","2018-04-20T00:47:51","Lions at Cardinals",0.919,FALSE,NA,974,613,1582,31,137.07187,100,31,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Cardinals Drive","US",753,"Glendale, AZ 85305","America/Phoenix","https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ",TRUE,43,10,"85305","State Farm Stadium","State Farm Stadium",0.93402725,"Glendale","AZ","state-farm-stadium",33.5294,-112.262,"NONE",FALSE,"2015-12-21T17:26:05Z"
"201","2018-09-14","2018-09-14_11.02.26",0.862,"","nfl","2018-04-05T00:00:00",FALSE,"Philadelphia Eagles at Dallas Cowboys","2018-12-09T21:25:00",FALSE,"2018-12-09T15:25:00","https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919",4327919,FALSE,"2018-12-10T01:25:00","normal","2018-04-05T23:08:46","Eagles at Cowboys",0.986,TRUE,NA,2994,4309,2472,48,454.0825,370,48,"QRCODE",FALSE,"2018-04-17T22:02:33Z",0,"1 AT&T Way","US",623,"Arlington, TX 76011","America/Chicago","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX",TRUE,4965,23,"76011","AT&T Stadium","AT&T Stadium",0.9751414,"Arlington","TX","at-t-stadium",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"202","2018-09-14","2018-09-14_11.02.26",0.827,"","nfl","2018-04-20T00:00:00",FALSE,"Pittsburgh Steelers at Oakland Raiders","2018-12-10T01:20:00",FALSE,"2018-12-09T17:20:00","https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151",4347151,FALSE,"2018-12-10T05:20:00","normal","2018-04-20T01:04:24","Steelers at Raiders",0.938,FALSE,NA,460,1426,789,193,409.7152,370,182,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"7000 Coliseum Way","US",807,"Oakland, CA 94621","America/Los_Angeles","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland, CA",TRUE,14,26,"94621","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum",0.7817843,"Oakland","CA","oakland-alameda-county-coliseum",37.7469,-122.201,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"203","2018-09-14","2018-09-14_11.02.26",0.822,"","nfl","2018-04-20T00:00:00",FALSE,"Minnesota Vikings at Seattle Seahawks","2018-12-11T01:15:00",FALSE,"2018-12-10T17:15:00","https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123",4347123,FALSE,"2018-12-11T05:15:00","normal","2018-04-20T00:47:55","Vikings at Seahawks",0.931,FALSE,NA,368,1596,828,131,386.59512,348,131,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"800 Occidental Ave S","US",819,"Seattle, WA 98134","America/Los_Angeles","https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA",TRUE,339,18,"98134","CenturyLink Field","CenturyLink Field",0.87232786,"Seattle","WA","centurylink-field",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
