"","date","timestamp","date_tbd","datetime_utc","datetime_local","type","created_at","description","time_tbd","visible_until_utc","id","score","title","status","datetime_tbd","is_open","popularity","url","announce_date","short_title","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","state","score_venue","address","url_venue","city","postal_code","country","num_upcoming_events","timezone","display_location","name_v2","name","id_venue","popularity_venue","slug","extended_address","metro_code","has_upcoming_events","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"116","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T18:00:00","2018-11-25T13:00:00","nfl","2018-04-20T00:47:50","",FALSE,"2018-11-25T22:00:00",4347098,0.983,"New England Patriots at New York Jets","normal",FALSE,FALSE,0.914,"https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098","2018-04-20T00:00:00","Patriots at Jets",NA,109,268,119,312.82092,765,6034,1052,FALSE,"QRCODE","2018-08-24T21:53:41Z","NJ",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford","07073","US",15,"America/New_York","East Rutherford, NJ","MetLife Stadium","MetLife Stadium",1587,0,"metlife-stadium","East Rutherford, NJ 07073",501,TRUE,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"117","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T18:00:00","2018-11-25T13:00:00","nfl","2018-04-20T00:47:44","",FALSE,"2018-11-25T22:00:00",4347067,0.871,"Oakland Raiders at Baltimore Ravens","normal",FALSE,FALSE,0.823,"https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067","2018-04-20T00:00:00","Raiders at Ravens",NA,66,136,66,174.63246,536,718,1030,FALSE,"QRCODE","2018-08-24T21:53:41Z","MD",0.8927189,"1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore","21230","US",7,"America/New_York","Baltimore, MD","M&T Bank Stadium","M&T Bank Stadium",1121,0,"m-t-bank-stadium","Baltimore, MD 21230",512,TRUE,-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"118","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T18:00:00","2018-11-25T13:00:00","nfl","2018-04-20T00:47:15","",FALSE,"2018-11-25T22:00:00",4346928,0.889,"San Francisco 49ers at Tampa Bay Buccaneers","normal",FALSE,FALSE,0.837,"https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928","2018-04-20T00:00:00","49ers at Buccaneers",NA,76,182,76,210.85,40,434,392,FALSE,"QRCODE","2018-08-24T21:53:40Z","FL",0.86513025,"4201 North Dale Mabry Highway","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa","33607","US",15,"America/New_York","Tampa, FL","Raymond James Stadium","Raymond James Stadium",39,0,"raymond-james-stadium","Tampa, FL 33607",539,TRUE,-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"119","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T18:00:00","2018-11-25T13:00:00","nfl","2018-04-20T00:47:21","",FALSE,"2018-11-25T22:00:00",4346956,0.883,"Miami Dolphins at Indianapolis Colts","normal",FALSE,FALSE,0.843,"https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956","2018-04-20T00:00:00","Dolphins at Colts",NA,33,96,33,115.216354,587,945,1000,FALSE,"QRCODE","2018-08-24T21:53:40Z","IN",0.9071682,"500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis","46225","US",12,"America/Indiana/Indianapolis","Indianapolis, IN","Lucas Oil Stadium","Lucas Oil Stadium",1130,0,"lucas-oil-stadium","Indianapolis, IN 46225",527,TRUE,-86.1639,39.7601,FALSE,"QRCODE_TM","2018-09-13T22:29:37Z"
"120","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T21:05:00","2018-11-25T13:05:00","nfl","2018-04-20T00:47:52","",FALSE,"2018-11-26T01:05:00",4347109,0.892,"Arizona Cardinals at Los Angeles Chargers","normal",FALSE,FALSE,0.833,"https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109","2018-04-20T00:00:00","Cardinals at Chargers",NA,99,188,111,213.34,550,1198,575,FALSE,"QRCODE","2018-08-24T21:53:41Z","CA",0.7228164,"18400 Avalon Blvd","https://seatgeek.com/venues/stubhub-center/tickets","Carson","90746","US",12,"America/Los_Angeles","Carson, CA","StubHub Center","StubHub Center",52,0,"stubhub-center","Carson, CA 90746",803,TRUE,-118.261,33.8643,NA,NA,NA
"121","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-25T21:25:00","2018-11-25T14:25:00","nfl","2018-04-20T01:04:05","",FALSE,"2018-11-26T01:25:00",4347143,0.937,"Pittsburgh Steelers at Denver Broncos","normal",FALSE,FALSE,0.886,"https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143","2018-04-20T00:00:00","Steelers at Broncos",NA,156,407,218,3119.1843,141,123582,930,FALSE,"QRCODE","2018-08-24T21:53:41Z","CO",0.9028296,"1701 Bryant Street","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Denver","80204","US",7,"America/Denver","Denver, CO","Sports Authority Field at Mile High","Sports Authority Field at Mile High",1131,0,"sports-authority-field-at-mile-high","Denver, CO 80204",751,TRUE,-105.02,39.74,FALSE,"QRCODE_TM","2015-08-07T18:39:02Z"
"122","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-26T01:20:00","2018-11-25T19:20:00","nfl","2018-04-20T01:04:04","",FALSE,"2018-11-26T05:20:00",4347133,0.958,"Green Bay Packers at Minnesota Vikings","normal",FALSE,FALSE,0.9,"https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133","2018-04-20T00:00:00","Packers at Vikings",NA,231,402,247,499.99606,508,3678,778,FALSE,"QRCODE","2018-08-24T21:53:41Z","MN",0.88524246,"401 Chicago Avenue","https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis","55415","US",15,"America/Chicago","Minneapolis, MN","U.S. Bank Stadium","U.S. Bank Stadium",218451,0,"u-s-bank-stadium","Minneapolis, MN 55415",0,TRUE,-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"123","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-27T01:15:00","2018-11-26T19:15:00","nfl","2018-04-20T00:47:36","",FALSE,"2018-11-27T05:15:00",4347017,0.864,"Tennessee Titans at Houston Texans","normal",FALSE,FALSE,0.806,"https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017","2018-04-20T00:00:00","Titans at Texans",NA,38,137,38,164.83154,742,954,1209,FALSE,"QRCODE","2018-08-24T21:53:41Z","TX",0.8624192,"1 Reliant Park","https://seatgeek.com/venues/nrg-stadium/tickets","Houston","77054","US",44,"America/Chicago","Houston, TX","NRG Stadium","NRG Stadium",41,0,"nrg-stadium","Houston, TX 77054",618,TRUE,-95.4107,29.6847,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"124","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-11-30T01:20:00","2018-11-29T19:20:00","nfl","2018-04-05T23:08:47","",FALSE,"2018-11-30T05:20:00",4327920,0.983,"New Orleans Saints at Dallas Cowboys","normal",FALSE,TRUE,0.912,"https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920","2018-04-05T00:00:00","Saints at Cowboys",NA,41,322,41,392.37085,2931,3980,2251,FALSE,"QRCODE","2018-04-17T22:02:33Z","TX",0.9751414,"1 AT&T Way","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington","76011","US",24,"America/Chicago","Arlington, TX","AT&T Stadium","AT&T Stadium",4965,0,"at-t-stadium","Arlington, TX 76011",623,TRUE,-97.0957,32.7459,FALSE,"QRCODE","2018-04-17T22:02:33Z"
"125","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:36","",FALSE,"2018-12-02T22:00:00",4347023,0.901,"Los Angeles Rams at Detroit Lions","normal",FALSE,FALSE,0.849,"https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023","2018-04-20T00:00:00","Rams at Lions",NA,62,125,63,167.19739,613,2415,852,FALSE,"QRCODE","2018-08-24T21:53:41Z","MI",0.9029952,"2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets","Detroit","48226","US",11,"America/Detroit","Detroit, MI","Ford Field","Ford Field",346,0,"ford-field","Detroit, MI 48226",505,TRUE,-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
