"","date","timestamp","id","type","time_tbd","title","description","is_open","visible_until_utc","created_at","datetime_utc","score","status","announce_date","short_title","url","datetime_local","datetime_tbd","date_tbd","popularity","general_admission","highest_price","lowest_price_good_deals","listing_count","average_price","lowest_price","median_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","num_upcoming_events","id_venue","name_v2","postal_code","country","score_venue","timezone","display_location","has_upcoming_events","extended_address","slug","url_venue","address","name","city","metro_code","popularity_venue","state","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"42","2018-10-15","2018-10-15_11.08.54",4346970,"nfl",FALSE,"Los Angeles Rams at New Orleans Saints","",TRUE,"2018-11-05T01:25:00","2018-04-20T00:47:25","2018-11-04T21:25:00",0.829,"normal","2018-04-20T00:00:00","Rams at Saints","https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970","2018-11-04T15:25:00",FALSE,FALSE,0.828,NA,1800,88,910,287.85495,88,270,843,"QRCODE",FALSE,"2018-05-29T20:39:08Z",15,128,"Mercedes-Benz Superdome","70112","US",0.8966978,"America/Chicago","New Orleans, LA",TRUE,"New Orleans, LA 70112","mercedes-benz-superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","1500 Sugar Bowl Drive","Mercedes-Benz Superdome","New Orleans",622,0,"LA",29.9515,-90.0786,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"43","2018-10-15","2018-10-15_11.08.54",4494650,"concert",FALSE,"Alex G","",FALSE,"2018-11-05T05:00:00","2018-08-23T19:51:10","2018-11-05T01:00:00",0.499,"normal","2018-08-23T00:00:00","Alex G","https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650","2018-11-04T19:00:00",FALSE,FALSE,0.574,TRUE,584,NA,21,127.47619,49,67,1,NA,NA,NA,57,60271,"Thalia Hall","60608","US",0.51888376,"America/Chicago","Chicago, IL",TRUE,"Chicago, IL 60608","thalia-hall","https://seatgeek.com/venues/thalia-hall/tickets","1807 S Allport St","Thalia Hall","Chicago",0,0,"IL",41.8577,-87.6575,NA,NA,NA
"44","2018-10-15","2018-10-15_11.08.54",4347089,"nfl",FALSE,"Green Bay Packers at New England Patriots","",FALSE,"2018-11-05T05:20:00","2018-04-20T00:47:49","2018-11-05T01:20:00",0.936,"normal","2018-04-20T00:00:00","Packers at Patriots","https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089","2018-11-04T20:20:00",FALSE,FALSE,0.908,NA,1789,326,174,651.7012,376,580,865,"QRCODE",FALSE,"2018-08-24T21:53:39Z",11,33,"Gillette Stadium","02035","US",0.8983344,"America/New_York","Foxborough, MA",TRUE,"Foxborough, MA 02035","gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place","Gillette Stadium","Foxborough",506,0,"MA",42.0906,-71.2674,"NONE",FALSE,"2018-08-22T15:36:58Z"
"45","2018-10-15","2018-10-15_11.08.54",4327922,"nfl",FALSE,"Tennessee Titans at Dallas Cowboys","",TRUE,"2018-11-06T05:15:00","2018-04-05T23:08:47","2018-11-06T01:15:00",0.902,"normal","2018-04-05T00:00:00","Titans at Cowboys","https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922","2018-11-05T19:15:00",FALSE,FALSE,0.883,NA,2400,NA,3494,231.19176,NA,180,2713,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z",17,4965,"AT&T Stadium","76011","US",0.9751414,"America/Chicago","Arlington, TX",TRUE,"Arlington, TX 76011","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way","AT&T Stadium","Arlington",623,0,"TX",32.7459,-97.0957,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z"
"46","2018-10-15","2018-10-15_11.08.54",4347075,"nfl",FALSE,"Carolina Panthers at Pittsburgh Steelers","",FALSE,"2018-11-09T05:20:00","2018-04-20T00:47:46","2018-11-09T01:20:00",0.842,"normal","2018-04-20T00:00:00","Panthers at Steelers","https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075","2018-11-08T20:20:00",FALSE,FALSE,0.828,NA,1197,85,454,206.9097,85,155,1925,"QRCODE",FALSE,"2018-08-24T21:53:39Z",7,1119,"Heinz Field","15212","US",0.9033526,"America/New_York","Pittsburgh, PA",TRUE,"Pittsburgh, PA 15212","heinz-field","https://seatgeek.com/venues/heinz-field/tickets","100 Art Rooney Avenue","Heinz Field","Pittsburgh",508,0,"PA",40.4468,-80.0158,"QRCODE",FALSE,"2018-10-04T12:42:28Z"
"47","2018-10-15","2018-10-15_11.08.54",4346990,"nfl",FALSE,"New England Patriots at Tennessee Titans","",FALSE,"2018-11-11T21:00:00","2018-04-20T00:47:30","2018-11-11T17:00:00",0.886,"normal","2018-04-20T00:00:00","Patriots at Titans","https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990","2018-11-11T12:00:00",FALSE,FALSE,0.86,NA,2448,235,281,543.3203,235,466,1069,"QRCODE",FALSE,"2018-08-24T21:53:40Z",16,1126,"Nissan Stadium","37213","US",0.8546275,"America/New_York","Nashville, TN",TRUE,"Nashville, TN 37213","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way","Nissan Stadium","Nashville",659,0,"TN",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"48","2018-10-15","2018-10-15_11.08.54",4346980,"nfl",FALSE,"Arizona Cardinals at Kansas City Chiefs","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:27","2018-11-11T18:00:00",0.833,"normal","2018-04-20T00:00:00","Cardinals at Chiefs","https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980","2018-11-11T12:00:00",FALSE,FALSE,0.819,NA,457,63,977,160.04709,63,134,1245,"QRCODE",FALSE,"2018-08-24T21:53:40Z",6,1128,"Arrowhead Stadium","64129","US",0.8827867,"America/Chicago","Kansas City, MO",TRUE,"Kansas City, MO 64129","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","1 Arrowhead Drive","Arrowhead Stadium","Kansas City",616,0,"MO",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"49","2018-10-15","2018-10-15_11.08.54",4347006,"nfl",FALSE,"Detroit Lions at Chicago Bears","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:32","2018-11-11T18:00:00",0.864,"normal","2018-04-20T00:00:00","Lions at Bears","https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006","2018-11-11T12:00:00",FALSE,FALSE,0.843,NA,1196,137,104,389.80768,186,347,1090,"QRCODE",FALSE,"2018-08-24T21:53:40Z",8,31,"Soldier Field","60605","US",0.940013,"America/Chicago","Chicago, IL",TRUE,"Chicago, IL 60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive","Soldier Field","Chicago",602,0,"IL",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"50","2018-10-15","2018-10-15_11.08.54",4347040,"nfl",FALSE,"New Orleans Saints at Cincinnati Bengals","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:40","2018-11-11T18:00:00",0.839,"normal","2018-04-20T00:00:00","Saints at Bengals","https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040","2018-11-11T13:00:00",FALSE,FALSE,0.823,NA,10749,69,391,161.66753,66,119,795,"QRCODE",FALSE,"2018-08-24T21:53:40Z",5,1124,"Paul Brown Stadium","45202","US",0.86166537,"America/New_York","Cincinnati, OH",TRUE,"Cincinnati, OH 45202","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium","Paul Brown Stadium","Cincinnati",515,0,"OH",39.0961,-84.5177,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"51","2018-10-15","2018-10-15_11.08.54",4346958,"nfl",FALSE,"Jacksonville Jaguars at Indianapolis Colts","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:22","2018-11-11T18:00:00",0.798,"normal","2018-04-20T00:00:00","Jaguars at Colts","https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958","2018-11-11T13:00:00",FALSE,FALSE,0.795,NA,868,28,643,103.43857,28,83,1233,"QRCODE",FALSE,"2018-08-24T21:53:40Z",12,1130,"Lucas Oil Stadium","46225","US",0.9071682,"America/Indiana/Indianapolis","Indianapolis, IN",TRUE,"Indianapolis, IN 46225","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue","Lucas Oil Stadium","Indianapolis",527,0,"IN",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"52","2018-10-15","2018-10-15_11.08.54",4346930,"nfl",FALSE,"Washington Redskins at Tampa Bay Buccaneers","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:16","2018-11-11T18:00:00",0.828,"normal","2018-04-20T00:00:00","Redskins at Buccaneers","https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930","2018-11-11T13:00:00",FALSE,FALSE,0.813,NA,430,78,13,184.92308,80,168,711,"QRCODE",FALSE,"2018-08-24T21:53:40Z",14,39,"Raymond James Stadium","33607","US",0.86513025,"America/New_York","Tampa, FL",TRUE,"Tampa, FL 33607","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway","Raymond James Stadium","Tampa",539,0,"FL",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"53","2018-10-15","2018-10-15_11.08.54",4347060,"nfl",FALSE,"Buffalo Bills at New York Jets","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:43","2018-11-11T18:00:00",0.872,"normal","2018-04-20T00:00:00","Bills at Jets","https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060","2018-11-11T13:00:00",FALSE,FALSE,0.848,NA,942,48,783,169.27075,49,142,1533,"QRCODE",FALSE,"2018-08-24T21:53:40Z",12,1587,"MetLife Stadium","07073","US",0.94873494,"America/New_York","East Rutherford, NJ",TRUE,"East Rutherford, NJ 07073","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","MetLife Stadium","East Rutherford",501,0,"NJ",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"54","2018-10-15","2018-10-15_11.08.54",4346996,"nfl",FALSE,"Atlanta Falcons at Cleveland Browns","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:31","2018-11-11T18:00:00",0.821,"normal","2018-04-20T00:00:00","Falcons at Browns","https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996","2018-11-11T13:00:00",FALSE,FALSE,0.813,NA,1172,47,869,118.35558,49,96,1343,"QRCODE",FALSE,"2018-08-24T21:53:40Z",5,1123,"FirstEnergy Stadium","44114","US",0.86852187,"America/New_York","Cleveland, OH",TRUE,"Cleveland, OH 44114","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","100 Alfred Lerner Way","FirstEnergy Stadium","Cleveland",510,0,"OH",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"55","2018-10-15","2018-10-15_11.08.54",4346912,"nfl",FALSE,"Miami Dolphins at Green Bay Packers","",FALSE,"2018-11-11T22:00:00","2018-04-20T00:47:13","2018-11-11T18:00:00",0.864,"normal","2018-04-20T00:00:00","Dolphins at Packers","https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912","2018-11-11T12:00:00",FALSE,FALSE,0.85,NA,659,181,109,381.89908,233,382,664,"QRCODE",FALSE,"2018-08-24T21:53:40Z",5,1125,"Lambeau Field","54304","US",0.92909414,"America/Chicago","Green Bay, WI",TRUE,"Green Bay, WI 54304","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue","Lambeau Field","Green Bay",658,0,"WI",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"56","2018-10-15","2018-10-15_11.08.54",4347130,"nfl",FALSE,"Los Angeles Chargers at Oakland Raiders","",FALSE,"2018-11-12T01:05:00","2018-04-20T00:47:56","2018-11-11T21:05:00",0.829,"normal","2018-04-20T00:00:00","Chargers at Raiders","https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130","2018-11-11T13:05:00",FALSE,FALSE,0.815,NA,497,77,436,191.61009,79,182,1595,"QRCODE",FALSE,"2018-08-24T21:53:40Z",9,14,"Oakland-Alameda County Coliseum","94621","US",0.7817843,"America/Los_Angeles","Oakland, CA",TRUE,"Oakland, CA 94621","oakland-alameda-county-coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","7000 Coliseum Way","Oakland-Alameda County Coliseum","Oakland",807,0,"CA",37.7469,-122.201,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"57","2018-10-15","2018-10-15_11.08.54",4346920,"nfl",FALSE,"Seattle Seahawks at Los Angeles Rams","",FALSE,"2018-11-12T01:25:00","2018-04-20T00:47:14","2018-11-11T21:25:00",0.832,"normal","2018-04-20T00:00:00","Seahawks at Rams","https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","2018-11-11T13:25:00",FALSE,FALSE,0.817,NA,923,68,436,229.7867,87,177,1503,"QRCODE",FALSE,"2018-08-24T21:53:40Z",8,51012,"Los Angeles Memorial Coliseum","90037","US",0.86898464,"America/Los_Angeles","Los Angeles, CA",TRUE,"Los Angeles, CA 90037","los-angeles-memorial-coliseum-1","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","3911 S Figueroa St","Los Angeles Memorial Coliseum","Los Angeles",0,0,"CA",34.0138,-118.288,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"58","2018-10-15","2018-10-15_11.08.54",4500554,"concert",FALSE,"Alex G with Half Waif","",FALSE,"2018-11-12T04:00:00","2018-08-23T20:13:51","2018-11-12T00:00:00",0.44,"normal","2018-08-23T00:00:00","Alex G with Half Waif","https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","2018-11-11T19:00:00",FALSE,FALSE,0.518,TRUE,584,NA,10,199.8,102,113,1,NA,NA,NA,30,3160,"Crowbar","33605","US",0.42424366,"America/New_York","Tampa, FL",TRUE,"Tampa, FL 33605","crowbar-2","https://seatgeek.com/venues/crowbar-2/tickets","1812 North 17th Street","Crowbar","Tampa",539,0,"FL",27.9608,-82.4406,NA,NA,NA
"59","2018-10-15","2018-10-15_11.08.54",4347031,"nfl",FALSE,"Dallas Cowboys at Philadelphia Eagles","",FALSE,"2018-11-12T05:20:00","2018-04-20T00:47:38","2018-11-12T01:20:00",0.902,"normal","2018-04-20T00:00:00","Cowboys at Eagles","https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","2018-11-11T20:20:00",FALSE,FALSE,0.871,NA,1346,181,312,469.2532,199,421,1545,"QRCODE",FALSE,"2018-08-24T21:53:40Z",13,330,"Lincoln Financial Field","19148","US",0.90542686,"America/New_York","Philadelphia, PA",TRUE,"Philadelphia, PA 19148","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave","Lincoln Financial Field","Philadelphia",504,0,"PA",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"60","2018-10-15","2018-10-15_11.08.54",4347117,"nfl",FALSE,"New York Giants at San Francisco 49ers","",FALSE,"2018-11-13T05:15:00","2018-04-20T00:47:54","2018-11-13T01:15:00",0.875,"normal","2018-04-20T00:00:00","Giants at 49ers","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","2018-11-12T17:15:00",FALSE,FALSE,0.85,NA,220,46,4,158,96,102,2144,"QRCODE",FALSE,"2018-08-24T21:53:40Z",10,58670,"Levi's Stadium","95054","US",0.95768774,"America/Los_Angeles","Santa Clara, CA",TRUE,"Santa Clara, CA 95054","levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","4900 Marie P DeBartolo Way","Levi's Stadium","Santa Clara",0,0,"CA",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"61","2018-10-15","2018-10-15_11.08.54",4347126,"nfl",FALSE,"Green Bay Packers at Seattle Seahawks","",FALSE,"2018-11-16T05:20:00","2018-04-20T00:47:56","2018-11-16T01:20:00",0.904,"normal","2018-04-20T00:00:00","Packers at Seahawks","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126","2018-11-15T17:20:00",FALSE,FALSE,0.871,NA,1597,207,145,547.9931,250,452,1463,"QRCODE",FALSE,"2018-08-24T21:53:40Z",8,339,"CenturyLink Field","98134","US",0.87232786,"America/Los_Angeles","Seattle, WA",TRUE,"Seattle, WA 98134","centurylink-field","https://seatgeek.com/venues/centurylink-field/tickets","800 Occidental Ave S","CenturyLink Field","Seattle",819,0,"WA",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
