"","date","timestamp","datetime_utc","visible_until_utc","datetime_local","date_tbd","time_tbd","created_at","title","popularity","description","type","announce_date","datetime_tbd","id","is_open","short_title","url","score","status","general_admission","highest_price","lowest_price_good_deals","average_price","listing_count","lowest_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","num_upcoming_events","display_location","popularity_venue","has_upcoming_events","name_v2","city","state","timezone","slug","id_venue","name","country","url_venue","score_venue","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"20","2018-09-06","2018-09-06_11.03.41","2018-09-16T16:00:00","2018-09-16T20:00:00","2018-09-16T12:00:00",FALSE,FALSE,"2018-04-20T00:47:30","Houston Texans at Tennessee Titans",0.879,"","nfl","2018-04-20T00:00:00",FALSE,4346993,FALSE,"Texans at Titans","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",0.861,"normal",NA,1267,63,185.61,1082,63,FALSE,"QRCODE","2018-08-24T18:23:49Z","Nashville, TN 37213",16,"Nashville, TN",0,TRUE,"Nissan Stadium","Nashville","TN","America/New_York","nissan-stadium",1126,"Nissan Stadium","US","https://seatgeek.com/venues/nissan-stadium/tickets",0.8546275,"1 Titans Way","37213",-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
"21","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:42","Carolina Panthers at Atlanta Falcons",0.943,"","nfl","2018-04-20T00:00:00",FALSE,4347054,FALSE,"Panthers at Falcons","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",0.944,"normal",NA,1754,99,274.67,1441,99,FALSE,"QRCODE","2018-08-23T20:14:46Z","Atlanta, GA 30313",15,"Atlanta, GA",0,TRUE,"Mercedes-Benz Stadium","Atlanta","GA","America/New_York","mercedes-benz-stadium",419590,"Mercedes-Benz Stadium","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"35 Northside Dr NW","30313",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"22","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:18","Indianapolis Colts at Washington Redskins",0.957,"","nfl","2018-04-20T00:00:00",FALSE,4346944,FALSE,"Colts at Redskins","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",0.954,"normal",NA,1276,86,201.96,2037,86,FALSE,"QRCODE","2018-08-24T18:23:09Z","Landover, MD 20785",9,"Landover, MD",0,TRUE,"FedEx Field","Landover","MD","America/New_York","fedex-field",35,"FedEx Field","US","https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"1600 Fedex Way","20785",-76.8658,38.9071,FALSE,"QRCODE_TM","2015-09-12T14:13:58Z"
"23","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:45","Kansas City Chiefs at Pittsburgh Steelers",0.932,"","nfl","2018-04-20T00:00:00",FALSE,4347074,FALSE,"Chiefs at Steelers","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",0.931,"normal",NA,1351,132,323.18,824,132,FALSE,"QRCODE","2018-08-24T18:24:29Z","Pittsburgh, PA 15212",13,"Pittsburgh, PA",0,TRUE,"Heinz Field","Pittsburgh","PA","America/New_York","heinz-field",1119,"Heinz Field","US","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"100 Art Rooney Avenue","15212",-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"24","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:16","Philadelphia Eagles at Tampa Bay Buccaneers",0.918,"","nfl","2018-04-20T00:00:00",FALSE,4346933,FALSE,"Eagles at Buccaneers","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",0.91,"normal",NA,1275,140,403.81,1052,140,FALSE,"QRCODE","2018-08-24T17:04:19Z","Tampa, FL 33607",16,"Tampa, FL",0,TRUE,"Raymond James Stadium","Tampa","FL","America/New_York","raymond-james-stadium",39,"Raymond James Stadium","US","https://seatgeek.com/venues/raymond-james-stadium/tickets",0.86513025,"4201 North Dale Mabry Highway","33607",-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"25","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:44","Los Angeles Chargers at Buffalo Bills",0.92,"","nfl","2018-04-20T00:00:00",FALSE,4347064,FALSE,"Chargers at Bills","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",0.916,"normal",NA,2149,126,243.57,1119,126,FALSE,"QRCODE","2018-08-24T18:24:17Z","Orchard Park, NY 14127",8,"Orchard Park, NY",0,TRUE,"New Era Field","Orchard Park","NY","America/New_York","new-era-field",1135,"New Era Field","US","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"1 Bills Drive","14127",-78.7874,42.7737,FALSE,"QRCODE_TM","2015-08-12T16:52:53Z"
"26","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T12:00:00",FALSE,FALSE,"2018-04-20T00:47:14","Minnesota Vikings at Green Bay Packers",0.945,"","nfl","2018-04-20T00:00:00",FALSE,4346915,FALSE,"Vikings at Packers","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",0.951,"normal",NA,123594,200,626,1105,200,FALSE,"QRCODE","2018-08-24T17:03:48Z","Green Bay, WI 54304",8,"Green Bay, WI",0,TRUE,"Lambeau Field","Green Bay","WI","America/Chicago","lambeau-field",1125,"Lambeau Field","US","https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"1265 Lombardi Avenue","54304",-88.0622,44.5013,FALSE,"QRCODE_TM","2015-09-02T22:43:34Z"
"27","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T12:00:00",FALSE,FALSE,"2018-04-20T00:47:25","Cleveland Browns at New Orleans Saints",0.908,"","nfl","2018-04-20T00:00:00",FALSE,4346973,TRUE,"Browns at Saints","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",0.894,"normal",NA,1800,54,195.51,1449,54,FALSE,"QRCODE","2018-05-29T20:38:49Z","New Orleans, LA 70112",20,"New Orleans, LA",0,TRUE,"Mercedes-Benz Superdome","New Orleans","LA","America/Chicago","mercedes-benz-superdome",128,"Mercedes-Benz Superdome","US","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"1500 Sugar Bowl Drive","70112",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
"28","2018-09-06","2018-09-06_11.03.41","2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,"2018-04-20T00:47:20","Miami Dolphins at New York Jets",0.964,"","nfl","2018-04-20T00:00:00",FALSE,4346953,FALSE,"Dolphins at Jets","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",0.965,"normal",NA,1979,77,217.08,1401,77,FALSE,"QRCODE","2018-08-24T18:23:39Z","East Rutherford, NJ 07073",21,"East Rutherford, NJ",0,TRUE,"MetLife Stadium","East Rutherford","NJ","America/New_York","metlife-stadium",1587,"MetLife Stadium","US","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"1 MetLife Stadium Drive","07073",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"29","2018-09-06","2018-09-06_11.03.41","2018-09-16T20:05:00","2018-09-17T00:05:00","2018-09-16T13:05:00",FALSE,FALSE,"2018-04-20T00:47:15","Arizona Cardinals at Los Angeles Rams",0.891,"","nfl","2018-04-20T00:00:00",FALSE,4346924,FALSE,"Cardinals at Rams","https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924",0.878,"normal",NA,1768,31,121.68,2630,31,FALSE,"QRCODE","2018-08-24T17:04:03Z","Los Angeles, CA 90037",14,"Los Angeles, CA",0,TRUE,"Los Angeles Memorial Coliseum","Los Angeles","CA","America/Los_Angeles","los-angeles-memorial-coliseum-1",51012,"Los Angeles Memorial Coliseum","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",0.86898464,"3911 S Figueroa St","90037",-118.29,34.01,FALSE,"QRCODE","2018-08-23T17:59:28Z"
