"","date","timestamp","short_title","status","created_at","visible_until_utc","datetime_tbd","id","is_open","time_tbd","title","announce_date","type","description","score","popularity","url","datetime_local","date_tbd","datetime_utc","general_admission","lowest_price_good_deals","median_price","average_price","visible_listing_count","lowest_price","listing_count","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","name","postal_code","score_venue","num_upcoming_events","id_venue","slug","city","state","name_v2","display_location","extended_address","metro_code","country","address","popularity_venue","url_venue","timezone","has_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"176","2018-09-23","2018-09-23_17.19.58","Chargers at Chiefs","normal","2018-04-20T00:47:26","2018-12-14T05:20:00",FALSE,4346978,FALSE,FALSE,"Los Angeles Chargers at Kansas City Chiefs","2018-04-20T00:00:00","nfl","",0.924,0.849,"https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978","2018-12-13T19:20:00",FALSE,"2018-12-14T01:20:00",NA,37,NA,145.18,NA,37,847,700,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Arrowhead Stadium","64129",0.8827867,9,1128,"arrowhead-stadium","Kansas City","MO","Arrowhead Stadium","Kansas City, MO","Kansas City, MO 64129",616,"US","1 Arrowhead Drive",0,"https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago",TRUE,-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"177","2018-09-23","2018-09-23_17.19.58","Texans at Jets","normal","2018-04-20T00:47:35","2018-12-16T01:30:00",FALSE,4347015,FALSE,FALSE,"Houston Texans at New York Jets","2018-04-20T00:00:00","nfl","",0.956,0.878,"https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015","2018-12-15T16:30:00",FALSE,"2018-12-15T21:30:00",NA,33,122,149.3915,1367,33,1129,918,"QRCODE",FALSE,"2018-08-24T21:53:42Z","MetLife Stadium","07073",0.94873494,16,1587,"metlife-stadium","East Rutherford","NJ","MetLife Stadium","East Rutherford, NJ","East Rutherford, NJ 07073",501,"US","1 MetLife Stadium Drive",0,"https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"178","2018-09-23","2018-09-23_17.19.58","Browns at Broncos","normal","2018-04-20T01:04:04","2018-12-16T01:30:00",FALSE,4347135,FALSE,FALSE,"Cleveland Browns at Denver Broncos","2018-04-20T00:00:00","nfl","",0.913,0.85,"https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135","2018-12-15T14:30:00",FALSE,"2018-12-15T21:30:00",NA,84,235,296.85715,768,117,133,1203,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Sports Authority Field at Mile High","80204",0.9028296,7,1131,"sports-authority-field-at-mile-high","Denver","CO","Sports Authority Field at Mile High","Denver, CO","Denver, CO 80204",751,"US","1701 Bryant Street",0,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","America/Denver",TRUE,-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"179","2018-09-23","2018-09-23_17.19.58","Cardinals at Falcons","normal","2018-04-20T00:47:41","2018-12-16T22:00:00",FALSE,4347047,FALSE,FALSE,"Arizona Cardinals at Atlanta Falcons","2018-04-20T00:00:00","nfl","",0.934,0.866,"https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,68,NA,195.81,NA,68,1060,1198,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Mercedes-Benz Stadium","30313",0.76958936,20,419590,"mercedes-benz-stadium","Atlanta","GA","Mercedes-Benz Stadium","Atlanta, GA","Atlanta, GA 30313",0,"US","35 Northside Dr NW",0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York",TRUE,-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"180","2018-09-23","2018-09-23_17.19.58","Lions at Bills","normal","2018-04-20T00:47:43","2018-12-16T22:00:00",FALSE,4347057,FALSE,FALSE,"Detroit Lions at Buffalo Bills","2018-04-20T00:00:00","nfl","",0.902,0.837,"https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,24,62,82.63013,1508,24,1195,636,"QRCODE",FALSE,"2018-08-24T21:53:42Z","New Era Field","14127",0.8815085,7,1135,"new-era-field","Orchard Park","NY","New Era Field","Orchard Park, NY","Orchard Park, NY 14127",514,"US","1 Bills Drive",0,"https://seatgeek.com/venues/new-era-field/tickets","America/New_York",TRUE,-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"181","2018-09-23","2018-09-23_17.19.58","Cowboys at Colts","normal","2018-04-20T00:47:20","2018-12-16T22:00:00",FALSE,4346955,FALSE,FALSE,"Dallas Cowboys at Indianapolis Colts","2018-04-20T00:00:00","nfl","",0.974,0.898,"https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,119,235,290.56946,918,119,432,1974,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Lucas Oil Stadium","46225",0.9071682,14,1130,"lucas-oil-stadium","Indianapolis","IN","Lucas Oil Stadium","Indianapolis, IN","Indianapolis, IN 46225",527,"US","500 South Capitol Avenue",0,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",TRUE,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"182","2018-09-23","2018-09-23_17.19.58","Packers at Bears","normal","2018-04-20T00:47:32","2018-12-16T22:00:00",FALSE,4347002,FALSE,FALSE,"Green Bay Packers at Chicago Bears","2018-04-20T00:00:00","nfl","",0.995,0.911,"https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002","2018-12-16T12:00:00",FALSE,"2018-12-16T18:00:00",NA,162,372,452.22818,911,180,149,1461,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Soldier Field","60605",0.940013,9,31,"soldier-field","Chicago","IL","Soldier Field","Chicago, IL","Chicago, IL 60605",602,"US","1410 S. Museum Campus Drive",0,"https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",TRUE,-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"183","2018-09-23","2018-09-23_17.19.58","Buccaneers at Ravens","normal","2018-04-20T00:47:44","2018-12-16T22:00:00",FALSE,4347066,FALSE,FALSE,"Tampa Bay Buccaneers at Baltimore Ravens","2018-04-20T00:00:00","nfl","",0.883,0.818,"https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,39,95,126.332436,1280,39,740,607,"QRCODE",FALSE,"2018-08-24T21:53:42Z","M&T Bank Stadium","21230",0.8927189,8,1121,"m-t-bank-stadium","Baltimore","MD","M&T Bank Stadium","Baltimore, MD","Baltimore, MD 21230",512,"US","1101 Russell St",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","America/New_York",TRUE,-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"184","2018-09-23","2018-09-23_17.19.58","Redskins at Jaguars","normal","2018-04-20T00:47:18","2018-12-16T22:00:00",FALSE,4346945,FALSE,FALSE,"Washington Redskins at Jacksonville Jaguars","2018-04-20T00:00:00","nfl","",0.879,0.812,"https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,62,129,159.06738,874,62,653,655,"QRCODE",FALSE,"2018-08-24T21:53:42Z","EverBank Field","32202",0.83759147,9,5178,"everbank-field","Jacksonville","FL","EverBank Field","Jacksonville, FL","Jacksonville, FL 32202",561,"US","1 Everbank Field Dr",0,"https://seatgeek.com/venues/everbank-field/tickets","America/New_York",TRUE,-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"185","2018-09-23","2018-09-23_17.19.58","Dolphins at Vikings","normal","2018-04-20T01:04:05","2018-12-16T22:00:00",FALSE,4347144,FALSE,FALSE,"Miami Dolphins at Minnesota Vikings","2018-04-20T00:00:00","nfl","",0.957,0.885,"https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144","2018-12-16T12:00:00",FALSE,"2018-12-16T18:00:00",NA,100,196,242.03668,999,105,627,1797,"QRCODE",FALSE,"2018-08-24T21:53:42Z","U.S. Bank Stadium","55415",0.88524246,17,218451,"u-s-bank-stadium","Minneapolis","MN","U.S. Bank Stadium","Minneapolis, MN","Minneapolis, MN 55415",0,"US","900 South 5th Street",0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago",TRUE,-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
"186","2018-09-23","2018-09-23_17.19.58","Raiders at Bengals","normal","2018-04-20T00:47:39","2018-12-16T22:00:00",FALSE,4347037,FALSE,FALSE,"Oakland Raiders at Cincinnati Bengals","2018-04-20T00:00:00","nfl","",0.924,0.85,"https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,53,103,120.716415,907,53,603,603,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Paul Brown Stadium","45202",0.86166537,7,1124,"paul-brown-stadium","Cincinnati","OH","Paul Brown Stadium","Cincinnati, OH","Cincinnati, OH 45202",515,"US","1 Paul Brown Stadium",0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",TRUE,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"187","2018-09-23","2018-09-23_17.19.58","Titans at Giants","normal","2018-04-20T00:47:29","2018-12-16T22:00:00",FALSE,4346988,FALSE,FALSE,"Tennessee Titans at New York Giants","2018-04-20T00:00:00","nfl","",0.935,0.857,"https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988","2018-12-16T13:00:00",FALSE,"2018-12-16T18:00:00",NA,79,168,208.83057,1425,79,903,1429,"QRCODE",FALSE,"2018-08-24T21:53:42Z","MetLife Stadium","07073",0.94873494,16,1587,"metlife-stadium","East Rutherford","NJ","MetLife Stadium","East Rutherford, NJ","East Rutherford, NJ 07073",501,"US","1 MetLife Stadium Drive",0,"https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"188","2018-09-23","2018-09-23_17.19.58","Seahawks at 49ers","normal","2018-04-20T00:47:55","2018-12-17T01:05:00",FALSE,4347122,FALSE,FALSE,"Seattle Seahawks at San Francisco 49ers","2018-04-20T00:00:00","nfl","",0.974,0.893,"https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122","2018-12-16T13:05:00",FALSE,"2018-12-16T21:05:00",NA,97,NA,229.12,NA,97,1124,2989,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Levi's Stadium","95054",0.95768774,13,58670,"levi-s-stadium","Santa Clara","CA","Levi's Stadium","Santa Clara, CA","Santa Clara, CA 95054",0,"US","4900 Marie P DeBartolo Way",0,"https://seatgeek.com/venues/levi-s-stadium/tickets","America/Los_Angeles",TRUE,-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"189","2018-09-23","2018-09-23_17.19.58","Patriots at Steelers","normal","2018-04-20T00:47:46","2018-12-17T01:25:00",FALSE,4347077,FALSE,FALSE,"New England Patriots at Pittsburgh Steelers","2018-04-20T00:00:00","nfl","",1.003,0.918,"https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077","2018-12-16T16:25:00",FALSE,"2018-12-16T21:25:00",NA,191,356,446.91113,1117,191,664,11030,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Heinz Field","15212",0.9033526,10,1119,"heinz-field","Pittsburgh","PA","Heinz Field","Pittsburgh, PA","Pittsburgh, PA 15212",508,"US","100 Art Rooney Avenue",0,"https://seatgeek.com/venues/heinz-field/tickets","America/New_York",TRUE,-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"190","2018-09-23","2018-09-23_17.19.58","Eagles at Rams","normal","2018-04-20T00:47:14","2018-12-17T05:20:00",FALSE,4346919,FALSE,FALSE,"Philadelphia Eagles at Los Angeles Rams","2018-04-20T00:00:00","nfl","",0.973,0.889,"https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919","2018-12-16T17:20:00",FALSE,"2018-12-17T01:20:00",NA,117,277,342.7688,1344,120,731,1938,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Los Angeles Memorial Coliseum","90037",0.86898464,10,51012,"los-angeles-memorial-coliseum-1","Los Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles, CA","Los Angeles, CA 90037",0,"US","3911 S Figueroa St",0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",TRUE,-118.288,34.0138,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"191","2018-09-23","2018-09-23_17.19.58","Saints at Panthers","normal","2018-04-20T00:47:38","2018-12-18T05:15:00",FALSE,4347035,FALSE,FALSE,"New Orleans Saints at Carolina Panthers","2018-04-20T00:00:00","nfl","",0.945,0.863,"https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035","2018-12-17T20:15:00",FALSE,"2018-12-18T01:15:00",NA,77,155,219.6929,1055,81,521,1422,"QRCODE",FALSE,"2018-08-24T21:53:42Z","Bank of America Stadium","28202",0.8968222,9,1122,"bank-of-america-stadium","Charlotte","NC","Bank of America Stadium","Charlotte, NC","Charlotte, NC 28202",517,"US","800 South Mint Street",0,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",TRUE,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"192","2018-09-23","2018-09-23_17.19.58","Redskins at Titans","normal","2018-04-20T00:47:29","2018-12-23T21:00:00",FALSE,4346986,FALSE,FALSE,"Washington Redskins at Tennessee Titans","2018-04-20T00:00:00","nfl","",0.869,0.801,"https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-12-23T12:00:00",FALSE,"2018-12-23T17:00:00",NA,35,127,147.30724,1014,38,664,788,"QRCODE",FALSE,"2018-08-24T21:53:43Z","Nissan Stadium","37213",0.8546275,15,1126,"nissan-stadium","Nashville","TN","Nissan Stadium","Nashville, TN","Nashville, TN 37213",659,"US","1 Titans Way",0,"https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",TRUE,-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"193","2018-09-23","2018-09-23_17.19.58","Bengals at Browns","normal","2018-04-20T00:47:31","2018-12-23T22:00:00",FALSE,4346994,FALSE,FALSE,"Cincinnati Bengals at Cleveland Browns","2018-04-20T00:00:00","nfl","",0.892,0.822,"https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-12-23T13:00:00",FALSE,"2018-12-23T18:00:00",NA,31,NA,92.79,NA,31,1339,757,"QRCODE",FALSE,"2018-08-24T21:53:43Z","FirstEnergy Stadium","44114",0.86852187,6,1123,"firstenergy-stadium-15","Cleveland","OH","FirstEnergy Stadium","Cleveland, OH","Cleveland, OH 44114",510,"US","100 Alfred Lerner Way",0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York",TRUE,-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"194","2018-09-23","2018-09-23_17.19.58","Texans at Eagles","normal","2018-04-20T00:47:35","2018-12-23T22:00:00",FALSE,4347013,FALSE,FALSE,"Houston Texans at Philadelphia Eagles","2018-04-20T00:00:00","nfl","",0.949,0.868,"https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-12-23T13:00:00",FALSE,"2018-12-23T18:00:00",NA,118,284,338.5877,1184,146,570,1339,"QRCODE",FALSE,"2018-08-24T21:53:43Z","Lincoln Financial Field","19148",0.90542686,16,330,"lincoln-financial-field","Philadelphia","PA","Lincoln Financial Field","Philadelphia, PA","Philadelphia, PA 19148",504,"US","1020 Pattison Ave",0,"https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",TRUE,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
