"","date","timestamp","status","date_tbd","type","id","score","datetime_tbd","datetime_local","visible_until_utc","url","created_at","description","popularity","is_open","announce_date","datetime_utc","short_title","title","time_tbd","general_admission","highest_price","average_price","lowest_price_good_deals","lowest_price","listing_count","median_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","num_upcoming_events","popularity_venue","name","score_venue","slug","city","extended_address","metro_code","has_upcoming_events","name_v2","country","address","postal_code","display_location","url_venue","state","timezone","id_venue","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"76","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346968,0.9,FALSE,"2018-11-22T19:20:00","2018-11-23T05:20:00","https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968","2018-04-20T00:47:24","",0.87,TRUE,"2018-04-20T00:00:00","2018-11-23T01:20:00","Falcons at Saints","Atlanta Falcons at New Orleans Saints",FALSE,NA,4200,352.5663,135,135,980,329,892,"QRCODE",FALSE,"2018-05-29T20:39:22Z",15,0,"Mercedes-Benz Superdome",0.8966978,"mercedes-benz-superdome","New Orleans","New Orleans, LA 70112",622,TRUE,"Mercedes-Benz Superdome","US","1500 Sugar Bowl Drive","70112","New Orleans, LA","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","LA","America/Chicago",128,-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"77","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"sports",4455655,0.364,FALSE,"2018-11-23T13:00:00","2018-11-23T23:00:00","https://seatgeek.com/texas-tech-red-raiders-at-iowa-state-cyclones-womens-volleyball-tickets/sport/2018-11-23-1-pm/4455655","2018-07-18T16:01:12","",0.453,FALSE,"2018-07-18T00:00:00","2018-11-23T19:00:00","Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball","Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball",FALSE,NA,6,6,NA,6,1,6,1,NA,NA,NA,47,0,"Hilton Coliseum",0.6426054,"hilton-coliseum","Ames","Ames, IA 50011",679,TRUE,"Hilton Coliseum","US","1700 Lincoln Way","50011","Ames, IA","https://seatgeek.com/venues/hilton-coliseum/tickets","IA","America/Chicago",3458,-93.63,42.02,NA,NA,NA
"78","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"ncaa_football",4281983,0.352,FALSE,"2018-11-23T14:00:00","2018-11-24T00:00:00","https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983","2018-02-28T15:00:16","",0.447,FALSE,"2018-02-28T00:00:00","2018-11-23T20:00:00","Coastal Carolina at South Alabama","Coastal Carolina Chanticleers at South Alabama Jaguars Football",FALSE,NA,42,35.6,25,25,5,37,5,NA,NA,NA,4,0,"Ladd Peebles Stadium",0.50177634,"ladd-peebles-stadium","Mobile","Mobile, AL 36604",686,TRUE,"Ladd Peebles Stadium","US","1621 Virginia St.","36604","Mobile, AL","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","AL","America/Chicago",3716,-88.0761,30.6748,NA,NA,NA
"79","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"ncaa_football",4241803,0.676,FALSE,"2018-11-24T03:30:00","2018-11-25T06:00:00","https://seatgeek.com/tfbi-shootout-texas-tech-v-baylor-university-tickets/ncaa-football/2018-11-24-3-30-am/4241803","2018-01-31T15:02:10","*Child Policy:: Children age 2 years and older require a ticket for entry.",0.707,TRUE,"2018-01-31T00:00:00","2018-11-24T09:30:00","TFBI Shootout: Texas Tech V Baylor University","TFBI Shootout: Texas Tech V Baylor University",TRUE,NA,18355,214.96524,63,62,1467,132,986,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z",17,0,"AT&T Stadium",0.9751414,"at-t-stadium","Arlington","Arlington, TX 76011",623,TRUE,"AT&T Stadium","US","1 AT&T Way","76011","Arlington, TX","https://seatgeek.com/venues/at-t-stadium/tickets","TX","America/Chicago",4965,-97.0957,32.7459,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z"
"80","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346918,0.954,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918","2018-04-20T00:47:14","",0.908,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Giants at Eagles","New York Giants at Philadelphia Eagles",FALSE,NA,1240,411.69553,138,210,335,363,1387,"QRCODE",FALSE,"2018-08-24T21:53:40Z",13,0,"Lincoln Financial Field",0.90542686,"lincoln-financial-field","Philadelphia","Philadelphia, PA 19148",504,TRUE,"Lincoln Financial Field","US","1020 Pattison Ave","19148","Philadelphia, PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","America/New_York",330,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"81","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347058,0.859,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058","2018-04-20T00:47:43","",0.836,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Jaguars at Bills","Jacksonville Jaguars at Buffalo Bills",FALSE,NA,1198,84.78365,22,22,1211,61,1880,"QRCODE",FALSE,"2018-08-24T21:53:41Z",6,0,"New Era Field",0.8815085,"new-era-field","Orchard Park","Orchard Park, NY 14127",514,TRUE,"New Era Field","US","1 Bills Drive","14127","Orchard Park, NY","https://seatgeek.com/venues/new-era-field/tickets","NY","America/New_York",1135,-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"82","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347039,0.881,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039","2018-04-20T00:47:39","",0.851,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Browns at Bengals","Cleveland Browns at Cincinnati Bengals",FALSE,NA,541,135.09004,79,79,422,126,827,"QRCODE",FALSE,"2018-08-24T21:53:40Z",5,0,"Paul Brown Stadium",0.86166537,"paul-brown-stadium","Cincinnati","Cincinnati, OH 45202",515,TRUE,"Paul Brown Stadium","US","1 Paul Brown Stadium","45202","Cincinnati, OH","https://seatgeek.com/venues/paul-brown-stadium/tickets","OH","America/New_York",1124,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"83","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347125,0.913,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125","2018-04-20T00:47:55","",0.876,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Seahawks at Panthers","Seattle Seahawks at Carolina Panthers",FALSE,NA,996,219.99248,96,93,532,171,1609,"QRCODE",FALSE,"2018-08-24T21:53:41Z",9,0,"Bank of America Stadium",0.8968222,"bank-of-america-stadium","Charlotte","Charlotte, NC 28202",517,TRUE,"Bank of America Stadium","US","800 South Mint Street","28202","Charlotte, NC","https://seatgeek.com/venues/bank-of-america-stadium/tickets","NC","America/New_York",1122,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"84","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347067,0.874,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067","2018-04-20T00:47:44","",0.846,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Raiders at Ravens","Oakland Raiders at Baltimore Ravens",FALSE,NA,836,172.21136,61,64,563,136,1868,"QRCODE",FALSE,"2018-08-24T21:53:41Z",6,0,"M&T Bank Stadium",0.8927189,"m-t-bank-stadium","Baltimore","Baltimore, MD 21230",512,TRUE,"M&T Bank Stadium","US","1101 Russell St","21230","Baltimore, MD","https://seatgeek.com/venues/m-t-bank-stadium/tickets","MD","America/New_York",1121,-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"85","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347098,0.976,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098","2018-04-20T00:47:50","",0.924,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Patriots at Jets","New England Patriots at New York Jets",FALSE,NA,6034,301.95032,122,126,624,239,1422,"QRCODE",FALSE,"2018-08-24T21:53:41Z",12,0,"MetLife Stadium",0.94873494,"metlife-stadium","East Rutherford","East Rutherford, NJ 07073",501,TRUE,"MetLife Stadium","US","1 MetLife Stadium Drive","07073","East Rutherford, NJ","https://seatgeek.com/venues/metlife-stadium/tickets","NJ","America/New_York",1587,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"86","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346928,0.894,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928","2018-04-20T00:47:15","",0.86,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","49ers at Buccaneers","San Francisco 49ers at Tampa Bay Buccaneers",FALSE,NA,476,213.51613,74,71,31,174,765,"QRCODE",FALSE,"2018-08-24T21:53:40Z",14,0,"Raymond James Stadium",0.86513025,"raymond-james-stadium","Tampa","Tampa, FL 33607",539,TRUE,"Raymond James Stadium","US","4201 North Dale Mabry Highway","33607","Tampa, FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","America/New_York",39,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"87","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346956,0.874,FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00","https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956","2018-04-20T00:47:21","",0.852,FALSE,"2018-04-20T00:00:00","2018-11-25T18:00:00","Dolphins at Colts","Miami Dolphins at Indianapolis Colts",FALSE,NA,917,110.91049,31,31,648,86,1253,"QRCODE",FALSE,"2018-08-24T21:53:40Z",12,0,"Lucas Oil Stadium",0.9071682,"lucas-oil-stadium","Indianapolis","Indianapolis, IN 46225",527,TRUE,"Lucas Oil Stadium","US","500 South Capitol Avenue","46225","Indianapolis, IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","America/Indiana/Indianapolis",1130,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"88","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347109,0.886,FALSE,"2018-11-25T13:05:00","2018-11-26T01:05:00","https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109","2018-04-20T00:47:52","",0.851,FALSE,"2018-04-20T00:00:00","2018-11-25T21:05:00","Cardinals at Chargers","Arizona Cardinals at Los Angeles Chargers",FALSE,NA,661,209.614,111,115,500,188,808,"QRCODE",FALSE,"2018-08-24T21:53:41Z",10,0,"StubHub Center",0.7228164,"stubhub-center","Carson","Carson, CA 90746",803,TRUE,"StubHub Center","US","18400 Avalon Blvd","90746","Carson, CA","https://seatgeek.com/venues/stubhub-center/tickets","CA","America/Los_Angeles",52,-118.261,33.8643,NA,NA,NA
"89","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347143,0.932,FALSE,"2018-11-25T14:25:00","2018-11-26T01:25:00","https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143","2018-04-20T01:04:05","",0.897,FALSE,"2018-04-20T00:00:00","2018-11-25T21:25:00","Steelers at Broncos","Pittsburgh Steelers at Denver Broncos",FALSE,NA,5663,448.61765,134,174,170,353,1702,"QRCODE",FALSE,"2018-08-24T21:53:41Z",6,0,"Sports Authority Field at Mile High",0.9028296,"sports-authority-field-at-mile-high","Denver","Denver, CO 80204",751,TRUE,"Sports Authority Field at Mile High","US","1701 Bryant Street","80204","Denver, CO","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","CO","America/Denver",1131,-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"90","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347133,0.96,FALSE,"2018-11-25T19:20:00","2018-11-26T05:20:00","https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133","2018-04-20T01:04:04","",0.917,FALSE,"2018-04-20T00:00:00","2018-11-26T01:20:00","Packers at Vikings","Green Bay Packers at Minnesota Vikings",FALSE,NA,126726,823.211,244,257,436,429,1495,"QRCODE",FALSE,"2018-08-24T21:53:41Z",14,0,"U.S. Bank Stadium",0.88524246,"u-s-bank-stadium","Minneapolis","Minneapolis, MN 55415",0,TRUE,"U.S. Bank Stadium","US","401 Chicago Avenue","55415","Minneapolis, MN","https://seatgeek.com/venues/u-s-bank-stadium/tickets","MN","America/Chicago",218451,-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
"91","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347017,0.873,FALSE,"2018-11-26T19:15:00","2018-11-27T05:15:00","https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017","2018-04-20T00:47:36","",0.836,FALSE,"2018-04-20T00:00:00","2018-11-27T01:15:00","Titans at Texans","Tennessee Titans at Houston Texans",FALSE,NA,954,176.13802,37,37,884,146,1926,"QRCODE",FALSE,"2018-08-24T21:53:41Z",43,0,"NRG Stadium",0.8624192,"nrg-stadium","Houston","Houston, TX 77054",618,TRUE,"NRG Stadium","US","1 Reliant Park","77054","Houston, TX","https://seatgeek.com/venues/nrg-stadium/tickets","TX","America/Chicago",41,-95.4107,29.6847,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"92","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4327920,1.006,FALSE,"2018-11-29T19:20:00","2018-11-30T05:20:00","https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920","2018-04-05T23:08:47","",0.945,TRUE,"2018-04-05T00:00:00","2018-11-30T01:20:00","Saints at Cowboys","New Orleans Saints at Dallas Cowboys",FALSE,NA,12608,387.8585,34,34,2629,322,2128,"QRCODE",FALSE,"2018-10-16T19:31:18Z",17,0,"AT&T Stadium",0.9751414,"at-t-stadium","Arlington","Arlington, TX 76011",623,TRUE,"AT&T Stadium","US","1 AT&T Way","76011","Arlington, TX","https://seatgeek.com/venues/at-t-stadium/tickets","TX","America/Chicago",4965,-97.0957,32.7459,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z"
"93","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347023,0.908,FALSE,"2018-12-02T13:00:00","2018-12-02T22:00:00","https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023","2018-04-20T00:47:36","",0.874,FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00","Rams at Lions","Los Angeles Rams at Detroit Lions",FALSE,NA,1205,143.78867,62,62,459,110,705,"QRCODE",FALSE,"2018-08-24T21:53:41Z",11,0,"Ford Field",0.9029952,"ford-field","Detroit","Detroit, MI 48226",505,TRUE,"Ford Field","US","2000 Brush St.","48226","Detroit, MI","https://seatgeek.com/venues/ford-field/tickets","MI","America/Detroit",346,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"94","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346927,0.886,FALSE,"2018-12-02T13:00:00","2018-12-02T22:00:00","https://seatgeek.com/panthers-at-buccaneers-tickets/12-2-2018-tampa-florida-raymond-james-stadium/nfl/4346927","2018-04-20T00:47:15","",0.847,FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00","Panthers at Buccaneers","Carolina Panthers at Tampa Bay Buccaneers",FALSE,NA,289,163.4,96,74,25,142,760,"QRCODE",FALSE,"2018-08-24T21:53:41Z",14,0,"Raymond James Stadium",0.86513025,"raymond-james-stadium","Tampa","Tampa, FL 33607",539,TRUE,"Raymond James Stadium","US","4201 North Dale Mabry Highway","33607","Tampa, FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","America/New_York",39,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
