"","date","timestamp","datetime_tbd","score","url","description","created_at","date_tbd","visible_until_utc","announce_date","status","datetime_utc","type","id","title","popularity","short_title","time_tbd","datetime_local","is_open","general_admission","highest_price","lowest_price","average_price","lowest_price_good_deals","listing_count","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","extended_address","display_location","slug","address","score_venue","url_venue","name","postal_code","state","city","country","id_venue","timezone","num_upcoming_events","popularity_venue","name_v2","has_upcoming_events","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"155","2018-09-07","2018-09-07_08.07.42",FALSE,0.864,"https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","","2018-04-20T00:47:14",FALSE,"2018-11-12T01:25:00","2018-04-20T00:00:00","normal","2018-11-11T21:25:00","nfl",4346920,"Seattle Seahawks at Los Angeles Rams",0.852,"Seahawks at Rams",FALSE,"2018-11-11T13:25:00",FALSE,NA,2783,56,192.48,56,2454,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Los Angeles, CA 90037","Los Angeles, CA","los-angeles-memorial-coliseum-1","3911 S Figueroa St",0.86898464,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles Memorial Coliseum","90037","CA","Los Angeles","US",51012,"America/Los_Angeles",14,0,"Los Angeles Memorial Coliseum",TRUE,-118.29,34.01,"QRCODE","2018-08-23T17:59:28Z",FALSE
"156","2018-09-07","2018-09-07_08.07.42",FALSE,0.472,"https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","","2018-08-23T20:13:51",FALSE,"2018-11-12T04:00:00","2018-08-23T00:00:00","normal","2018-11-12T00:00:00","concert",4500554,"Alex G with Half Waif",0.47,"Alex G with Half Waif",FALSE,"2018-11-11T19:00:00",FALSE,TRUE,562,45,180.64,NA,11,NA,NA,NA,"Tampa, FL 33605","Tampa, FL","crowbar-2","1812 North 17th Street",0.42424366,"https://seatgeek.com/venues/crowbar-2/tickets","Crowbar","33605","FL","Tampa","US",3160,"America/New_York",30,0,"Crowbar",TRUE,-82.4406,27.9608,NA,NA,NA
"157","2018-09-07","2018-09-07_08.07.42",FALSE,0.928,"https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","","2018-04-20T00:47:38",FALSE,"2018-11-12T05:20:00","2018-04-20T00:00:00","normal","2018-11-12T01:20:00","nfl",4347031,"Dallas Cowboys at Philadelphia Eagles",0.902,"Cowboys at Eagles",FALSE,"2018-11-11T20:20:00",FALSE,NA,7171,232,497.85,232,448,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Philadelphia, PA 19148","Philadelphia, PA","lincoln-financial-field","1020 Pattison Ave",0.90542686,"https://seatgeek.com/venues/lincoln-financial-field/tickets","Lincoln Financial Field","19148","PA","Philadelphia","US",330,"America/New_York",17,0,"Lincoln Financial Field",TRUE,-75.1675,39.9046,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"158","2018-09-07","2018-09-07_08.07.42",FALSE,0.897,"https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","","2018-04-20T00:47:54",FALSE,"2018-11-13T05:15:00","2018-04-20T00:00:00","normal","2018-11-13T01:15:00","nfl",4347117,"New York Giants at San Francisco 49ers",0.877,"Giants at 49ers",FALSE,"2018-11-12T17:15:00",FALSE,NA,3694,79,273.21,79,1988,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Santa Clara, CA 95054","Santa Clara, CA","levi-s-stadium","4900 Marie P DeBartolo Way",0.95768774,"https://seatgeek.com/venues/levi-s-stadium/tickets","Levi's Stadium","95054","CA","Santa Clara","US",58670,"America/Los_Angeles",13,0,"Levi's Stadium",TRUE,-121.969,37.4023,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"159","2018-09-07","2018-09-07_08.07.42",FALSE,0.935,"https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126","","2018-04-20T00:47:56",FALSE,"2018-11-16T05:20:00","2018-04-20T00:00:00","normal","2018-11-16T01:20:00","nfl",4347126,"Green Bay Packers at Seattle Seahawks",0.908,"Packers at Seahawks",FALSE,"2018-11-15T17:20:00",FALSE,NA,2533,266,662.2,266,924,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Seattle, WA 98134","Seattle, WA","centurylink-field","800 Occidental Ave S",0.87232786,"https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field","98134","WA","Seattle","US",339,"America/Los_Angeles",14,0,"CenturyLink Field",TRUE,-122.33,47.6,"QRCODE","2018-03-02T22:54:54Z",FALSE
"160","2018-09-07","2018-09-07_08.07.42",FALSE,0.395,"https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-12-pm/4281956","","2018-02-28T15:00:12",FALSE,"2018-11-17T22:00:00","2018-02-28T00:00:00","normal","2018-11-17T18:00:00","ncaa_football",4281956,"South Alabama Jaguars at Louisiana Ragin Cajuns Football",0.432,"South Alabama at Louisiana",FALSE,"2018-11-17T12:00:00",FALSE,NA,84,54,65.31,54,162,NA,NA,NA,"Lafayette, LA 70506","Lafayette, LA","cajun-field","201 Rhienhardt Drive",0.43303972,"https://seatgeek.com/venues/cajun-field/tickets","Cajun Field","70506","LA","Lafayette","US",2796,"America/Chicago",5,0,"Cajun Field",TRUE,-92.04,30.22,NA,NA,NA
"161","2018-09-07","2018-09-07_08.07.42",FALSE,0.819,"https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068","","2018-04-20T00:47:45",FALSE,"2018-11-18T22:00:00","2018-04-20T00:00:00","normal","2018-11-18T18:00:00","nfl",4347068,"Cincinnati Bengals at Baltimore Ravens",0.812,"Bengals at Ravens",FALSE,"2018-11-18T13:00:00",FALSE,NA,833,43,190.32,43,2675,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Baltimore, MD 21230","Baltimore, MD","m-t-bank-stadium","1101 Russell St",0.8927189,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","21230","MD","Baltimore","US",1121,"America/New_York",9,0,"M&T Bank Stadium",TRUE,-76.623,39.2774,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"162","2018-09-07","2018-09-07_08.07.42",FALSE,0.886,"https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005","","2018-04-20T00:47:32",FALSE,"2018-11-18T22:00:00","2018-04-20T00:00:00","normal","2018-11-18T18:00:00","nfl",4347005,"Minnesota Vikings at Chicago Bears",0.869,"Vikings at Bears",FALSE,"2018-11-18T12:00:00",FALSE,NA,1969,98,378.84,98,1873,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Chicago, IL 60605","Chicago, IL","soldier-field","1410 S. Museum Campus Drive",0.940013,"https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","60605","IL","Chicago","US",31,"America/Chicago",12,0,"Soldier Field",TRUE,-87.6159,41.8623,"NONE","2018-06-02T00:44:08Z",FALSE
"163","2018-09-07","2018-09-07_08.07.42",FALSE,0.92,"https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049","","2018-04-20T00:47:41",FALSE,"2018-11-18T22:00:00","2018-04-20T00:00:00","normal","2018-11-18T18:00:00","nfl",4347049,"Dallas Cowboys at Atlanta Falcons",0.903,"Cowboys at Falcons",FALSE,"2018-11-18T13:00:00",FALSE,NA,2946,213,534.64,213,1608,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Atlanta, GA 30313","Atlanta, GA","mercedes-benz-stadium","441 M.L.K. Jr Dr NW",0.76958936,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Mercedes-Benz Stadium","30313","GA","Atlanta","US",419590,"America/New_York",15,0,"Mercedes-Benz Stadium",TRUE,-84.4,33.76,"QRCODE","2018-08-23T20:14:46Z",FALSE
"164","2018-09-07","2018-09-07_08.07.42",FALSE,0.883,"https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969","","2018-04-20T00:47:25",FALSE,"2018-11-18T22:00:00","2018-04-20T00:00:00","normal","2018-11-18T18:00:00","nfl",4346969,"Philadelphia Eagles at New Orleans Saints",0.866,"Eagles at Saints",FALSE,"2018-11-18T12:00:00",TRUE,NA,123594,160,488.57,160,1309,"QRCODE","2018-05-29T20:39:16Z",FALSE,"New Orleans, LA 70112","New Orleans, LA","mercedes-benz-superdome","1500 Sugar Bowl Drive",0.8966978,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","70112","LA","New Orleans","US",128,"America/Chicago",20,0,"Mercedes-Benz Superdome",TRUE,-90.0786,29.9515,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
