"","date","timestamp","date_tbd","created_at","popularity","visible_until_utc","description","datetime_local","datetime_utc","type","id","score","status","title","time_tbd","url","announce_date","short_title","datetime_tbd","is_open","general_admission","lowest_price","listing_count","highest_price","visible_listing_count","lowest_price_good_deals","average_price","median_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","address","state","popularity_venue","city","country","postal_code","timezone","num_upcoming_events","id_venue","score_venue","slug","extended_address","metro_code","display_location","name_v2","name","url_venue","has_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"186","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:29",0.781,"2018-12-23T21:00:00","","2018-12-23T12:00:00","2018-12-23T17:00:00","nfl",4346986,0.812,"normal","Washington Redskins at Tennessee Titans",FALSE,"https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986","2018-04-20T00:00:00","Redskins at Titans",FALSE,FALSE,NA,36,696,780,836,36,141.74425,119,"QRCODE",FALSE,"2018-08-24T21:53:43Z","1 Titans Way","TN",0,"Nashville","US","37213","America/New_York",16,1126,0.8546275,"nissan-stadium","Nashville, TN 37213",659,"Nashville, TN","Nissan Stadium","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets",TRUE,-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"187","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:31",0.803,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4346994,0.834,"normal","Cincinnati Bengals at Cleveland Browns",FALSE,"https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994","2018-04-20T00:00:00","Bengals at Browns",FALSE,FALSE,NA,35,1405,757,1614,33,101.88114,87,"QRCODE",FALSE,"2018-08-24T21:53:43Z","100 Alfred Lerner Way","OH",0,"Cleveland","US","44114","America/New_York",6,1123,0.86852187,"firstenergy-stadium-15","Cleveland, OH 44114",510,"Cleveland, OH","FirstEnergy Stadium","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",TRUE,-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"188","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:35",0.829,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4347013,0.863,"normal","Houston Texans at Philadelphia Eagles",FALSE,"https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013","2018-04-20T00:00:00","Texans at Eagles",FALSE,FALSE,NA,146,662,1339,1168,120,328.63596,278,"QRCODE",FALSE,"2018-08-24T21:53:43Z","1020 Pattison Ave","PA",0,"Philadelphia","US","19148","America/New_York",14,330,0.90542686,"lincoln-financial-field","Philadelphia, PA 19148",504,"Philadelphia, PA","Lincoln Financial Field","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets",TRUE,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"189","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:41",0.821,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4347046,0.856,"normal","Atlanta Falcons at Carolina Panthers",FALSE,"https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046","2018-04-20T00:00:00","Falcons at Panthers",FALSE,FALSE,NA,85,556,1025,1008,84,236.34892,180,"QRCODE",FALSE,"2018-08-24T21:53:43Z","800 South Mint Street","NC",0,"Charlotte","US","28202","America/New_York",8,1122,0.8968222,"bank-of-america-stadium","Charlotte, NC 28202",517,"Charlotte, NC","Bank of America Stadium","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets",TRUE,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"190","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:22",0.891,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4346959,0.933,"normal","Green Bay Packers at New York Jets",FALSE,"https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959","2018-04-20T00:00:00","Packers at Jets",FALSE,FALSE,NA,96,871,1350,1104,90,272.1722,239,"QRCODE",FALSE,"2018-08-24T21:53:43Z","1 MetLife Stadium Drive","NJ",0,"East Rutherford","US","07073","America/New_York",16,1587,0.94873494,"metlife-stadium","East Rutherford, NJ 07073",501,"East Rutherford, NJ","MetLife Stadium","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"191","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:36",0.878,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4347022,0.908,"normal","Minnesota Vikings at Detroit Lions",FALSE,"https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022","2018-04-20T00:00:00","Vikings at Lions",FALSE,FALSE,NA,70,698,2392,949,74,196.52722,167,"QRCODE",FALSE,"2018-08-24T21:53:43Z","2000 Brush St.","MI",0,"Detroit","US","48226","America/Detroit",11,346,0.9029952,"ford-field","Detroit, MI 48226",505,"Detroit, MI","Ford Field","Ford Field","https://seatgeek.com/venues/ford-field/tickets",TRUE,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"192","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:48",0.78,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4347085,0.825,"normal","Jacksonville Jaguars at Miami Dolphins",FALSE,"https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085","2018-04-20T00:00:00","Jaguars at Dolphins",FALSE,FALSE,NA,56,291,899,885,56,184.6976,139,"QRCODE",FALSE,"2018-08-24T21:53:43Z","347 Don Shula Dr.","FL",0,"Miami Gardens","US","33056","America/New_York",35,29,0.8378203,"hard-rock-stadium","Miami Gardens, FL 33056",528,"Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets",TRUE,-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"193","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:50",0.867,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4347093,0.895,"normal","Buffalo Bills at New England Patriots",FALSE,"https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093","2018-04-20T00:00:00","Bills at Patriots",FALSE,FALSE,NA,167,230,1114,692,167,359.86087,279,"QRCODE",FALSE,"2018-08-24T21:53:43Z","1 Patriot Place","MA",0,"Foxborough","US","02035","America/New_York",15,33,0.8983344,"gillette-stadium","Foxborough, MA 02035",506,"Foxborough, MA","Gillette Stadium","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets",TRUE,-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"194","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:20",0.826,"2018-12-23T22:00:00","","2018-12-23T13:00:00","2018-12-23T18:00:00","nfl",4346954,0.856,"normal","New York Giants at Indianapolis Colts",FALSE,"https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954","2018-04-20T00:00:00","Giants at Colts",FALSE,FALSE,NA,36,742,601,1020,37,126.78033,107,"QRCODE",FALSE,"2018-08-24T21:53:42Z","500 South Capitol Avenue","IN",0,"Indianapolis","US","46225","America/Indiana/Indianapolis",13,1130,0.9071682,"lucas-oil-stadium","Indianapolis, IN 46225",527,"Indianapolis, IN","Lucas Oil Stadium","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets",TRUE,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"195","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-05T23:08:46",0.86,"2018-12-23T22:00:00","","2018-12-23T12:00:00","2018-12-23T18:00:00","nfl",4327918,0.903,"normal","Tampa Bay Buccaneers at Dallas Cowboys",FALSE,"https://seatgeek.com/buccaneers-at-cowboys-tickets/12-23-2018-arlington-texas-at-t-stadium/nfl/4327918","2018-04-05T00:00:00","Buccaneers at Cowboys",FALSE,TRUE,NA,NA,3823,4309,3037,NA,289.64688,230,"QRCODE",FALSE,"2018-04-17T22:02:33Z","1 AT&T Way","TX",0,"Arlington","US","76011","America/Chicago",20,4965,0.9751414,"at-t-stadium","Arlington, TX 76011",623,"Arlington, TX","AT&T Stadium","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets",TRUE,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"196","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:50",0.829,"2018-12-24T01:05:00","","2018-12-23T14:05:00","2018-12-23T21:05:00","nfl",4347097,0.861,"normal","Los Angeles Rams at Arizona Cardinals",FALSE,"https://seatgeek.com/rams-at-cardinals-tickets/12-23-2018-glendale-arizona-state-farm-stadium/nfl/4347097","2018-04-20T00:00:00","Rams at Cardinals",FALSE,FALSE,NA,33,1264,6034,1432,33,130.44778,98,"QRCODE",FALSE,"2018-08-24T21:53:43Z","1 Cardinals Drive","AZ",0,"Glendale","US","85305","America/Phoenix",10,43,0.93402725,"state-farm-stadium","Glendale, AZ 85305",753,"Glendale, AZ","State Farm Stadium","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets",TRUE,-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"197","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:54",0.888,"2018-12-24T01:05:00","","2018-12-23T13:05:00","2018-12-23T21:05:00","nfl",4347116,0.926,"normal","Chicago Bears at San Francisco 49ers",FALSE,"https://seatgeek.com/bears-at-49ers-tickets/12-23-2018-santa-clara-california-levi-s-stadium/nfl/4347116","2018-04-20T00:00:00","Bears at 49ers",FALSE,FALSE,NA,73,1071,2989,1331,64,215.28477,197,"QRCODE",FALSE,"2018-08-24T21:53:43Z","4900 Marie P DeBartolo Way","CA",0,"Santa Clara","US","95054","America/Los_Angeles",13,58670,0.95768774,"levi-s-stadium","Santa Clara, CA 95054",0,"Santa Clara, CA","Levi's Stadium","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets",TRUE,-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"198","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:52",0.841,"2018-12-24T01:05:00","","2018-12-23T13:05:00","2018-12-23T21:05:00","nfl",4347106,0.887,"normal","Baltimore Ravens at Los Angeles Chargers",FALSE,"https://seatgeek.com/ravens-at-chargers-tickets/12-23-2018-carson-california-stubhub-center/nfl/4347106","2018-04-20T00:00:00","Ravens at Chargers",FALSE,FALSE,NA,130,424,1198,489,116,241.1651,196,"QRCODE",FALSE,"2018-08-24T21:53:43Z","18400 Avalon Blvd","CA",0,"Carson","US","90746","America/Los_Angeles",14,52,0.7228164,"stubhub-center","Carson, CA 90746",803,"Carson, CA","StubHub Center","StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets",TRUE,-118.261,33.8643,NA,NA,NA
"199","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:24",0.849,"2018-12-24T01:25:00","","2018-12-23T15:25:00","2018-12-23T21:25:00","nfl",4346967,0.892,"normal","Pittsburgh Steelers at New Orleans Saints",FALSE,"https://seatgeek.com/steelers-at-saints-tickets/12-23-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346967","2018-04-20T00:00:00","Steelers at Saints",FALSE,TRUE,NA,129,1558,2400,1387,129,355.80487,338,"QRCODE",FALSE,"2018-05-29T20:39:33Z","1500 Sugar Bowl Drive","LA",0,"New Orleans","US","70112","America/Chicago",17,128,0.8966978,"mercedes-benz-superdome","New Orleans, LA 70112",622,"New Orleans, LA","Mercedes-Benz Superdome","Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",TRUE,-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"200","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:55",0.837,"2018-12-24T05:20:00","","2018-12-23T17:20:00","2018-12-24T01:20:00","nfl",4347121,0.874,"normal","Kansas City Chiefs at Seattle Seahawks",FALSE,"https://seatgeek.com/chiefs-at-seahawks-tickets/12-23-2018-seattle-washington-centurylink-field/nfl/4347121","2018-04-20T00:00:00","Chiefs at Seahawks",FALSE,FALSE,NA,119,412,1166,891,114,328.35193,301,"QRCODE",FALSE,"2018-08-24T21:53:43Z","800 Occidental Ave S","WA",0,"Seattle","US","98134","America/Los_Angeles",12,339,0.87232786,"centurylink-field","Seattle, WA 98134",819,"Seattle, WA","CenturyLink Field","CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets",TRUE,-122.33,47.6,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"201","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T01:04:24",0.824,"2018-12-25T05:15:00","","2018-12-24T17:15:00","2018-12-25T01:15:00","nfl",4347150,0.87,"normal","Denver Broncos at Oakland Raiders",FALSE,"https://seatgeek.com/broncos-at-raiders-tickets/12-24-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347150","2018-04-20T00:00:00","Broncos at Raiders",FALSE,FALSE,NA,74,783,2091,1119,68,199.98212,196,"QRCODE",FALSE,"2018-08-24T21:53:43Z","7000 Coliseum Way","CA",0,"Oakland","US","94621","America/Los_Angeles",20,14,0.7817843,"oakland-alameda-county-coliseum","Oakland, CA 94621",807,"Oakland, CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",TRUE,-122.201,37.7469,"PDF417",FALSE,"2015-06-24T00:00:00Z"
