"","date","timestamp","title","url","type","date_tbd","datetime_tbd","visible_until_utc","datetime_utc","short_title","status","time_tbd","datetime_local","is_open","announce_date","description","popularity","score","id","created_at","general_admission","highest_price","lowest_price_good_deals","lowest_price","listing_count","average_price","visible_listing_count","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","state","url_venue","extended_address","address","name","metro_code","timezone","name_v2","country","slug","postal_code","city","display_location","popularity_venue","has_upcoming_events","score_venue","num_upcoming_events","id_venue","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"117","2018-09-24","2018-09-24_08.02.47","Tennessee Titans at Indianapolis Colts","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957","nfl",FALSE,FALSE,"2018-11-18T22:00:00","2018-11-18T18:00:00","Titans at Colts","normal",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00","",0.846,0.859,4346957,"2018-04-20T00:47:22",NA,440,28,28,764,106.81,NA,NA,"QRCODE","2018-08-24T21:53:40Z",FALSE,"IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN 46225","500 South Capitol Avenue","Lucas Oil Stadium",527,"America/Indiana/Indianapolis","Lucas Oil Stadium","US","lucas-oil-stadium","46225","Indianapolis","Indianapolis, IN",0,TRUE,0.9071682,14,1130,39.7601,-86.1639,"QRCODE_TM","2018-09-13T22:29:37Z",FALSE
"118","2018-09-24","2018-09-24_08.02.47","Tampa Bay Buccaneers at New York Giants","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929","nfl",FALSE,FALSE,"2018-11-18T22:00:00","2018-11-18T18:00:00","Buccaneers at Giants","normal",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00","",0.885,0.917,4346929,"2018-04-20T00:47:16",NA,1289,97,99,622,239.62701,1141,192,"QRCODE","2018-08-24T21:53:40Z",FALSE,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","1 MetLife Stadium Drive","MetLife Stadium",501,"America/New_York","MetLife Stadium","US","metlife-stadium","07073","East Rutherford","East Rutherford, NJ",0,TRUE,0.94873494,16,1587,40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"119","2018-09-24","2018-09-24_08.02.47","Houston Texans at Washington Redskins","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939","nfl",FALSE,FALSE,"2018-11-18T22:00:00","2018-11-18T18:00:00","Texans at Redskins","normal",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00","",0.886,0.911,4346939,"2018-04-20T00:47:17",NA,462,77,78,875,166.33029,1200,150,"QRCODE","2018-08-24T21:53:40Z",FALSE,"MD","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","1600 Fedex Way","FedEx Field",511,"America/New_York","FedEx Field","US","fedex-field","20785","Landover","Landover, MD",0,TRUE,0.9333444,6,35,38.9071,-76.8658,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"120","2018-09-24","2018-09-24_08.02.47","Oakland Raiders at Arizona Cardinals","https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100","nfl",FALSE,FALSE,"2018-11-19T01:05:00","2018-11-18T21:05:00","Raiders at Cardinals","normal",FALSE,"2018-11-18T14:05:00",FALSE,"2018-04-20T00:00:00","",0.91,0.936,4347100,"2018-04-20T00:47:51",NA,848,99,109,545,263.06604,968,243,"QRCODE","2018-08-24T21:53:40Z",FALSE,"AZ","https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ 85305","1 Cardinals Drive","State Farm Stadium",753,"America/Phoenix","State Farm Stadium","US","state-farm-stadium","85305","Glendale","Glendale, AZ",0,TRUE,0.93402725,10,43,33.5294,-112.262,"NONE","2015-12-21T17:26:05Z",FALSE
"121","2018-09-24","2018-09-24_08.02.47","Denver Broncos at Los Angeles Chargers","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110","nfl",FALSE,FALSE,"2018-11-19T01:05:00","2018-11-18T21:05:00","Broncos at Chargers","normal",FALSE,"2018-11-18T13:05:00",FALSE,"2018-04-20T00:00:00","",0.911,0.954,4347110,"2018-04-20T00:47:52",NA,738,182,187,403,278.63522,527,236,"QRCODE","2018-08-24T21:53:40Z",FALSE,"CA","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA 90746","18400 Avalon Blvd","StubHub Center",803,"America/Los_Angeles","StubHub Center","US","stubhub-center","90746","Carson","Carson, CA",0,TRUE,0.7228164,14,52,33.8643,-118.261,NA,NA,NA
"122","2018-09-24","2018-09-24_08.02.47","Pittsburgh Steelers at Jacksonville Jaguars","https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947","nfl",FALSE,FALSE,"2018-11-19T05:20:00","2018-11-19T01:20:00","Steelers at Jaguars","normal",FALSE,"2018-11-18T20:20:00",FALSE,"2018-04-20T00:00:00","",0.852,0.884,4346947,"2018-04-20T00:47:19",NA,789,138,138,462,347.684,805,307,"QRCODE","2018-08-24T21:53:40Z",FALSE,"FL","https://seatgeek.com/venues/everbank-field/tickets","Jacksonville, FL 32202","1 Everbank Field Dr","EverBank Field",561,"America/New_York","EverBank Field","US","everbank-field","32202","Jacksonville","Jacksonville, FL",0,TRUE,0.83759147,8,5178,30.3239,-81.6373,"QRCODE_TM","2015-10-17T20:03:42Z",FALSE
"123","2018-09-24","2018-09-24_08.02.47","Kansas City Chiefs at Los Angeles Rams","https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137","nfl",FALSE,FALSE,"2018-11-20T05:15:00","2018-11-20T01:15:00","Chiefs at Rams","normal",FALSE,"2018-11-19T19:15:00",FALSE,"2018-04-20T00:00:00","",0.89,0.923,4347137,"2018-04-20T01:04:04",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE","2018-08-24T21:53:40Z",FALSE,NA,"https://seatgeek.com/venues/estadio-azteca-2/tickets","Mexico City, Mexico","Calzada de Tlalpan 3665","Estadio Azteca",0,"America/Mexico_City","Estadio Azteca","Mexico","estadio-azteca-2","04650","Mexico City","Mexico City, Mexico",0,TRUE,0,1,41952,19.3,-99.15,NA,NA,NA
"124","2018-09-24","2018-09-24_08.02.47","Chicago Bears at Detroit Lions","https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024","nfl",FALSE,FALSE,"2018-11-22T21:30:00","2018-11-22T17:30:00","Bears at Lions","normal",FALSE,"2018-11-22T12:30:00",FALSE,"2018-04-20T00:00:00","",0.912,0.943,4347024,"2018-04-20T00:47:36",NA,2392,104,97,615,220.57399,874,182,"QRCODE","2018-08-24T21:53:40Z",FALSE,"MI","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI 48226","2000 Brush St.","Ford Field",505,"America/Detroit","Ford Field","US","ford-field","48226","Detroit","Detroit, MI",0,TRUE,0.9029952,11,346,42.34,-83.0459,"NONE","2015-11-04T17:31:52Z",FALSE
"125","2018-09-24","2018-09-24_08.02.47","Washington Redskins at Dallas Cowboys","https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921","nfl",FALSE,FALSE,"2018-11-23T01:30:00","2018-11-22T21:30:00","Redskins at Cowboys","normal",FALSE,"2018-11-22T15:30:00",TRUE,"2018-04-05T00:00:00","",0.926,0.969,4327921,"2018-04-05T23:08:47",NA,3375,36,37,3104,390.3579,2560,321,"QRCODE","2018-04-17T22:02:33Z",FALSE,"TX","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX 76011","1 AT&T Way","AT&T Stadium",623,"America/Chicago","AT&T Stadium","US","at-t-stadium","76011","Arlington","Arlington, TX",0,TRUE,0.9751414,23,4965,32.7459,-97.0957,"QRCODE","2018-04-17T22:02:33Z",FALSE
"126","2018-09-24","2018-09-24_08.02.47","Atlanta Falcons at New Orleans Saints","https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968","nfl",FALSE,FALSE,"2018-11-23T05:20:00","2018-11-23T01:20:00","Falcons at Saints","normal",FALSE,"2018-11-22T19:20:00",TRUE,"2018-04-20T00:00:00","",0.868,0.898,4346968,"2018-04-20T00:47:24",NA,4200,120,120,1319,322.301,1176,300,"QRCODE","2018-05-29T20:39:22Z",FALSE,"LA","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA 70112","1500 Sugar Bowl Drive","Mercedes-Benz Superdome",622,"America/Chicago","Mercedes-Benz Superdome","US","mercedes-benz-superdome","70112","New Orleans","New Orleans, LA",0,TRUE,0.8966978,17,128,29.9515,-90.0786,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
