"","date","timestamp","datetime_utc","description","id","status","short_title","datetime_local","time_tbd","score","datetime_tbd","announce_date","title","visible_until_utc","is_open","url","created_at","date_tbd","type","popularity","general_admission","lowest_price_good_deals","average_price","listing_count","highest_price","lowest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","name_v2","score_venue","postal_code","city","display_location","id_venue","extended_address","state","address","popularity_venue","has_upcoming_events","country","num_upcoming_events","name","timezone","url_venue","slug","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"142","2018-09-06","2018-09-06_16.00.13","2018-11-05T01:00:00","",4494650,"normal","Alex G","2018-11-04T19:00:00",FALSE,0.555,FALSE,"2018-08-23T00:00:00","Alex G","2018-11-05T05:00:00",FALSE,"https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650","2018-08-23T19:51:10",FALSE,"concert",0.591,TRUE,NA,125.46,24,562,59,NA,NA,NA,"Thalia Hall",0.51888376,"60608","Chicago","Chicago, IL",60271,"Chicago, IL 60608","IL","1807 S Allport St",0,TRUE,"US",58,"Thalia Hall","America/Chicago","https://seatgeek.com/venues/thalia-hall/tickets","thalia-hall",41.8577,-87.6575,NA,NA,NA
"143","2018-09-06","2018-09-06_16.00.13","2018-11-05T01:20:00","",4347089,"normal","Packers at Patriots","2018-11-04T20:20:00",FALSE,0.987,FALSE,"2018-04-20T00:00:00","Green Bay Packers at New England Patriots","2018-11-05T05:20:00",FALSE,"https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089","2018-04-20T00:47:49",FALSE,"nfl",0.904,NA,458,1127.27,1189,12094,458,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Gillette Stadium",0.8983344,"02035","Foxborough","Foxborough, MA",33,"Foxborough, MA 02035","MA","1 Patriot Place",0,TRUE,"US",14,"Gillette Stadium","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium",42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"144","2018-09-06","2018-09-06_16.00.13","2018-11-06T01:15:00","",4327922,"normal","Titans at Cowboys","2018-11-05T19:15:00",FALSE,0.949,FALSE,"2018-04-05T00:00:00","Tennessee Titans at Dallas Cowboys","2018-11-06T05:15:00",TRUE,"https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922","2018-04-05T23:08:47",FALSE,"nfl",0.865,NA,28,295.04,3572,6036,28,"QRCODE","2018-04-17T22:02:33Z",FALSE,"AT&T Stadium",0.9751414,"76011","Arlington","Arlington, TX",4965,"Arlington, TX 76011","TX","1 AT&T Way",0,TRUE,"US",25,"AT&T Stadium","America/Chicago","https://seatgeek.com/venues/at-t-stadium/tickets","at-t-stadium",32.7459,-97.0957,"QRCODE","2018-04-17T22:02:33Z",FALSE
"145","2018-09-06","2018-09-06_16.00.13","2018-11-09T01:20:00","",4347075,"normal","Panthers at Steelers","2018-11-08T20:20:00",FALSE,0.879,FALSE,"2018-04-20T00:00:00","Carolina Panthers at Pittsburgh Steelers","2018-11-09T05:20:00",FALSE,"https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075","2018-04-20T00:47:46",FALSE,"nfl",0.801,NA,90,258.87,1684,2422,90,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Heinz Field",0.9033526,"15212","Pittsburgh","Pittsburgh, PA",1119,"Pittsburgh, PA 15212","PA","100 Art Rooney Avenue",0,TRUE,"US",13,"Heinz Field","America/New_York","https://seatgeek.com/venues/heinz-field/tickets","heinz-field",40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"146","2018-09-06","2018-09-06_16.00.13","2018-11-11T17:00:00","",4346990,"normal","Patriots at Titans","2018-11-11T12:00:00",FALSE,0.928,FALSE,"2018-04-20T00:00:00","New England Patriots at Tennessee Titans","2018-11-11T21:00:00",FALSE,"https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990","2018-04-20T00:47:30",FALSE,"nfl",0.842,NA,267,621.11,822,12607,267,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Nissan Stadium",0.8546275,"37213","Nashville","Nashville, TN",1126,"Nashville, TN 37213","TN","1 Titans Way",0,TRUE,"US",16,"Nissan Stadium","America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium",36.1665,-86.7713,"NONE","2015-10-19T15:09:39Z",FALSE
"147","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4346980,"normal","Cardinals at Chiefs","2018-11-11T12:00:00",FALSE,0.863,FALSE,"2018-04-20T00:00:00","Arizona Cardinals at Kansas City Chiefs","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980","2018-04-20T00:47:27",FALSE,"nfl",0.786,NA,43,162.56,1406,1047,41,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Arrowhead Stadium",0.8827867,"64129","Kansas City","Kansas City, MO",1128,"Kansas City, MO 64129","MO","1 Arrowhead Drive",0,TRUE,"US",10,"Arrowhead Stadium","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"148","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4347040,"normal","Saints at Bengals","2018-11-11T13:00:00",FALSE,0.858,FALSE,"2018-04-20T00:00:00","New Orleans Saints at Cincinnati Bengals","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040","2018-04-20T00:47:40",FALSE,"nfl",0.78,NA,51,148.72,1544,1109,51,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Paul Brown Stadium",0.86166537,"45202","Cincinnati","Cincinnati, OH",1124,"Cincinnati, OH 45202","OH","1 Paul Brown Stadium",0,TRUE,"US",9,"Paul Brown Stadium","America/New_York","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium",39.0961,-84.5177,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"149","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4347006,"normal","Lions at Bears","2018-11-11T12:00:00",FALSE,0.892,FALSE,"2018-04-20T00:00:00","Detroit Lions at Chicago Bears","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006","2018-04-20T00:47:32",FALSE,"nfl",0.81,NA,98,359.73,1810,1969,98,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Soldier Field",0.940013,"60605","Chicago","Chicago, IL",31,"Chicago, IL 60605","IL","1410 S. Museum Campus Drive",0,TRUE,"US",12,"Soldier Field","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets","soldier-field",41.8623,-87.6159,"NONE","2018-06-02T00:44:08Z",FALSE
"150","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4346958,"normal","Jaguars at Colts","2018-11-11T13:00:00",FALSE,0.842,FALSE,"2018-04-20T00:00:00","Jacksonville Jaguars at Indianapolis Colts","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958","2018-04-20T00:47:22",FALSE,"nfl",0.775,NA,33,168.7,2322,6154,33,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Lucas Oil Stadium",0.9071682,"46225","Indianapolis","Indianapolis, IN",1130,"Indianapolis, IN 46225","IN","500 South Capitol Avenue",0,TRUE,"US",14,"Lucas Oil Stadium","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium",39.7601,-86.1639,"QRCODE_TM","2015-08-22T16:51:43Z",FALSE
"151","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4346930,"normal","Redskins at Buccaneers","2018-11-11T13:00:00",FALSE,0.865,FALSE,"2018-04-20T00:00:00","Washington Redskins at Tampa Bay Buccaneers","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930","2018-04-20T00:47:16",FALSE,"nfl",0.785,NA,75,250.26,1059,1268,75,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Raymond James Stadium",0.86513025,"33607","Tampa","Tampa, FL",39,"Tampa, FL 33607","FL","4201 North Dale Mabry Highway",0,TRUE,"US",16,"Raymond James Stadium","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium",27.9753,-82.5034,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
"152","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4346996,"normal","Falcons at Browns","2018-11-11T13:00:00",FALSE,0.846,FALSE,"2018-04-20T00:00:00","Atlanta Falcons at Cleveland Browns","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996","2018-04-20T00:47:31",FALSE,"nfl",0.777,NA,31,126.19,2435,1176,31,"QRCODE","2018-08-24T21:53:40Z",FALSE,"FirstEnergy Stadium",0.86852187,"44114","Cleveland","Cleveland, OH",1123,"Cleveland, OH 44114","OH","100 Alfred Lerner Way",0,TRUE,"US",8,"FirstEnergy Stadium","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15",41.5065,-81.7,"NONE","2015-11-11T20:55:31Z",FALSE
"153","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4347060,"normal","Bills at Jets","2018-11-11T13:00:00",FALSE,0.886,FALSE,"2018-04-20T00:00:00","Buffalo Bills at New York Jets","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060","2018-04-20T00:47:43",FALSE,"nfl",0.801,NA,36,176.22,2413,6158,36,"QRCODE","2018-08-24T21:53:40Z",FALSE,"MetLife Stadium",0.94873494,"07073","East Rutherford","East Rutherford, NJ",1587,"East Rutherford, NJ 07073","NJ","1 MetLife Stadium Drive",0,TRUE,"US",21,"MetLife Stadium","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"154","2018-09-06","2018-09-06_16.00.13","2018-11-11T18:00:00","",4346912,"normal","Dolphins at Packers","2018-11-11T12:00:00",FALSE,0.905,FALSE,"2018-04-20T00:00:00","Miami Dolphins at Green Bay Packers","2018-11-11T22:00:00",FALSE,"https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912","2018-04-20T00:47:13",FALSE,"nfl",0.827,NA,193,408.5,1208,1861,193,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Lambeau Field",0.92909414,"54304","Green Bay","Green Bay, WI",1125,"Green Bay, WI 54304","WI","1265 Lombardi Avenue",0,TRUE,"US",8,"Lambeau Field","America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field",44.5013,-88.0622,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"155","2018-09-06","2018-09-06_16.00.13","2018-11-11T21:05:00","",4347130,"normal","Chargers at Raiders","2018-11-11T13:05:00",FALSE,0.871,FALSE,"2018-04-20T00:00:00","Los Angeles Chargers at Oakland Raiders","2018-11-12T01:05:00",FALSE,"https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130","2018-04-20T00:47:56",FALSE,"nfl",0.79,NA,96,242.6,1391,1268,96,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Oakland-Alameda County Coliseum",0.7817843,"94621","Oakland","Oakland, CA",14,"Oakland, CA 94621","CA","7000 Coliseum Way",0,TRUE,"US",30,"Oakland-Alameda County Coliseum","America/Los_Angeles","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","oakland-alameda-county-coliseum",37.7469,-122.201,"PDF417","2015-06-24T00:00:00Z",FALSE
"156","2018-09-06","2018-09-06_16.00.13","2018-11-11T21:25:00","",4346920,"normal","Seahawks at Rams","2018-11-11T13:25:00",FALSE,0.876,FALSE,"2018-04-20T00:00:00","Seattle Seahawks at Los Angeles Rams","2018-11-12T01:25:00",FALSE,"https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920","2018-04-20T00:47:14",FALSE,"nfl",0.796,NA,54,196.03,2325,2783,54,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Los Angeles Memorial Coliseum",0.86898464,"90037","Los Angeles","Los Angeles, CA",51012,"Los Angeles, CA 90037","CA","3911 S Figueroa St",0,TRUE,"US",14,"Los Angeles Memorial Coliseum","America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1",34.01,-118.29,"QRCODE","2018-08-23T17:59:28Z",FALSE
"157","2018-09-06","2018-09-06_16.00.13","2018-11-12T00:00:00","",4500554,"normal","Alex G with Half Waif","2018-11-11T19:00:00",FALSE,0.466,FALSE,"2018-08-23T00:00:00","Alex G with Half Waif","2018-11-12T04:00:00",FALSE,"https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","2018-08-23T20:13:51",FALSE,"concert",0.5,TRUE,NA,180.64,11,562,45,NA,NA,NA,"Crowbar",0.42424366,"33605","Tampa","Tampa, FL",3160,"Tampa, FL 33605","FL","1812 North 17th Street",0,TRUE,"US",30,"Crowbar","America/New_York","https://seatgeek.com/venues/crowbar-2/tickets","crowbar-2",27.9608,-82.4406,NA,NA,NA
"158","2018-09-06","2018-09-06_16.00.13","2018-11-12T01:20:00","",4347031,"normal","Cowboys at Eagles","2018-11-11T20:20:00",FALSE,0.951,FALSE,"2018-04-20T00:00:00","Dallas Cowboys at Philadelphia Eagles","2018-11-12T05:20:00",FALSE,"https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","2018-04-20T00:47:38",FALSE,"nfl",0.858,NA,144,527.68,1847,7171,144,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Lincoln Financial Field",0.90542686,"19148","Philadelphia","Philadelphia, PA",330,"Philadelphia, PA 19148","PA","1020 Pattison Ave",0,TRUE,"US",18,"Lincoln Financial Field","America/New_York","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field",39.9046,-75.1675,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"159","2018-09-06","2018-09-06_16.00.13","2018-11-13T01:15:00","",4347117,"normal","Giants at 49ers","2018-11-12T17:15:00",FALSE,0.915,FALSE,"2018-04-20T00:00:00","New York Giants at San Francisco 49ers","2018-11-13T05:15:00",FALSE,"https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","2018-04-20T00:47:54",FALSE,"nfl",0.826,NA,79,272.14,1879,3694,79,"QRCODE","2018-08-24T21:53:40Z",FALSE,"Levi's Stadium",0.95768774,"95054","Santa Clara","Santa Clara, CA",58670,"Santa Clara, CA 95054","CA","4900 Marie P DeBartolo Way",0,TRUE,"US",13,"Levi's Stadium","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium",37.4023,-121.969,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
