"","date","timestamp","datetime_utc","popularity","short_title","created_at","time_tbd","id","description","visible_until_utc","datetime_tbd","url","is_open","datetime_local","type","announce_date","date_tbd","status","title","score","general_admission","median_price","visible_listing_count","listing_count","lowest_price","highest_price","average_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","display_location","id_venue","has_upcoming_events","state","country","slug","city","postal_code","timezone","name_v2","num_upcoming_events","name","score_venue","url_venue","address","extended_address","popularity_venue","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"156","2018-09-09","2018-09-09_11.16.59","2018-11-12T01:20:00",0.887,"Cowboys at Eagles","2018-04-20T00:47:38",FALSE,4347031,"","2018-11-12T05:20:00",FALSE,"https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031",FALSE,"2018-11-11T20:20:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Dallas Cowboys at Philadelphia Eagles",0.976,NA,NA,NA,447,165,7263,507.78,165,FALSE,"2018-08-24T21:53:40Z","QRCODE","Philadelphia, PA",330,TRUE,"PA","US","lincoln-financial-field","Philadelphia","19148","America/New_York","Lincoln Financial Field",16,"Lincoln Financial Field",0.90542686,"https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave","Philadelphia, PA 19148",0,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"157","2018-09-09","2018-09-09_11.16.59","2018-11-13T01:15:00",0.869,"Giants at 49ers","2018-04-20T00:47:54",FALSE,4347117,"","2018-11-13T05:15:00",FALSE,"https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117",FALSE,"2018-11-12T17:15:00","nfl","2018-04-20T00:00:00",FALSE,"normal","New York Giants at San Francisco 49ers",0.952,NA,NA,NA,1005,87,3701,247.92,87,FALSE,"2018-08-24T21:53:40Z","QRCODE","Santa Clara, CA",58670,TRUE,"CA","US","levi-s-stadium","Santa Clara","95054","America/Los_Angeles","Levi's Stadium",13,"Levi's Stadium",0.95768774,"https://seatgeek.com/venues/levi-s-stadium/tickets","4900 Marie P DeBartolo Way","Santa Clara, CA 95054",0,37.4023,-121.969,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"158","2018-09-09","2018-09-09_11.16.59","2018-11-16T01:20:00",0.884,"Packers at Seahawks","2018-04-20T00:47:56",FALSE,4347126,"","2018-11-16T05:20:00",FALSE,"https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126",FALSE,"2018-11-15T17:20:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Green Bay Packers at Seattle Seahawks",0.973,NA,NA,NA,212,287,1809,529.84,297,FALSE,"2018-08-24T21:53:40Z","QRCODE","Seattle, WA",339,TRUE,"WA","US","centurylink-field","Seattle","98134","America/Los_Angeles","CenturyLink Field",14,"CenturyLink Field",0.87232786,"https://seatgeek.com/venues/centurylink-field/tickets","800 Occidental Ave S","Seattle, WA 98134",0,47.6,-122.33,FALSE,"2018-03-02T22:54:54Z","QRCODE"
"159","2018-09-09","2018-09-09_11.16.59","2018-11-17T18:00:00",0.464,"South Alabama at Louisiana","2018-02-28T15:00:12",FALSE,4281956,"","2018-11-17T22:00:00",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-12-pm/4281956",FALSE,"2018-11-17T12:00:00","ncaa_football","2018-02-28T00:00:00",FALSE,"normal","South Alabama Jaguars at Louisiana Ragin Cajuns Football",0.465,NA,NA,NA,154,54,84,66.37,54,NA,NA,NA,"Lafayette, LA",2796,TRUE,"LA","US","cajun-field","Lafayette","70506","America/Chicago","Cajun Field",5,"Cajun Field",0.43303972,"https://seatgeek.com/venues/cajun-field/tickets","201 Rhienhardt Drive","Lafayette, LA 70506",0,30.22,-92.04,NA,NA,NA
"160","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.791,"Bengals at Ravens","2018-04-20T00:47:45",FALSE,4347068,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Cincinnati Bengals at Baltimore Ravens",0.853,NA,NA,NA,494,43,550,137.97,43,FALSE,"2018-08-24T21:53:40Z","QRCODE","Baltimore, MD",1121,TRUE,"MD","US","m-t-bank-stadium","Baltimore","21230","America/New_York","M&T Bank Stadium",9,"M&T Bank Stadium",0.8927189,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St","Baltimore, MD 21230",0,39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"161","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.849,"Vikings at Bears","2018-04-20T00:47:32",FALSE,4347005,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005",FALSE,"2018-11-18T12:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Minnesota Vikings at Chicago Bears",0.926,NA,NA,NA,221,101,1197,293.73,101,FALSE,"2018-08-24T21:53:40Z","QRCODE","Chicago, IL",31,TRUE,"IL","US","soldier-field","Chicago","60605","America/Chicago","Soldier Field",12,"Soldier Field",0.940013,"https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive","Chicago, IL 60605",0,41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"162","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.847,"Eagles at Saints","2018-04-20T00:47:25",FALSE,4346969,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969",TRUE,"2018-11-18T12:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Philadelphia Eagles at New Orleans Saints",0.924,NA,NA,NA,1319,160,3000,395.26,160,FALSE,"2018-05-29T20:39:16Z","QRCODE","New Orleans, LA",128,TRUE,"LA","US","mercedes-benz-superdome","New Orleans","70112","America/Chicago","Mercedes-Benz Superdome",20,"Mercedes-Benz Superdome",0.8966978,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","1500 Sugar Bowl Drive","New Orleans, LA 70112",0,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"163","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.856,"Panthers at Lions","2018-04-20T00:47:37",FALSE,4347025,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Carolina Panthers at Detroit Lions",0.927,NA,NA,NA,562,71,901,167.97,71,FALSE,"2018-08-24T21:53:40Z","QRCODE","Detroit, MI",346,TRUE,"MI","US","ford-field","Detroit","48226","America/Detroit","Ford Field",10,"Ford Field",0.9029952,"https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.","Detroit, MI 48226",0,42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"164","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.895,"Cowboys at Falcons","2018-04-20T00:47:41",FALSE,4347049,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Dallas Cowboys at Atlanta Falcons",0.977,NA,NA,NA,670,216,123725,656.29,216,FALSE,"2018-08-24T21:53:40Z","QRCODE","Atlanta, GA",419590,TRUE,"GA","US","mercedes-benz-stadium","Atlanta","30313","America/New_York","Mercedes-Benz Stadium",15,"Mercedes-Benz Stadium",0.76958936,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW","Atlanta, GA 30313",0,33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"165","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.844,"Buccaneers at Giants","2018-04-20T00:47:16",FALSE,4346929,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Tampa Bay Buccaneers at New York Giants",0.925,NA,NA,NA,601,93,1498,262.46,93,FALSE,"2018-08-24T21:53:40Z","QRCODE","East Rutherford, NJ",1587,TRUE,"NJ","US","metlife-stadium","East Rutherford","07073","America/New_York","MetLife Stadium",20,"MetLife Stadium",0.94873494,"https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","East Rutherford, NJ 07073",0,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"166","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.815,"Titans at Colts","2018-04-20T00:47:22",FALSE,4346957,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Tennessee Titans at Indianapolis Colts",0.878,NA,NA,NA,775,31,440,107.77,31,FALSE,"2018-08-24T21:53:40Z","QRCODE","Indianapolis, IN",1130,TRUE,"IN","US","lucas-oil-stadium","Indianapolis","46225","America/Indiana/Indianapolis","Lucas Oil Stadium",14,"Lucas Oil Stadium",0.9071682,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue","Indianapolis, IN 46225",0,39.7601,-86.1639,FALSE,"2015-08-22T16:51:43Z","QRCODE_TM"
"167","2018-09-09","2018-09-09_11.16.59","2018-11-18T18:00:00",0.85,"Texans at Redskins","2018-04-20T00:47:17",FALSE,4346939,"","2018-11-18T22:00:00",FALSE,"https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939",FALSE,"2018-11-18T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Houston Texans at Washington Redskins",0.931,NA,NA,NA,751,84,460,185.01,84,FALSE,"2018-08-24T21:53:40Z","QRCODE","Landover, MD",35,TRUE,"MD","US","fedex-field","Landover","20785","America/New_York","FedEx Field",9,"FedEx Field",0.9333444,"https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way","Landover, MD 20785",0,38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"168","2018-09-09","2018-09-09_11.16.59","2018-11-18T21:05:00",0.873,"Broncos at Chargers","2018-04-20T00:47:52",FALSE,4347110,"","2018-11-19T01:05:00",FALSE,"https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110",FALSE,"2018-11-18T13:05:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Denver Broncos at Los Angeles Chargers",0.968,NA,NA,NA,291,178,767,292.23,178,FALSE,"2018-08-24T21:53:40Z","QRCODE","Carson, CA",52,TRUE,"CA","US","stubhub-center","Carson","90746","America/Los_Angeles","StubHub Center",14,"StubHub Center",0.7228164,"https://seatgeek.com/venues/stubhub-center/tickets","18400 Avalon Blvd","Carson, CA 90746",0,33.8643,-118.261,NA,NA,NA
"169","2018-09-09","2018-09-09_11.16.59","2018-11-18T21:05:00",0.87,"Raiders at Cardinals","2018-04-20T00:47:51",FALSE,4347100,"","2018-11-19T01:05:00",FALSE,"https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100",FALSE,"2018-11-18T14:05:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Oakland Raiders at Arizona Cardinals",0.948,NA,NA,NA,75,121,607,304.8,121,FALSE,"2018-08-24T21:53:40Z","QRCODE","Glendale, AZ",43,TRUE,"AZ","US","state-farm-stadium","Glendale","85305","America/Phoenix","State Farm Stadium",11,"State Farm Stadium",0.93402725,"https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive","Glendale, AZ 85305",0,33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"170","2018-09-09","2018-09-09_11.16.59","2018-11-19T01:20:00",0.824,"Steelers at Jaguars","2018-04-20T00:47:19",FALSE,4346947,"","2018-11-19T05:20:00",FALSE,"https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-tiaa-bank-field/nfl/4346947",FALSE,"2018-11-18T20:20:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Pittsburgh Steelers at Jacksonville Jaguars",0.903,NA,NA,NA,492,164,1016,379.09,164,FALSE,"2018-08-24T21:53:40Z","QRCODE","Jacksonville, FL",5178,TRUE,"FL","US","tiaa-bank-field","Jacksonville","32202","America/New_York","TIAA Bank Field",10,"TIAA Bank Field",0.83759147,"https://seatgeek.com/venues/tiaa-bank-field/tickets","1 Everbank Field Dr","Jacksonville, FL 32202",0,30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"171","2018-09-09","2018-09-09_11.16.59","2018-11-20T01:15:00",0.831,"Chiefs at Rams","2018-04-20T01:04:04",FALSE,4347137,"","2018-11-20T05:15:00",FALSE,"https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",FALSE,"2018-11-19T19:15:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Kansas City Chiefs at Los Angeles Rams",0.915,NA,NA,NA,70,152,679,366.71,152,FALSE,"2018-08-24T21:53:40Z","QRCODE","Mexico City, Mexico",41952,TRUE,NA,"Mexico","estadio-azteca-2","Mexico City","14370","America/Mexico_City","Estadio Azteca",1,"Estadio Azteca",0,"https://seatgeek.com/venues/estadio-azteca-2/tickets","Calzada de Tlalpan 3665","Mexico City, Mexico",0,19.3,-99.15,NA,NA,NA
"172","2018-09-09","2018-09-09_11.16.59","2018-11-22T17:30:00",0.862,"Bears at Lions","2018-04-20T00:47:36",FALSE,4347024,"","2018-11-22T21:30:00",FALSE,"https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024",FALSE,"2018-11-22T12:30:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Chicago Bears at Detroit Lions",0.939,NA,NA,NA,567,103,1198,207.95,109,FALSE,"2018-08-24T21:53:40Z","QRCODE","Detroit, MI",346,TRUE,"MI","US","ford-field","Detroit","48226","America/Detroit","Ford Field",10,"Ford Field",0.9029952,"https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.","Detroit, MI 48226",0,42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"173","2018-09-09","2018-09-09_11.16.59","2018-11-22T21:30:00",0.89,"Redskins at Cowboys","2018-04-05T23:08:47",FALSE,4327921,"","2018-11-23T01:30:00",FALSE,"https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921",TRUE,"2018-11-22T15:30:00","nfl","2018-04-05T00:00:00",FALSE,"normal","Washington Redskins at Dallas Cowboys",0.992,NA,NA,NA,2920,34,4309,398.41,34,FALSE,"2018-04-17T22:02:33Z","QRCODE","Arlington, TX",4965,TRUE,"TX","US","at-t-stadium","Arlington","76011","America/Chicago","AT&T Stadium",24,"AT&T Stadium",0.9751414,"https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way","Arlington, TX 76011",0,32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"174","2018-09-09","2018-09-09_11.16.59","2018-11-23T01:20:00",0.819,"Falcons at Saints","2018-04-20T00:47:24",FALSE,4346968,"","2018-11-23T05:20:00",FALSE,"https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968",TRUE,"2018-11-22T19:20:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Atlanta Falcons at New Orleans Saints",0.904,NA,NA,NA,1299,120,4200,327.86,120,FALSE,"2018-05-29T20:39:22Z","QRCODE","New Orleans, LA",128,TRUE,"LA","US","mercedes-benz-superdome","New Orleans","70112","America/Chicago","Mercedes-Benz Superdome",20,"Mercedes-Benz Superdome",0.8966978,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","1500 Sugar Bowl Drive","New Orleans, LA 70112",0,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"175","2018-09-09","2018-09-09_11.16.59","2018-11-23T18:00:00",0.386,"Coastal Carolina at South Alabama","2018-02-28T15:00:16",FALSE,4281983,"","2018-11-23T22:00:00",FALSE,"https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-12-pm/4281983",FALSE,"2018-11-23T12:00:00","ncaa_football","2018-02-28T00:00:00",FALSE,"normal","Coastal Carolina Chanticleers at South Alabama Jaguars Football",0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mobile, AL",3716,TRUE,"AL","US","ladd-peebles-stadium","Mobile","36604","America/Chicago","Ladd Peebles Stadium",7,"Ladd Peebles Stadium",0.50177634,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","1621 Virginia St.","Mobile, AL 36604",0,30.6748,-88.0761,NA,NA,NA
