"","date","timestamp","description","id","visible_until_utc","datetime_local","date_tbd","status","announce_date","created_at","datetime_utc","short_title","url","time_tbd","popularity","type","title","score","datetime_tbd","is_open","general_admission","listing_count","median_price","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","id_venue","extended_address","country","state","slug","score_venue","city","timezone","num_upcoming_events","has_upcoming_events","display_location","name","url_venue","address","popularity_venue","metro_code","postal_code","name_v2","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"11","2018-09-19","2018-09-19_11.22.19","",4347053,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:42","2018-09-23T17:00:00","Saints at Falcons","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",FALSE,0.949,"nfl","New Orleans Saints at Atlanta Falcons",0.923,FALSE,FALSE,NA,494,215,783,957,132,259.30566,132,"2018-08-24T18:29:05Z",FALSE,"QRCODE",419590,"Atlanta, GA 30313","US","GA","mercedes-benz-stadium",0.76958936,"Atlanta","America/New_York",19,TRUE,"Atlanta, GA","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",0,0,"30313","Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"12","2018-09-19","2018-09-19_11.22.19","",4346950,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:19","2018-09-23T17:00:00","Titans at Jaguars","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950",FALSE,0.866,"nfl","Tennessee Titans at Jacksonville Jaguars",0.801,FALSE,FALSE,NA,366,76,604,777,41,99.71038,41,"2018-08-24T18:26:19Z",FALSE,"QRCODE",5178,"Jacksonville, FL 32202","US","FL","everbank-field",0.83759147,"Jacksonville","America/New_York",9,TRUE,"Jacksonville, FL","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","1 Everbank Field Dr",0,561,"32202","EverBank Field",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"13","2018-09-19","2018-09-19_11.22.19","",4346923,"2018-09-24T00:05:00","2018-09-23T13:05:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:14","2018-09-23T20:05:00","Chargers at Rams","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923",FALSE,0.92,"nfl","Los Angeles Chargers at Los Angeles Rams",0.88,FALSE,FALSE,NA,714,83,1080,459,40,105.9986,36,"2018-09-05T22:17:11Z",FALSE,"QRCODE",51012,"Los Angeles, CA 90037","US","CA","los-angeles-memorial-coliseum-1",0.86898464,"Los Angeles","America/Los_Angeles",11,TRUE,"Los Angeles, CA","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","3911 S Figueroa St",0,0,"90037","Los Angeles Memorial Coliseum",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"14","2018-09-19","2018-09-19_11.22.19","",4347129,"2018-09-24T00:25:00","2018-09-23T13:25:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:56","2018-09-23T20:25:00","Cowboys at Seahawks","https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129",FALSE,0.968,"nfl","Dallas Cowboys at Seattle Seahawks",0.952,FALSE,FALSE,NA,137,470,338,1108,215,509.25546,215,"2018-03-02T22:54:54Z",FALSE,"QRCODE",339,"Seattle, WA 98134","US","WA","centurylink-field",0.87232786,"Seattle","America/Los_Angeles",13,TRUE,"Seattle, WA","CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","800 Occidental Ave S",0,819,"98134","CenturyLink Field",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"15","2018-09-19","2018-09-19_11.22.19","",4347104,"2018-09-24T00:25:00","2018-09-23T13:25:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:52","2018-09-23T20:25:00","Bears at Cardinals","https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104",FALSE,0.955,"nfl","Chicago Bears at Arizona Cardinals",0.93,FALSE,FALSE,NA,346,134,668,11218,83,199.83237,83,"2018-08-24T20:34:25Z",FALSE,"QRCODE",43,"Glendale, AZ 85305","US","AZ","state-farm-stadium",0.93402725,"Glendale","America/Phoenix",10,TRUE,"Glendale, AZ","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive",0,753,"85305","State Farm Stadium",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"16","2018-09-19","2018-09-19_11.22.19","",4347028,"2018-09-24T04:20:00","2018-09-23T20:20:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:37","2018-09-24T00:20:00","Patriots at Lions","https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028",FALSE,0.98,"nfl","New England Patriots at Detroit Lions",0.968,FALSE,FALSE,NA,436,237,843,126738,132,560.3463,118,"2018-08-24T18:27:28Z",FALSE,"QRCODE",346,"Detroit, MI 48226","US","MI","ford-field",0.9029952,"Detroit","America/Detroit",11,TRUE,"Detroit, MI","Ford Field","https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.",0,505,"48226","Ford Field",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"17","2018-09-19","2018-09-19_11.22.19","",4346932,"2018-09-25T04:15:00","2018-09-24T20:15:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:16","2018-09-25T00:15:00","Steelers at Buccaneers","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932",FALSE,0.916,"nfl","Pittsburgh Steelers at Tampa Bay Buccaneers",0.883,FALSE,FALSE,NA,23,352,331,1038,169,409.43478,141,"2018-08-24T20:35:07Z",FALSE,"QRCODE",39,"Tampa, FL 33607","US","FL","raymond-james-stadium",0.86513025,"Tampa","America/New_York",16,TRUE,"Tampa, FL","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway",0,539,"33607","Raymond James Stadium",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"18","2018-09-19","2018-09-19_11.22.19","",4346922,"2018-09-28T04:20:00","2018-09-27T17:20:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:14","2018-09-28T00:20:00","Vikings at Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",FALSE,0.899,"nfl","Minnesota Vikings at Los Angeles Rams",0.888,FALSE,FALSE,NA,528,151,1102,971,68,193.87122,64,"2018-09-05T22:17:16Z",FALSE,"QRCODE",51012,"Los Angeles, CA 90037","US","CA","los-angeles-memorial-coliseum-1",0.86898464,"Los Angeles","America/Los_Angeles",11,TRUE,"Los Angeles, CA","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","3911 S Figueroa St",0,0,"90037","Los Angeles Memorial Coliseum",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"19","2018-09-19","2018-09-19_11.22.19","",4401810,"2018-09-29T03:00:00","2018-09-28T19:00:00",FALSE,"normal","2018-06-05T00:00:00","2018-06-05T16:00:59","2018-09-28T23:00:00","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",FALSE,0.528,"sports","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",0.351,FALSE,FALSE,NA,1,12,1,12,12,12,NA,NA,NA,NA,5102,"Lexington, KY 40506","US","KY","memorial-coliseum-1",0.4125833,"Lexington","America/New_York",25,TRUE,"Lexington, KY","Memorial Coliseum","https://seatgeek.com/venues/memorial-coliseum-1/tickets","201 Avenue of Champions",0,541,"40506","Memorial Coliseum",38.04,-84.5,NA,NA,NA
"20","2018-09-19","2018-09-19_11.22.19","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",4163969,"2018-09-29T20:00:00","2018-09-29T11:00:00",FALSE,"normal","2017-12-05T00:00:00","2017-12-05T15:00:24","2018-09-29T16:00:00","Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969",FALSE,0.916,"ncaa_football","Southwest Classic: Arkansas vs Texas A&M",0.902,FALSE,TRUE,NA,866,173,753,12028,101,260.16974,101,"2018-04-17T22:02:33Z",FALSE,"QRCODE",4965,"Arlington, TX 76011","US","TX","at-t-stadium",0.9751414,"Arlington","America/Chicago",22,TRUE,"Arlington, TX","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way",0,623,"76011","AT&T Stadium",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"21","2018-09-19","2018-09-19_11.22.19","",4281951,"2018-09-29T23:30:00","2018-09-29T15:30:00",FALSE,"normal","2018-02-28T00:00:00","2018-02-28T15:00:11","2018-09-29T19:30:00","South Alabama at Appalachian State","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",FALSE,0.625,"ncaa_football","South Alabama Jaguars at Appalachian State Mountaineers Football",0.503,FALSE,FALSE,NA,163,81,86,215,46,92.36196,46,NA,NA,NA,3723,"Boone, NC 28607","US","NC","kidd-brewer-stadium",0.57884717,"Boone","America/New_York",5,TRUE,"Boone, NC","Kidd Brewer Stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","1 Kidd Brewer Stadium",0,517,"28607","Kidd Brewer Stadium",36.2116,-81.6856,NA,NA,NA
"22","2018-09-19","2018-09-19_11.22.19","",4346992,"2018-09-30T20:00:00","2018-09-30T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:30","2018-09-30T16:00:00","Eagles at Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",FALSE,0.896,"nfl","Philadelphia Eagles at Tennessee Titans",0.898,FALSE,FALSE,NA,318,385,524,931,190,414.0566,188,"2018-08-24T20:47:49Z",FALSE,"QRCODE",1126,"Nashville, TN 37213","US","TN","nissan-stadium",0.8546275,"Nashville","America/New_York",14,TRUE,"Nashville, TN","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way",0,659,"37213","Nissan Stadium",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"23","2018-09-19","2018-09-19_11.22.19","",4346911,"2018-09-30T21:00:00","2018-09-30T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:13","2018-09-30T17:00:00","Bills at Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",FALSE,0.906,"nfl","Buffalo Bills at Green Bay Packers",0.913,FALSE,FALSE,NA,132,363,502,1138,191,415.55304,172,"2018-08-24T20:38:24Z",FALSE,"QRCODE",1125,"Green Bay, WI 54304","US","WI","lambeau-field",0.92909414,"Green Bay","America/Chicago",6,TRUE,"Green Bay, WI","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",0,658,"54304","Lambeau Field",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"24","2018-09-19","2018-09-19_11.22.19","",4347009,"2018-09-30T21:00:00","2018-09-30T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:33","2018-09-30T17:00:00","Buccaneers at Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",FALSE,0.902,"nfl","Tampa Bay Buccaneers at Chicago Bears",0.905,FALSE,FALSE,NA,69,293,548,1017,180,340.33334,164,"2018-08-24T20:48:11Z",FALSE,"QRCODE",31,"Chicago, IL 60605","US","IL","soldier-field",0.940013,"Chicago","America/Chicago",10,TRUE,"Chicago, IL","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive",0,602,"60605","Soldier Field",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"25","2018-09-19","2018-09-19_11.22.19","",4327924,"2018-09-30T21:00:00","2018-09-30T12:00:00",FALSE,"normal","2018-04-05T00:00:00","2018-04-05T23:08:47","2018-09-30T17:00:00","Lions at Cowboys","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924",FALSE,0.931,"nfl","Detroit Lions at Dallas Cowboys",0.941,FALSE,TRUE,NA,2791,225,2198,2095,18,269.44788,18,"2018-04-17T22:02:33Z",FALSE,"QRCODE",4965,"Arlington, TX 76011","US","TX","at-t-stadium",0.9751414,"Arlington","America/Chicago",22,TRUE,"Arlington, TX","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way",0,623,"76011","AT&T Stadium",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"26","2018-09-19","2018-09-19_11.22.19","",4346949,"2018-09-30T21:00:00","2018-09-30T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:19","2018-09-30T17:00:00","Jets at Jaguars","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949",FALSE,0.847,"nfl","New York Jets at Jacksonville Jaguars",0.824,FALSE,FALSE,NA,444,102,643,489,58,127.48874,58,"2018-08-24T20:38:35Z",FALSE,"QRCODE",5178,"Jacksonville, FL 32202","US","FL","everbank-field",0.83759147,"Jacksonville","America/New_York",9,TRUE,"Jacksonville, FL","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","1 Everbank Field Dr",0,561,"32202","EverBank Field",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"27","2018-09-19","2018-09-19_11.22.19","",4347092,"2018-09-30T21:00:00","2018-09-30T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:49","2018-09-30T17:00:00","Dolphins at Patriots","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092",FALSE,0.91,"nfl","Miami Dolphins at New England Patriots",0.918,FALSE,FALSE,NA,77,436,463,1825,308,576.1558,250,"2018-08-24T20:51:36Z",FALSE,"QRCODE",33,"Foxborough, MA 02035","US","MA","gillette-stadium",0.8983344,"Foxborough","America/New_York",15,TRUE,"Foxborough, MA","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",0,506,"02035","Gillette Stadium",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"28","2018-09-19","2018-09-19_11.22.19","",4346962,"2018-09-30T21:00:00","2018-09-30T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:22","2018-09-30T17:00:00","Texans at Colts","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962",FALSE,0.86,"nfl","Houston Texans at Indianapolis Colts",0.846,FALSE,FALSE,NA,517,82,944,923,28,101.34236,28,"2018-08-24T20:46:39Z",FALSE,"QRCODE",1130,"Indianapolis, IN 46225","US","IN","lucas-oil-stadium",0.9071682,"Indianapolis","America/Indiana/Indianapolis",14,TRUE,"Indianapolis, IN","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",0,527,"46225","Lucas Oil Stadium",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"29","2018-09-19","2018-09-19_11.22.19","",4347052,"2018-09-30T21:00:00","2018-09-30T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:42","2018-09-30T17:00:00","Bengals at Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052",FALSE,0.904,"nfl","Cincinnati Bengals at Atlanta Falcons",0.908,FALSE,FALSE,NA,832,NA,NA,6009,77,210.74,77,"2018-08-23T20:14:46Z",FALSE,"QRCODE",419590,"Atlanta, GA 30313","US","GA","mercedes-benz-stadium",0.76958936,"Atlanta","America/New_York",19,TRUE,"Atlanta, GA","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",0,0,"30313","Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
