"","date","timestamp","short_title","status","visible_until_utc","score","time_tbd","date_tbd","datetime_tbd","description","is_open","datetime_local","title","datetime_utc","created_at","id","announce_date","popularity","url","type","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","has_upcoming_events","score_venue","slug","country","name_v2","address","name","metro_code","display_location","state","id_venue","num_upcoming_events","city","popularity_venue","postal_code","url_venue","extended_address","timezone","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"62","2018-09-13","2018-09-13_11.00.27","Ravens at Browns","normal","2018-10-07T21:00:00",0.875,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T13:00:00","Baltimore Ravens at Cleveland Browns","2018-10-07T17:00:00","2018-04-20T00:47:31",4346999,"2018-04-20T00:00:00",0.853,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","nfl",NA,39,90,910,37,109.52053,640,682,"2018-08-24T21:04:01Z",FALSE,"QRCODE",TRUE,0.86852187,"firstenergy-stadium-15","US","FirstEnergy Stadium","100 Alfred Lerner Way","FirstEnergy Stadium",510,"Cleveland, OH","OH",1123,7,"Cleveland",0,"44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","America/New_York",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"63","2018-09-13","2018-09-13_11.00.27","Raiders at Chargers","normal","2018-10-08T00:05:00",0.946,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T13:05:00","Oakland Raiders at Los Angeles Chargers","2018-10-07T20:05:00","2018-04-20T00:47:52",4347111,"2018-04-20T00:00:00",0.904,"https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111","nfl",NA,244,321,441,241,360.51862,1053,376,"2018-08-24T21:17:06Z",FALSE,"QRCODE",TRUE,0.7228164,"stubhub-center","US","StubHub Center","18400 Avalon Blvd","StubHub Center",803,"Carson, CA","CA",52,12,"Carson",0,"90746","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA 90746","America/Los_Angeles",33.8643,-118.261,NA,NA,NA
"64","2018-09-13","2018-09-13_11.00.27","Cardinals at 49ers","normal","2018-10-08T00:25:00",0.923,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T13:25:00","Arizona Cardinals at San Francisco 49ers","2018-10-07T20:25:00","2018-04-20T00:47:53",4347115,"2018-04-20T00:00:00",0.885,"https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115","nfl",NA,64,169,1090,64,184.12686,1791,1009,"2018-09-05T19:47:23Z",FALSE,"QRCODE",TRUE,0.95768774,"levi-s-stadium","US","Levi's Stadium","4900 Marie P DeBartolo Way","Levi's Stadium",0,"Santa Clara, CA","CA",58670,13,"Santa Clara",0,"95054","https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA 95054","America/Los_Angeles",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"65","2018-09-13","2018-09-13_11.00.27","Rams at Seahawks","normal","2018-10-08T00:25:00",0.916,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T13:25:00","Los Angeles Rams at Seattle Seahawks","2018-10-07T20:25:00","2018-04-20T00:47:56",4347128,"2018-04-20T00:00:00",0.881,"https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128","nfl",NA,175,361,415,175,391.55368,1019,177,"2018-08-24T21:19:14Z",FALSE,"QRCODE",TRUE,0.87232786,"centurylink-field","US","CenturyLink Field","800 Occidental Ave S","CenturyLink Field",819,"Seattle, WA","WA",339,18,"Seattle",0,"98134","https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA 98134","America/Los_Angeles",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"66","2018-09-13","2018-09-13_11.00.27","Vikings at Eagles","normal","2018-10-08T00:25:00",0.943,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T16:25:00","Minnesota Vikings at Philadelphia Eagles","2018-10-07T20:25:00","2018-04-20T00:47:26",4346976,"2018-04-20T00:00:00",0.904,"https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976","nfl",NA,148,380,869,213,455.11676,1322,334,"2018-08-24T21:03:38Z",FALSE,"QRCODE",TRUE,0.90542686,"lincoln-financial-field","US","Lincoln Financial Field","1020 Pattison Ave","Lincoln Financial Field",504,"Philadelphia, PA","PA",330,16,"Philadelphia",0,"19148","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","America/New_York",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"67","2018-09-13","2018-09-13_11.00.27","Cowboys at Texans","normal","2018-10-08T04:20:00",0.971,FALSE,FALSE,FALSE,"",FALSE,"2018-10-07T19:20:00","Dallas Cowboys at Houston Texans","2018-10-08T00:20:00","2018-04-20T00:47:36",4347020,"2018-04-20T00:00:00",0.914,"https://seatgeek.com/cowboys-at-texans-tickets/10-7-2018-houston-texas-nrg-stadium/nfl/4347020","nfl",NA,256,648,840,256,671.9,2451,420,"2018-08-24T21:04:53Z",FALSE,"QRCODE",TRUE,0.8624192,"nrg-stadium","US","NRG Stadium","1 Reliant Park","NRG Stadium",618,"Houston, TX","TX",41,46,"Houston",0,"77054","https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX 77054","America/Chicago",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"68","2018-09-13","2018-09-13_11.00.27","Baltimore Ravens at A Purple Evening","normal","2018-10-09T00:00:00",0.348,FALSE,FALSE,FALSE,"",FALSE,"2018-10-08T16:00:00","Baltimore Ravens at A Purple Evening","2018-10-08T20:00:00","2018-08-03T16:01:06",4474093,"2018-08-03T00:00:00",0.454,"https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093","sports",NA,NA,249,3,62,276.2,569,10,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM",TRUE,0.8927189,"m-t-bank-stadium","US","M&T Bank Stadium","1101 Russell St","M&T Bank Stadium",512,"Baltimore, MD","MD",1121,8,"Baltimore",0,"21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","America/New_York",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"69","2018-09-13","2018-09-13_11.00.27","Redskins at Saints","normal","2018-10-09T04:15:00",0.895,FALSE,FALSE,FALSE,"",TRUE,"2018-10-08T19:15:00","Washington Redskins at New Orleans Saints","2018-10-09T00:15:00","2018-04-20T00:47:25",4346971,"2018-04-20T00:00:00",0.862,"https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971","nfl",NA,78,216,1433,78,244.12392,5941,1509,"2018-05-29T20:38:55Z",FALSE,"QRCODE",TRUE,0.8966978,"mercedes-benz-superdome","US","Mercedes-Benz Superdome","1500 Sugar Bowl Drive","Mercedes-Benz Superdome",622,"New Orleans, LA","LA",128,19,"New Orleans",0,"70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA 70112","America/Chicago",29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"70","2018-09-13","2018-09-13_11.00.27","Eagles at Giants","normal","2018-10-12T04:20:00",0.962,FALSE,FALSE,FALSE,"",FALSE,"2018-10-11T20:20:00","Philadelphia Eagles at New York Giants","2018-10-12T00:20:00","2018-04-20T00:47:14",4346917,"2018-04-20T00:00:00",0.904,"https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917","nfl",NA,144,282,993,144,356.73657,1558,577,"2018-08-24T21:52:02Z",FALSE,"QRCODE",TRUE,0.94873494,"metlife-stadium","US","MetLife Stadium","1 MetLife Stadium Drive","MetLife Stadium",501,"East Rutherford, NJ","NJ",1587,18,"East Rutherford",0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","America/New_York",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"71","2018-09-13","2018-09-13_11.00.27","Alabama State at South Alabama","normal","2018-10-13T21:00:00",0.516,FALSE,FALSE,FALSE,"",FALSE,"2018-10-13T12:00:00","Alabama State Hornets at South Alabama Jaguars Football","2018-10-13T17:00:00","2017-12-21T15:00:36",4192619,"2017-12-21T00:00:00",0.579,"https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-12-pm/4192619","ncaa_football",NA,27,36,9,27,52,124,17,NA,NA,NA,TRUE,0.50177634,"ladd-peebles-stadium","US","Ladd Peebles Stadium","1621 Virginia St.","Ladd Peebles Stadium",686,"Mobile, AL","AL",3716,7,"Mobile",0,"36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Mobile, AL 36604","America/Chicago",30.6748,-88.0761,NA,NA,NA
