"","date","timestamp","url","title","short_title","datetime_utc","status","created_at","date_tbd","description","id","visible_until_utc","datetime_local","is_open","datetime_tbd","score","announce_date","popularity","type","time_tbd","general_admission","average_price","lowest_price","lowest_price_good_deals","highest_price","listing_count","median_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","url_venue","address","num_upcoming_events","display_location","name","city","timezone","extended_address","slug","has_upcoming_events","country","state","id_venue","name_v2","postal_code","score_venue","popularity_venue","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"11","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/cowboys-at-panthers-tickets/9-9-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347034","Dallas Cowboys at Carolina Panthers","Cowboys at Panthers","2018-09-09T20:25:00","normal","2018-04-20T00:47:38",FALSE,"",4347034,"2018-09-10T00:25:00","2018-09-09T16:25:00",FALSE,FALSE,0.966,"2018-04-20T00:00:00",0.988,"nfl",FALSE,NA,355.62,158,158,1411,204,NA,NA,"2018-08-24T16:53:30Z",FALSE,"QRCODE","https://seatgeek.com/venues/bank-of-america-stadium/tickets","800 South Mint Street",10,"Charlotte, NC","Bank of America Stadium","Charlotte","America/New_York","Charlotte, NC 28202","bank-of-america-stadium",TRUE,"US","NC",1122,"Bank of America Stadium","28202",0.8968222,0,35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"12","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/seahawks-at-broncos-tickets/9-9-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347148","Seattle Seahawks at Denver Broncos","Seahawks at Broncos","2018-09-09T20:25:00","normal","2018-04-20T01:04:06",FALSE,"",4347148,"2018-09-10T00:25:00","2018-09-09T14:25:00",FALSE,FALSE,0.923,"2018-04-20T00:00:00",0.962,"nfl",FALSE,NA,344.6,144,144,1059,70,NA,NA,"2018-08-24T17:02:21Z",FALSE,"QRCODE","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","1701 Bryant St.",8,"Denver, CO","Sports Authority Field at Mile High","Denver","America/Denver","Denver, CO 80204","sports-authority-field-at-mile-high",TRUE,"US","CO",1131,"Sports Authority Field at Mile High","80204",0.9028296,0,39.74,-105.02,"2015-08-07T18:39:02Z",FALSE,"QRCODE_TM"
"13","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/redskins-at-cardinals-tickets/9-9-2018-glendale-arizona-state-farm-stadium/nfl/4347105","Washington Redskins at Arizona Cardinals","Redskins at Cardinals","2018-09-09T20:25:00","normal","2018-04-20T00:47:52",FALSE,"",4347105,"2018-09-10T00:25:00","2018-09-09T13:25:00",FALSE,FALSE,0.916,"2018-04-20T00:00:00",0.959,"nfl",FALSE,NA,77.02,21,21,257,102,NA,NA,"2018-08-24T17:01:32Z",FALSE,"QRCODE","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive",11,"Glendale, AZ","State Farm Stadium","Glendale","America/Phoenix","Glendale, AZ 85305","state-farm-stadium",TRUE,"US","AZ",43,"State Farm Stadium","85305",0.93402725,0,33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"14","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/bears-at-packers-tickets/9-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346916","Chicago Bears at Green Bay Packers","Bears at Packers","2018-09-10T00:20:00","normal","2018-04-20T00:47:14",FALSE,"",4346916,"2018-09-10T04:20:00","2018-09-09T19:20:00",FALSE,FALSE,0.954,"2018-04-20T00:00:00",0.959,"nfl",FALSE,NA,304.7,168,168,599,113,NA,NA,"2018-08-24T16:52:08Z",FALSE,"QRCODE","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",8,"Green Bay, WI","Lambeau Field","Green Bay","America/Chicago","Green Bay, WI 54304","lambeau-field",TRUE,"US","WI",1125,"Lambeau Field","54304",0.92909414,0,44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"15","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029","New York Jets at Detroit Lions","Jets at Lions","2018-09-10T23:10:00","normal","2018-04-20T00:47:37",FALSE,"",4347029,"2018-09-11T03:10:00","2018-09-10T19:10:00",FALSE,FALSE,0.925,"2018-04-20T00:00:00",0.958,"nfl",FALSE,NA,131.4,57,62,486,325,NA,NA,"2018-08-23T16:09:50Z",FALSE,"QRCODE","https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.",11,"Detroit, MI","Ford Field","Detroit","America/Detroit","Detroit, MI 48226","ford-field",TRUE,"US","MI",346,"Ford Field","48226",0.9029952,0,42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"16","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155","Los Angeles Rams at Oakland Raiders","Rams at Raiders","2018-09-11T02:20:00","normal","2018-04-20T01:04:25",FALSE,"",4347155,"2018-09-11T06:20:00","2018-09-10T19:20:00",FALSE,FALSE,0.909,"2018-04-20T00:00:00",0.941,"nfl",FALSE,NA,191.87,87,94,385,267,NA,NA,"2018-08-24T17:02:44Z",FALSE,"QRCODE","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","7000 Coliseum Way",29,"Oakland, CA","Oakland-Alameda County Coliseum","Oakland","America/Los_Angeles","Oakland, CA 94621","oakland-alameda-county-coliseum",TRUE,"US","CA",14,"Oakland-Alameda County Coliseum","94621",0.7817843,0,37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"17","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","Baltimore Ravens at Cincinnati Bengals","Ravens at Bengals","2018-09-14T00:20:00","normal","2018-04-20T00:47:41",FALSE,"",4347044,"2018-09-14T04:20:00","2018-09-13T20:20:00",FALSE,FALSE,0.862,"2018-04-20T00:00:00",0.884,"nfl",FALSE,NA,91.08,40,41,817,393,NA,NA,"2018-08-24T17:03:28Z",FALSE,"QRCODE","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium",9,"Cincinnati, OH","Paul Brown Stadium","Cincinnati","America/New_York","Cincinnati, OH 45202","paul-brown-stadium",TRUE,"US","OH",1124,"Paul Brown Stadium","45202",0.86166537,0,39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"18","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","Texas State Bobcats at South Alabama Jaguars Football","Texas State at South Alabama","2018-09-15T23:00:00","normal","2018-02-28T15:00:17",FALSE,"",4281986,"2018-09-16T03:00:00","2018-09-15T18:00:00",FALSE,FALSE,0.389,"2018-02-28T00:00:00",0.554,"ncaa_football",FALSE,NA,31.41,11,11,93,26,NA,NA,NA,NA,NA,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","1621 Virginia St.",7,"Mobile, AL","Ladd Peebles Stadium","Mobile","America/Chicago","Mobile, AL 36604","ladd-peebles-stadium",TRUE,"US","AL",3716,"Ladd Peebles Stadium","36604",0.50177634,0,30.6748,-88.0761,NA,NA,NA
"19","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","Houston Texans at Tennessee Titans","Texans at Titans","2018-09-16T16:00:00","normal","2018-04-20T00:47:30",FALSE,"",4346993,"2018-09-16T20:00:00","2018-09-16T12:00:00",FALSE,FALSE,0.858,"2018-04-20T00:00:00",0.871,"nfl",FALSE,NA,175.59,66,71,627,431,NA,NA,"2018-08-24T18:23:49Z",FALSE,"QRCODE","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way",16,"Nashville, TN","Nissan Stadium","Nashville","America/New_York","Nashville, TN 37213","nissan-stadium",TRUE,"US","TN",1126,"Nissan Stadium","37213",0.8546275,0,36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"20","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","Indianapolis Colts at Washington Redskins","Colts at Redskins","2018-09-16T17:00:00","normal","2018-04-20T00:47:18",FALSE,"",4346944,"2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,FALSE,0.952,"2018-04-20T00:00:00",0.945,"nfl",FALSE,NA,174.1,95,95,478,373,NA,NA,"2018-08-24T18:23:09Z",FALSE,"QRCODE","https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way",9,"Landover, MD","FedEx Field","Landover","America/New_York","Landover, MD 20785","fedex-field",TRUE,"US","MD",35,"FedEx Field","20785",0.9333444,0,38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
