"","date","timestamp","datetime_tbd","announce_date","datetime_utc","date_tbd","status","time_tbd","is_open","title","visible_until_utc","url","type","id","description","created_at","popularity","score","datetime_local","short_title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","address","has_upcoming_events","postal_code","extended_address","timezone","display_location","num_upcoming_events","city","country","name","url_venue","slug","metro_code","id_venue","popularity_venue","name_v2","state","score_venue","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"108","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Los Angeles Rams at Detroit Lions","2018-12-02T22:00:00","https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023","nfl",4347023,"","2018-04-20T00:47:36",0.828,0.913,"2018-12-02T13:00:00","Rams at Lions",NA,511,115,61,144.30138,64,1197,771,"2018-08-24T21:53:41Z","QRCODE",FALSE,"2000 Brush St.",TRUE,"48226","Detroit, MI 48226","America/Detroit","Detroit, MI",10,"Detroit","US","Ford Field","https://seatgeek.com/venues/ford-field/tickets","ford-field",505,346,0,"Ford Field","MI",0.9029952,42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"109","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Buffalo Bills at Miami Dolphins","2018-12-02T22:00:00","https://seatgeek.com/bills-at-dolphins-tickets/12-2-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347087","nfl",4347087,"","2018-04-20T00:47:48",0.808,0.884,"2018-12-02T13:00:00","Bills at Dolphins",NA,177,148,51,172.84746,68,899,1559,"2018-08-24T21:53:41Z","QRCODE",FALSE,"347 Don Shula Dr.",TRUE,"33056","Miami Gardens, FL 33056","America/New_York","Miami Gardens, FL",34,"Miami Gardens","US","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",528,29,0,"Hard Rock Stadium","FL",0.8378203,25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"110","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Carolina Panthers at Tampa Bay Buccaneers","2018-12-02T22:00:00","https://seatgeek.com/panthers-at-buccaneers-tickets/12-2-2018-tampa-florida-raymond-james-stadium/nfl/4346927","nfl",4346927,"","2018-04-20T00:47:15",0.799,0.892,"2018-12-02T13:00:00","Panthers at Buccaneers",NA,22,144,82,154.81818,76,271,750,"2018-08-24T21:53:41Z","QRCODE",FALSE,"4201 North Dale Mabry Highway",TRUE,"33607","Tampa, FL 33607","America/New_York","Tampa, FL",15,"Tampa","US","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium",539,39,0,"Raymond James Stadium","FL",0.86513025,27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"111","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Arizona Cardinals at Green Bay Packers","2018-12-02T22:00:00","https://seatgeek.com/cardinals-at-packers-tickets/12-2-2018-green-bay-wisconsin-lambeau-field/nfl/4346909","nfl",4346909,"","2018-04-20T00:47:13",0.832,0.901,"2018-12-02T12:00:00","Cardinals at Packers",NA,362,229,140,252.67126,145,721,1613,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1265 Lombardi Avenue",TRUE,"54304","Green Bay, WI 54304","America/Chicago","Green Bay, WI",5,"Green Bay","US","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field",658,1125,0,"Lambeau Field","WI",0.92909414,44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"112","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Los Angeles Chargers at Pittsburgh Steelers","2018-12-02T22:00:00","https://seatgeek.com/chargers-at-steelers-tickets/12-2-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347108","nfl",4347108,"","2018-04-20T00:47:52",0.817,0.906,"2018-12-02T13:00:00","Chargers at Steelers",NA,692,171,89,204.75578,89,882,2000,"2018-08-24T21:53:41Z","QRCODE",FALSE,"100 Art Rooney Avenue",TRUE,"15212","Pittsburgh, PA 15212","America/New_York","Pittsburgh, PA",7,"Pittsburgh","US","Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","heinz-field",508,1119,0,"Heinz Field","PA",0.9033526,40.4468,-80.0158,"2018-10-04T12:42:28Z","QRCODE",FALSE
"113","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Baltimore Ravens at Atlanta Falcons","2018-12-02T22:00:00","https://seatgeek.com/ravens-at-falcons-tickets/12-2-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347048","nfl",4347048,"","2018-04-20T00:47:41",0.85,0.922,"2018-12-02T13:00:00","Ravens at Falcons",NA,699,166,76,206.10014,76,991,2093,"2018-08-24T21:53:41Z","QRCODE",FALSE,"441 M.L.K. Jr Dr NW",TRUE,"30313","Atlanta, GA 30313","America/New_York","Atlanta, GA",18,"Atlanta","US","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium",0,419590,0,"Mercedes-Benz Stadium","GA",0.76958936,33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"114","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Indianapolis Colts at Jacksonville Jaguars","2018-12-02T22:00:00","https://seatgeek.com/colts-at-jaguars-tickets/12-2-2018-jacksonville-florida-tiaa-bank-field/nfl/4346946","nfl",4346946,"","2018-04-20T00:47:19",0.784,0.85,"2018-12-02T13:00:00","Colts at Jaguars",NA,684,99,47,113.761696,47,471,1099,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 Everbank Field Dr",TRUE,"32202","Jacksonville, FL 32202","America/New_York","Jacksonville, FL",7,"Jacksonville","US","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field",561,5178,0,"TIAA Bank Field","FL",0.83759147,30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"115","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Denver Broncos at Cincinnati Bengals","2018-12-02T22:00:00","https://seatgeek.com/broncos-at-bengals-tickets/12-2-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347038","nfl",4347038,"","2018-04-20T00:47:39",0.837,0.915,"2018-12-02T13:00:00","Broncos at Bengals",NA,517,101,54,117.222435,54,511,994,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 Paul Brown Stadium",TRUE,"45202","Cincinnati, OH 45202","America/New_York","Cincinnati, OH",6,"Cincinnati","US","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium",515,1124,0,"Paul Brown Stadium","OH",0.86166537,39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"116","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Chicago Bears at New York Giants","2018-12-02T22:00:00","https://seatgeek.com/bears-at-giants-tickets/12-2-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347004","nfl",4347004,"","2018-04-20T00:47:32",0.858,0.943,"2018-12-02T13:00:00","Bears at Giants",NA,746,180,88,236.78418,88,1436,1950,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 MetLife Stadium Drive",TRUE,"07073","East Rutherford, NJ 07073","America/New_York","East Rutherford, NJ",14,"East Rutherford","US","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",501,1587,0,"MetLife Stadium","NJ",0.94873494,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"117","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T18:00:00",FALSE,"normal",FALSE,FALSE,"Cleveland Browns at Houston Texans","2018-12-02T22:00:00","https://seatgeek.com/browns-at-texans-tickets/12-2-2018-houston-texas-nrg-stadium/nfl/4347156","nfl",4347156,"","2018-04-20T03:52:35",0.803,0.898,"2018-12-02T12:00:00","Browns at Texans",NA,542,134,39,178.0203,44,2225,1562,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 Reliant Park",TRUE,"77054","Houston, TX 77054","America/Chicago","Houston, TX",44,"Houston","US","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium",618,41,0,"NRG Stadium","TX",0.8624192,29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"118","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T20:05:00",FALSE,"normal",FALSE,FALSE,"New York Jets at Tennessee Titans","2018-12-03T00:05:00","https://seatgeek.com/jets-at-titans-tickets/12-2-2018-nashville-tennessee-nissan-stadium/nfl/4346989","nfl",4346989,"","2018-04-20T00:47:29",0.793,0.861,"2018-12-02T15:05:00","Jets at Titans",NA,422,151,46,164.50237,46,721,1450,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 Titans Way",TRUE,"37213","Nashville, TN 37213","America/New_York","Nashville, TN",16,"Nashville","US","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium",659,1126,0,"Nissan Stadium","TN",0.8546275,36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"119","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T21:05:00",FALSE,"normal",FALSE,FALSE,"Kansas City Chiefs at Oakland Raiders","2018-12-03T01:05:00","https://seatgeek.com/chiefs-at-raiders-tickets/12-2-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347152","nfl",4347152,"","2018-04-20T01:04:24",0.796,0.888,"2018-12-02T13:05:00","Chiefs at Raiders",NA,488,187,82,208.05943,82,1267,1628,"2018-08-24T21:53:41Z","QRCODE",FALSE,"7000 Coliseum Way",TRUE,"94621","Oakland, CA 94621","America/Los_Angeles","Oakland, CA",9,"Oakland","US","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","oakland-alameda-county-coliseum",807,14,0,"Oakland-Alameda County Coliseum","CA",0.7817843,37.7469,-122.201,"2015-06-24T00:00:00Z","PDF417",FALSE
"120","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-02T21:25:00",FALSE,"normal",FALSE,FALSE,"Minnesota Vikings at New England Patriots","2018-12-03T01:25:00","https://seatgeek.com/vikings-at-patriots-tickets/12-2-2018-foxborough-massachusetts-gillette-stadium/nfl/4347094","nfl",4347094,"","2018-04-20T00:47:50",0.878,0.955,"2018-12-02T16:25:00","Vikings at Patriots",NA,176,397,265,470.89206,268,1224,745,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1 Patriot Place",TRUE,"02035","Foxborough, MA 02035","America/New_York","Foxborough, MA",13,"Foxborough","US","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium",506,33,0,"Gillette Stadium","MA",0.8983344,42.0906,-71.2674,"2018-08-22T15:36:58Z","NONE",FALSE
"121","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-03T01:20:00",FALSE,"normal",FALSE,FALSE,"San Francisco 49ers at Seattle Seahawks","2018-12-03T05:20:00","https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124","nfl",4347124,"","2018-04-20T00:47:55",0.846,0.954,"2018-12-02T17:20:00","49ers at Seahawks",NA,234,389,173,415.19232,173,1172,1684,"2018-08-24T21:53:41Z","QRCODE",FALSE,"800 Occidental Ave S",TRUE,"98134","Seattle, WA 98134","America/Los_Angeles","Seattle, WA",8,"Seattle","US","CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","centurylink-field",819,339,0,"CenturyLink Field","WA",0.87232786,47.6,-122.33,"2018-03-02T22:54:54Z","QRCODE",FALSE
"122","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-04T01:15:00",FALSE,"normal",FALSE,FALSE,"Washington Redskins at Philadelphia Eagles","2018-12-04T05:15:00","https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936","nfl",4346936,"","2018-04-20T00:47:17",0.831,0.936,"2018-12-03T20:15:00","Redskins at Eagles",NA,549,237,104,297.4062,141,1186,1911,"2018-08-24T21:53:41Z","QRCODE",FALSE,"1020 Pattison Ave",TRUE,"19148","Philadelphia, PA 19148","America/New_York","Philadelphia, PA",13,"Philadelphia","US","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field",504,330,0,"Lincoln Financial Field","PA",0.90542686,39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"123","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-07T00:20:00",FALSE,"normal",FALSE,FALSE,"Jacksonville Jaguars at Tennessee Titans","2018-12-07T04:20:00","https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987","nfl",4346987,"","2018-04-20T00:47:29",0.753,0.821,"2018-12-06T19:20:00","Jaguars at Titans",NA,533,128,43,154.15572,38,2271,1520,"2018-08-24T21:53:42Z","QRCODE",FALSE,"1 Titans Way",TRUE,"37213","Nashville, TN 37213","America/New_York","Nashville, TN",16,"Nashville","US","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium",659,1126,0,"Nissan Stadium","TN",0.8546275,36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"124","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-09T18:00:00",FALSE,"normal",FALSE,FALSE,"Carolina Panthers at Cleveland Browns","2018-12-09T22:00:00","https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995","nfl",4346995,"","2018-04-20T00:47:31",0.81,0.881,"2018-12-09T13:00:00","Panthers at Browns",NA,1082,92,40,108.37985,40,1173,1687,"2018-08-24T21:53:42Z","QRCODE",FALSE,"100 Alfred Lerner Way",TRUE,"44114","Cleveland, OH 44114","America/New_York","Cleveland, OH",6,"Cleveland","US","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15",510,1123,0,"FirstEnergy Stadium","OH",0.86852187,41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"125","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-09T18:00:00",FALSE,"normal",FALSE,FALSE,"New Orleans Saints at Tampa Bay Buccaneers","2018-12-09T22:00:00","https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926","nfl",4346926,"","2018-04-20T00:47:15",0.793,0.893,"2018-12-09T13:00:00","Saints at Buccaneers",NA,16,173,71,201.3125,77,525,673,"2018-08-24T21:53:42Z","QRCODE",FALSE,"4201 North Dale Mabry Highway",TRUE,"33607","Tampa, FL 33607","America/New_York","Tampa, FL",15,"Tampa","US","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium",539,39,0,"Raymond James Stadium","FL",0.86513025,27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"126","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-09T18:00:00",FALSE,"normal",FALSE,FALSE,"Los Angeles Rams at Chicago Bears","2018-12-09T22:00:00","https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003","nfl",4347003,"","2018-04-20T00:47:32",0.828,0.913,"2018-12-09T12:00:00","Rams at Bears",NA,144,289,128,368.15277,134,2224,1527,"2018-08-24T21:53:42Z","QRCODE",FALSE,"1410 S. Museum Campus Drive",TRUE,"60605","Chicago, IL 60605","America/Chicago","Chicago, IL",8,"Chicago","US","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","soldier-field",602,31,0,"Soldier Field","IL",0.940013,41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"127","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-12-09T18:00:00",FALSE,"normal",FALSE,FALSE,"New England Patriots at Miami Dolphins","2018-12-09T22:00:00","https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086","nfl",4347086,"","2018-04-20T00:47:48",0.843,0.959,"2018-12-09T13:00:00","Patriots at Dolphins",NA,90,361,164,396.95557,192,1137,1525,"2018-08-24T21:53:42Z","QRCODE",FALSE,"347 Don Shula Dr.",TRUE,"33056","Miami Gardens, FL 33056","America/New_York","Miami Gardens, FL",34,"Miami Gardens","US","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",528,29,0,"Hard Rock Stadium","FL",0.8378203,25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
