"","date","timestamp","datetime_local","time_tbd","type","announce_date","score","visible_until_utc","id","datetime_utc","status","url","description","date_tbd","datetime_tbd","title","created_at","popularity","is_open","short_title","general_admission","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","listing_count","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","city","name","display_location","num_upcoming_events","name_v2","address","metro_code","score_venue","id_venue","popularity_venue","has_upcoming_events","slug","url_venue","country","timezone","extended_address","state","postal_code","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"36","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.831,"2018-10-21T21:00:00",4346960,"2018-10-21T17:00:00","normal","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","",FALSE,FALSE,"Buffalo Bills at Indianapolis Colts","2018-04-20T00:47:22",0.826,FALSE,"Bills at Colts",NA,17,841,17,119.509544,931,681,113,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Indianapolis","Lucas Oil Stadium","Indianapolis, IN",12,"Lucas Oil Stadium","500 South Capitol Avenue",527,0.9071682,1130,0,TRUE,"lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US","America/Indiana/Indianapolis","Indianapolis, IN 46225","IN","46225",39.7601,-86.1639,"QRCODE_TM","2018-09-13T22:29:37Z",FALSE
"37","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.927,"2018-10-21T21:00:00",4346975,"2018-10-21T17:00:00","normal","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","",FALSE,FALSE,"Minnesota Vikings at New York Jets","2018-04-20T00:47:26",0.895,FALSE,"Vikings at Jets",NA,71,1032,69,218.57799,758,545,183,"QRCODE","2018-08-24T21:53:38Z",FALSE,"East Rutherford","MetLife Stadium","East Rutherford, NJ",15,"MetLife Stadium","1 MetLife Stadium Drive",501,0.94873494,1587,0,TRUE,"metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US","America/New_York","East Rutherford, NJ 07073","NJ","07073",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"38","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.859,"2018-10-21T21:00:00",4347084,"2018-10-21T17:00:00","normal","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","",FALSE,FALSE,"Detroit Lions at Miami Dolphins","2018-04-20T00:47:47",0.845,FALSE,"Lions at Dolphins",NA,69,899,56,169.02956,1202,203,150,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Miami Gardens","Hard Rock Stadium","Miami Gardens, FL",35,"Hard Rock Stadium","347 Don Shula Dr.",528,0.8378203,29,0,TRUE,"hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US","America/New_York","Miami Gardens, FL 33056","FL","33056",25.96,-80.24,"NONE","2017-10-03T18:58:44Z",FALSE
"39","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.84,"2018-10-21T21:00:00",4346931,"2018-10-21T17:00:00","normal","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","",FALSE,FALSE,"Cleveland Browns at Tampa Bay Buccaneers","2018-04-20T00:47:16",0.828,FALSE,"Browns at Buccaneers",NA,96,489,96,243.83333,232,24,206,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Tampa","Raymond James Stadium","Tampa, FL",15,"Raymond James Stadium","4201 North Dale Mabry Highway",539,0.86513025,39,0,TRUE,"raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","US","America/New_York","Tampa, FL 33607","FL","33607",27.9753,-82.5034,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
"40","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.778,"2018-10-21T21:00:00",4346948,"2018-10-21T17:00:00","normal","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-everbank-field/nfl/4346948","",FALSE,FALSE,"Houston Texans at Jacksonville Jaguars","2018-04-20T00:47:19",0.782,FALSE,"Texans at Jaguars",NA,44,489,44,114.68248,712,548,92,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Jacksonville","EverBank Field","Jacksonville, FL",7,"EverBank Field","1 Everbank Field Dr",561,0.83759147,5178,0,TRUE,"everbank-field","https://seatgeek.com/venues/everbank-field/tickets","US","America/New_York","Jacksonville, FL 32202","FL","32202",30.3239,-81.6373,"QRCODE_TM","2015-10-17T20:03:42Z",FALSE
"41","2018-10-02","2018-10-02_16.01.32","2018-10-21T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.896,"2018-10-21T21:00:00",4347036,"2018-10-21T17:00:00","normal","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","",FALSE,FALSE,"Carolina Panthers at Philadelphia Eagles","2018-04-20T00:47:39",0.873,FALSE,"Panthers at Eagles",NA,213,3680,158,422.55103,711,294,377,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Philadelphia","Lincoln Financial Field","Philadelphia, PA",14,"Lincoln Financial Field","1020 Pattison Ave",504,0.90542686,330,0,TRUE,"lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US","America/New_York","Philadelphia, PA 19148","PA","19148",39.9046,-75.1675,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"42","2018-10-02","2018-10-02_16.01.32","2018-10-21T12:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.875,"2018-10-21T21:00:00",4346982,"2018-10-21T17:00:00","normal","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","",FALSE,FALSE,"Cincinnati Bengals at Kansas City Chiefs","2018-04-20T00:47:27",0.857,FALSE,"Bengals at Chiefs",NA,60,602,71,161.88165,930,845,150,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Kansas City","Arrowhead Stadium","Kansas City, MO",8,"Arrowhead Stadium","1 Arrowhead Drive",616,0.8827867,1128,0,TRUE,"arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US","America/Chicago","Kansas City, MO 64129","MO","64129",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"43","2018-10-02","2018-10-02_16.01.32","2018-10-21T16:05:00",FALSE,"nfl","2018-04-20T00:00:00",0.848,"2018-10-22T00:05:00",4347071,"2018-10-21T20:05:00","normal","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","",FALSE,FALSE,"New Orleans Saints at Baltimore Ravens","2018-04-20T00:47:45",0.836,FALSE,"Saints at Ravens",NA,54,619,54,148.8116,640,345,121,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Baltimore","M&T Bank Stadium","Baltimore, MD",7,"M&T Bank Stadium","1101 Russell St",512,0.8927189,1121,0,TRUE,"m-t-bank-stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","US","America/New_York","Baltimore, MD 21230","MD","21230",39.2774,-76.623,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"44","2018-10-02","2018-10-02_16.01.32","2018-10-21T16:25:00",FALSE,"nfl","2018-04-20T00:00:00",0.955,"2018-10-22T00:25:00",4346941,"2018-10-21T20:25:00","normal","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","",FALSE,FALSE,"Dallas Cowboys at Washington Redskins","2018-04-20T00:47:18",0.92,FALSE,"Cowboys at Redskins",NA,173,1052,164,312.72955,916,721,269,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Landover","FedEx Field","Landover, MD",6,"FedEx Field","1600 Fedex Way",511,0.9333444,35,0,TRUE,"fedex-field","https://seatgeek.com/venues/fedex-field/tickets","US","America/New_York","Landover, MD 20785","MD","20785",38.9071,-76.8658,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"45","2018-10-02","2018-10-02_16.01.32","2018-10-21T17:20:00",FALSE,"nfl","2018-04-20T00:00:00",0.896,"2018-10-22T04:20:00",4347118,"2018-10-22T00:20:00","normal","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","",FALSE,FALSE,"Los Angeles Rams at San Francisco 49ers","2018-04-20T00:47:54",0.87,FALSE,"Rams at 49ers",NA,73,3004,73,216.58151,952,779,185,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Santa Clara","Levi's Stadium","Santa Clara, CA",12,"Levi's Stadium","4900 Marie P DeBartolo Way",0,0.95768774,58670,0,TRUE,"levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","US","America/Los_Angeles","Santa Clara, CA 95054","CA","95054",37.4023,-121.969,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
