"","date","timestamp","is_open","time_tbd","visible_until_utc","score","type","description","announce_date","id","datetime_tbd","created_at","popularity","status","url","date_tbd","datetime_utc","short_title","title","datetime_local","general_admission","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","median_price","listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","metro_code","display_location","name","score_venue","extended_address","id_venue","has_upcoming_events","state","popularity_venue","timezone","country","city","postal_code","num_upcoming_events","address","url_venue","slug","name_v2","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"136","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-11T22:00:00",0.954,"nfl","","2018-04-20T00:00:00",4346912,FALSE,"2018-04-20T00:47:13",0.9,"normal","https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912",FALSE,"2018-11-11T18:00:00","Dolphins at Packers","Miami Dolphins at Green Bay Packers","2018-11-11T12:00:00",NA,582,1197,195,420.2405,180,402,158,"QRCODE",FALSE,"2018-08-24T21:53:40Z",658,"Green Bay, WI","Lambeau Field",0.92909414,"Green Bay, WI 54304",1125,TRUE,"WI",0,"America/Chicago","US","Green Bay","54304",7,"1265 Lombardi Avenue","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","Lambeau Field",-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"137","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-12T01:05:00",0.908,"nfl","","2018-04-20T00:00:00",4347130,FALSE,"2018-04-20T00:47:56",0.856,"normal","https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130",FALSE,"2018-11-11T21:05:00","Chargers at Raiders","Los Angeles Chargers at Oakland Raiders","2018-11-11T13:05:00",NA,NA,628,99,201.45,99,NA,503,"QRCODE",FALSE,"2018-08-24T21:53:40Z",807,"Oakland, CA","Oakland-Alameda County Coliseum",0.7817843,"Oakland, CA 94621",14,TRUE,"CA",0,"America/Los_Angeles","US","Oakland","94621",26,"7000 Coliseum Way","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum",-122.201,37.7469,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"138","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-12T01:25:00",0.915,"nfl","","2018-04-20T00:00:00",4346920,FALSE,"2018-04-20T00:47:14",0.863,"normal","https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920",FALSE,"2018-11-11T21:25:00","Seahawks at Rams","Seattle Seahawks at Los Angeles Rams","2018-11-11T13:25:00",NA,1505,922,54,183.48077,51,138,832,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0,"Los Angeles, CA","Los Angeles Memorial Coliseum",0.86898464,"Los Angeles, CA 90037",51012,TRUE,"CA",0,"America/Los_Angeles","US","Los Angeles","90037",12,"3911 S Figueroa St","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1","Los Angeles Memorial Coliseum",-118.288,34.0138,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"139","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-12T04:00:00",0.447,"concert","","2018-08-23T00:00:00",4500554,FALSE,"2018-08-23T20:13:51",0.501,"normal","https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554",FALSE,"2018-11-12T00:00:00","Alex G with Half Waif","Alex G with Half Waif","2018-11-11T19:00:00",TRUE,1,562,45,218.73334,NA,243,15,NA,NA,NA,539,"Tampa, FL","Crowbar",0.42424366,"Tampa, FL 33605",3160,TRUE,"FL",0,"America/New_York","US","Tampa","33605",32,"1812 North 17th Street","https://seatgeek.com/venues/crowbar-2/tickets","crowbar-2","Crowbar",-82.4406,27.9608,NA,NA,NA
"140","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-12T05:20:00",0.996,"nfl","","2018-04-20T00:00:00",4347031,FALSE,"2018-04-20T00:47:38",0.923,"normal","https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031",FALSE,"2018-11-12T01:20:00","Cowboys at Eagles","Dallas Cowboys at Philadelphia Eagles","2018-11-11T20:20:00",NA,1044,1535,204,491.0658,144,440,456,"QRCODE",FALSE,"2018-08-24T21:53:40Z",504,"Philadelphia, PA","Lincoln Financial Field",0.90542686,"Philadelphia, PA 19148",330,TRUE,"PA",0,"America/New_York","US","Philadelphia","19148",16,"1020 Pattison Ave","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","Lincoln Financial Field",-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"141","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-13T05:15:00",0.952,"nfl","","2018-04-20T00:00:00",4347117,FALSE,"2018-04-20T00:47:54",0.888,"normal","https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117",FALSE,"2018-11-13T01:15:00","Giants at 49ers","New York Giants at San Francisco 49ers","2018-11-12T17:15:00",NA,1195,3694,88,235.67686,87,209,1046,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0,"Santa Clara, CA","Levi's Stadium",0.95768774,"Santa Clara, CA 95054",58670,TRUE,"CA",0,"America/Los_Angeles","US","Santa Clara","95054",13,"4900 Marie P DeBartolo Way","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium","Levi's Stadium",-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"142","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-16T05:20:00",0.995,"nfl","","2018-04-20T00:00:00",4347126,FALSE,"2018-04-20T00:47:56",0.921,"normal","https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126",FALSE,"2018-11-16T01:20:00","Packers at Seahawks","Green Bay Packers at Seattle Seahawks","2018-11-15T17:20:00",NA,589,1809,266,516.9242,249,416,211,"QRCODE",FALSE,"2018-08-24T21:53:40Z",819,"Seattle, WA","CenturyLink Field",0.87232786,"Seattle, WA 98134",339,TRUE,"WA",0,"America/Los_Angeles","US","Seattle","98134",19,"800 Occidental Ave S","https://seatgeek.com/venues/centurylink-field/tickets","centurylink-field","CenturyLink Field",-122.33,47.6,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"143","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T02:00:00",0.438,"ncaa_football","","2018-02-28T00:00:00",4281956,FALSE,"2018-02-28T15:00:12",0.466,"normal","https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-4-pm/4281956",FALSE,"2018-11-17T22:00:00","South Alabama at Louisiana","South Alabama Jaguars at Louisiana Ragin Cajuns Football","2018-11-17T16:00:00",NA,31,103,54,64.63636,54,63,88,NA,NA,NA,642,"Lafayette, LA","Cajun Field",0.43303972,"Lafayette, LA 70506",2796,TRUE,"LA",0,"America/Chicago","US","Lafayette","70506",5,"201 Rhienhardt Drive","https://seatgeek.com/venues/cajun-field/tickets","cajun-field","Cajun Field",-92.04,30.22,NA,NA,NA
"144","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.86,"nfl","","2018-04-20T00:00:00",4347068,FALSE,"2018-04-20T00:47:45",0.816,"normal","https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068",FALSE,"2018-11-18T18:00:00","Bengals at Ravens","Cincinnati Bengals at Baltimore Ravens","2018-11-18T13:00:00",NA,1273,550,39,129.59767,39,103,686,"QRCODE",FALSE,"2018-08-24T21:53:40Z",512,"Baltimore, MD","M&T Bank Stadium",0.8927189,"Baltimore, MD 21230",1121,TRUE,"MD",0,"America/New_York","US","Baltimore","21230",8,"1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","M&T Bank Stadium",-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"145","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.939,"nfl","","2018-04-20T00:00:00",4347025,FALSE,"2018-04-20T00:47:37",0.885,"normal","https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025",FALSE,"2018-11-18T18:00:00","Panthers at Lions","Carolina Panthers at Detroit Lions","2018-11-18T13:00:00",NA,991,2392,67,162.6907,64,136,721,"QRCODE",FALSE,"2018-08-24T21:53:40Z",505,"Detroit, MI","Ford Field",0.9029952,"Detroit, MI 48226",346,TRUE,"MI",0,"America/Detroit","US","Detroit","48226",9,"2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets","ford-field","Ford Field",-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
