"","date","timestamp","time_tbd","visible_until_utc","type","created_at","announce_date","url","id","date_tbd","is_open","short_title","popularity","title","score","datetime_tbd","datetime_local","datetime_utc","status","description","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","url_venue","postal_code","has_upcoming_events","score_venue","address","id_venue","city","popularity_venue","timezone","state","display_location","extended_address","num_upcoming_events","country","slug","name_v2","metro_code","name","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"202","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-17T05:20:00","nfl","2018-04-20T00:47:14","2018-04-20T00:00:00","https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919",4346919,FALSE,FALSE,"Eagles at Rams",0.855,"Philadelphia Eagles at Los Angeles Rams",0.935,FALSE,"2018-12-16T17:20:00","2018-12-17T01:20:00","normal","",NA,282,1366,735,345.33878,116,106,1939,"QRCODE",FALSE,"2018-08-24T21:53:42Z","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","90037",TRUE,0.86898464,"3911 S Figueroa St",51012,"Los Angeles",0,"America/Los_Angeles","CA","Los Angeles, CA","Los Angeles, CA 90037",11,"US","los-angeles-memorial-coliseum-1","Los Angeles Memorial Coliseum",0,"Los Angeles Memorial Coliseum",34.0138,-118.288,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"203","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-18T05:15:00","nfl","2018-04-20T00:47:38","2018-04-20T00:00:00","https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035",4347035,FALSE,FALSE,"Saints at Panthers",0.836,"New Orleans Saints at Carolina Panthers",0.917,FALSE,"2018-12-17T20:15:00","2018-12-18T01:15:00","normal","",NA,156,1071,530,219.48112,78,77,1422,"QRCODE",FALSE,"2018-08-24T21:53:42Z","https://seatgeek.com/venues/bank-of-america-stadium/tickets","28202",TRUE,0.8968222,"800 South Mint Street",1122,"Charlotte",0,"America/New_York","NC","Charlotte, NC","Charlotte, NC 28202",9,"US","bank-of-america-stadium","Bank of America Stadium",517,"Bank of America Stadium",35.2243,-80.8524,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"204","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T21:00:00","nfl","2018-04-20T00:47:29","2018-04-20T00:00:00","https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986",4346986,FALSE,FALSE,"Redskins at Titans",0.799,"Washington Redskins at Tennessee Titans",0.867,FALSE,"2018-12-23T12:00:00","2018-12-23T17:00:00","normal","",NA,133,1022,628,149.57802,39,39,788,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/nissan-stadium/tickets","37213",TRUE,0.8546275,"1 Titans Way",1126,"Nashville",0,"America/New_York","TN","Nashville, TN","Nashville, TN 37213",14,"US","nissan-stadium","Nissan Stadium",659,"Nissan Stadium",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"205","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:31","2018-04-20T00:00:00","https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994",4346994,FALSE,FALSE,"Bengals at Browns",0.807,"Cincinnati Bengals at Cleveland Browns",0.878,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,NA,NA,1339,92.79,31,31,757,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","44114",TRUE,0.86852187,"100 Alfred Lerner Way",1123,"Cleveland",0,"America/New_York","OH","Cleveland, OH","Cleveland, OH 44114",7,"US","firstenergy-stadium-15","FirstEnergy Stadium",510,"FirstEnergy Stadium",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"206","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:35","2018-04-20T00:00:00","https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013",4347013,FALSE,FALSE,"Texans at Eagles",0.849,"Houston Texans at Philadelphia Eagles",0.934,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,284,1147,576,340.5625,147,118,1339,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/lincoln-financial-field/tickets","19148",TRUE,0.90542686,"1020 Pattison Ave",330,"Philadelphia",0,"America/New_York","PA","Philadelphia, PA","Philadelphia, PA 19148",17,"US","lincoln-financial-field","Lincoln Financial Field",504,"Lincoln Financial Field",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"207","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:48","2018-04-20T00:00:00","https://seatgeek.com/jaguars-at-dolphins-tickets/12-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347085",4347085,FALSE,FALSE,"Jaguars at Dolphins",0.795,"Jacksonville Jaguars at Miami Dolphins",0.881,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,132,853,258,153.08914,53,52,899,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/hard-rock-stadium/tickets","33056",TRUE,0.8378203,"347 Don Shula Dr.",29,"Miami Gardens",0,"America/New_York","FL","Miami Gardens, FL","Miami Gardens, FL 33056",38,"US","hard-rock-stadium","Hard Rock Stadium",528,"Hard Rock Stadium",25.96,-80.24,"NONE",FALSE,"2017-10-03T18:58:44Z"
"208","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:41","2018-04-20T00:00:00","https://seatgeek.com/falcons-at-panthers-tickets/12-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347046",4347046,FALSE,FALSE,"Falcons at Panthers",0.835,"Atlanta Falcons at Carolina Panthers",0.916,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,168,1086,642,226.92523,85,84,1099,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/bank-of-america-stadium/tickets","28202",TRUE,0.8968222,"800 South Mint Street",1122,"Charlotte",0,"America/New_York","NC","Charlotte, NC","Charlotte, NC 28202",9,"US","bank-of-america-stadium","Bank of America Stadium",517,"Bank of America Stadium",35.2243,-80.8524,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"209","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:36","2018-04-20T00:00:00","https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022",4347022,FALSE,FALSE,"Vikings at Lions",0.89,"Minnesota Vikings at Detroit Lions",0.972,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,175,919,688,202.85464,79,74,2402,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/ford-field/tickets","48226",TRUE,0.9029952,"2000 Brush St.",346,"Detroit",0,"America/Detroit","MI","Detroit, MI","Detroit, MI 48226",11,"US","ford-field","Ford Field",505,"Ford Field",42.34,-83.0459,"NONE",FALSE,"2015-11-04T17:31:52Z"
"210","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:22","2018-04-20T00:00:00","https://seatgeek.com/packers-at-jets-tickets/12-23-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346959",4346959,FALSE,FALSE,"Packers at Jets",0.907,"Green Bay Packers at New York Jets",1.008,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,243,1096,786,279.4224,103,87,1344,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/metlife-stadium/tickets","07073",TRUE,0.94873494,"1 MetLife Stadium Drive",1587,"East Rutherford",0,"America/New_York","NJ","East Rutherford, NJ","East Rutherford, NJ 07073",17,"US","metlife-stadium","MetLife Stadium",501,"MetLife Stadium",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"211","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:50","2018-04-20T00:00:00","https://seatgeek.com/bills-at-patriots-tickets/12-23-2018-foxborough-massachusetts-gillette-stadium/nfl/4347093",4347093,FALSE,FALSE,"Bills at Patriots",0.879,"Buffalo Bills at New England Patriots",0.956,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,282,762,323,353.03406,159,159,1114,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/gillette-stadium/tickets","02035",TRUE,0.8983344,"1 Patriot Place",33,"Foxborough",0,"America/New_York","MA","Foxborough, MA","Foxborough, MA 02035",15,"US","gillette-stadium","Gillette Stadium",506,"Gillette Stadium",42.0906,-71.2674,"NONE",FALSE,"2018-08-22T15:36:58Z"
"212","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-20T00:47:20","2018-04-20T00:00:00","https://seatgeek.com/giants-at-colts-tickets/12-23-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346954",4346954,FALSE,FALSE,"Giants at Colts",0.848,"New York Giants at Indianapolis Colts",0.924,FALSE,"2018-12-23T13:00:00","2018-12-23T18:00:00","normal","",NA,101,1014,821,120.88307,35,35,570,"QRCODE",FALSE,"2018-08-24T21:53:42Z","https://seatgeek.com/venues/lucas-oil-stadium/tickets","46225",TRUE,0.9071682,"500 South Capitol Avenue",1130,"Indianapolis",0,"America/Indiana/Indianapolis","IN","Indianapolis, IN","Indianapolis, IN 46225",14,"US","lucas-oil-stadium","Lucas Oil Stadium",527,"Lucas Oil Stadium",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"213","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-23T22:00:00","nfl","2018-04-05T23:08:46","2018-04-05T00:00:00","https://seatgeek.com/buccaneers-at-cowboys-tickets/12-23-2018-arlington-texas-at-t-stadium/nfl/4327918",4327918,FALSE,TRUE,"Buccaneers at Cowboys",0.865,"Tampa Bay Buccaneers at Dallas Cowboys",0.959,FALSE,"2018-12-23T12:00:00","2018-12-23T18:00:00","normal","",NA,224,2895,4363,283.0282,27,27,4309,"QRCODE",FALSE,"2018-04-17T22:02:33Z","https://seatgeek.com/venues/at-t-stadium/tickets","76011",TRUE,0.9751414,"1 AT&T Way",4965,"Arlington",0,"America/Chicago","TX","Arlington, TX","Arlington, TX 76011",22,"US","at-t-stadium","AT&T Stadium",623,"AT&T Stadium",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"214","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-24T01:05:00","nfl","2018-04-20T00:47:50","2018-04-20T00:00:00","https://seatgeek.com/rams-at-cardinals-tickets/12-23-2018-glendale-arizona-state-farm-stadium/nfl/4347097",4347097,FALSE,FALSE,"Rams at Cardinals",0.843,"Los Angeles Rams at Arizona Cardinals",0.921,FALSE,"2018-12-23T14:05:00","2018-12-23T21:05:00","normal","",NA,100,1468,1224,131.72713,35,35,6034,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/state-farm-stadium/tickets","85305",TRUE,0.93402725,"1 Cardinals Drive",43,"Glendale",0,"America/Phoenix","AZ","Glendale, AZ","Glendale, AZ 85305",9,"US","state-farm-stadium","State Farm Stadium",753,"State Farm Stadium",33.5294,-112.262,"NONE",FALSE,"2015-12-21T17:26:05Z"
"215","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-24T01:05:00","nfl","2018-04-20T00:47:52","2018-04-20T00:00:00","https://seatgeek.com/ravens-at-chargers-tickets/12-23-2018-carson-california-stubhub-center/nfl/4347106",4347106,FALSE,FALSE,"Ravens at Chargers",0.854,"Baltimore Ravens at Los Angeles Chargers",0.95,FALSE,"2018-12-23T13:05:00","2018-12-23T21:05:00","normal","",NA,200,500,423,234.43498,131,127,648,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/stubhub-center/tickets","90746",TRUE,0.7228164,"18400 Avalon Blvd",52,"Carson",0,"America/Los_Angeles","CA","Carson, CA","Carson, CA 90746",16,"US","stubhub-center","StubHub Center",803,"StubHub Center",33.8643,-118.261,NA,NA,NA
"216","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-24T01:05:00","nfl","2018-04-20T00:47:54","2018-04-20T00:00:00","https://seatgeek.com/bears-at-49ers-tickets/12-23-2018-santa-clara-california-levi-s-stadium/nfl/4347116",4347116,FALSE,FALSE,"Bears at 49ers",0.869,"Chicago Bears at San Francisco 49ers",0.955,FALSE,"2018-12-23T13:05:00","2018-12-23T21:05:00","normal","",NA,219,1230,1130,238.36284,95,95,2989,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/levi-s-stadium/tickets","95054",TRUE,0.95768774,"4900 Marie P DeBartolo Way",58670,"Santa Clara",0,"America/Los_Angeles","CA","Santa Clara, CA","Santa Clara, CA 95054",13,"US","levi-s-stadium","Levi's Stadium",0,"Levi's Stadium",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"217","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-24T01:25:00","nfl","2018-04-20T00:47:24","2018-04-20T00:00:00","https://seatgeek.com/steelers-at-saints-tickets/12-23-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346967",4346967,FALSE,TRUE,"Steelers at Saints",0.866,"Pittsburgh Steelers at New Orleans Saints",0.961,FALSE,"2018-12-23T15:25:00","2018-12-23T21:25:00","normal","",NA,350,1435,1600,362.63187,143,143,2400,"QRCODE",FALSE,"2018-05-29T20:39:33Z","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","70112",TRUE,0.8966978,"1500 Sugar Bowl Drive",128,"New Orleans",0,"America/Chicago","LA","New Orleans, LA","New Orleans, LA 70112",18,"US","mercedes-benz-superdome","Mercedes-Benz Superdome",622,"Mercedes-Benz Superdome",29.9515,-90.0786,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"218","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-24T05:20:00","nfl","2018-04-20T00:47:55","2018-04-20T00:00:00","https://seatgeek.com/chiefs-at-seahawks-tickets/12-23-2018-seattle-washington-centurylink-field/nfl/4347121",4347121,FALSE,FALSE,"Chiefs at Seahawks",0.854,"Kansas City Chiefs at Seattle Seahawks",0.938,FALSE,"2018-12-23T17:20:00","2018-12-24T01:20:00","normal","",NA,301,882,401,324.80798,121,109,1166,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/centurylink-field/tickets","98134",TRUE,0.87232786,"800 Occidental Ave S",339,"Seattle",0,"America/Los_Angeles","WA","Seattle, WA","Seattle, WA 98134",12,"US","centurylink-field","CenturyLink Field",819,"CenturyLink Field",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"219","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-25T05:15:00","nfl","2018-04-20T01:04:24","2018-04-20T00:00:00","https://seatgeek.com/broncos-at-raiders-tickets/12-24-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347150",4347150,FALSE,FALSE,"Broncos at Raiders",0.829,"Denver Broncos at Oakland Raiders",0.919,FALSE,"2018-12-24T17:15:00","2018-12-25T01:15:00","normal","",NA,195,1046,720,202.70139,80,80,1306,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","94621",TRUE,0.7817843,"7000 Coliseum Way",14,"Oakland",0,"America/Los_Angeles","CA","Oakland, CA","Oakland, CA 94621",22,"US","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum",807,"Oakland-Alameda County Coliseum",37.7469,-122.201,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"220","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-12-30T21:00:00","nfl","2018-04-20T00:47:28","2018-04-20T00:00:00","https://seatgeek.com/colts-at-titans-tickets/12-30-2018-nashville-tennessee-nissan-stadium/nfl/4346984",4346984,FALSE,FALSE,"Colts at Titans",0.783,"Indianapolis Colts at Tennessee Titans",0.855,FALSE,"2018-12-30T12:00:00","2018-12-30T17:00:00","normal","",NA,118,1049,655,143.01527,32,32,720,"QRCODE",FALSE,"2018-08-24T21:53:43Z","https://seatgeek.com/venues/nissan-stadium/tickets","37213",TRUE,0.8546275,"1 Titans Way",1126,"Nashville",0,"America/New_York","TN","Nashville, TN","Nashville, TN 37213",14,"US","nissan-stadium","Nissan Stadium",659,"Nissan Stadium",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
