"","date","timestamp","is_open","description","created_at","datetime_local","visible_until_utc","popularity","datetime_utc","title","type","announce_date","url","date_tbd","datetime_tbd","id","time_tbd","short_title","status","score","general_admission","average_price","lowest_price","highest_price","listing_count","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","timezone","name_v2","name","address","popularity_venue","extended_address","display_location","city","has_upcoming_events","country","postal_code","url_venue","num_upcoming_events","id_venue","slug","metro_code","state","score_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"189","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:26","2018-12-13T19:20:00","2018-12-14T05:20:00",0.806,"2018-12-14T01:20:00","Los Angeles Chargers at Kansas City Chiefs","nfl","2018-04-20T00:00:00","https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978",FALSE,FALSE,4346978,FALSE,"Chargers at Chiefs","normal",0.862,NA,142.08,39,711,900,39,125,1084,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/Chicago","Arrowhead Stadium","Arrowhead Stadium","1 Arrowhead Drive",0,"Kansas City, MO 64129","Kansas City, MO","Kansas City",TRUE,"US","64129","https://seatgeek.com/venues/arrowhead-stadium/tickets",9,1128,"arrowhead-stadium",616,"MO",0.8827867,-94.4839,39.0489,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"190","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:35","2018-12-15T16:30:00","2018-12-16T01:30:00",0.842,"2018-12-15T21:30:00","Houston Texans at New York Jets","nfl","2018-04-20T00:00:00","https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015",FALSE,FALSE,4347015,FALSE,"Texans at Jets","normal",0.899,NA,151.43936,36,918,1138,36,124,1380,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/New_York","MetLife Stadium","MetLife Stadium","1 MetLife Stadium Drive",0,"East Rutherford, NJ 07073","East Rutherford, NJ","East Rutherford",TRUE,"US","07073","https://seatgeek.com/venues/metlife-stadium/tickets",17,1587,"metlife-stadium",501,"NJ",0.94873494,-74.0737,40.8142,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"191","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T01:04:04","2018-12-15T14:30:00","2018-12-16T01:30:00",0.804,"2018-12-15T21:30:00","Cleveland Browns at Denver Broncos","nfl","2018-04-20T00:00:00","https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135",FALSE,FALSE,4347135,FALSE,"Browns at Broncos","normal",0.849,NA,266.69595,105,1089,148,84,208,808,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/Denver","Sports Authority Field at Mile High","Sports Authority Field at Mile High","1701 Bryant Street",0,"Denver, CO 80204","Denver, CO","Denver",TRUE,"US","80204","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",6,1131,"sports-authority-field-at-mile-high",751,"CO",0.9028296,-105.02,39.74,"2015-08-07T18:39:02Z","QRCODE_TM",FALSE
"192","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:41","2018-12-16T13:00:00","2018-12-16T22:00:00",0.84,"2018-12-16T18:00:00","Arizona Cardinals at Atlanta Falcons","nfl","2018-04-20T00:00:00","https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047",FALSE,FALSE,4347047,FALSE,"Cardinals at Falcons","normal",0.887,NA,193.27457,64,1193,1038,62,162,1302,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/New_York","Mercedes-Benz Stadium","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW",0,"Atlanta, GA 30313","Atlanta, GA","Atlanta",TRUE,"US","30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",19,419590,"mercedes-benz-stadium",0,"GA",0.76958936,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"193","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:43","2018-12-16T13:00:00","2018-12-16T22:00:00",0.799,"2018-12-16T18:00:00","Detroit Lions at Buffalo Bills","nfl","2018-04-20T00:00:00","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057",FALSE,FALSE,4347057,FALSE,"Lions at Bills","normal",0.849,NA,88.34928,24,636,1108,21,66,1483,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/New_York","New Era Field","New Era Field","1 Bills Drive",0,"Orchard Park, NY 14127","Orchard Park, NY","Orchard Park",TRUE,"US","14127","https://seatgeek.com/venues/new-era-field/tickets",7,1135,"new-era-field",514,"NY",0.8815085,-78.7874,42.7737,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"194","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:32","2018-12-16T12:00:00","2018-12-16T22:00:00",0.884,"2018-12-16T18:00:00","Green Bay Packers at Chicago Bears","nfl","2018-04-20T00:00:00","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002",FALSE,FALSE,4347002,FALSE,"Packers at Bears","normal",0.945,NA,426.1734,180,2225,173,163,343,955,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/Chicago","Soldier Field","Soldier Field","1410 S. Museum Campus Drive",0,"Chicago, IL 60605","Chicago, IL","Chicago",TRUE,"US","60605","https://seatgeek.com/venues/soldier-field/tickets",11,31,"soldier-field",602,"IL",0.940013,-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"195","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:20","2018-12-16T13:00:00","2018-12-16T22:00:00",0.87,"2018-12-16T18:00:00","Dallas Cowboys at Indianapolis Colts","nfl","2018-04-20T00:00:00","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955",FALSE,FALSE,4346955,FALSE,"Cowboys at Colts","normal",0.925,NA,306.11514,104,11408,469,104,215,930,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/Indiana/Indianapolis","Lucas Oil Stadium","Lucas Oil Stadium","500 South Capitol Avenue",0,"Indianapolis, IN 46225","Indianapolis, IN","Indianapolis",TRUE,"US","46225","https://seatgeek.com/venues/lucas-oil-stadium/tickets",12,1130,"lucas-oil-stadium",527,"IN",0.9071682,-86.1639,39.7601,"2018-09-13T22:29:37Z","QRCODE_TM",FALSE
"196","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:44","2018-12-16T13:00:00","2018-12-16T22:00:00",0.779,"2018-12-16T18:00:00","Tampa Bay Buccaneers at Baltimore Ravens","nfl","2018-04-20T00:00:00","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066",FALSE,FALSE,4347066,FALSE,"Buccaneers at Ravens","normal",0.827,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/New_York","M&T Bank Stadium","M&T Bank Stadium","1101 Russell St",0,"Baltimore, MD 21230","Baltimore, MD","Baltimore",TRUE,"US","21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets",8,1121,"m-t-bank-stadium",512,"MD",0.8927189,-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"197","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:18","2018-12-16T13:00:00","2018-12-16T22:00:00",0.778,"2018-12-16T18:00:00","Washington Redskins at Jacksonville Jaguars","nfl","2018-04-20T00:00:00","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945",FALSE,FALSE,4346945,FALSE,"Redskins at Jaguars","normal",0.831,NA,162.97723,63,653,659,63,128,864,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/New_York","EverBank Field","EverBank Field","1 Everbank Field Dr",0,"Jacksonville, FL 32202","Jacksonville, FL","Jacksonville",TRUE,"US","32202","https://seatgeek.com/venues/everbank-field/tickets",9,5178,"everbank-field",561,"FL",0.83759147,-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"198","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T01:04:05","2018-12-16T12:00:00","2018-12-16T22:00:00",0.847,"2018-12-16T18:00:00","Miami Dolphins at Minnesota Vikings","nfl","2018-04-20T00:00:00","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144",FALSE,FALSE,4347144,FALSE,"Dolphins at Vikings","normal",0.896,NA,255.23042,100,5205,664,99,198,1031,"2018-08-24T21:53:42Z","QRCODE",FALSE,"America/Chicago","U.S. Bank Stadium","U.S. Bank Stadium","401 Chicago Avenue",0,"Minneapolis, MN 55415","Minneapolis, MN","Minneapolis",TRUE,"US","55415","https://seatgeek.com/venues/u-s-bank-stadium/tickets",13,218451,"u-s-bank-stadium",0,"MN",0.88524246,-93.26,44.97,"2018-08-22T15:34:15Z","NONE",FALSE
