"","date","timestamp","type","is_open","datetime_tbd","announce_date","score","datetime_utc","datetime_local","id","url","popularity","title","time_tbd","status","created_at","short_title","description","date_tbd","visible_until_utc","general_admission","lowest_price","lowest_price_good_deals","average_price","listing_count","highest_price","visible_listing_count","median_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","display_location","address","city","metro_code","state","score_venue","country","name","has_upcoming_events","id_venue","url_venue","popularity_venue","timezone","extended_address","slug","name_v2","postal_code","num_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"17","2018-10-10","2018-10-10_11.05.12","sports",FALSE,FALSE,"2018-08-01T00:00:00",0.346,"2018-10-20T23:30:00","2018-10-20T18:30:00",4471322,"https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",0.507,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,"normal","2018-08-01T16:01:33","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","",FALSE,"2018-10-21T03:30:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Jonesboro, AR","217 Olympic Drive","Jonesboro",734,"AR",0.5808074,"US","ASU Convocation Center",TRUE,4081,"https://seatgeek.com/venues/asu-convocation-center-1/tickets",0,"America/Chicago","Jonesboro, AR 72401","asu-convocation-center-1","ASU Convocation Center","72401",42,-90.6691,35.8438,NA,NA,NA
"18","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.972,"2018-10-21T17:00:00","2018-10-21T12:00:00",4347008,"https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",0.935,"New England Patriots at Chicago Bears",FALSE,"normal","2018-04-20T00:47:33","Patriots at Bears","",FALSE,"2018-10-21T21:00:00",NA,479,298,786.97296,37,1478,572,782,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Chicago, IL","1410 S. Museum Campus Drive","Chicago",602,"IL",0.940013,"US","Soldier Field",TRUE,31,"https://seatgeek.com/venues/soldier-field/tickets",0,"America/Chicago","Chicago, IL 60605","soldier-field","Soldier Field","60605",7,-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"19","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.858,"2018-10-21T17:00:00","2018-10-21T13:00:00",4346960,"https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",0.852,"Buffalo Bills at Indianapolis Colts",FALSE,"normal","2018-04-20T00:47:22","Bills at Colts","",FALSE,"2018-10-21T21:00:00",NA,26,26,104.95095,632,840,1304,100,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Indianapolis, IN","500 South Capitol Avenue","Indianapolis",527,"IN",0.9071682,"US","Lucas Oil Stadium",TRUE,1130,"https://seatgeek.com/venues/lucas-oil-stadium/tickets",0,"America/Indiana/Indianapolis","Indianapolis, IN 46225","lucas-oil-stadium","Lucas Oil Stadium","46225",12,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"20","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.956,"2018-10-21T17:00:00","2018-10-21T13:00:00",4346975,"https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",0.926,"Minnesota Vikings at New York Jets",FALSE,"normal","2018-04-20T00:47:26","Vikings at Jets","",FALSE,"2018-10-21T21:00:00",NA,73,81,205.7426,439,847,1322,164,"QRCODE",FALSE,"2018-08-24T21:53:38Z","East Rutherford, NJ","1 MetLife Stadium Drive","East Rutherford",501,"NJ",0.94873494,"US","MetLife Stadium",TRUE,1587,"https://seatgeek.com/venues/metlife-stadium/tickets",0,"America/New_York","East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","07073",14,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"21","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.89,"2018-10-21T17:00:00","2018-10-21T13:00:00",4347084,"https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",0.875,"Detroit Lions at Miami Dolphins",FALSE,"normal","2018-04-20T00:47:47","Lions at Dolphins","",FALSE,"2018-10-21T21:00:00",NA,59,51,156.04688,128,378,1737,150,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Miami Gardens, FL","347 Don Shula Dr.","Miami Gardens",528,"FL",0.8378203,"US","Hard Rock Stadium",TRUE,29,"https://seatgeek.com/venues/hard-rock-stadium/tickets",0,"America/New_York","Miami Gardens, FL 33056","hard-rock-stadium","Hard Rock Stadium","33056",34,-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"22","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.87,"2018-10-21T17:00:00","2018-10-21T13:00:00",4346931,"https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",0.859,"Cleveland Browns at Tampa Bay Buccaneers",FALSE,"normal","2018-04-20T00:47:16","Browns at Buccaneers","",FALSE,"2018-10-21T21:00:00",NA,204,77,332.8,5,465,693,371,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Tampa, FL","4201 North Dale Mabry Highway","Tampa",539,"FL",0.86513025,"US","Raymond James Stadium",TRUE,39,"https://seatgeek.com/venues/raymond-james-stadium/tickets",0,"America/New_York","Tampa, FL 33607","raymond-james-stadium","Raymond James Stadium","33607",15,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"23","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.816,"2018-10-21T17:00:00","2018-10-21T13:00:00",4346948,"https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948",0.824,"Houston Texans at Jacksonville Jaguars",FALSE,"normal","2018-04-20T00:47:19","Texans at Jaguars","",FALSE,"2018-10-21T21:00:00",NA,40,40,99.337425,489,489,1163,80,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Jacksonville, FL","1 Everbank Field Dr","Jacksonville",561,"FL",0.83759147,"US","TIAA Bank Field",TRUE,5178,"https://seatgeek.com/venues/tiaa-bank-field/tickets",0,"America/New_York","Jacksonville, FL 32202","tiaa-bank-field","TIAA Bank Field","32202",7,-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"24","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.942,"2018-10-21T17:00:00","2018-10-21T13:00:00",4347036,"https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",0.912,"Carolina Panthers at Philadelphia Eagles",FALSE,"normal","2018-04-20T00:47:39","Panthers at Eagles","",FALSE,"2018-10-21T21:00:00",NA,191,145,366.18143,237,856,1245,345,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Philadelphia, PA","1020 Pattison Ave","Philadelphia",504,"PA",0.90542686,"US","Lincoln Financial Field",TRUE,330,"https://seatgeek.com/venues/lincoln-financial-field/tickets",0,"America/New_York","Philadelphia, PA 19148","lincoln-financial-field","Lincoln Financial Field","19148",12,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"25","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.876,"2018-10-21T20:05:00","2018-10-21T16:05:00",4347071,"https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",0.866,"New Orleans Saints at Baltimore Ravens",FALSE,"normal","2018-04-20T00:47:45","Saints at Ravens","",FALSE,"2018-10-22T00:05:00",NA,74,74,149.49342,304,597,1642,120,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Baltimore, MD","1101 Russell St","Baltimore",512,"MD",0.8927189,"US","M&T Bank Stadium",TRUE,1121,"https://seatgeek.com/venues/m-t-bank-stadium/tickets",0,"America/New_York","Baltimore, MD 21230","m-t-bank-stadium","M&T Bank Stadium","21230",6,-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"26","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.981,"2018-10-21T20:25:00","2018-10-21T16:25:00",4346941,"https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",0.943,"Dallas Cowboys at Washington Redskins",FALSE,"normal","2018-04-20T00:47:18","Cowboys at Redskins","",FALSE,"2018-10-22T00:25:00",NA,172,164,301.61017,413,881,1078,260,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Landover, MD","1600 Fedex Way","Landover",511,"MD",0.9333444,"US","FedEx Field",TRUE,35,"https://seatgeek.com/venues/fedex-field/tickets",0,"America/New_York","Landover, MD 20785","fedex-field","FedEx Field","20785",6,-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"27","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.929,"2018-10-22T00:20:00","2018-10-21T17:20:00",4347118,"https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118",0.902,"Los Angeles Rams at San Francisco 49ers",FALSE,"normal","2018-04-20T00:47:54","Rams at 49ers","",FALSE,"2018-10-22T04:20:00",NA,60,55,174.95245,610,715,2091,164,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Santa Clara, CA","4900 Marie P DeBartolo Way","Santa Clara",0,"CA",0.95768774,"US","Levi's Stadium",TRUE,58670,"https://seatgeek.com/venues/levi-s-stadium/tickets",0,"America/Los_Angeles","Santa Clara, CA 95054","levi-s-stadium","Levi's Stadium","95054",11,-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"28","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.904,"2018-10-22T00:20:00","2018-10-21T19:20:00",4346982,"https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982",0.884,"Cincinnati Bengals at Kansas City Chiefs",FALSE,"normal","2018-04-20T00:47:27","Bengals at Chiefs","",FALSE,"2018-10-22T04:20:00",NA,90,89,165.53104,145,361,1306,144,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Kansas City, MO","1 Arrowhead Drive","Kansas City",616,"MO",0.8827867,"US","Arrowhead Stadium",TRUE,1128,"https://seatgeek.com/venues/arrowhead-stadium/tickets",0,"America/Chicago","Kansas City, MO 64129","arrowhead-stadium","Arrowhead Stadium","64129",7,-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"29","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.941,"2018-10-23T00:15:00","2018-10-22T20:15:00",4347050,"https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050",0.903,"New York Giants at Atlanta Falcons",FALSE,"normal","2018-04-20T00:47:42","Giants at Falcons","",FALSE,"2018-10-23T04:15:00",NA,66,NA,475.64813,4476,308219,2250,351,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Atlanta, GA","35 Northside Dr NW","Atlanta",0,"GA",0.76958936,"US","Mercedes-Benz Stadium",TRUE,419590,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0,"America/New_York","Atlanta, GA 30313","mercedes-benz-stadium","Mercedes-Benz Stadium","30313",18,-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"30","2018-10-10","2018-10-10_11.05.12","ncaa_football",FALSE,FALSE,"2018-02-28T00:00:00",0.293,"2018-10-24T00:00:00","2018-10-23T19:00:00",4281985,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985",0.445,"Troy Trojans at South Alabama Jaguars Football",FALSE,"normal","2018-02-28T15:00:17","Troy at South Alabama","",FALSE,"2018-10-24T04:00:00",NA,19,19,40.48387,31,93,10,35,NA,NA,NA,"Mobile, AL","1621 Virginia St.","Mobile",686,"AL",0.50177634,"US","Ladd Peebles Stadium",TRUE,3716,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0,"America/Chicago","Mobile, AL 36604","ladd-peebles-stadium","Ladd Peebles Stadium","36604",5,-88.0761,30.6748,NA,NA,NA
"31","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.887,"2018-10-26T00:20:00","2018-10-25T19:20:00",4347018,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018",0.858,"Miami Dolphins at Houston Texans",FALSE,"normal","2018-04-20T00:47:36","Dolphins at Texans","",FALSE,"2018-10-26T04:20:00",NA,57,57,156.88594,640,626,1883,122,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Houston, TX","1 Reliant Park","Houston",618,"TX",0.8624192,"US","NRG Stadium",TRUE,41,"https://seatgeek.com/venues/nrg-stadium/tickets",0,"America/Chicago","Houston, TX 77054","nrg-stadium","NRG Stadium","77054",42,-95.4107,29.6847,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"32","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.926,"2018-10-28T17:00:00","2018-10-28T13:00:00",4347026,"https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026",0.887,"Seattle Seahawks at Detroit Lions",FALSE,"normal","2018-04-20T00:47:37","Seahawks at Lions","",FALSE,"2018-10-28T21:00:00",NA,72,73,146.41142,350,604,578,116,"QRCODE",FALSE,"2018-08-24T21:53:39Z","Detroit, MI","2000 Brush St.","Detroit",505,"MI",0.9029952,"US","Ford Field",TRUE,346,"https://seatgeek.com/venues/ford-field/tickets",0,"America/Detroit","Detroit, MI 48226","ford-field","Ford Field","48226",10,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"33","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.869,"2018-10-28T17:00:00","2018-10-28T13:00:00",4347041,"https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041",0.843,"Tampa Bay Buccaneers at Cincinnati Bengals",FALSE,"normal","2018-04-20T00:47:40","Buccaneers at Bengals","",FALSE,"2018-10-28T21:00:00",NA,56,56,115.258446,503,452,955,104,"QRCODE",FALSE,"2018-08-24T21:53:39Z","Cincinnati, OH","1 Paul Brown Stadium","Cincinnati",515,"OH",0.86166537,"US","Paul Brown Stadium",TRUE,1124,"https://seatgeek.com/venues/paul-brown-stadium/tickets",0,"America/New_York","Cincinnati, OH 45202","paul-brown-stadium","Paul Brown Stadium","45202",6,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"34","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.901,"2018-10-28T17:00:00","2018-10-28T13:00:00",4347070,"https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070",0.866,"Baltimore Ravens at Carolina Panthers",FALSE,"normal","2018-04-20T00:47:45","Ravens at Panthers","",FALSE,"2018-10-28T21:00:00",NA,102,97,250.54274,234,684,1451,192,"QRCODE",FALSE,"2018-08-24T21:53:39Z","Charlotte, NC","800 South Mint Street","Charlotte",517,"NC",0.8968222,"US","Bank of America Stadium",TRUE,1122,"https://seatgeek.com/venues/bank-of-america-stadium/tickets",0,"America/New_York","Charlotte, NC 28202","bank-of-america-stadium","Bank of America Stadium","28202",8,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"35","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.937,"2018-10-28T17:00:00","2018-10-28T13:00:00",4346940,"https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940",0.893,"Washington Redskins at New York Giants",FALSE,"normal","2018-04-20T00:47:17","Redskins at Giants","",FALSE,"2018-10-28T21:00:00",NA,122,121,290.72543,346,1438,1430,228,"QRCODE",FALSE,"2018-08-24T21:53:39Z","East Rutherford, NJ","1 MetLife Stadium Drive","East Rutherford",501,"NJ",0.94873494,"US","MetLife Stadium",TRUE,1587,"https://seatgeek.com/venues/metlife-stadium/tickets",0,"America/New_York","East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","07073",14,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
