"","date","timestamp","description","datetime_utc","score","announce_date","title","date_tbd","created_at","id","type","popularity","url","datetime_tbd","is_open","time_tbd","short_title","datetime_local","status","visible_until_utc","general_admission","lowest_price","highest_price","listing_count","lowest_price_good_deals","average_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","id_venue","address","url_venue","score_venue","slug","postal_code","has_upcoming_events","num_upcoming_events","popularity_venue","name","timezone","display_location","extended_address","city","name_v2","state","country","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"17","2018-09-04","2018-09-04_16.00.15","","2018-09-11T02:20:00",0.879,"2018-04-20T00:00:00","Los Angeles Rams at Oakland Raiders",FALSE,"2018-04-20T01:04:25",4347155,"nfl",0.923,"https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155",FALSE,FALSE,FALSE,"Rams at Raiders","2018-09-10T19:20:00","normal","2018-09-11T06:20:00",NA,118,1971,923,118,285.71,"QRCODE",FALSE,"2018-08-24T17:02:44Z",14,"7000 Coliseum Way","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",0.7817843,"oakland-alameda-county-coliseum","94621",TRUE,32,0,"Oakland-Alameda County Coliseum","America/Los_Angeles","Oakland, CA","Oakland, CA 94621","Oakland","Oakland-Alameda County Coliseum","CA","US",-122.201,37.7469,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"18","2018-09-04","2018-09-04_16.00.15","","2018-09-14T00:20:00",0.854,"2018-04-20T00:00:00","Baltimore Ravens at Cincinnati Bengals",FALSE,"2018-04-20T00:47:41",4347044,"nfl",0.889,"https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044",FALSE,FALSE,FALSE,"Ravens at Bengals","2018-09-13T20:20:00","normal","2018-09-14T04:20:00",NA,39,1114,1357,39,131.99,"QRCODE",FALSE,"2018-08-24T17:03:28Z",1124,"1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets",0.86166537,"paul-brown-stadium","45202",TRUE,9,0,"Paul Brown Stadium","America/New_York","Cincinnati, OH","Cincinnati, OH 45202","Cincinnati","Paul Brown Stadium","OH","US",-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"19","2018-09-04","2018-09-04_16.00.15","","2018-09-15T23:00:00",0.37,"2018-02-28T00:00:00","Texas State Bobcats at South Alabama Jaguars Football",FALSE,"2018-02-28T15:00:17",4281986,"ncaa_football",0.542,"https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",FALSE,FALSE,FALSE,"Texas State at South Alabama","2018-09-15T18:00:00","normal","2018-09-16T03:00:00",NA,27,93,24,27,41.65,NA,NA,NA,3716,"1621 Virginia St.","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0.50177634,"ladd-peebles-stadium","36604",TRUE,7,0,"Ladd Peebles Stadium","America/Chicago","Mobile, AL","Mobile, AL 36604","Mobile","Ladd Peebles Stadium","AL","US",-88.0761,30.6748,NA,NA,NA
"20","2018-09-04","2018-09-04_16.00.15","","2018-09-16T16:00:00",0.84,"2018-04-20T00:00:00","Houston Texans at Tennessee Titans",FALSE,"2018-04-20T00:47:30",4346993,"nfl",0.867,"https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",FALSE,FALSE,FALSE,"Texans at Titans","2018-09-16T12:00:00","normal","2018-09-16T20:00:00",NA,65,116739,1143,65,296.22,"QRCODE",FALSE,"2018-08-24T18:23:49Z",1126,"1 Titans Way","https://seatgeek.com/venues/nissan-stadium/tickets",0.8546275,"nissan-stadium","37213",TRUE,15,0,"Nissan Stadium","America/New_York","Nashville, TN","Nashville, TN 37213","Nashville","Nissan Stadium","TN","US",-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"21","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.939,"2018-04-20T00:00:00","Indianapolis Colts at Washington Redskins",FALSE,"2018-04-20T00:47:18",4346944,"nfl",0.948,"https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",FALSE,FALSE,FALSE,"Colts at Redskins","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,85,1276,1970,85,213.67,"QRCODE",FALSE,"2018-08-24T18:23:09Z",35,"1600 Fedex Way","https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"fedex-field","20785",TRUE,9,0,"FedEx Field","America/New_York","Landover, MD","Landover, MD 20785","Landover","FedEx Field","MD","US",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"22","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.937,"2018-04-20T00:00:00","Carolina Panthers at Atlanta Falcons",FALSE,"2018-04-20T00:47:42",4347054,"nfl",0.939,"https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",FALSE,FALSE,FALSE,"Panthers at Falcons","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,110,12235,1417,110,315.7,"QRCODE",FALSE,"2018-08-23T20:14:46Z",419590,"35 Northside Dr NW","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"mercedes-benz-stadium","30313",TRUE,15,0,"Mercedes-Benz Stadium","America/New_York","Atlanta, GA","Atlanta, GA 30313","Atlanta","Mercedes-Benz Stadium","GA","US",-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"23","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.897,"2018-04-20T00:00:00","Philadelphia Eagles at Tampa Bay Buccaneers",FALSE,"2018-04-20T00:47:16",4346933,"nfl",0.91,"https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",FALSE,FALSE,FALSE,"Eagles at Buccaneers","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,138,2737,1024,138,423.7,"QRCODE",FALSE,"2018-08-24T17:04:19Z",39,"4201 North Dale Mabry Highway","https://seatgeek.com/venues/raymond-james-stadium/tickets",0.86513025,"raymond-james-stadium","33607",TRUE,16,0,"Raymond James Stadium","America/New_York","Tampa, FL","Tampa, FL 33607","Tampa","Raymond James Stadium","FL","US",-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"24","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.917,"2018-04-20T00:00:00","Kansas City Chiefs at Pittsburgh Steelers",FALSE,"2018-04-20T00:47:45",4347074,"nfl",0.923,"https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",FALSE,FALSE,FALSE,"Chiefs at Steelers","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,136,5666,866,136,337.07,"QRCODE",FALSE,"2018-08-24T18:24:29Z",1119,"100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"heinz-field","15212",TRUE,13,0,"Heinz Field","America/New_York","Pittsburgh, PA","Pittsburgh, PA 15212","Pittsburgh","Heinz Field","PA","US",-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"25","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.949,"2018-04-20T00:00:00","Miami Dolphins at New York Jets",FALSE,"2018-04-20T00:47:20",4346953,"nfl",0.951,"https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",FALSE,FALSE,FALSE,"Dolphins at Jets","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,68,1987,1573,68,230.63,"QRCODE",FALSE,"2018-08-24T18:23:39Z",1587,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"metlife-stadium","07073",TRUE,21,0,"MetLife Stadium","America/New_York","East Rutherford, NJ","East Rutherford, NJ 07073","East Rutherford","MetLife Stadium","NJ","US",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"26","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.95,"2018-04-20T00:00:00","Minnesota Vikings at Green Bay Packers",FALSE,"2018-04-20T00:47:14",4346915,"nfl",0.949,"https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",FALSE,FALSE,FALSE,"Vikings at Packers","2018-09-16T12:00:00","normal","2018-09-16T21:00:00",NA,280,1977,1007,280,551.75,"QRCODE",FALSE,"2018-08-24T17:03:48Z",1125,"1265 Lombardi Avenue","https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"lambeau-field","54304",TRUE,8,0,"Lambeau Field","America/Chicago","Green Bay, WI","Green Bay, WI 54304","Green Bay","Lambeau Field","WI","US",-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"27","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.895,"2018-04-20T00:00:00","Los Angeles Chargers at Buffalo Bills",FALSE,"2018-04-20T00:47:44",4347064,"nfl",0.906,"https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",FALSE,FALSE,FALSE,"Chargers at Bills","2018-09-16T13:00:00","normal","2018-09-16T21:00:00",NA,133,2426,1200,133,253.21,"QRCODE",FALSE,"2018-08-24T18:24:17Z",1135,"1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"new-era-field","14127",TRUE,8,0,"New Era Field","America/New_York","Orchard Park, NY","Orchard Park, NY 14127","Orchard Park","New Era Field","NY","US",-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"28","2018-09-04","2018-09-04_16.00.15","","2018-09-16T17:00:00",0.871,"2018-04-20T00:00:00","Cleveland Browns at New Orleans Saints",FALSE,"2018-04-20T00:47:25",4346973,"nfl",0.894,"https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",FALSE,TRUE,FALSE,"Browns at Saints","2018-09-16T12:00:00","normal","2018-09-16T21:00:00",NA,54,1800,1433,54,195.12,"QRCODE",FALSE,"2018-05-29T20:38:49Z",128,"1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"mercedes-benz-superdome","70112",TRUE,20,0,"Mercedes-Benz Superdome","America/Chicago","New Orleans, LA","New Orleans, LA 70112","New Orleans","Mercedes-Benz Superdome","LA","US",-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"29","2018-09-04","2018-09-04_16.00.15","","2018-09-16T20:05:00",0.95,"2018-04-20T00:00:00","Detroit Lions at San Francisco 49ers",FALSE,"2018-04-20T00:47:54",4347119,"nfl",0.947,"https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119",FALSE,FALSE,FALSE,"Lions at 49ers","2018-09-16T13:05:00","normal","2018-09-17T00:05:00",NA,88,3694,1350,88,264.7,"QRCODE",FALSE,"2018-08-24T18:24:41Z",58670,"4900 Marie P DeBartolo Way","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"levi-s-stadium","95054",TRUE,13,0,"Levi's Stadium","America/Los_Angeles","Santa Clara, CA","Santa Clara, CA 95054","Santa Clara","Levi's Stadium","CA","US",-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"30","2018-09-04","2018-09-04_16.00.15","","2018-09-16T20:05:00",0.885,"2018-04-20T00:00:00","Arizona Cardinals at Los Angeles Rams",FALSE,"2018-04-20T00:47:15",4346924,"nfl",0.899,"https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924",FALSE,FALSE,FALSE,"Cardinals at Rams","2018-09-16T13:05:00","normal","2018-09-17T00:05:00",NA,33,1856,2279,33,128.74,"QRCODE",FALSE,"2018-08-24T17:04:03Z",51012,"3911 S Figueroa St","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",0.86898464,"los-angeles-memorial-coliseum-1","90037",TRUE,14,0,"Los Angeles Memorial Coliseum","America/Los_Angeles","Los Angeles, CA","Los Angeles, CA 90037","Los Angeles","Los Angeles Memorial Coliseum","CA","US",-118.29,34.01,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
