"","date","timestamp","datetime_local","time_tbd","status","datetime_utc","description","title","id","url","score","created_at","date_tbd","announce_date","is_open","short_title","type","popularity","datetime_tbd","visible_until_utc","general_admission","lowest_price_good_deals","listing_count","average_price","visible_listing_count","median_price","lowest_price","highest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","num_upcoming_events","postal_code","display_location","country","extended_address","address","slug","timezone","url_venue","score_venue","state","name","id_venue","city","has_upcoming_events","name_v2","popularity_venue","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"22","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:00:00",FALSE,"normal","2018-09-16T17:00:00","","Philadelphia Eagles at Tampa Bay Buccaneers",4346933,"https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",0.904,"2018-04-20T00:47:16",FALSE,"2018-04-20T00:00:00",FALSE,"Eagles at Buccaneers","nfl",0.905,FALSE,"2018-09-16T21:00:00",NA,149,1148,406.3,NA,NA,149,1268,"QRCODE","2018-08-24T17:04:19Z",FALSE,16,"33607","Tampa, FL","US","Tampa, FL 33607","4201 North Dale Mabry Highway","raymond-james-stadium","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets",0.86513025,"FL","Raymond James Stadium",39,"Tampa",TRUE,"Raymond James Stadium",0,27.9753,-82.5034,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
"23","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:00:00",FALSE,"normal","2018-09-16T17:00:00","","Kansas City Chiefs at Pittsburgh Steelers",4347074,"https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",0.922,"2018-04-20T00:47:45",FALSE,"2018-04-20T00:00:00",FALSE,"Chiefs at Steelers","nfl",0.917,FALSE,"2018-09-16T21:00:00",NA,124,797,323.83,NA,NA,124,1351,"QRCODE","2018-08-24T18:24:29Z",FALSE,13,"15212","Pittsburgh, PA","US","Pittsburgh, PA 15212","100 Art Rooney Avenue","heinz-field","America/New_York","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"PA","Heinz Field",1119,"Pittsburgh",TRUE,"Heinz Field",0,40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"24","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:00:00",FALSE,"normal","2018-09-16T17:00:00","","Miami Dolphins at New York Jets",4346953,"https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",0.958,"2018-04-20T00:47:20",FALSE,"2018-04-20T00:00:00",FALSE,"Dolphins at Jets","nfl",0.948,FALSE,"2018-09-16T21:00:00",NA,69,1705,222.03,NA,NA,69,1979,"QRCODE","2018-08-24T18:23:39Z",FALSE,21,"07073","East Rutherford, NJ","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive","metlife-stadium","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"NJ","MetLife Stadium",1587,"East Rutherford",TRUE,"MetLife Stadium",0,40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"25","2018-09-07","2018-09-07_16.00.44","2018-09-16T12:00:00",FALSE,"normal","2018-09-16T17:00:00","","Minnesota Vikings at Green Bay Packers",4346915,"https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",0.945,"2018-04-20T00:47:14",FALSE,"2018-04-20T00:00:00",FALSE,"Vikings at Packers","nfl",0.932,FALSE,"2018-09-16T21:00:00",NA,172,1107,496.12,NA,NA,172,1949,"QRCODE","2018-08-24T17:03:48Z",FALSE,8,"54304","Green Bay, WI","US","Green Bay, WI 54304","1265 Lombardi Avenue","lambeau-field","America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"WI","Lambeau Field",1125,"Green Bay",TRUE,"Lambeau Field",0,44.5013,-88.0622,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"26","2018-09-07","2018-09-07_16.00.44","2018-09-16T12:00:00",FALSE,"normal","2018-09-16T17:00:00","","Cleveland Browns at New Orleans Saints",4346973,"https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",0.887,"2018-04-20T00:47:25",FALSE,"2018-04-20T00:00:00",TRUE,"Browns at Saints","nfl",0.895,FALSE,"2018-09-16T21:00:00",NA,58,1428,198.36,NA,NA,58,1800,"QRCODE","2018-05-29T20:38:49Z",FALSE,20,"70112","New Orleans, LA","US","New Orleans, LA 70112","1500 Sugar Bowl Drive","mercedes-benz-superdome","America/Chicago","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"LA","Mercedes-Benz Superdome",128,"New Orleans",TRUE,"Mercedes-Benz Superdome",0,29.9515,-90.0786,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
"27","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:00:00",FALSE,"normal","2018-09-16T17:00:00","","Los Angeles Chargers at Buffalo Bills",4347064,"https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",0.908,"2018-04-20T00:47:44",FALSE,"2018-04-20T00:00:00",FALSE,"Chargers at Bills","nfl",0.907,FALSE,"2018-09-16T21:00:00",NA,147,900,247.63,NA,NA,136,2308,"QRCODE","2018-08-24T18:24:17Z",FALSE,8,"14127","Orchard Park, NY","US","Orchard Park, NY 14127","1 Bills Drive","new-era-field","America/New_York","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"NY","New Era Field",1135,"Orchard Park",TRUE,"New Era Field",0,42.7737,-78.7874,"QRCODE_TM","2015-08-12T16:52:53Z",FALSE
"28","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:05:00",FALSE,"normal","2018-09-16T20:05:00","","Detroit Lions at San Francisco 49ers",4347119,"https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119",0.949,"2018-04-20T00:47:54",FALSE,"2018-04-20T00:00:00",FALSE,"Lions at 49ers","nfl",0.937,FALSE,"2018-09-17T00:05:00",NA,74,1286,240.48,NA,NA,74,2989,"QRCODE","2018-08-24T18:24:41Z",FALSE,13,"95054","Santa Clara, CA","US","Santa Clara, CA 95054","4900 Marie P DeBartolo Way","levi-s-stadium","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"CA","Levi's Stadium",58670,"Santa Clara",TRUE,"Levi's Stadium",0,37.4023,-121.969,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"29","2018-09-07","2018-09-07_16.00.44","2018-09-16T13:05:00",FALSE,"normal","2018-09-16T20:05:00","","Arizona Cardinals at Los Angeles Rams",4346924,"https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924",0.876,"2018-04-20T00:47:15",FALSE,"2018-04-20T00:00:00",FALSE,"Cardinals at Rams","nfl",0.883,FALSE,"2018-09-17T00:05:00",NA,30,2702,118.14,NA,NA,30,1692,"QRCODE","2018-08-24T17:04:03Z",FALSE,14,"90037","Los Angeles, CA","US","Los Angeles, CA 90037","3911 S Figueroa St","los-angeles-memorial-coliseum-1","America/Los_Angeles","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",0.86898464,"CA","Los Angeles Memorial Coliseum",51012,"Los Angeles",TRUE,"Los Angeles Memorial Coliseum",0,34.01,-118.29,"QRCODE","2018-08-23T17:59:28Z",FALSE
"30","2018-09-07","2018-09-07_16.00.44","2018-09-16T14:25:00",FALSE,"normal","2018-09-16T20:25:00","","Oakland Raiders at Denver Broncos",4347149,"https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149",0.916,"2018-04-20T01:04:06",FALSE,"2018-04-20T00:00:00",FALSE,"Raiders at Broncos","nfl",0.916,FALSE,"2018-09-17T00:25:00",NA,152,960,423.66,NA,NA,152,1706,"QRCODE","2018-08-24T18:24:52Z",FALSE,8,"80204","Denver, CO","US","Denver, CO 80204","1701 Bryant St.","sports-authority-field-at-mile-high","America/Denver","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",0.9028296,"CO","Sports Authority Field at Mile High",1131,"Denver",TRUE,"Sports Authority Field at Mile High",0,39.74,-105.02,"QRCODE_TM","2015-08-07T18:39:02Z",FALSE
"31","2018-09-07","2018-09-07_16.00.44","2018-09-16T16:25:00",FALSE,"normal","2018-09-16T20:25:00","","New England Patriots at Jacksonville Jaguars",4346951,"https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951",0.916,"2018-04-20T00:47:19",FALSE,"2018-04-20T00:00:00",FALSE,"Patriots at Jaguars","nfl",0.917,FALSE,"2018-09-17T00:25:00",NA,149,800,325.9,NA,NA,149,1346,"QRCODE","2018-08-24T18:23:21Z",FALSE,10,"32202","Jacksonville, FL","US","Jacksonville, FL 32202","1 Everbank Field Dr","tiaa-bank-field","America/New_York","https://seatgeek.com/venues/tiaa-bank-field/tickets",0.83759147,"FL","TIAA Bank Field",5178,"Jacksonville",TRUE,"TIAA Bank Field",0,30.3239,-81.6373,"QRCODE_TM","2015-10-17T20:03:42Z",FALSE
