"","timestamp","is_open","time_tbd","score","popularity","date_tbd","datetime_utc","description","status","visible_until_utc","created_at","title","short_title","datetime_local","type","announce_date","id","datetime_tbd","url","general_admission","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","median_price","listing_count","method","employee_only","created_at","state","score","popularity","extended_address","display_location","metro_code","has_upcoming_events","address","city","num_upcoming_events","name_v2","timezone","id","postal_code","slug","url","name","country","lon","lat","method","employee_only","created_at"
"29","2018-10-16_08.29.49",FALSE,FALSE,0.961,0.989,FALSE,"2018-11-02T00:20:00","","normal","2018-11-02T04:20:00","2018-04-20T00:47:57","Oakland Raiders at San Francisco 49ers","Raiders at 49ers","2018-11-01T17:20:00","nfl","2018-04-20T00:00:00",4347131,FALSE,"https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131",NA,2052,1304,171,368.3517,171,353,617,"QRCODE",FALSE,"2018-08-24T21:53:39Z","CA",0.95768774,0,"Santa Clara, CA 95054","Santa Clara, CA",0,TRUE,"4900 Marie P DeBartolo Way","Santa Clara",10,"Levi's Stadium","America/Los_Angeles",58670,"95054","levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","Levi's Stadium","US",-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"30","2018-10-16_08.29.49",FALSE,FALSE,0.401,0.505,FALSE,"2018-11-03T18:00:00","","normal","2018-11-03T22:00:00","2018-07-28T16:00:52","Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball","Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball","2018-11-03T13:00:00","sports","2018-07-28T00:00:00",4466234,FALSE,"https://seatgeek.com/texas-tech-red-raiders-at-kansas-jayhawks-womens-volleyball-tickets/sport/2018-11-03-1-pm/4466234",NA,1,82,82,82,NA,82,1,NA,NA,NA,NA,0.56565154,0,"Lawrence, ","Lawrence",0,TRUE,"1550 Allen Fieldhhouse Dr","Lawrence",4,"Horejsi Center","America/Chicago",74230,"66045","horejsi-center","https://seatgeek.com/venues/horejsi-center/tickets","Horejsi Center","",-95.2532,38.9535,NA,NA,NA
"31","2018-10-16_08.29.49",FALSE,FALSE,0.491,0.584,FALSE,"2018-11-03T19:00:00","","normal","2018-11-03T23:00:00","2018-02-28T15:00:09","South Alabama Jaguars at Arkansas State Red Wolves Football","South Alabama at Arkansas State","2018-11-03T14:00:00","ncaa_football","2018-02-28T00:00:00",4281935,FALSE,"https://seatgeek.com/south-alabama-jaguars-at-arkansas-state-red-wolves-football-tickets/ncaa-football/2018-11-03-2-pm/4281935",NA,96,60,23,42.021053,NA,44,95,NA,NA,NA,"AR",0.47753516,0,"Jonesboro, AR 72401","Jonesboro, AR",0,TRUE,"2180 Aggie Rd","Jonesboro",2,"Centennial Bank Stadium","America/Chicago",8896,"72401","centennial-bank-stadium-1","https://seatgeek.com/venues/centennial-bank-stadium-1/tickets","Centennial Bank Stadium","US",-90.6797,35.8429,NA,NA,NA
"32","2018-10-16_08.29.49",FALSE,FALSE,0.857,0.892,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:47","New York Jets at Miami Dolphins","Jets at Dolphins","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4347083,FALSE,"https://seatgeek.com/jets-at-dolphins-tickets/11-4-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347083",NA,1511,899,92,208.24051,91,192,79,"QRCODE",FALSE,"2018-08-24T21:53:39Z","FL",0.8378203,0,"Miami Gardens, FL 33056","Miami Gardens, FL",528,TRUE,"347 Don Shula Dr.","Miami Gardens",32,"Hard Rock Stadium","America/New_York",29,"33056","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","Hard Rock Stadium","US",-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"33","2018-10-16_08.29.49",FALSE,FALSE,0.875,0.911,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T01:04:05","Detroit Lions at Minnesota Vikings","Lions at Vikings","2018-11-04T12:00:00","nfl","2018-04-20T00:00:00",4347140,FALSE,"https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140",NA,1428,1267,123,283.9119,123,242,420,"QRCODE",FALSE,"2018-08-24T21:53:39Z","MN",0.88524246,0,"Minneapolis, MN 55415","Minneapolis, MN",0,TRUE,"900 South 5th Street","Minneapolis",14,"U.S. Bank Stadium","America/Chicago",218451,"55415","u-s-bank-stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","U.S. Bank Stadium","US",-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
"34","2018-10-16_08.29.49",FALSE,FALSE,0.837,0.879,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:31","Kansas City Chiefs at Cleveland Browns","Chiefs at Browns","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4346997,FALSE,"https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997",NA,1261,425,53,120.12026,53,98,765,"QRCODE",FALSE,"2018-08-24T21:53:39Z","OH",0.86852187,0,"Cleveland, OH 44114","Cleveland, OH",510,TRUE,"100 Alfred Lerner Way","Cleveland",5,"FirstEnergy Stadium","America/New_York",1123,"44114","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","US",-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"35","2018-10-16_08.29.49",FALSE,FALSE,0.861,0.895,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:45","Pittsburgh Steelers at Baltimore Ravens","Steelers at Ravens","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4347069,FALSE,"https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069",NA,1495,835,120,260.35828,121,210,374,"QRCODE",FALSE,"2018-08-24T21:53:39Z","MD",0.8927189,0,"Baltimore, MD 21230","Baltimore, MD",512,TRUE,"1101 Russell St","Baltimore",6,"M&T Bank Stadium","America/New_York",1121,"21230","m-t-bank-stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","US",-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"36","2018-10-16_08.29.49",FALSE,FALSE,0.888,0.923,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:17","Atlanta Falcons at Washington Redskins","Falcons at Redskins","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4346937,FALSE,"https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937",NA,1105,398,78,177.33473,75,168,475,"QRCODE",FALSE,"2018-08-24T21:53:39Z","MD",0.9333444,0,"Landover, MD 20785","Landover, MD",511,TRUE,"1600 Fedex Way","Landover",5,"FedEx Field","America/New_York",35,"20785","fedex-field","https://seatgeek.com/venues/fedex-field/tickets","FedEx Field","US",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"37","2018-10-16_08.29.49",FALSE,FALSE,0.847,0.883,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:38","Tampa Bay Buccaneers at Carolina Panthers","Buccaneers at Panthers","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4347033,FALSE,"https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033",NA,1547,854,79,213.06429,77,174,420,"QRCODE",FALSE,"2018-08-24T21:53:39Z","NC",0.8968222,0,"Charlotte, NC 28202","Charlotte, NC",517,TRUE,"800 South Mint Street","Charlotte",9,"Bank of America Stadium","America/New_York",1122,"28202","bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","US",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"38","2018-10-16_08.29.49",FALSE,FALSE,0.888,0.922,FALSE,"2018-11-04T18:00:00","","normal","2018-11-04T22:00:00","2018-04-20T00:47:43","Chicago Bears at Buffalo Bills","Bears at Bills","2018-11-04T13:00:00","nfl","2018-04-20T00:00:00",4347061,FALSE,"https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061",NA,1130,468,62,157.6272,62,131,397,"QRCODE",FALSE,"2018-08-24T21:53:39Z","NY",0.8815085,0,"Orchard Park, NY 14127","Orchard Park, NY",514,TRUE,"1 Bills Drive","Orchard Park",6,"New Era Field","America/New_York",1135,"14127","new-era-field","https://seatgeek.com/venues/new-era-field/tickets","New Era Field","US",-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"39","2018-10-16_08.29.49",FALSE,FALSE,0.873,0.906,FALSE,"2018-11-04T21:05:00","","normal","2018-11-05T01:05:00","2018-04-20T00:47:56","Los Angeles Chargers at Seattle Seahawks","Chargers at Seahawks","2018-11-04T13:05:00","nfl","2018-04-20T00:00:00",4347127,FALSE,"https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127",NA,1607,926,169,369.98694,126,349,153,"QRCODE",FALSE,"2018-08-24T21:53:39Z","WA",0.87232786,0,"Seattle, WA 98134","Seattle, WA",819,TRUE,"800 Occidental Ave S","Seattle",8,"CenturyLink Field","America/Los_Angeles",339,"98134","centurylink-field","https://seatgeek.com/venues/centurylink-field/tickets","CenturyLink Field","US",-122.33,47.6,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"40","2018-10-16_08.29.49",FALSE,FALSE,0.845,0.886,FALSE,"2018-11-04T21:05:00","","normal","2018-11-05T01:05:00","2018-04-20T01:04:05","Houston Texans at Denver Broncos","Texans at Broncos","2018-11-04T14:05:00","nfl","2018-04-20T00:00:00",4347141,FALSE,"https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141",NA,1474,1210,135,333.46466,115,293,99,"QRCODE",FALSE,"2018-08-24T21:53:39Z","CO",0.9028296,0,"Denver, CO 80204","Denver, CO",751,TRUE,"1701 Bryant Street","Denver",6,"Sports Authority Field at Mile High","America/Denver",1131,"80204","sports-authority-field-at-mile-high","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","US",-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"41","2018-10-16_08.29.49",TRUE,FALSE,0.843,0.882,FALSE,"2018-11-04T21:25:00","","normal","2018-11-05T01:25:00","2018-04-20T00:47:25","Los Angeles Rams at New Orleans Saints","Rams at Saints","2018-11-04T15:25:00","nfl","2018-04-20T00:00:00",4346970,FALSE,"https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970",NA,804,1800,88,293.42593,88,272,864,"QRCODE",FALSE,"2018-05-29T20:39:08Z","LA",0.8966978,0,"New Orleans, LA 70112","New Orleans, LA",622,TRUE,"1500 Sugar Bowl Drive","New Orleans",15,"Mercedes-Benz Superdome","America/Chicago",128,"70112","mercedes-benz-superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","US",-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"42","2018-10-16_08.29.49",FALSE,FALSE,0.483,0.566,FALSE,"2018-11-05T01:00:00","","normal","2018-11-05T05:00:00","2018-08-23T19:51:10","Alex G","Alex G","2018-11-04T19:00:00","concert","2018-08-23T00:00:00",4494650,FALSE,"https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650",TRUE,1,584,47,112.37931,NA,64,29,NA,NA,NA,"IL",0.51888376,0,"Chicago, IL 60608","Chicago, IL",0,TRUE,"1807 S Allport St","Chicago",57,"Thalia Hall","America/Chicago",60271,"60608","thalia-hall","https://seatgeek.com/venues/thalia-hall/tickets","Thalia Hall","US",-87.6575,41.8577,NA,NA,NA
"43","2018-10-16_08.29.49",FALSE,FALSE,0.964,0.987,FALSE,"2018-11-05T01:20:00","","normal","2018-11-05T05:20:00","2018-04-20T00:47:49","Green Bay Packers at New England Patriots","Packers at Patriots","2018-11-04T20:20:00","nfl","2018-04-20T00:00:00",4347089,FALSE,"https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089",NA,879,14928,389,1010.05023,326,560,199,"QRCODE",FALSE,"2018-08-24T21:53:39Z","MA",0.8983344,0,"Foxborough, MA 02035","Foxborough, MA",506,TRUE,"1 Patriot Place","Foxborough",11,"Gillette Stadium","America/New_York",33,"02035","gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","US",-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"44","2018-10-16_08.29.49",TRUE,FALSE,0.924,0.951,FALSE,"2018-11-06T01:15:00","","normal","2018-11-06T05:15:00","2018-04-05T23:08:47","Tennessee Titans at Dallas Cowboys","Titans at Cowboys","2018-11-05T19:15:00","nfl","2018-04-05T00:00:00",4327922,FALSE,"https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922",NA,2609,2400,NA,233.98792,NA,180,3558,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z","TX",0.9751414,0,"Arlington, TX 76011","Arlington, TX",623,TRUE,"1 AT&T Way","Arlington",17,"AT&T Stadium","America/Chicago",4965,"76011","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","US",-97.0957,32.7459,"QRCODE_TM",FALSE,"2018-10-06T23:29:11Z"
"45","2018-10-16_08.29.49",FALSE,FALSE,0.861,0.886,FALSE,"2018-11-09T01:20:00","","normal","2018-11-09T05:20:00","2018-04-20T00:47:46","Carolina Panthers at Pittsburgh Steelers","Panthers at Steelers","2018-11-08T20:20:00","nfl","2018-04-20T00:00:00",4347075,FALSE,"https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075",NA,1931,1197,88,207.29314,87,155,481,"QRCODE",FALSE,"2018-08-24T21:53:39Z","PA",0.9033526,0,"Pittsburgh, PA 15212","Pittsburgh, PA",508,TRUE,"100 Art Rooney Avenue","Pittsburgh",7,"Heinz Field","America/New_York",1119,"15212","heinz-field","https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","US",-80.0158,40.4468,"QRCODE",FALSE,"2018-10-04T12:42:28Z"
"46","2018-10-16_08.29.49",FALSE,FALSE,0.903,0.921,FALSE,"2018-11-11T17:00:00","","normal","2018-11-11T21:00:00","2018-04-20T00:47:30","New England Patriots at Tennessee Titans","Patriots at Titans","2018-11-11T12:00:00","nfl","2018-04-20T00:00:00",4346990,FALSE,"https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990",NA,1075,2443,235,546.84406,235,468,295,"QRCODE",FALSE,"2018-08-24T21:53:40Z","TN",0.8546275,0,"Nashville, TN 37213","Nashville, TN",659,TRUE,"1 Titans Way","Nashville",16,"Nissan Stadium","America/New_York",1126,"37213","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium","US",-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"47","2018-10-16_08.29.49",FALSE,FALSE,0.848,0.872,FALSE,"2018-11-11T18:00:00","","normal","2018-11-11T22:00:00","2018-04-20T00:47:40","New Orleans Saints at Cincinnati Bengals","Saints at Bengals","2018-11-11T13:00:00","nfl","2018-04-20T00:00:00",4347040,FALSE,"https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040",NA,795,10749,62,163.20854,69,121,398,"QRCODE",FALSE,"2018-08-24T21:53:40Z","OH",0.86166537,0,"Cincinnati, OH 45202","Cincinnati, OH",515,TRUE,"1 Paul Brown Stadium","Cincinnati",5,"Paul Brown Stadium","America/New_York",1124,"45202","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","US",-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"48","2018-10-16_08.29.49",FALSE,FALSE,0.877,0.899,FALSE,"2018-11-11T18:00:00","","normal","2018-11-11T22:00:00","2018-04-20T00:47:32","Detroit Lions at Chicago Bears","Lions at Bears","2018-11-11T12:00:00","nfl","2018-04-20T00:00:00",4347006,FALSE,"https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006",NA,1082,1196,182,395.26126,137,371,111,"QRCODE",FALSE,"2018-08-24T21:53:40Z","IL",0.940013,0,"Chicago, IL 60605","Chicago, IL",602,TRUE,"1410 S. Museum Campus Drive","Chicago",8,"Soldier Field","America/Chicago",31,"60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","US",-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"49","2018-10-16_08.29.49",FALSE,FALSE,0.855,0.878,FALSE,"2018-11-11T18:00:00","","normal","2018-11-11T22:00:00","2018-04-20T00:47:27","Arizona Cardinals at Kansas City Chiefs","Cardinals at Chiefs","2018-11-11T12:00:00","nfl","2018-04-20T00:00:00",4346980,FALSE,"https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980",NA,1255,443,63,158.15291,63,132,981,"QRCODE",FALSE,"2018-08-24T21:53:40Z","MO",0.8827867,0,"Kansas City, MO 64129","Kansas City, MO",616,TRUE,"1 Arrowhead Drive","Kansas City",6,"Arrowhead Stadium","America/Chicago",1128,"64129","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","US",-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
