id,datetime_local,time_tbd,url,score,short_title,status,description,title,datetime_tbd,is_open,created_at,date_tbd,announce_date,type,datetime_utc,popularity,visible_until_utc,general_admission,lowest_price_good_deals,listing_count,average_price,visible_listing_count,median_price,lowest_price,highest_price,method,created_at,employee_only,slug,id,postal_code,timezone,url,score,state,name,display_location,metro_code,name_v2,address,num_upcoming_events,country,city,has_upcoming_events,extended_address,popularity,lon,lat,method,created_at,employee_only
4347061,2018-11-04T13:00:00,FALSE,https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061,0.878,Bears at Bills,normal,,Chicago Bears at Buffalo Bills,FALSE,FALSE,2018-04-20T00:47:43,FALSE,2018-04-20T00:00:00,nfl,2018-11-04T18:00:00,0.849,2018-11-04T22:00:00,NA,51,707,139.60254,1215,114,51,587,QRCODE,2018-08-24T21:53:39Z,FALSE,new-era-field,1135,14127,America/New_York,https://seatgeek.com/venues/new-era-field/tickets,0.8815085,NY,New Era Field,"Orchard Park, NY",514,New Era Field,1 Bills Drive,8,US,Orchard Park,TRUE,"Orchard Park, NY 14127",0,-78.7874,42.7737,QRCODE_TM,2015-08-12T16:52:53Z,FALSE
4347127,2018-11-04T13:05:00,FALSE,https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127,0.916,Chargers at Seahawks,normal,,Los Angeles Chargers at Seattle Seahawks,FALSE,FALSE,2018-04-20T00:47:56,FALSE,2018-04-20T00:00:00,nfl,2018-11-04T21:05:00,0.876,2018-11-05T01:05:00,NA,135,265,359.30188,689,329,135,1351,QRCODE,2018-08-24T21:53:39Z,FALSE,centurylink-field,339,98134,America/Los_Angeles,https://seatgeek.com/venues/centurylink-field/tickets,0.87232786,WA,CenturyLink Field,"Seattle, WA",819,CenturyLink Field,800 Occidental Ave S,18,US,Seattle,TRUE,"Seattle, WA 98134",0,-122.33,47.6,QRCODE,2018-03-02T22:54:54Z,FALSE
4347141,2018-11-04T14:05:00,FALSE,https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141,0.89,Texans at Broncos,normal,,Houston Texans at Denver Broncos,FALSE,FALSE,2018-04-20T01:04:05,FALSE,2018-04-20T00:00:00,nfl,2018-11-04T21:05:00,0.861,2018-11-05T01:05:00,NA,130,115,332.2087,870,274,141,1270,QRCODE,2018-08-24T21:53:39Z,FALSE,sports-authority-field-at-mile-high,1131,80204,America/Denver,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,0.9028296,CO,Sports Authority Field at Mile High,"Denver, CO",751,Sports Authority Field at Mile High,1701 Bryant St.,7,US,Denver,TRUE,"Denver, CO 80204",0,-105.02,39.74,QRCODE_TM,2015-08-07T18:39:02Z,FALSE
4346970,2018-11-04T15:25:00,FALSE,https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970,0.885,Rams at Saints,normal,,Los Angeles Rams at New Orleans Saints,FALSE,TRUE,2018-04-20T00:47:25,FALSE,2018-04-20T00:00:00,nfl,2018-11-04T21:25:00,0.855,2018-11-05T01:25:00,NA,66,1392,245.15805,1417,210,66,5941,QRCODE,2018-05-29T20:39:08Z,FALSE,mercedes-benz-superdome,128,70112,America/Chicago,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,0.8966978,LA,Mercedes-Benz Superdome,"New Orleans, LA",622,Mercedes-Benz Superdome,1500 Sugar Bowl Drive,18,US,New Orleans,TRUE,"New Orleans, LA 70112",0,-90.0786,29.9515,QRCODE_TM,2018-08-27T20:46:59Z,FALSE
4494650,2018-11-04T19:00:00,FALSE,https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650,0.523,Alex G,normal,,Alex G,FALSE,FALSE,2018-08-23T19:51:10,FALSE,2018-08-23T00:00:00,concert,2018-11-05T01:00:00,0.58,2018-11-05T05:00:00,TRUE,NA,27,118,1,62,53,562,NA,NA,NA,thalia-hall,60271,60608,America/Chicago,https://seatgeek.com/venues/thalia-hall/tickets,0.51888376,IL,Thalia Hall,"Chicago, IL",0,Thalia Hall,1807 S Allport St,58,US,Chicago,TRUE,"Chicago, IL 60608",0,-87.6575,41.8577,NA,NA,NA
4347089,2018-11-04T20:20:00,FALSE,https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089,0.992,Packers at Patriots,normal,,Green Bay Packers at New England Patriots,FALSE,FALSE,2018-04-20T00:47:49,FALSE,2018-04-20T00:00:00,nfl,2018-11-05T01:20:00,0.938,2018-11-05T05:20:00,NA,449,213,821.1033,631,707,449,1981,QRCODE,2018-08-24T21:53:39Z,FALSE,gillette-stadium,33,02035,America/New_York,https://seatgeek.com/venues/gillette-stadium/tickets,0.8983344,MA,Gillette Stadium,"Foxborough, MA",506,Gillette Stadium,1 Patriot Place,15,US,Foxborough,TRUE,"Foxborough, MA 02035",0,-71.2674,42.0906,NONE,2018-08-22T15:36:58Z,FALSE
4327922,2018-11-05T19:15:00,FALSE,https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922,0.972,Titans at Cowboys,normal,,Tennessee Titans at Dallas Cowboys,FALSE,TRUE,2018-04-05T23:08:47,FALSE,2018-04-05T00:00:00,nfl,2018-11-06T01:15:00,0.919,2018-11-06T05:15:00,NA,23,1862,260.98227,1843,177,25,6034,QRCODE,2018-04-17T22:02:33Z,FALSE,at-t-stadium,4965,76011,America/Chicago,https://seatgeek.com/venues/at-t-stadium/tickets,0.9751414,TX,AT&T Stadium,"Arlington, TX",623,AT&T Stadium,1 AT&T Way,22,US,Arlington,TRUE,"Arlington, TX 76011",0,-97.0957,32.7459,QRCODE,2018-04-17T22:02:33Z,FALSE
4347075,2018-11-08T20:20:00,FALSE,https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075,0.902,Panthers at Steelers,normal,,Carolina Panthers at Pittsburgh Steelers,FALSE,FALSE,2018-04-20T00:47:46,FALSE,2018-04-20T00:00:00,nfl,2018-11-09T01:20:00,0.863,2018-11-09T05:20:00,NA,90,617,209.82172,1102,164,92,1197,QRCODE,2018-08-24T21:53:39Z,FALSE,heinz-field,1119,15212,America/New_York,https://seatgeek.com/venues/heinz-field/tickets,0.9033526,PA,Heinz Field,"Pittsburgh, PA",508,Heinz Field,100 Art Rooney Avenue,11,US,Pittsburgh,TRUE,"Pittsburgh, PA 15212",0,-80.0158,40.4468,QRCODE_TM,2015-12-08T15:36:23Z,FALSE
4346990,2018-11-11T12:00:00,FALSE,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,0.935,Patriots at Titans,normal,,New England Patriots at Tennessee Titans,FALSE,FALSE,2018-04-20T00:47:30,FALSE,2018-04-20T00:00:00,nfl,2018-11-11T17:00:00,0.886,2018-11-11T21:00:00,NA,209,321,572.11523,603,518,209,1932,QRCODE,2018-08-24T21:53:40Z,FALSE,nissan-stadium,1126,37213,America/New_York,https://seatgeek.com/venues/nissan-stadium/tickets,0.8546275,TN,Nissan Stadium,"Nashville, TN",659,Nissan Stadium,1 Titans Way,15,US,Nashville,TRUE,"Nashville, TN 37213",0,-86.7713,36.1665,NONE,2015-10-19T15:09:39Z,FALSE
4347006,2018-11-11T12:00:00,FALSE,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,0.912,Lions at Bears,normal,,Detroit Lions at Chicago Bears,FALSE,FALSE,2018-04-20T00:47:32,FALSE,2018-04-20T00:00:00,nfl,2018-11-11T18:00:00,0.867,2018-11-11T22:00:00,NA,115,154,314.52597,925,285,122,1197,QRCODE,2018-08-24T21:53:40Z,FALSE,soldier-field,31,60605,America/Chicago,https://seatgeek.com/venues/soldier-field/tickets,0.940013,IL,Soldier Field,"Chicago, IL",602,Soldier Field,1410 S. Museum Campus Drive,11,US,Chicago,TRUE,"Chicago, IL 60605",0,-87.6159,41.8623,NONE,2018-06-02T00:44:08Z,FALSE
4346980,2018-11-11T12:00:00,FALSE,https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980,0.87,Cardinals at Chiefs,normal,,Arizona Cardinals at Kansas City Chiefs,FALSE,FALSE,2018-04-20T00:47:27,FALSE,2018-04-20T00:00:00,nfl,2018-11-11T18:00:00,0.834,2018-11-11T22:00:00,NA,40,838,156.88306,1040,127,40,11704,QRCODE,2018-08-24T21:53:40Z,FALSE,arrowhead-stadium,1128,64129,America/Chicago,https://seatgeek.com/venues/arrowhead-stadium/tickets,0.8827867,MO,Arrowhead Stadium,"Kansas City, MO",616,Arrowhead Stadium,1 Arrowhead Drive,9,US,Kansas City,TRUE,"Kansas City, MO 64129",0,-94.4839,39.0489,QRCODE_TM,2015-08-20T16:20:51Z,FALSE
4347040,2018-11-11T13:00:00,FALSE,https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040,0.868,Saints at Bengals,normal,,New Orleans Saints at Cincinnati Bengals,FALSE,FALSE,2018-04-20T00:47:40,FALSE,2018-04-20T00:00:00,nfl,2018-11-11T18:00:00,0.832,2018-11-11T22:00:00,NA,51,525,117.01714,871,104,53,414,QRCODE,2018-08-24T21:53:40Z,FALSE,paul-brown-stadium,1124,45202,America/New_York,https://seatgeek.com/venues/paul-brown-stadium/tickets,0.86166537,OH,Paul Brown Stadium,"Cincinnati, OH",515,Paul Brown Stadium,1 Paul Brown Stadium,7,US,Cincinnati,TRUE,"Cincinnati, OH 45202",0,-84.5177,39.0961,QRCODE_TM,2015-10-09T16:14:37Z,FALSE
4346958,2018-11-11T13:00:00,FALSE,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,0.858,Jaguars at Colts,normal,,Jacksonville Jaguars at Indianapolis Colts,FALSE,FALSE,2018-04-20T00:47:22,FALSE,2018-04-20T00:00:00,nfl,2018-11-11T18:00:00,0.83,2018-11-11T22:00:00,NA,33,735,106.56871,1091,87,33,1198,QRCODE,2018-08-24T21:53:40Z,FALSE,lucas-oil-stadium,1130,46225,America/Indiana/Indianapolis,https://seatgeek.com/venues/lucas-oil-stadium/tickets,0.9071682,IN,Lucas Oil Stadium,"Indianapolis, IN",527,Lucas Oil Stadium,500 South Capitol Avenue,12,US,Indianapolis,TRUE,"Indianapolis, IN 46225",0,-86.1639,39.7601,QRCODE_TM,2018-09-13T22:29:37Z,FALSE
