datetime_utc,type,title,is_open,date_tbd,url,short_title,datetime_local,visible_until_utc,created_at,announce_date,score,description,datetime_tbd,time_tbd,status,id,popularity,general_admission,lowest_price,average_price,visible_listing_count,listing_count,median_price,lowest_price_good_deals,highest_price,method,employee_only,created_at,url,state,slug,country,score,name_v2,display_location,city,has_upcoming_events,timezone,address,name,postal_code,id,metro_code,extended_address,num_upcoming_events,popularity,lon,lat,method,employee_only,created_at
2018-11-11T18:00:00,nfl,Detroit Lions at Chicago Bears,FALSE,FALSE,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,Lions at Bears,2018-11-11T12:00:00,2018-11-11T22:00:00,2018-04-20T00:47:32,2018-04-20T00:00:00,0.895,,FALSE,FALSE,normal,4347006,0.846,NA,163,353.5306,772,147,315,163,1197,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/soldier-field/tickets,IL,soldier-field,US,0.940013,Soldier Field,"Chicago, IL",Chicago,TRUE,America/Chicago,1410 S. Museum Campus Drive,Soldier Field,60605,31,602,"Chicago, IL 60605",8,0,-87.6159,41.8623,NONE,FALSE,2018-06-02T00:44:08Z
2018-11-11T18:00:00,nfl,Jacksonville Jaguars at Indianapolis Colts,FALSE,FALSE,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,Jaguars at Colts,2018-11-11T13:00:00,2018-11-11T22:00:00,2018-04-20T00:47:22,2018-04-20T00:00:00,0.842,,FALSE,FALSE,normal,4346958,0.81,NA,32,108.51142,1013,569,96,32,870,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/lucas-oil-stadium/tickets,IN,lucas-oil-stadium,US,0.9071682,Lucas Oil Stadium,"Indianapolis, IN",Indianapolis,TRUE,America/Indiana/Indianapolis,500 South Capitol Avenue,Lucas Oil Stadium,46225,1130,527,"Indianapolis, IN 46225",12,0,-86.1639,39.7601,QRCODE_TM,FALSE,2018-09-13T22:29:37Z
2018-11-11T18:00:00,nfl,Washington Redskins at Tampa Bay Buccaneers,FALSE,FALSE,https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930,Redskins at Buccaneers,2018-11-11T13:00:00,2018-11-11T22:00:00,2018-04-20T00:47:16,2018-04-20T00:00:00,0.879,,FALSE,FALSE,normal,4346930,0.831,NA,77,195.97298,387,37,174,78,434,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/raymond-james-stadium/tickets,FL,raymond-james-stadium,US,0.86513025,Raymond James Stadium,"Tampa, FL",Tampa,TRUE,America/New_York,4201 North Dale Mabry Highway,Raymond James Stadium,33607,39,539,"Tampa, FL 33607",15,0,-82.5034,27.9753,QRCODE_TM,FALSE,2015-08-24T14:44:53Z
2018-11-11T18:00:00,nfl,Atlanta Falcons at Cleveland Browns,FALSE,FALSE,https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996,Falcons at Browns,2018-11-11T13:00:00,2018-11-11T22:00:00,2018-04-20T00:47:31,2018-04-20T00:00:00,0.852,,FALSE,FALSE,normal,4346996,0.816,NA,49,121.779106,1167,1005,103,36,1172,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,OH,firstenergy-stadium-15,US,0.86852187,FirstEnergy Stadium,"Cleveland, OH",Cleveland,TRUE,America/New_York,100 Alfred Lerner Way,FirstEnergy Stadium,44114,1123,510,"Cleveland, OH 44114",6,0,-81.7,41.5065,NONE,FALSE,2015-11-11T20:55:31Z
2018-11-11T18:00:00,nfl,Buffalo Bills at New York Jets,FALSE,FALSE,https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060,Bills at Jets,2018-11-11T13:00:00,2018-11-11T22:00:00,2018-04-20T00:47:43,2018-04-20T00:00:00,0.904,,FALSE,FALSE,normal,4347060,0.852,NA,54,171.15453,1137,906,143,45,911,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/metlife-stadium/tickets,NJ,metlife-stadium,US,0.94873494,MetLife Stadium,"East Rutherford, NJ",East Rutherford,TRUE,America/New_York,1 MetLife Stadium Drive,MetLife Stadium,07073,1587,501,"East Rutherford, NJ 07073",15,0,-74.0737,40.8142,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
2018-11-11T18:00:00,nfl,Miami Dolphins at Green Bay Packers,FALSE,FALSE,https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912,Dolphins at Packers,2018-11-11T12:00:00,2018-11-11T22:00:00,2018-04-20T00:47:13,2018-04-20T00:00:00,0.908,,FALSE,FALSE,normal,4346912,0.863,NA,239,422.53906,448,128,427,182,732,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/lambeau-field/tickets,WI,lambeau-field,US,0.92909414,Lambeau Field,"Green Bay, WI",Green Bay,TRUE,America/Chicago,1265 Lombardi Avenue,Lambeau Field,54304,1125,658,"Green Bay, WI 54304",5,0,-88.0622,44.5013,QRCODE_TM,FALSE,2015-09-02T22:43:34Z
2018-11-11T21:05:00,nfl,Los Angeles Chargers at Oakland Raiders,FALSE,FALSE,https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130,Chargers at Raiders,2018-11-11T13:05:00,2018-11-12T01:05:00,2018-04-20T00:47:56,2018-04-20T00:00:00,0.869,,FALSE,FALSE,normal,4347130,0.823,NA,79,189.17267,798,527,180,79,498,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,CA,oakland-alameda-county-coliseum,US,0.7817843,Oakland-Alameda County Coliseum,"Oakland, CA",Oakland,TRUE,America/Los_Angeles,7000 Coliseum Way,Oakland-Alameda County Coliseum,94621,14,807,"Oakland, CA 94621",18,0,-122.201,37.7469,PDF417,FALSE,2015-06-24T00:00:00Z
2018-11-11T21:25:00,nfl,Seattle Seahawks at Los Angeles Rams,FALSE,FALSE,https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920,Seahawks at Rams,2018-11-11T13:25:00,2018-11-12T01:25:00,2018-04-20T00:47:14,2018-04-20T00:00:00,0.89,,FALSE,FALSE,normal,4346920,0.842,NA,64,195.83592,1250,707,147,59,922,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,CA,los-angeles-memorial-coliseum-1,US,0.86898464,Los Angeles Memorial Coliseum,"Los Angeles, CA",Los Angeles,TRUE,America/Los_Angeles,3911 S Figueroa St,Los Angeles Memorial Coliseum,90037,51012,0,"Los Angeles, CA 90037",8,0,-118.288,34.0138,QRCODE,FALSE,2018-08-23T17:59:28Z
2018-11-12T00:00:00,concert,Alex G with Half Waif,FALSE,FALSE,https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554,Alex G with Half Waif,2018-11-11T19:00:00,2018-11-12T04:00:00,2018-08-23T20:13:51,2018-08-23T00:00:00,0.464,,FALSE,FALSE,normal,4500554,0.497,TRUE,102,235.28572,1,14,244,NA,584,NA,NA,NA,https://seatgeek.com/venues/crowbar-2/tickets,FL,crowbar-2,US,0.42424366,Crowbar,"Tampa, FL",Tampa,TRUE,America/New_York,1812 North 17th Street,Crowbar,33605,3160,539,"Tampa, FL 33605",32,0,-82.4406,27.9608,NA,NA,NA
2018-11-12T01:20:00,nfl,Dallas Cowboys at Philadelphia Eagles,FALSE,FALSE,https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031,Cowboys at Eagles,2018-11-11T20:20:00,2018-11-12T05:20:00,2018-04-20T00:47:38,2018-04-20T00:00:00,0.951,,FALSE,FALSE,normal,4347031,0.89,NA,211,516.1963,923,428,453,154,1382,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/lincoln-financial-field/tickets,PA,lincoln-financial-field,US,0.90542685999999994,Lincoln Financial Field,"Philadelphia, PA",Philadelphia,TRUE,America/New_York,1020 Pattison Ave,Lincoln Financial Field,19148,330,504,"Philadelphia, PA 19148",14,0,-75.1675,39.9046,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
