"","timestamp","time_tbd","title","announce_date","popularity","type","description","url","datetime_local","score","date_tbd","datetime_utc","status","created_at","short_title","datetime_tbd","id","visible_until_utc","is_open","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only","method","created_at","country","extended_address","address","popularity","url","display_location","timezone","has_upcoming_events","postal_code","score","name","id","num_upcoming_events","city","state","slug","name_v2","lon","lat","employee_only","method","created_at"
"90","2018-09-10_07.58.17",FALSE,"New England Patriots at Chicago Bears","2018-04-20T00:00:00",0.886,"nfl","","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T12:00:00",0.941,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:33","Patriots at Bears",FALSE,4347008,"2018-10-21T21:00:00",FALSE,NA,339,NA,276,602.82,87,1209,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Chicago, IL 60605","1410 S. Museum Campus Drive",0,"https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL","America/Chicago",TRUE,"60605",0.940013,"Soldier Field",31,12,"Chicago","IL","soldier-field","Soldier Field",-87.6159,41.8623,FALSE,"NONE","2018-06-02T00:44:08Z"
"91","2018-09-10_07.58.17",FALSE,"Minnesota Vikings at New York Jets","2018-04-20T00:00:00",0.883,"nfl","","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T13:00:00",0.939,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:26","Vikings at Jets",FALSE,4346975,"2018-10-21T21:00:00",FALSE,NA,65,NA,65,173.64,638,1064,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive",0,"https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ","America/New_York",TRUE,"07073",0.94873494,"MetLife Stadium",1587,19,"East Rutherford","NJ","metlife-stadium","MetLife Stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"92","2018-09-10_07.58.17",FALSE,"Cleveland Browns at Tampa Bay Buccaneers","2018-04-20T00:00:00",0.812,"nfl","","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T13:00:00",0.848,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:16","Browns at Buccaneers",FALSE,4346931,"2018-10-21T21:00:00",FALSE,NA,122,NA,122,284.75,28,1200,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Tampa, FL 33607","4201 North Dale Mabry Highway",0,"https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL","America/New_York",TRUE,"33607",0.86513025,"Raymond James Stadium",39,15,"Tampa","FL","raymond-james-stadium","Raymond James Stadium",-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"93","2018-09-10_07.58.17",FALSE,"Detroit Lions at Miami Dolphins","2018-04-20T00:00:00",0.841,"nfl","","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T13:00:00",0.887,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:47","Lions at Dolphins",FALSE,4347084,"2018-10-21T21:00:00",FALSE,NA,47,NA,47,157.36,198,906,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Miami Gardens, FL 33056","347 Don Shula Dr.",0,"https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL","America/New_York",TRUE,"33056",0.8378203,"Hard Rock Stadium",29,36,"Miami Gardens","FL","hard-rock-stadium","Hard Rock Stadium",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"94","2018-09-10_07.58.17",FALSE,"Houston Texans at Jacksonville Jaguars","2018-04-20T00:00:00",0.785,"nfl","","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T13:00:00",0.812,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:19","Texans at Jaguars",FALSE,4346948,"2018-10-21T21:00:00",FALSE,NA,52,NA,49,128.39,690,589,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Jacksonville, FL 32202","1 Everbank Field Dr",0,"https://seatgeek.com/venues/tiaa-bank-field/tickets","Jacksonville, FL","America/New_York",TRUE,"32202",0.83759147,"TIAA Bank Field",5178,10,"Jacksonville","FL","tiaa-bank-field","TIAA Bank Field",-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"95","2018-09-10_07.58.17",FALSE,"Cincinnati Bengals at Kansas City Chiefs","2018-04-20T00:00:00",0.847,"nfl","","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-10-21T12:00:00",0.891,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:27","Bengals at Chiefs",FALSE,4346982,"2018-10-21T21:00:00",FALSE,NA,43,NA,43,164.49,798,11810,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Kansas City, MO 64129","1 Arrowhead Drive",0,"https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO","America/Chicago",TRUE,"64129",0.8827867,"Arrowhead Stadium",1128,9,"Kansas City","MO","arrowhead-stadium","Arrowhead Stadium",-94.4839,39.0489,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"96","2018-09-10_07.58.17",FALSE,"Carolina Panthers at Philadelphia Eagles","2018-04-20T00:00:00",0.869,"nfl","","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T13:00:00",0.919,FALSE,"2018-10-21T17:00:00","normal","2018-04-20T00:47:39","Panthers at Eagles",FALSE,4347036,"2018-10-21T21:00:00",FALSE,NA,211,NA,211,431.35,408,3680,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Philadelphia, PA 19148","1020 Pattison Ave",0,"https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA","America/New_York",TRUE,"19148",0.90542686,"Lincoln Financial Field",330,16,"Philadelphia","PA","lincoln-financial-field","Lincoln Financial Field",-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"97","2018-09-10_07.58.17",FALSE,"New Orleans Saints at Baltimore Ravens","2018-04-20T00:00:00",0.821,"nfl","","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-21T16:05:00",0.858,FALSE,"2018-10-21T20:05:00","normal","2018-04-20T00:47:45","Saints at Ravens",FALSE,4347071,"2018-10-22T00:05:00",FALSE,NA,57,NA,57,170.96,359,613,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Baltimore, MD 21230","1101 Russell St",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD","America/New_York",TRUE,"21230",0.8927189,"M&T Bank Stadium",1121,8,"Baltimore","MD","m-t-bank-stadium","M&T Bank Stadium",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"98","2018-09-10_07.58.17",FALSE,"Dallas Cowboys at Washington Redskins","2018-04-20T00:00:00",0.903,"nfl","","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-10-21T16:25:00",0.959,FALSE,"2018-10-21T20:25:00","normal","2018-04-20T00:47:18","Cowboys at Redskins",FALSE,4346941,"2018-10-22T00:25:00",FALSE,NA,205,NA,201,383.65,624,1051,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Landover, MD 20785","1600 Fedex Way",0,"https://seatgeek.com/venues/fedex-field/tickets","Landover, MD","America/New_York",TRUE,"20785",0.9333444,"FedEx Field",35,9,"Landover","MD","fedex-field","FedEx Field",-76.8658,38.9071,FALSE,"QRCODE_TM","2015-09-12T14:13:58Z"
"99","2018-09-10_07.58.17",FALSE,"Los Angeles Rams at San Francisco 49ers","2018-04-20T00:00:00",0.864,"nfl","","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-10-21T17:20:00",0.914,FALSE,"2018-10-22T00:20:00","normal","2018-04-20T00:47:54","Rams at 49ers",FALSE,4347118,"2018-10-22T04:20:00",FALSE,NA,104,NA,104,277.56,845,3705,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Santa Clara, CA 95054","4900 Marie P DeBartolo Way",0,"https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA","America/Los_Angeles",TRUE,"95054",0.95768774,"Levi's Stadium",58670,13,"Santa Clara","CA","levi-s-stadium","Levi's Stadium",-121.969,37.4023,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
