time_tbd,status,is_open,short_title,announce_date,datetime_tbd,popularity,id,description,visible_until_utc,score,datetime_utc,date_tbd,datetime_local,title,url,type,created_at,general_admission,visible_listing_count,lowest_price,lowest_price_good_deals,median_price,highest_price,average_price,listing_count,method,created_at,employee_only,name,postal_code,metro_code,country,city,popularity,timezone,id,num_upcoming_events,state,address,has_upcoming_events,score,name_v2,extended_address,slug,display_location,url,lon,lat,method,created_at,employee_only
FALSE,normal,FALSE,Colts at Patriots,2018-04-20T00:00:00,FALSE,0.959,4347096,,2018-10-05T04:20:00,0.902,2018-10-05T00:20:00,FALSE,2018-10-04T20:20:00,Indianapolis Colts at New England Patriots,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,nfl,2018-04-20T00:47:50,NA,490,130,130,240,671,282.3351,188,QRCODE,2018-08-24T21:03:24Z,FALSE,Gillette Stadium,02035,506,US,Foxborough,0,America/New_York,33,15,MA,1 Patriot Place,TRUE,0.8983344,Gillette Stadium,"Foxborough, MA 02035",gillette-stadium,"Foxborough, MA",https://seatgeek.com/venues/gillette-stadium/tickets,-71.2674,42.0906,NONE,2018-08-22T15:36:58Z,FALSE
FALSE,normal,FALSE,South Alabama at Georgia Southern,2018-02-28T00:00:00,FALSE,0.676,4281989,,2018-10-06T23:30:00,0.573,2018-10-06T19:30:00,FALSE,2018-10-06T15:30:00,South Alabama Jaguars at Georgia Southern Eagles Football,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,ncaa_football,2018-02-28T15:00:17,NA,6,31,NA,46,69,47.25,16,NA,NA,NA,Allen E. Paulson Stadium,30460,507,US,Statesboro,0,America/New_York,2352,4,GA,225 Lanier Drive,TRUE,0.41380084,Allen E. Paulson Stadium,"Statesboro, GA 30460",allen-e-paulson-stadium,"Statesboro, GA",https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,-81.7832,32.4488,NA,NA,NA
FALSE,normal,FALSE,Falcons at Steelers,2018-04-20T00:00:00,FALSE,0.936,4347079,,2018-10-07T21:00:00,0.883,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Atlanta Falcons at Pittsburgh Steelers,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,nfl,2018-04-20T00:47:47,NA,416,150,150,368,985,400.6987,229,QRCODE,2018-08-24T21:16:40Z,FALSE,Heinz Field,15212,508,US,Pittsburgh,0,America/New_York,1119,10,PA,100 Art Rooney Avenue,TRUE,0.9033526,Heinz Field,"Pittsburgh, PA 15212",heinz-field,"Pittsburgh, PA",https://seatgeek.com/venues/heinz-field/tickets,-80.0158,40.4468,QRCODE_TM,2015-12-08T15:36:23Z,FALSE
FALSE,normal,FALSE,Packers at Lions,2018-04-20T00:00:00,FALSE,0.95,4347027,,2018-10-07T21:00:00,0.893,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Green Bay Packers at Detroit Lions,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,nfl,2018-04-20T00:47:37,NA,575,137,125,200,2392,255.82059,340,QRCODE,2018-08-24T21:05:06Z,FALSE,Ford Field,48226,505,US,Detroit,0,America/Detroit,346,11,MI,2000 Brush St.,TRUE,0.9029952,Ford Field,"Detroit, MI 48226",ford-field,"Detroit, MI",https://seatgeek.com/venues/ford-field/tickets,-83.0459,42.34,NONE,2015-11-04T17:31:52Z,FALSE
FALSE,normal,FALSE,Giants at Panthers,2018-04-20T00:00:00,FALSE,0.939,4347032,,2018-10-07T21:00:00,0.881,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,New York Giants at Carolina Panthers,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,nfl,2018-04-20T00:47:38,NA,416,164,164,304,1465,366.83783,185,QRCODE,2018-08-24T21:15:58Z,FALSE,Bank of America Stadium,28202,517,US,Charlotte,0,America/New_York,1122,8,NC,800 South Mint Street,TRUE,0.8968222,Bank of America Stadium,"Charlotte, NC 28202",bank-of-america-stadium,"Charlotte, NC",https://seatgeek.com/venues/bank-of-america-stadium/tickets,-80.8524,35.2243,QRCODE_TM,2015-09-25T18:23:51Z,FALSE
FALSE,normal,FALSE,Broncos at Jets,2018-04-20T00:00:00,FALSE,0.963,4347011,,2018-10-07T21:00:00,0.906,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Denver Broncos at New York Jets,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,nfl,2018-04-20T00:47:34,NA,973,51,51,136,781,159.759,805,QRCODE,2018-09-05T19:53:41Z,FALSE,MetLife Stadium,07073,501,US,East Rutherford,0,America/New_York,1587,16,NJ,1 MetLife Stadium Drive,TRUE,0.94873494,MetLife Stadium,"East Rutherford, NJ 07073",metlife-stadium,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
FALSE,normal,FALSE,Dolphins at Bengals,2018-04-20T00:00:00,FALSE,0.898,4347043,,2018-10-07T21:00:00,0.834,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Miami Dolphins at Cincinnati Bengals,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,nfl,2018-04-20T00:47:40,NA,631,62,66,106,357,114.14286,245,QRCODE,2018-08-24T21:16:15Z,FALSE,Paul Brown Stadium,45202,515,US,Cincinnati,0,America/New_York,1124,7,OH,1 Paul Brown Stadium,TRUE,0.86166537,Paul Brown Stadium,"Cincinnati, OH 45202",paul-brown-stadium,"Cincinnati, OH",https://seatgeek.com/venues/paul-brown-stadium/tickets,-84.5177,39.0961,QRCODE_TM,2015-10-09T16:14:37Z,FALSE
FALSE,normal,FALSE,Ravens at Browns,2018-04-20T00:00:00,FALSE,0.902,4346999,,2018-10-07T21:00:00,0.839,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Baltimore Ravens at Cleveland Browns,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,nfl,2018-04-20T00:47:31,NA,663,71,75,119,874,154.03914,511,QRCODE,2018-08-24T21:04:01Z,FALSE,FirstEnergy Stadium,44114,510,US,Cleveland,0,America/New_York,1123,6,OH,100 Alfred Lerner Way,TRUE,0.86852187,FirstEnergy Stadium,"Cleveland, OH 44114",firstenergy-stadium-15,"Cleveland, OH",https://seatgeek.com/venues/firstenergy-stadium-15/tickets,-81.7,41.5065,NONE,2015-11-11T20:55:31Z,FALSE
FALSE,normal,FALSE,Jaguars at Chiefs,2018-04-20T00:00:00,FALSE,0.922,4346983,,2018-10-07T21:00:00,0.865,2018-10-07T17:00:00,FALSE,2018-10-07T12:00:00,Jacksonville Jaguars at Kansas City Chiefs,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,nfl,2018-04-20T00:47:28,NA,939,81,81,168,402,181.30682,616,QRCODE,2018-08-24T21:03:49Z,FALSE,Arrowhead Stadium,64129,616,US,Kansas City,0,America/Chicago,1128,8,MO,1 Arrowhead Drive,TRUE,0.8827867,Arrowhead Stadium,"Kansas City, MO 64129",arrowhead-stadium,"Kansas City, MO",https://seatgeek.com/venues/arrowhead-stadium/tickets,-94.4839,39.0489,QRCODE_TM,2015-08-20T16:20:51Z,FALSE
FALSE,normal,FALSE,Titans at Bills,2018-04-20T00:00:00,FALSE,0.902,4347063,,2018-10-07T21:00:00,0.844,2018-10-07T17:00:00,FALSE,2018-10-07T13:00:00,Tennessee Titans at Buffalo Bills,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,nfl,2018-04-20T00:47:44,NA,628,67,67,121,440,133.98297,411,QRCODE,2018-08-24T21:16:26Z,FALSE,New Era Field,14127,514,US,Orchard Park,0,America/New_York,1135,7,NY,1 Bills Drive,TRUE,0.8815085,New Era Field,"Orchard Park, NY 14127",new-era-field,"Orchard Park, NY",https://seatgeek.com/venues/new-era-field/tickets,-78.7874,42.7737,QRCODE_TM,2015-08-12T16:52:53Z,FALSE
