"","timestamp","popularity","datetime_utc","created_at","status","is_open","score","title","type","id","short_title","announce_date","date_tbd","datetime_tbd","url","visible_until_utc","description","datetime_local","time_tbd","general_admission","visible_listing_count","median_price","lowest_price","average_price","listing_count","lowest_price_good_deals","highest_price","created_at","employee_only","method","state","popularity","postal_code","city","name","extended_address","country","id","num_upcoming_events","timezone","score","address","display_location","metro_code","name_v2","url","slug","has_upcoming_events","lon","lat","created_at","employee_only","method"
"11","2018-10-18_08.11.41",0.994,"2018-10-21T20:25:00","2018-04-20T00:47:18","normal",FALSE,0.979,"Dallas Cowboys at Washington Redskins","nfl",4346941,"Cowboys at Redskins","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-10-22T00:25:00","","2018-10-21T16:25:00",FALSE,NA,801,233,154,378.1887,106,161,14091,"2018-08-24T21:53:38Z",FALSE,"QRCODE","MD",0,"20785","Landover","FedEx Field","Landover, MD 20785","US",35,5,"America/New_York",0.9333444,"1600 Fedex Way","Landover, MD",511,"FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","fedex-field",TRUE,-76.8658,38.9071,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"12","2018-10-18_08.11.41",0.954,"2018-10-21T20:25:00","2018-04-20T00:47:54","normal",FALSE,0.924,"Los Angeles Rams at San Francisco 49ers","nfl",4347118,"Rams at 49ers","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-10-22T00:25:00","","2018-10-21T13:25:00",FALSE,NA,2085,117,54,143.57823,147,45,470,"2018-08-24T21:53:38Z",FALSE,"QRCODE","CA",0,"95054","Santa Clara","Levi's Stadium","Santa Clara, CA 95054","US",58670,10,"America/Los_Angeles",0.95768774,"4900 Marie P DeBartolo Way","Santa Clara, CA",0,"Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium",TRUE,-121.969,37.4023,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"13","2018-10-18_08.11.41",0.931,"2018-10-22T00:20:00","2018-04-20T00:47:27","normal",FALSE,0.894,"Cincinnati Bengals at Kansas City Chiefs","nfl",4346982,"Bengals at Chiefs","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-10-22T04:20:00","","2018-10-21T19:20:00",FALSE,NA,1082,125,67,135.89577,307,67,494,"2018-08-24T21:53:38Z",FALSE,"QRCODE","MO",0,"64129","Kansas City","Arrowhead Stadium","Kansas City, MO 64129","US",1128,6,"America/Chicago",0.8827867,"1 Arrowhead Drive","Kansas City, MO",616,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium",TRUE,-94.4839,39.0489,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"14","2018-10-18_08.11.41",0.949,"2018-10-23T00:15:00","2018-04-20T00:47:42","normal",FALSE,0.932,"New York Giants at Atlanta Falcons","nfl",4347050,"Giants at Falcons","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-10-23T04:15:00","","2018-10-22T20:15:00",FALSE,NA,2273,166,73,186.56892,457,73,669,"2018-08-24T21:53:38Z",FALSE,"QRCODE","GA",0,"30313","Atlanta","Mercedes-Benz Stadium","Atlanta, GA 30313","US",419590,16,"America/New_York",0.76958936,"35 Northside Dr NW","Atlanta, GA",0,"Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium",TRUE,-84.4,33.76,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"15","2018-10-18_08.11.41",0.502,"2018-10-24T00:00:00","2018-02-28T15:00:17","normal",FALSE,0.303,"Troy Trojans at South Alabama Jaguars Football","ncaa_football",4281985,"Troy at South Alabama","2018-02-28T00:00:00",FALSE,FALSE,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-10-24T04:00:00","","2018-10-23T19:00:00",FALSE,NA,8,32,11,34.576923,26,11,93,NA,NA,NA,"AL",0,"36604","Mobile","Ladd Peebles Stadium","Mobile, AL 36604","US",3716,4,"America/Chicago",0.50177634,"1621 Virginia St.","Mobile, AL",686,"Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium",TRUE,-88.0761,30.6748,NA,NA,NA
"16","2018-10-18_08.11.41",0.903,"2018-10-26T00:20:00","2018-04-20T00:47:36","normal",FALSE,0.884,"Miami Dolphins at Houston Texans","nfl",4347018,"Dolphins at Texans","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-10-26T04:20:00","","2018-10-25T19:20:00",FALSE,NA,1902,116,52,146.76352,647,52,505,"2018-08-24T21:53:38Z",FALSE,"QRCODE","TX",0,"77054","Houston","NRG Stadium","Houston, TX 77054","US",41,43,"America/Chicago",0.8624192,"1 Reliant Park","Houston, TX",618,"NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium",TRUE,-95.4107,29.6847,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"17","2018-10-18_08.11.41",0.876,"2018-10-28T17:00:00","2018-04-20T00:47:40","normal",FALSE,0.859,"Tampa Bay Buccaneers at Cincinnati Bengals","nfl",4347041,"Buccaneers at Bengals","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-10-28T21:00:00","","2018-10-28T13:00:00",FALSE,NA,960,109,55,120.218544,302,53,362,"2018-08-24T21:53:39Z",FALSE,"QRCODE","OH",0,"45202","Cincinnati","Paul Brown Stadium","Cincinnati, OH 45202","US",1124,5,"America/New_York",0.86166537,"1 Paul Brown Stadium","Cincinnati, OH",515,"Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium",TRUE,-84.5177,39.0961,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"18","2018-10-18_08.11.41",0.925,"2018-10-28T17:00:00","2018-04-20T00:47:37","normal",FALSE,0.923,"Seattle Seahawks at Detroit Lions","nfl",4347026,"Seahawks at Lions","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-10-28T21:00:00","","2018-10-28T13:00:00",FALSE,NA,494,111,57,142.04895,286,81,601,"2018-08-24T21:53:39Z",FALSE,"QRCODE","MI",0,"48226","Detroit","Ford Field","Detroit, MI 48226","US",346,10,"America/Detroit",0.9029952,"2000 Brush St.","Detroit, MI",505,"Ford Field","https://seatgeek.com/venues/ford-field/tickets","ford-field",TRUE,-83.0459,42.34,"2015-11-04T17:31:52Z",FALSE,"NONE"
"19","2018-10-18_08.11.41",0.931,"2018-10-28T17:00:00","2018-04-20T00:47:17","normal",FALSE,0.931,"Washington Redskins at New York Giants","nfl",4346940,"Redskins at Giants","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-10-28T21:00:00","","2018-10-28T13:00:00",FALSE,NA,1458,213,109,273.11017,236,107,1080,"2018-08-24T21:53:39Z",FALSE,"QRCODE","NJ",0,"07073","East Rutherford","MetLife Stadium","East Rutherford, NJ 07073","US",1587,12,"America/New_York",0.94873494,"1 MetLife Stadium Drive","East Rutherford, NJ",501,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",TRUE,-74.0737,40.8142,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"20","2018-10-18_08.11.41",0.908,"2018-10-28T17:00:00","2018-04-20T00:47:45","normal",FALSE,0.902,"Baltimore Ravens at Carolina Panthers","nfl",4347070,"Ravens at Panthers","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-10-28T21:00:00","","2018-10-28T13:00:00",FALSE,NA,1332,231,80,277.2156,218,80,713,"2018-08-24T21:53:39Z",FALSE,"QRCODE","NC",0,"28202","Charlotte","Bank of America Stadium","Charlotte, NC 28202","US",1122,9,"America/New_York",0.8968222,"800 South Mint Street","Charlotte, NC",517,"Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium",TRUE,-80.8524,35.2243,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"21","2018-10-18_08.11.41",0.921,"2018-10-28T17:00:00","2018-04-20T00:47:27","normal",FALSE,0.921,"Denver Broncos at Kansas City Chiefs","nfl",4346981,"Broncos at Chiefs","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","2018-10-28T21:00:00","","2018-10-28T12:00:00",FALSE,NA,1078,251,155,268.11563,787,155,619,"2018-08-24T21:53:39Z",FALSE,"QRCODE","MO",0,"64129","Kansas City","Arrowhead Stadium","Kansas City, MO 64129","US",1128,6,"America/Chicago",0.8827867,"1 Arrowhead Drive","Kansas City, MO",616,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium",TRUE,-94.4839,39.0489,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"22","2018-10-18_08.11.41",0.909,"2018-10-28T17:00:00","2018-04-20T00:47:46","normal",FALSE,0.907,"Cleveland Browns at Pittsburgh Steelers","nfl",4347078,"Browns at Steelers","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","2018-10-28T21:00:00","","2018-10-28T13:00:00",FALSE,NA,859,259,139,312.63916,194,139,1000,"2018-08-24T21:53:39Z",FALSE,"QRCODE","PA",0,"15212","Pittsburgh","Heinz Field","Pittsburgh, PA 15212","US",1119,7,"America/New_York",0.9033526,"100 Art Rooney Avenue","Pittsburgh, PA",508,"Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","heinz-field",TRUE,-80.0158,40.4468,"2018-10-04T12:42:28Z",FALSE,"QRCODE"
"23","2018-10-18_08.11.41",0.922,"2018-10-28T17:00:00","2018-04-20T00:47:33","normal",FALSE,0.922,"New York Jets at Chicago Bears","nfl",4347007,"Jets at Bears","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","2018-10-28T21:00:00","","2018-10-28T12:00:00",FALSE,NA,895,331,201,372.0139,72,201,864,"2018-08-24T21:53:39Z",FALSE,"QRCODE","IL",0,"60605","Chicago","Soldier Field","Chicago, IL 60605","US",31,8,"America/Chicago",0.940013,"1410 S. Museum Campus Drive","Chicago, IL",602,"Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","soldier-field",TRUE,-87.6159,41.8623,"2018-06-02T00:44:08Z",FALSE,"NONE"
"24","2018-10-18_08.11.41",0.892,"2018-10-28T20:05:00","2018-04-20T01:04:25","normal",FALSE,0.879,"Indianapolis Colts at Oakland Raiders","nfl",4347153,"Colts at Raiders","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153","2018-10-29T00:05:00","","2018-10-28T13:05:00",FALSE,NA,1831,139,61,152.4937,397,56,463,"2018-08-24T21:53:39Z",FALSE,"QRCODE","CA",0,"94621","Oakland","Oakland-Alameda County Coliseum","Oakland, CA 94621","US",14,9,"America/Los_Angeles",0.7817843,"7000 Coliseum Way","Oakland, CA",807,"Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","oakland-alameda-county-coliseum",TRUE,-122.201,37.7469,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"25","2018-10-18_08.11.41",0.946,"2018-10-28T20:25:00","2018-04-20T00:47:14","normal",FALSE,0.957,"Green Bay Packers at Los Angeles Rams","nfl",4346921,"Packers at Rams","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921","2018-10-29T00:25:00","","2018-10-28T13:25:00",FALSE,NA,1578,407,223,473.57907,411,223,1418,"2018-08-24T21:53:39Z",FALSE,"QRCODE","CA",0,"90037","Los Angeles","Los Angeles Memorial Coliseum","Los Angeles, CA 90037","US",51012,8,"America/Los_Angeles",0.86898464,"3911 S Figueroa St","Los Angeles, CA",0,"Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1",TRUE,-118.288,34.0138,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"26","2018-10-18_08.11.41",0.91,"2018-10-28T20:25:00","2018-04-20T00:47:51","normal",FALSE,0.907,"San Francisco 49ers at Arizona Cardinals","nfl",4347101,"49ers at Cardinals","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101","2018-10-29T00:25:00","","2018-10-28T13:25:00",FALSE,NA,1265,103,36,139.11018,599,36,6050,"2018-08-24T21:53:39Z",FALSE,"QRCODE","AZ",0,"85305","Glendale","State Farm Stadium","Glendale, AZ 85305","US",43,10,"America/Phoenix",0.93402725,"1 Cardinals Drive","Glendale, AZ",753,"State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","state-farm-stadium",TRUE,-112.262,33.5294,"2015-12-21T17:26:05Z",FALSE,"NONE"
"27","2018-10-18_08.11.41",0.912,"2018-10-29T00:20:00","2018-04-20T01:04:04","normal",FALSE,0.913,"New Orleans Saints at Minnesota Vikings","nfl",4347136,"Saints at Vikings","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136","2018-10-29T04:20:00","","2018-10-28T19:20:00",FALSE,NA,1405,277,106,333.9087,449,106,2401,"2018-08-24T21:53:39Z",FALSE,"QRCODE","MN",0,"55415","Minneapolis","U.S. Bank Stadium","Minneapolis, MN 55415","US",218451,14,"America/Chicago",0.88524246,"401 Chicago Avenue","Minneapolis, MN",0,"U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium",TRUE,-93.26,44.97,"2018-08-22T15:34:15Z",FALSE,"NONE"
"28","2018-10-18_08.11.41",0.914,"2018-10-30T00:15:00","2018-04-20T00:47:44","normal",FALSE,0.921,"New England Patriots at Buffalo Bills","nfl",4347062,"Patriots at Bills","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062","2018-10-30T04:15:00","","2018-10-29T20:15:00",FALSE,NA,1465,132,79,158.8954,631,77,496,"2018-08-24T21:53:39Z",FALSE,"QRCODE","NY",0,"14127","Orchard Park","New Era Field","Orchard Park, NY 14127","US",1135,6,"America/New_York",0.8815085,"1 Bills Drive","Orchard Park, NY",514,"New Era Field","https://seatgeek.com/venues/new-era-field/tickets","new-era-field",TRUE,-78.7874,42.7737,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"29","2018-10-18_08.11.41",0.944,"2018-11-02T00:20:00","2018-04-20T00:47:57","normal",FALSE,0.97,"Oakland Raiders at San Francisco 49ers","nfl",4347131,"Raiders at 49ers","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131","2018-11-02T04:20:00","","2018-11-01T17:20:00",FALSE,NA,2053,337,155,353.19748,633,150,1213,"2018-08-24T21:53:39Z",FALSE,"QRCODE","CA",0,"95054","Santa Clara","Levi's Stadium","Santa Clara, CA 95054","US",58670,10,"America/Los_Angeles",0.95768774,"4900 Marie P DeBartolo Way","Santa Clara, CA",0,"Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium",TRUE,-121.969,37.4023,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"30","2018-10-18_08.11.41",0.501,"2018-11-03T18:00:00","2018-07-28T16:00:52","normal",FALSE,0.371,"Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball","sports",4466234,"Texas Tech Red Raiders at Kansas Jayhawks Women's Volleyball","2018-07-28T00:00:00",FALSE,FALSE,"https://seatgeek.com/texas-tech-red-raiders-at-kansas-jayhawks-womens-volleyball-tickets/sport/2018-11-03-1-pm/4466234","2018-11-03T22:00:00","","2018-11-03T13:00:00",FALSE,NA,1,82,82,82,1,NA,82,NA,NA,NA,NA,0,"66045","Lawrence","Horejsi Center","Lawrence, ","",74230,4,"America/Chicago",0.56565154,"1550 Allen Fieldhhouse Dr","Lawrence",0,"Horejsi Center","https://seatgeek.com/venues/horejsi-center/tickets","horejsi-center",TRUE,-95.2532,38.9535,NA,NA,NA
