"","timestamp","title","short_title","date_tbd","id","status","time_tbd","description","announce_date","type","visible_until_utc","datetime_local","created_at","score","datetime_utc","popularity","datetime_tbd","is_open","url","general_admission","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","listing_count","created_at","employee_only","method","name","address","state","id","num_upcoming_events","postal_code","extended_address","popularity","has_upcoming_events","country","score","metro_code","slug","display_location","name_v2","city","timezone","url","lat","lon","created_at","employee_only","method"
"100","2018-10-17_08.21.17","Indianapolis Colts at Jacksonville Jaguars","Colts at Jaguars",FALSE,4346946,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-02T22:00:00","2018-12-02T13:00:00","2018-04-20T00:47:19",0.839,"2018-12-02T18:00:00",0.81,FALSE,FALSE,"https://seatgeek.com/colts-at-jaguars-tickets/12-2-2018-jacksonville-florida-tiaa-bank-field/nfl/4346946",NA,195.41943,1848,NA,128,856,42,1955,"2018-08-24T21:53:41Z",FALSE,"QRCODE","TIAA Bank Field","1 Everbank Field Dr","FL",5178,7,"32202","Jacksonville, FL 32202",0,TRUE,"US",0.83759147,561,"tiaa-bank-field","Jacksonville, FL","TIAA Bank Field","Jacksonville","America/New_York","https://seatgeek.com/venues/tiaa-bank-field/tickets",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"101","2018-10-17_08.21.17","Baltimore Ravens at Atlanta Falcons","Ravens at Falcons",FALSE,4347048,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-02T22:00:00","2018-12-02T13:00:00","2018-04-20T00:47:41",0.926,"2018-12-02T18:00:00",0.889,FALSE,FALSE,"https://seatgeek.com/ravens-at-falcons-tickets/12-2-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347048",NA,197.32756,991,72,156,2101,74,751,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW","GA",419590,16,"30313","Atlanta, GA 30313",0,TRUE,"US",0.76958936,0,"mercedes-benz-stadium","Atlanta, GA","Mercedes-Benz Stadium","Atlanta","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"102","2018-10-17_08.21.17","Cleveland Browns at Houston Texans","Browns at Texans",FALSE,4347156,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-02T22:00:00","2018-12-02T12:00:00","2018-04-20T03:52:35",0.901,"2018-12-02T18:00:00",0.859,FALSE,FALSE,"https://seatgeek.com/browns-at-texans-tickets/12-2-2018-houston-texas-nrg-stadium/nfl/4347156",NA,189.2697,2224,33,142,1512,33,571,"2018-08-24T21:53:41Z",FALSE,"QRCODE","NRG Stadium","1 Reliant Park","TX",41,43,"77054","Houston, TX 77054",0,TRUE,"US",0.8624192,618,"nrg-stadium","Houston, TX","NRG Stadium","Houston","America/Chicago","https://seatgeek.com/venues/nrg-stadium/tickets",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"103","2018-10-17_08.21.17","New York Jets at Tennessee Titans","Jets at Titans",FALSE,4346989,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-03T00:05:00","2018-12-02T15:05:00","2018-04-20T00:47:29",0.856,"2018-12-02T20:05:00",0.824,FALSE,FALSE,"https://seatgeek.com/jets-at-titans-tickets/12-2-2018-nashville-tennessee-nissan-stadium/nfl/4346989",NA,163.37471,720,45,152,1464,45,427,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Nissan Stadium","1 Titans Way","TN",1126,16,"37213","Nashville, TN 37213",0,TRUE,"US",0.8546275,659,"nissan-stadium","Nashville, TN","Nissan Stadium","Nashville","America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"104","2018-10-17_08.21.17","Kansas City Chiefs at Oakland Raiders","Chiefs at Raiders",FALSE,4347152,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-03T01:05:00","2018-12-02T13:05:00","2018-04-20T01:04:24",0.895,"2018-12-02T21:05:00",0.854,FALSE,FALSE,"https://seatgeek.com/chiefs-at-raiders-tickets/12-2-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347152",NA,193.44041,589,75,179,1654,75,579,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Oakland-Alameda County Coliseum","7000 Coliseum Way","CA",14,9,"94621","Oakland, CA 94621",0,TRUE,"US",0.7817843,807,"oakland-alameda-county-coliseum","Oakland, CA","Oakland-Alameda County Coliseum","Oakland","America/Los_Angeles","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",37.7469,-122.201,"2015-06-24T00:00:00Z",FALSE,"PDF417"
"105","2018-10-17_08.21.17","Minnesota Vikings at New England Patriots","Vikings at Patriots",FALSE,4347094,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-03T01:25:00","2018-12-02T16:25:00","2018-04-20T00:47:50",0.967,"2018-12-02T21:25:00",0.919,FALSE,FALSE,"https://seatgeek.com/vikings-at-patriots-tickets/12-2-2018-foxborough-massachusetts-gillette-stadium/nfl/4347094",NA,487.8494,1073,265,412,682,277,166,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Gillette Stadium","1 Patriot Place","MA",33,11,"02035","Foxborough, MA 02035",0,TRUE,"US",0.8983344,506,"gillette-stadium","Foxborough, MA","Gillette Stadium","Foxborough","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"106","2018-10-17_08.21.17","San Francisco 49ers at Seattle Seahawks","49ers at Seahawks",FALSE,4347124,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-03T05:20:00","2018-12-02T17:20:00","2018-04-20T00:47:55",0.954,"2018-12-03T01:20:00",0.899,FALSE,FALSE,"https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124",NA,413.683,1261,137,388,1654,173,265,"2018-08-24T21:53:41Z",FALSE,"QRCODE","CenturyLink Field","800 Occidental Ave S","WA",339,8,"98134","Seattle, WA 98134",0,TRUE,"US",0.87232786,819,"centurylink-field","Seattle, WA","CenturyLink Field","Seattle","America/Los_Angeles","https://seatgeek.com/venues/centurylink-field/tickets",47.6,-122.33,"2018-03-02T22:54:54Z",FALSE,"QRCODE"
"107","2018-10-17_08.21.17","Washington Redskins at Philadelphia Eagles","Redskins at Eagles",FALSE,4346936,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-04T05:15:00","2018-12-03T20:15:00","2018-04-20T00:47:17",0.928,"2018-12-04T01:15:00",0.877,FALSE,FALSE,"https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936",NA,447.96268,3310,NA,389,1764,97,4823,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Lincoln Financial Field","1020 Pattison Ave","PA",330,13,"19148","Philadelphia, PA 19148",0,TRUE,"US",0.90542686,504,"lincoln-financial-field","Philadelphia, PA","Lincoln Financial Field","Philadelphia","America/New_York","https://seatgeek.com/venues/lincoln-financial-field/tickets",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"108","2018-10-17_08.21.17","Jacksonville Jaguars at Tennessee Titans","Jaguars at Titans",FALSE,4346987,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-07T04:20:00","2018-12-06T19:20:00","2018-04-20T00:47:29",0.831,"2018-12-07T00:20:00",0.796,FALSE,FALSE,"https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987",NA,153.59665,2271,38,127,1558,43,538,"2018-08-24T21:53:42Z",FALSE,"QRCODE","Nissan Stadium","1 Titans Way","TN",1126,16,"37213","Nashville, TN 37213",0,TRUE,"US",0.8546275,659,"nissan-stadium","Nashville, TN","Nissan Stadium","Nashville","America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"109","2018-10-17_08.21.17","New Orleans Saints at Tampa Bay Buccaneers","Saints at Buccaneers",FALSE,4346926,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-09T22:00:00","2018-12-09T13:00:00","2018-04-20T00:47:15",0.903,"2018-12-09T18:00:00",0.854,FALSE,FALSE,"https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926",NA,199.1579,524,67,180,729,71,19,"2018-08-24T21:53:42Z",FALSE,"QRCODE","Raymond James Stadium","4201 North Dale Mabry Highway","FL",39,14,"33607","Tampa, FL 33607",0,TRUE,"US",0.86513025,539,"raymond-james-stadium","Tampa, FL","Raymond James Stadium","Tampa","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"110","2018-10-17_08.21.17","Carolina Panthers at Cleveland Browns","Panthers at Browns",FALSE,4346995,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-09T22:00:00","2018-12-09T13:00:00","2018-04-20T00:47:31",0.873,"2018-12-09T18:00:00",0.838,FALSE,FALSE,"https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995",NA,102.38032,1173,41,85,1645,41,1128,"2018-08-24T21:53:42Z",FALSE,"QRCODE","FirstEnergy Stadium","100 Alfred Lerner Way","OH",1123,5,"44114","Cleveland, OH 44114",0,TRUE,"US",0.86852187,510,"firstenergy-stadium-15","Cleveland, OH","FirstEnergy Stadium","Cleveland","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"111","2018-10-17_08.21.17","Los Angeles Rams at Chicago Bears","Rams at Bears",FALSE,4347003,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-09T22:00:00","2018-12-09T12:00:00","2018-04-20T00:47:32",0.91,"2018-12-09T18:00:00",0.861,FALSE,FALSE,"https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003",NA,369.93976,2227,137,290,1434,151,166,"2018-08-24T21:53:42Z",FALSE,"QRCODE","Soldier Field","1410 S. Museum Campus Drive","IL",31,8,"60605","Chicago, IL 60605",0,TRUE,"US",0.940013,602,"soldier-field","Chicago, IL","Soldier Field","Chicago","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"112","2018-10-17_08.21.17","New England Patriots at Miami Dolphins","Patriots at Dolphins",FALSE,4347086,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-09T22:00:00","2018-12-09T13:00:00","2018-04-20T00:47:48",0.957,"2018-12-09T18:00:00",0.895,FALSE,FALSE,"https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086",NA,384.7875,1137,188,361,1516,215,80,"2018-08-24T21:53:42Z",FALSE,"QRCODE","Hard Rock Stadium","347 Don Shula Dr.","FL",29,32,"33056","Miami Gardens, FL 33056",0,TRUE,"US",0.8378203,528,"hard-rock-stadium","Miami Gardens, FL","Hard Rock Stadium","Miami Gardens","America/New_York","https://seatgeek.com/venues/hard-rock-stadium/tickets",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"113","2018-10-17_08.21.17","New York Jets at Buffalo Bills","Jets at Bills",FALSE,4347059,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-12-09T22:00:00","2018-12-09T13:00:00","2018-04-20T00:47:43",0.862,"2018-12-09T18:00:00",0.828,FALSE,FALSE,"https://seatgeek.com/jets-at-bills-tickets/12-9-2018-orchard-park-new-york-new-era-field/nfl/4347059",NA,78.00776,636,17,55,1920,18,1418,"2018-08-24T21:53:42Z",FALSE,"QRCODE","New Era Field","1 Bills Drive","NY",1135,6,"14127","Orchard Park, NY 14127",0,TRUE,"US",0.8815085,514,"new-era-field","Orchard Park, NY","New Era Field","Orchard Park","America/New_York","https://seatgeek.com/venues/new-era-field/tickets",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
